osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction
"[51691771, 42110311]",True,"['2', '3']",B 3,Neumarkt,primary,50,False,85.204,"LINESTRING (10.0810702 52.6272013, 10.0810279 52.62708, 10.0810159 52.6269084, 10.0809869 52.626784, 10.0809421 52.6266954, 10.0808937 52.6266232, 10.0808398 52.6265679, 10.0807272 52.6264817)",,
"[42110312, 42110261]",False,5,B 3,"['Harburger Straße', 'Neumarkt']",primary,50,"[False, True]",59.569,"LINESTRING (10.0810702 52.6272013, 10.0810653 52.6272272, 10.0809522 52.6277322)",yes,
887893581,False,,B 214,Neumarkt,primary,50,True,14.661,"LINESTRING (10.0808991 52.6264011, 10.0807272 52.6264817)",,
"[42056425, 42110308]",True,2,B 3,Neumarkt,primary,50,False,70.08099999999999,"LINESTRING (10.0808991 52.6264011, 10.0810097 52.6264985, 10.0810813 52.6265874, 10.0811161 52.6266677, 10.0811399 52.6267535, 10.0811462 52.62687, 10.0811451 52.6269964)",,
887893580,False,4,B 214,Nordwall,primary,50,True,9.373000000000001,"LINESTRING (10.0808991 52.6264011, 10.0809859 52.6263678, 10.0810163 52.6263559)",,
23312216,False,3,B 214,Im Kreise,primary,50,False,51.392999999999994,"LINESTRING (10.0875614 52.6235207, 10.0877547 52.6233983, 10.087948 52.6232758, 10.0880894 52.6231877)",,
23524958,False,,,Wehlstraße,tertiary,50,False,58.951,"LINESTRING (10.0875614 52.6235207, 10.0874441 52.6234271, 10.0873164 52.6233341, 10.0871798 52.6232119, 10.0870789 52.6230818)",,
26822660,False,,,Fritzenwiese,residential,30,False,90.196,"LINESTRING (10.0875614 52.6235207, 10.0876563 52.6236183, 10.0877625 52.6237274, 10.0879238 52.6240754, 10.0880116 52.6242781)",,
"[60004949, 1036050485]",False,"['4', '3']",B 214,Nordwall,primary,50,True,98.966,"LINESTRING (10.0875614 52.6235207, 10.0874052 52.6236437, 10.0870706 52.6239072, 10.0867003 52.6242405)",,
41018560,True,2,B 3;B 214,Mühlenstraße,primary,50,False,13.159,"LINESTRING (10.0744823 52.6225045, 10.0745137 52.6223877)",,
"[27540801, 793519818, 793519819, 42055372, 42055373]",False,"['2', '3']",B 3;B 214,Mühlenstraße,primary,50,False,113.69000000000001,"LINESTRING (10.0744823 52.6225045, 10.0743195 52.6227476, 10.0742247 52.6229008, 10.0741971 52.6229434, 10.0741282 52.6230532, 10.0740776 52.6231501, 10.0740492 52.6232223, 10.0740463 52.6233126, 10.0740669 52.6233985, 10.0741049 52.6234752)",yes,
"[42055372, 50081558]",False,2,B 3;B 214,Mühlenstraße,primary,50,True,418.93100000000004,"LINESTRING (10.078674 52.6259072, 10.0784191 52.625786, 10.0781187 52.6256274, 10.0776251 52.6253814, 10.0771959 52.6251866, 10.076732 52.6250234, 10.0761889 52.6248391, 10.0761454 52.6248243, 10.0760895 52.6248048, 10.0753842 52.6245585, 10.0751882 52.6244759, 10.0749629 52.6243473, 10.0747691 52.6241909, 10.0746779 52.6240937, 10.0746036 52.6240145, 10.0741854 52.6235686, 10.0741049 52.6234752)",,
388407731,True,1,B 3;B 214,Mühlenstraße,primary,50,False,33.92,"LINESTRING (10.078674 52.6259072, 10.0788457 52.6259595, 10.0788934 52.6259754, 10.0789537 52.6259955, 10.0790641 52.6260202, 10.0791313 52.6260311)",,
