osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,name
622579722,K 4256,tertiary,50,roundabout,True,False,19.754,"LINESTRING (8.6468301 49.2995869, 8.6468443 49.2996262, 8.6468408 49.2996666, 8.64682 49.2997046, 8.6467836 49.2997373, 8.6467641 49.2997471)",,
158848942,K 4256,tertiary,50,,False,True,72.053,"LINESTRING (8.6475161 49.304772, 8.6471736 49.304623, 8.6466978 49.3044044)",2,Nußlocher Straße
834076337,,residential,30,,False,False,147.62800000000001,"LINESTRING (8.6475161 49.304772, 8.6476325 49.3046457, 8.6477404 49.3045316, 8.6477991 49.3044319, 8.6478737 49.3042111, 8.6479116 49.30405, 8.6479419 49.3039215, 8.6480346 49.3035055)",2,Ringstraße
929869708,,residential,30,,False,False,111.79599999999999,"LINESTRING (8.6475161 49.304772, 8.6474085 49.3048759, 8.6467246 49.3056346)",2,Ringstraße
86834865,,residential,30,,False,False,34.526,"LINESTRING (8.6464618 49.2995478, 8.646381 49.2995068, 8.6463135 49.2994674, 8.6461097 49.2993392)",,Bürgermeister-Willinger-Straße
158845300,K 4256,tertiary,50,roundabout,True,False,32.412,"LINESTRING (8.6464618 49.2995478, 8.6465187 49.2995164, 8.6465885 49.2994995, 8.646663 49.299499, 8.6467334 49.2995149, 8.6467914 49.2995454, 8.6468301 49.2995869)",,
158845301,,residential,30,,False,True,98.938,"LINESTRING (8.6480346 49.3035055, 8.6482482 49.3026267)",2,Ringstraße
834076336,,residential,30,,False,False,49.251,"LINESTRING (8.6480346 49.3035055, 8.6487078 49.3035646)",,Johann-Jakob-Astor-Straße
66862147,,residential,30,,False,True,88.393,"LINESTRING (8.6480346 49.3035055, 8.6471351 49.3034513, 8.6470148 49.3034441, 8.6468211 49.3034295)",,Johann-Jakob-Astor-Straße
834076337,,residential,30,,False,True,147.628,"LINESTRING (8.6480346 49.3035055, 8.6479419 49.3039215, 8.6479116 49.30405, 8.6478737 49.3042111, 8.6477991 49.3044319, 8.6477404 49.3045316, 8.6476325 49.3046457, 8.6475161 49.304772)",2,Ringstraße
100355484,,living_street,7,,False,True,21.818,"LINESTRING (8.6427066 49.3031675, 8.6424413 49.3030749)",,Hauptstraße
253153575,,tertiary,30,,True,False,15.695,"LINESTRING (8.6427066 49.3031675, 8.6427801 49.3031265, 8.6428077 49.3031164, 8.6428334 49.3031082, 8.6428581 49.3031025, 8.6428913 49.3031011)",1,Schwetzinger Straße
"[158848936, 66862145]",,living_street,,,False,False,82.50299999999999,"LINESTRING (8.6443063 49.3034294, 8.6445099 49.3033928, 8.6445894 49.3033881, 8.6447245 49.30338, 8.6452807 49.3033469, 8.6454332 49.303342)",,Johann-Jakob-Astor-Straße
158848938,K 4256,tertiary,50,,False,True,82.941,"LINESTRING (8.6443063 49.3034294, 8.6438754 49.3033568, 8.6434359 49.303279, 8.6433434 49.3032632, 8.6432192 49.3032109)",,Johann-Jakob-Astor-Straße
158848942,K 4256,tertiary,50,,False,False,88.536,"LINESTRING (8.6443063 49.3034294, 8.6443427 49.3034423, 8.6448441 49.3036166, 8.6453847 49.3038029)",2,Nußlocher Straße
236498404,,tertiary,30,,False,True,40.533,"LINESTRING (8.6425242 49.3034483, 8.6424112 49.3038053)",2,Schwetzinger Straße
46696216,,living_street,,,False,True,170.999,"LINESTRING (8.6425242 49.3034483, 8.6426486 49.3034897, 8.6427365 49.303566, 8.6427786 49.3036477, 8.6430434 49.3042738, 8.6430973 49.3043812, 8.643159 49.3044606, 8.6434508 49.3048279)",,Heidelberger Straße
236498404,,tertiary,30,,False,False,28.311,"LINESTRING (8.6425242 49.3034483, 8.6425412 49.3034153, 8.6426087 49.3032847, 8.6426685 49.3032126)",2,Schwetzinger Straße
158854830,,living_street,7,,False,False,90.908,"LINESTRING (8.643659 49.3011548, 8.6425291 49.3008005)",,Am Neuen Schulhaus
158854831,,residential,30,,False,True,163.82,"LINESTRING (8.643659 49.3011548, 8.6456323 49.3018723)",,Friedensstraße
242993512,K 4256,tertiary,50,,False,True,89.355,"LINESTRING (8.643659 49.3011548, 8.6436041 49.3012395, 8.6434184 49.3015222, 8.6433563 49.3016537, 8.6432731 49.3018839, 8.6432626 49.3019131)",,Bahnhofstraße
614105135,K 4256,tertiary,50,,False,False,115.57100000000001,"LINESTRING (8.643659 49.3011548, 8.6438007 49.3009862, 8.6439581 49.300843, 8.6440739 49.3007604, 8.6442792 49.3006531, 8.6444717 49.3005595, 8.6447746 49.30044)",,Bahnhofstraße
158848942,K 4256,tertiary,50,,False,False,21.227,"LINESTRING (8.6464616 49.3042916, 8.6466978 49.3044044)",2,Nußlocher Straße
305177379,,residential,30,,False,True,40.9,"LINESTRING (8.6464616 49.3042916, 8.646184 49.3046118)",,Scheffelstraße
158848942,K 4256,tertiary,50,,False,True,95.156,"LINESTRING (8.6464616 49.3042916, 8.6458868 49.3040186, 8.6457058 49.3039391, 8.6454284 49.3038214, 8.6453847 49.3038029)",2,Nußlocher Straße
511793660,K 4256,tertiary,50,,False,True,40.562,"LINESTRING (8.6432626 49.3019131, 8.6431462 49.3022699)",,Bahnhofstraße
61414265,,residential,20,,False,True,100.581,"LINESTRING (8.6432626 49.3019131, 8.6431215 49.3018662, 8.6427596 49.3017156, 8.6420857 49.3014351)",2,Schloßweg
242993512,K 4256,tertiary,50,,False,False,89.35499999999999,"LINESTRING (8.6432626 49.3019131, 8.6432731 49.3018839, 8.6433563 49.3016537, 8.6434184 49.3015222, 8.6436041 49.3012395, 8.643659 49.3011548)",,Bahnhofstraße
