osmid,lanes,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,ref,width
"[383253283, 8057357, 32941390, 32941391]","['2', '3']",Bahnhofstraße,residential,30,False,False,137.175,yes,"LINESTRING (8.8018164 52.1975742, 8.8018195 52.1976755, 8.8018075 52.1977363, 8.8016552 52.1980656, 8.8016086 52.1981684, 8.8014235 52.1985718, 8.8013808 52.1986623, 8.8013268 52.198766)",,
383253208,3,Weserstraße,secondary,50,False,True,74.76500000000001,,"LINESTRING (8.8018164 52.1975742, 8.8015915 52.1975652, 8.8014816 52.197563, 8.8014118 52.1975598, 8.8011496 52.1975333, 8.8008113 52.1974792, 8.80074 52.1974626)",L 772,
10220817,,Heinrichstraße,residential,30,False,True,113.264,,"LINESTRING (8.8037323 52.2058722, 8.8037426 52.2058177, 8.8039154 52.2048598)",,
35032445,,Königstraße,residential,50,False,True,215.014,,"LINESTRING (8.8037323 52.2058722, 8.8036445 52.2058662, 8.802887 52.2058062, 8.802353 52.2057646, 8.8020108 52.2057372, 8.8018499 52.2057172, 8.8016641 52.2056769, 8.8010305 52.2055145, 8.8008277 52.2054713, 8.8006753 52.2054482)",,
10220817,,Heinrichstraße,residential,30,False,True,65.199,,"LINESTRING (8.8039154 52.2048598, 8.8039567 52.204274)",,
10224405,,Dr.-Neuhäußer-Straße,residential,30,False,False,58.448,,"LINESTRING (8.8039154 52.2048598, 8.8047679 52.2049176)",,
10224405,,Dr.-Neuhäußer-Straße,residential,30,False,True,192.445,,"LINESTRING (8.8039154 52.2048598, 8.8011746 52.2044427)",,
10220817,,Heinrichstraße,residential,30,False,False,113.264,,"LINESTRING (8.8039154 52.2048598, 8.8037426 52.2058177, 8.8037323 52.2058722)",,
10220817,,Heinrichstraße,residential,30,False,False,65.199,,"LINESTRING (8.8039567 52.204274, 8.8039154 52.2048598)",,
571993422,,Portastraße,residential,30,False,True,53.714,,"LINESTRING (8.8039567 52.204274, 8.8035943 52.2042287, 8.8031896 52.2041637)",,
34724958,,Kaiserstraße,residential,30,False,False,74.97,,"LINESTRING (8.8014494 52.2038621, 8.8018008 52.2032232)",,
