osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,access,tunnel,junction
458123179,2,Neue Straße,tertiary,50,False,True,5.463,"LINESTRING (9.9966816 48.3976122, 9.9967556 48.3976124)",,,,,
4627984,,Grüner Hof,living_street,,False,False,148.973,"LINESTRING (9.9966816 48.3976122, 9.9966649 48.3975186, 9.9967043 48.397411, 9.9967342 48.3973797, 9.9967551 48.3973539, 9.9968711 48.3971781, 9.9969365 48.397079, 9.9970294 48.3969463, 9.9971018 48.3968294, 9.9968597 48.3967658, 9.9966644 48.3967145, 9.9965607 48.3966873, 9.9964898 48.3966686, 9.9964078 48.3966471)",,,,,
397626756,2,Neue Straße,tertiary,50,False,False,62.423,"LINESTRING (9.9966816 48.3976122, 9.9960317 48.3975927, 9.9959883 48.3975914, 9.9958368 48.3975904)",,,,,
68034411,2,Brückenstraße,secondary,50,True,False,69.524,"LINESTRING (10.0038901 48.398385, 10.0040066 48.3981922, 10.004125 48.3980321, 10.0041594 48.3979467, 10.0041683 48.3979144, 10.0041776 48.3978341, 10.0041812 48.3977968)",,,,,
"[220173784, 220173786, 80196876]",,Uferstraße,residential,,False,False,79.053,"LINESTRING (10.0038901 48.398385, 10.0039809 48.3984233, 10.0041328 48.398482, 10.0044398 48.3986006, 10.0045836 48.3986746, 10.0048035 48.398754)",,,,,
242930243,3,Neue Straße,tertiary,50,False,False,30.962,"LINESTRING (9.9954404 48.3974995, 9.9958368 48.3975904)",,,,,
241955496,4,Donaustraße,tertiary,50,False,False,52.839,"LINESTRING (9.9954404 48.3974995, 9.9954586 48.3974348, 9.995469 48.3973985, 9.9954913 48.3973208, 9.9955421 48.3971943, 9.9956052 48.3970374)",,,,,
97166541,3,Frauenstraße,tertiary,30,False,False,64.059,"LINESTRING (9.9960502 48.3982007, 9.9961379 48.3983371, 9.9962594 48.3985027, 9.996397 48.3987285)",,,,,
172207939,,Schuhhausgasse,residential,30,False,False,52.184,"LINESTRING (9.9960502 48.3982007, 9.9959115 48.3982215, 9.9958863 48.3982252, 9.9958591 48.3982292, 9.9953576 48.3982942)",6,,,,
"[4624403, 241955501]","['4', '3']",Frauenstraße,tertiary,30,False,True,69.84100000000001,"LINESTRING (9.9960502 48.3982007, 9.9958781 48.3977879, 9.9958462 48.3976797, 9.9958368 48.3975904)",,,,,
242930243,3,Neue Straße,tertiary,50,False,True,30.962,"LINESTRING (9.9958368 48.3975904, 9.9954404 48.3974995)",,,,,
"[4624403, 241955501]","['4', '3']",Frauenstraße,tertiary,30,False,False,69.84100000000001,"LINESTRING (9.9958368 48.3975904, 9.9958462 48.3976797, 9.9958781 48.3977879, 9.9960502 48.3982007)",,,,,
397626756,2,Neue Straße,tertiary,50,False,True,62.423,"LINESTRING (9.9958368 48.3975904, 9.9959883 48.3975914, 9.9960317 48.3975927, 9.9966816 48.3976122)",,,,,
4627977,,Bei den Alten Röhren,living_street,,False,False,24.477,"LINESTRING (9.9939363 48.3965518, 9.993878 48.3963351)",,,,,
