osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge,access,width
27509028,1,B 277,primary,50,roundabout,True,False,18.866,"LINESTRING (8.3813829 50.6021756, 8.3813295 50.6021771, 8.3812773 50.6021694, 8.3812303 50.6021531, 8.3811921 50.6021293, 8.3811654 50.6021001)",,,,
157630498,2,L 3052,secondary,50,,False,False,220.724,"LINESTRING (8.3813829 50.6021756, 8.3814086 50.6022652, 8.3815055 50.6025492, 8.381526 50.6026094, 8.3816299 50.6028899, 8.3817279 50.6031379, 8.3818809 50.6035248, 8.3820208 50.6038737, 8.382112 50.6041056)",Kölschhäuser Straße,,,
27509028,1,B 277,primary,50,roundabout,True,False,22.421,"LINESTRING (8.3811654 50.6021001, 8.381152 50.6020673, 8.381153 50.6020335, 8.3811682 50.602001, 8.3811966 50.6019724, 8.381247 50.6019485, 8.3812842 50.6019369)",,,,
692609283,2,B 277,primary,50,,False,True,48.586999999999996,"LINESTRING (8.3811654 50.6021001, 8.3810522 50.6021448, 8.3805926 50.6023424)",Herborner Straße,,,
1103210179,2,L 3052,secondary,50,,False,False,39.387,"LINESTRING (8.3818983 50.5964916, 8.3820388 50.5968344)",Bahnhofstraße,,,
27351679,2,L 3052,secondary,50,,False,False,5.637,"LINESTRING (8.3825098 50.5981881, 8.3825239 50.598238)",Bahnhofstraße,,,
"[1210623291, 26573228, 26573229, 1103210179]",2,L 3052,secondary,50,,False,True,154.203,"LINESTRING (8.3825098 50.5981881, 8.3824187 50.5978843, 8.3823651 50.5977136, 8.382292 50.597484, 8.3822563 50.5974018, 8.3820563 50.5968779, 8.3820388 50.5968344)",Bahnhofstraße,yes,,
"[31020227, 122998634, 219442507, 219442506, 326566190, 1120251441]",,,residential,30,,False,True,354.455,"LINESTRING (8.3825098 50.5981881, 8.3819955 50.5982509, 8.3814564 50.5983066, 8.3814209 50.598309, 8.3812849 50.5983236, 8.3812085 50.5983253, 8.3810671 50.5983155, 8.3808941 50.5983171, 8.380752 50.5983403, 8.3806187 50.5983727, 8.380504 50.5984193, 8.3804404 50.5984626, 8.3803851 50.5985129, 8.3803478 50.5985635, 8.3803342 50.5986136, 8.3803387 50.5986602, 8.3805253 50.599284, 8.380565 50.5994133, 8.3807008 50.5998879, 8.3808248 50.6001356, 8.3808443 50.6001746, 8.3808614 50.6002013, 8.3808774 50.6002262)","['Austraße', 'Marktstraße']",yes,,
27351679,2,L 3052,secondary,50,,False,True,50.151,"LINESTRING (8.3838031 50.6005205, 8.383747 50.6004903, 8.3836973 50.600464, 8.3834074 50.6001508)",Bahnhofstraße,,,
27509060,1,,primary,50,roundabout,True,False,22.859999999999996,"LINESTRING (8.3838031 50.6005205, 8.3838366 50.600497, 8.3838804 50.600482, 8.3839295 50.6004771, 8.3839785 50.6004828, 8.3840216 50.6004986, 8.3840541 50.6005226, 8.3840632 50.6005374)",,,,
