osmid,lanes,ref,name,highway,maxspeed,access,oneway,reversed,length,geometry,bridge,junction
"[488698417, 610022163, 4881125]",2,B 241,Wolfhagen,primary,50,yes,False,False,162.618,"LINESTRING (9.6350043 51.6608881, 9.6351873 51.6608509, 9.6352518 51.6608441, 9.6353146 51.6608375, 9.635455 51.6608291, 9.6356516 51.6608173, 9.6357544 51.6608103, 9.6359652 51.6608036, 9.6365586 51.6607958, 9.6373424 51.660738)",,
"[488698418, 42810551]",2,,Kurze Straße,residential,30,,False,False,60.735,"LINESTRING (9.6350043 51.6608881, 9.6349941 51.6607764, 9.6349904 51.660736, 9.6349884 51.6607145, 9.6349486 51.660343)",,
238035474,3,B 241,Isertor,primary,50,yes,False,True,37.870000000000005,"LINESTRING (9.6350043 51.6608881, 9.6348359 51.6609711, 9.6347878 51.660994, 9.6345745 51.6611)",,
"[506723320, 610308260]",2,L 548,Eschershäuser Straße,secondary,50,,False,True,31.491,"LINESTRING (9.6350043 51.6608881, 9.6350329 51.6610087, 9.6350491 51.6610769, 9.6350707 51.6611683)",,
42812162,2,,Alleestraße,secondary,50,,False,True,6.083,"LINESTRING (9.632168 51.6562797, 9.6322382 51.6563128)",,
"[610025896, 42812163, 238280599, 818502703]",2,K 449,Alleestraße,tertiary,50,,False,True,181.06700000000004,"LINESTRING (9.632168 51.6562797, 9.631935 51.6561697, 9.6318726 51.6561403, 9.6318297 51.6561201, 9.6316244 51.6560232, 9.6309021 51.6556858, 9.6306755 51.6555799, 9.6305191 51.6555034, 9.6304652 51.655478, 9.6303798 51.6554378, 9.6300808 51.6552924)",,
"[1039083170, 610582321, 610582322]",2,K 449,Wiesenstraße,secondary,50,,False,True,397.054,"LINESTRING (9.632168 51.6562797, 9.6321298 51.6563124, 9.6320972 51.6563403, 9.6317696 51.6566348, 9.6314821 51.6569043, 9.6313606 51.6570414, 9.6312445 51.6572077, 9.6311637 51.6573234, 9.6311194 51.6573869, 9.6309468 51.6576575, 9.6309265 51.6576889, 9.6308383 51.6578256, 9.6306597 51.658114, 9.6303881 51.6585678, 9.6300721 51.6591167, 9.6299844 51.6592782, 9.6299551 51.6593276, 9.6299243 51.6593618, 9.6298504 51.6594273, 9.6297736 51.6595058)",,
"[110243242, 110243243, 610025899]",,K 449,Wienser Straße,tertiary,50,,False,True,103.39500000000001,"LINESTRING (9.6300808 51.6552924, 9.6294971 51.6550049, 9.6293074 51.6549032, 9.6291348 51.6547928, 9.6289692 51.6546726)",yes,
"[610025896, 42812163, 818502703, 238280599]",2,K 449,Alleestraße,tertiary,50,,False,False,181.06700000000004,"LINESTRING (9.6300808 51.6552924, 9.6303798 51.6554378, 9.6304652 51.655478, 9.6305191 51.6555034, 9.6306755 51.6555799, 9.6309021 51.6556858, 9.6316244 51.6560232, 9.6318297 51.6561201, 9.6318726 51.6561403, 9.631935 51.6561697, 9.632168 51.6562797)",,
457613068,3,B 241,Bahnhofstraße,primary,50,yes,False,False,10.671,"LINESTRING (9.6419169 51.6567445, 9.642009 51.6566674)",,
471376626,1,,Bella Clava,secondary,50,,True,False,36.929,"LINESTRING (9.6419169 51.6567445, 9.6417871 51.6566885, 9.6416744 51.656667, 9.6415506 51.6566692, 9.6414177 51.6566855)",,
