osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,bridge,width
"[24292642, 73491943]",Sommerbergstraße,residential,False,False,93.535,30,"LINESTRING (9.6233169 48.5621982, 9.6234101 48.5622607, 9.6235082 48.5623034, 9.6236504 48.5623224, 9.6238919 48.5623015, 9.6240803 48.5623073, 9.624245 48.5623279, 9.6244979 48.5624012)",,,,
27208301,Kirchheimer Straße,secondary,False,False,72.962,50,"LINESTRING (9.6233169 48.5621982, 9.6233772 48.5621614, 9.6234273 48.5621056, 9.6234593 48.5620535, 9.6235852 48.5618057, 9.6236688 48.5616718, 9.623714 48.5616312, 9.6237458 48.5616197)",2,L 1200,,
27208301,Kirchheimer Straße,secondary,False,True,72.962,50,"LINESTRING (9.6237458 48.5616197, 9.623714 48.5616312, 9.6236688 48.5616718, 9.6235852 48.5618057, 9.6234593 48.5620535, 9.6234273 48.5621056, 9.6233772 48.5621614, 9.6233169 48.5621982)",2,L 1200,,
"[163618552, 38742418, 163618555]",Hauptstraße,secondary,False,True,19.326999999999998,,"LINESTRING (9.6237458 48.5616197, 9.6238605 48.5615947, 9.6239818 48.561607, 9.6240006 48.5616094)",2,L 1200,yes,
"[966969247, 941040095]",Seestraße,residential,False,False,50.946,30,"LINESTRING (9.6237458 48.5616197, 9.6237508 48.5614611, 9.6237251 48.5613496, 9.6236975 48.5612604, 9.6236831 48.5612122, 9.6236588 48.5611685)",,,yes,
35900945,Waisengasse,residential,False,True,35.084,,"LINESTRING (9.6242666 48.5616425, 9.6243577 48.5613328)",,,,
38742418,Hauptstraße,secondary,False,False,19.918,,"LINESTRING (9.6242666 48.5616425, 9.6240006 48.5616094)",,L 1200,,
38742418,Hauptstraße,secondary,False,True,26.514,,"LINESTRING (9.6242666 48.5616425, 9.624464 48.561688, 9.6246008 48.5617307)",,L 1200,,
4443638,Westerheimer Straße,secondary,False,False,40.888999999999996,50,"LINESTRING (9.6252794 48.5620516, 9.62527 48.5619892, 9.6252874 48.5619177, 9.6253118 48.5618558, 9.6253248 48.5616874)",,L 1236,,
"[38742418, 1013266078]",Hauptstraße,secondary,False,False,63.778999999999996,,"LINESTRING (9.6252794 48.5620516, 9.6251757 48.5620527, 9.6250668 48.5620231, 9.6249398 48.5619309, 9.624844 48.5618618, 9.624782 48.5618171, 9.6246008 48.5617307)",,L 1200,,
"[831775081, 1096150878, 1013266127]",Hauptstraße,secondary,False,True,69.788,30,"LINESTRING (9.6252794 48.5620516, 9.6253477 48.5621005, 9.6254029 48.5621257, 9.6254843 48.5621628, 9.6257213 48.5622437, 9.6257696 48.562261, 9.6260863 48.5623746)",,L 1200,,
171663252,Hauptstraße,secondary,False,False,11.685,50,"LINESTRING (9.6271883 48.562955, 9.6270725 48.5628831)",,L 1200,,
"[163506960, 26980488, 163506967]",Leonhardsweg,residential,False,True,99.336,,"LINESTRING (9.6271883 48.562955, 9.6267375 48.5632422, 9.626728 48.5633202, 9.6266818 48.56343, 9.6266257 48.5637146)",,,yes,
"[171663252, 1044492572]",Hauptstraße,secondary,False,True,76.44600000000001,50,"LINESTRING (9.6271883 48.562955, 9.6275165 48.5631546, 9.6278534 48.563329, 9.6279837 48.5633964)",,L 1200,,
73491943,Sommerbergstraße,residential,False,False,215.123,30,"LINESTRING (9.6244979 48.5624012, 9.6247894 48.5625201, 9.6250304 48.5626474, 9.6253308 48.562824, 9.6255346 48.5629598, 9.6257072 48.5631148, 9.6262002 48.5634249, 9.6266257 48.5637146)",,,,
"[24292642, 73491943]",Sommerbergstraße,residential,False,True,93.535,30,"LINESTRING (9.6244979 48.5624012, 9.624245 48.5623279, 9.6240803 48.5623073, 9.6238919 48.5623015, 9.6236504 48.5623224, 9.6235082 48.5623034, 9.6234101 48.5622607, 9.6233169 48.5621982)",,,,
