osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,bridge,width,access
35903023,4,B 7,Friedrich-Engels-Allee,primary,50,False,False,71.512,"LINESTRING (7.1740874 51.2619718, 7.1742243 51.262017, 7.1750004 51.2622671)",,,,
"[477905025, 35903026]",4,B 7,Friedrich-Engels-Allee,primary,50,False,True,96.064,"LINESTRING (7.1740874 51.2619718, 7.1740356 51.2619556, 7.1739682 51.2619331, 7.1728559 51.2615813)",,,,
6076573,4,L 433,,secondary,50,False,True,17.302,"LINESTRING (7.1827462 51.264862, 7.182893 51.2647364)",,,,
35067223,2,B 7,Friedrich-Engels-Allee,primary,50,True,False,98.543,"LINESTRING (7.1827462 51.264862, 7.1823732 51.2647448, 7.1822283 51.2646819, 7.1821806 51.2646592, 7.1817804 51.2644698, 7.1815724 51.2643713)",,,,
"[241177712, 210136546]",5,L 433,Loher Straße,secondary,30,False,True,97.66899999999998,"LINESTRING (7.1827462 51.264862, 7.1826482 51.2649932, 7.1824566 51.2652343, 7.1824127 51.2652641, 7.1823254 51.2653488, 7.1821852 51.265534, 7.182164 51.2655621, 7.1821131 51.265643)",,,,
5980289,,,Druckerstraße,residential,,True,False,102.60900000000001,"LINESTRING (7.1764881 51.2617006, 7.1758841 51.262415, 7.1757983 51.2625162)",,,,
892921897,2,,Wittensteinstraße,tertiary,50,True,False,182.592,"LINESTRING (7.1764881 51.2617006, 7.1776533 51.2620717, 7.1786247 51.2623801, 7.1788268 51.2624454)",,,,
139633733,1,,Wartburgstraße,tertiary,50,True,False,72.382,"LINESTRING (7.1821131 51.265643, 7.1819461 51.2655898, 7.1818862 51.2655708, 7.1813333 51.2653958, 7.181185 51.2653489)",,,,
"[241177712, 210136546]",5,L 433,Loher Straße,secondary,30,False,False,97.669,"LINESTRING (7.1821131 51.265643, 7.182164 51.2655621, 7.1821852 51.265534, 7.1823254 51.2653488, 7.1824127 51.2652641, 7.1824566 51.2652343, 7.1826482 51.2649932, 7.1827462 51.264862)",,,,
477901176,2,L 433,Loher Straße,secondary,30,True,False,59.947,"LINESTRING (7.1821131 51.265643, 7.182088 51.265749, 7.181852 51.2660587, 7.181752 51.2661218)",,,,
35903024,4,B 7,Friedrich-Engels-Allee,primary,50,False,False,23.077,"LINESTRING (7.1778878 51.2631786, 7.178181 51.2632756)",,,,
5980193,,,Warndtstraße,residential,,False,False,125.596,"LINESTRING (7.1778878 51.2631786, 7.177713 51.2633949, 7.1774604 51.2637108, 7.1770765 51.2641876)",,,,
"[332394076, 35903021, 332394070]","['4', '5']",B 7,Friedrich-Engels-Allee,primary,50,False,True,163.27800000000002,"LINESTRING (7.1778878 51.2631786, 7.1774655 51.2630505, 7.1772789 51.2629915, 7.1769084 51.2628458, 7.1767884 51.2628012, 7.1762123 51.2626178, 7.1757983 51.2625162)",,,,
35903022,4,B 7,Friedrich-Engels-Allee,primary,50,False,True,62.045,"LINESTRING (7.1757983 51.2625162, 7.1750004 51.2622671)",,,,
"[332394076, 35903021, 332394070]","['4', '5']",B 7,Friedrich-Engels-Allee,primary,50,False,False,163.278,"LINESTRING (7.1757983 51.2625162, 7.1762123 51.2626178, 7.1767884 51.2628012, 7.1769084 51.2628458, 7.1772789 51.2629915, 7.1774655 51.2630505, 7.1778878 51.2631786)",,,,
5980179,,,Wittensteinstraße,tertiary,,True,False,64.106,"LINESTRING (7.1756642 51.2614426, 7.1764881 51.2617006)",,,,
"[24310873, 24310874, 5980699]",2,K 21,Unionstraße,tertiary,50,False,False,254.01800000000003,"LINESTRING (7.1756642 51.2614426, 7.1757104 51.2613882, 7.175811 51.2612749, 7.1760525 51.2609993, 7.1762772 51.2607474, 7.1763654 51.2606489, 7.176387 51.2605961, 7.1763772 51.2605505, 7.1763543 51.2605225, 7.1763053 51.2604841, 7.1758439 51.2602643, 7.1752917 51.2599974, 7.1749996 51.2598583, 7.1748883 51.2598038, 7.17479 51.2597546)",yes,,,
5980193,,,Warndtstraße,residential,,False,True,125.596,"LINESTRING (7.1770765 51.2641876, 7.1774604 51.2637108, 7.177713 51.2633949, 7.1778878 51.2631786)",,,,
24387435,,,Hünefeldstraße,tertiary,,True,False,61.114,"LINESTRING (7.1731661 51.2631506, 7.1723629 51.2629282)",,,,
"[25092160, 5980586, 25092159]",2,,Völklinger Straße,residential,50,True,False,145.928,"LINESTRING (7.1731661 51.2631506, 7.1731959 51.2631186, 7.1735067 51.2627168, 7.1735487 51.2626626, 7.173641 51.2625433, 7.1737669 51.2623808, 7.1738378 51.2622923, 7.1740132 51.2620626, 7.1740874 51.2619718)",,yes,,
27246847,,,Völklinger Straße,residential,30,False,False,42.949999999999996,"LINESTRING (7.1731661 51.2631506, 7.1731371 51.2631865, 7.172878 51.2634922)",,,,
1206335778,,,Hünefeldstraße,tertiary,,True,False,18.824,"LINESTRING (7.176562 51.2648981, 7.1763534 51.2647903)",,,,
"[1206335779, 542582115, 139633318, 5980584, 25092118]",,,"['Farbmühle', 'Hünefeldstraße']",tertiary,"['50', '30']",True,False,70.25,"LINESTRING (7.1785126 51.2653615, 7.1784491 51.265373, 7.1779837 51.2654036, 7.1779598 51.265405, 7.1777066 51.2654224, 7.1776381 51.2654187, 7.1775196 51.2653882)",,yes,,
"[38482954, 1192950407]",,,Am Brögel,residential,30,False,True,120.336,"LINESTRING (7.1785126 51.2653615, 7.1786848 51.2655409, 7.1799268 51.2659385)",,,,
25092112,,,Farbmühle,tertiary,50,True,False,86.286,"LINESTRING (7.1790828 51.2646724, 7.1785126 51.2653615)",,,,
6076573,4,L 433,,secondary,50,False,False,17.302,"LINESTRING (7.182893 51.2647364, 7.1827462 51.264862)",,,,
"[477241090, 36717782]",2,B 7,Friedrich-Engels-Allee,primary,50,True,False,122.531,"LINESTRING (7.182893 51.2647364, 7.1834897 51.2649294, 7.1842696 51.2651786, 7.1844595 51.2652399)",,,,
38872354,,,Oskarstraße,residential,50,True,False,98.122,"LINESTRING (7.182893 51.2647364, 7.1829253 51.2646958, 7.1834788 51.2639994, 7.1835207 51.2639462)",,,,
5980370,2,,Wittensteinstraße,tertiary,50,True,False,135.2,"LINESTRING (7.1805206 51.2629845, 7.1822524 51.2635359)",,,,
"[477908240, 10087590, 321597214]",,,Fingscheid,residential,,False,False,70.047,"LINESTRING (7.1805206 51.2629845, 7.1805552 51.262942, 7.1807596 51.2626836, 7.1808629 51.2625593, 7.1809319 51.2624733, 7.1809718 51.2624214)",,yes,,
10087629,,,Schloßstraße,tertiary,,True,False,113.72500000000001,"LINESTRING (7.1819054 51.26129, 7.1821064 51.2615113, 7.1825889 51.2620156, 7.1827501 51.2621652)",,,6,
32636740,2,,Schloßstraße,tertiary,50,False,False,109.42399999999999,"LINESTRING (7.1819054 51.26129, 7.1818151 51.261199, 7.1816854 51.2610803, 7.181615 51.2610474, 7.1815335 51.2610206, 7.1814185 51.2610047, 7.1812943 51.2610007, 7.1805492 51.2610517)",,,,
23404911,,,Winterstraße,residential,30,False,False,101.229,"LINESTRING (7.1832499 51.2632274, 7.1839404 51.2624261)",,,,
24551675,,,Siegesstraße,residential,,True,False,182.094,"LINESTRING (7.1832499 51.2632274, 7.1810967 51.2624655, 7.1809718 51.2624214)",,,,
32636737,2,,Fingscheid,residential,50,False,True,71.82499999999999,"LINESTRING (7.1809718 51.2624214, 7.1810322 51.2623442, 7.1813119 51.2620062, 7.1814275 51.2618666, 7.1814426 51.2618466)",,,,
181081243,,,Siegesstraße,residential,50,False,False,146.868,"LINESTRING (7.1809718 51.2624214, 7.1808689 51.2623806, 7.1807737 51.2623411, 7.179354 51.2617687, 7.1792142 51.2616921)",,,,
"[477908240, 10087590, 321597214]",,,Fingscheid,residential,,False,True,70.047,"LINESTRING (7.1809718 51.2624214, 7.1809319 51.2624733, 7.1808629 51.2625593, 7.1807596 51.2626836, 7.1805552 51.262942, 7.1805206 51.2629845)",,yes,,
56995648,,,Siegesstraße,residential,,False,True,290.94100000000003,"LINESTRING (7.1759805 51.2600361, 7.1785134 51.261361, 7.1788751 51.2615542, 7.1792142 51.2616921)",,,,
105176791,2,,Fuchsstraße,residential,50,False,True,96.49600000000001,"LINESTRING (7.1759805 51.2600361, 7.1761973 51.2599186, 7.1768209 51.2597148, 7.1771277 51.2595577)",,,,
181081259,,,Siegesstraße,residential,,True,False,85.15499999999999,"LINESTRING (7.1759805 51.2600361, 7.1758428 51.2599906, 7.1750318 51.2597148, 7.1749001 51.2596768)",,,,
105176791,2,,Fuchsstraße,residential,50,False,False,96.49600000000001,"LINESTRING (7.1771277 51.2595577, 7.1768209 51.2597148, 7.1761973 51.2599186, 7.1759805 51.2600361)",,,,
1236711190,2,,Schloßstraße,tertiary,50,False,True,70.63,"LINESTRING (7.1771277 51.2595577, 7.1773459 51.2596613, 7.1779183 51.2599559)",,,,
25171068,,,Eichenstraße,residential,30,False,False,30.601,"LINESTRING (7.1801204 51.2682744, 7.1804383 51.2684646)",,,,
39884689,,,Buchenstraße,residential,30,False,False,5.526,"LINESTRING (7.1801204 51.2682744, 7.1801117 51.268225)",,,,
5980263,2,L 433,Rudolfstraße,secondary,50,False,False,10.232,"LINESTRING (7.17993 51.2681136, 7.1800372 51.2680506)",,,,
5980585,,,Gronaustraße,residential,30,False,False,179.45000000000002,"LINESTRING (7.17993 51.2681136, 7.1798953 51.2680927, 7.1796849 51.2679721, 7.1780508 51.2670082)",,,,
"[24310873, 24310874, 5980699]",2,K 21,Unionstraße,tertiary,50,False,True,254.01800000000003,"LINESTRING (7.17479 51.2597546, 7.1748883 51.2598038, 7.1749996 51.2598583, 7.1752917 51.2599974, 7.1758439 51.2602643, 7.1763053 51.2604841, 7.1763543 51.2605225, 7.1763772 51.2605505, 7.176387 51.2605961, 7.1763654 51.2606489, 7.1762772 51.2607474, 7.1760525 51.2609993, 7.175811 51.2612749, 7.1757104 51.2613882, 7.1756642 51.2614426)",yes,,,
1236711190,2,,Schloßstraße,tertiary,50,False,False,70.63,"LINESTRING (7.1779183 51.2599559, 7.1773459 51.2596613, 7.1771277 51.2595577)",,,,
1236711193,2,,Schloßstraße,tertiary,50,False,True,225.33,"LINESTRING (7.1779183 51.2599559, 7.1790379 51.2606175, 7.1801683 51.2610274, 7.1802762 51.2610569, 7.1803594 51.2610622, 7.1805492 51.2610517)",,,,
32636740,2,,Schloßstraße,tertiary,50,False,True,109.424,"LINESTRING (7.1805492 51.2610517, 7.1812943 51.2610007, 7.1814185 51.2610047, 7.1815335 51.2610206, 7.181615 51.2610474, 7.1816854 51.2610803, 7.1818151 51.261199, 7.1819054 51.26129)",,,,
1236711193,2,,Schloßstraße,tertiary,50,False,False,225.32999999999998,"LINESTRING (7.1805492 51.2610517, 7.1803594 51.2610622, 7.1802762 51.2610569, 7.1801683 51.2610274, 7.1790379 51.2606175, 7.1779183 51.2599559)",,,,
56995634,,,Wernerstraße,tertiary_link,50,True,False,11.565,"LINESTRING (7.1749001 51.2596768, 7.1748508 51.2597148, 7.17479 51.2597546)",,,,
56995648,,,Siegesstraße,residential,,False,False,290.94100000000003,"LINESTRING (7.1792142 51.2616921, 7.1788751 51.2615542, 7.1785134 51.261361, 7.1759805 51.2600361)",,,,
181081243,,,Siegesstraße,residential,50,False,True,146.868,"LINESTRING (7.1792142 51.2616921, 7.179354 51.2617687, 7.1807737 51.2623411, 7.1808689 51.2623806, 7.1809718 51.2624214)",,,,
