osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,est_width,bridge
51798198,Am Wallgraben,residential,False,True,91.321,"LINESTRING (8.1863501 50.63551, 8.1862944 50.635518, 8.1859065 50.6355695, 8.1858095 50.6355735, 8.1856903 50.6355695, 8.1850924 50.6354543)",,,,,
173023659,Schloßstraße,secondary,False,True,40.129000000000005,"LINESTRING (8.1863501 50.63551, 8.1862143 50.6353531, 8.1861171 50.6352447, 8.1860591 50.6352009)",2,L 3044,50,,
184590009,Schloßstraße,secondary,False,False,34.636,"LINESTRING (8.1863501 50.63551, 8.1863878 50.6355486, 8.1865412 50.635706, 8.1865669 50.6357413, 8.1865848 50.6357819)",2,L 3044,50,,
173023655,Haigerer Straße,secondary,False,False,80.604,"LINESTRING (8.1865848 50.6357819, 8.1865825 50.635831, 8.1865728 50.6358651, 8.1865526 50.6359011, 8.1865318 50.6359336, 8.1861274 50.6364402)",2,L 3044,50,,
184590009,Schloßstraße,secondary,False,True,34.636,"LINESTRING (8.1865848 50.6357819, 8.1865669 50.6357413, 8.1865412 50.635706, 8.1863878 50.6355486, 8.1863501 50.63551)",2,L 3044,50,,
"[865651486, 577860519]",Herborner Straße,secondary,False,False,255.915,"LINESTRING (8.1865848 50.6357819, 8.1866331 50.6357751, 8.1866986 50.6357743, 8.1867461 50.6357794, 8.1868316 50.6357918, 8.1879512 50.6359877, 8.1888211 50.6361589, 8.1900587 50.6364227)",2,L 3461,50,,
665915895,Haigerer Straße,secondary,False,True,49.561,"LINESTRING (8.1856065 50.6370976, 8.1859162 50.6366975)",,L 3044,50,,
61007912,Weilburger Straße,secondary,False,True,36.288,"LINESTRING (8.1851194 50.6347396, 8.1851204 50.6347087, 8.18513 50.6346738, 8.1851731 50.6346268, 8.1853666 50.6344618)",2,L 3044,50,,
122926730,Stadionstraße,residential,False,True,61.618,"LINESTRING (8.1851194 50.6347396, 8.1850424 50.6348215, 8.1846534 50.6352083)",2,,50,,
173023659,Schloßstraße,secondary,False,False,84.71700000000001,"LINESTRING (8.1851194 50.6347396, 8.1851502 50.6347833, 8.1851992 50.6348193, 8.185978 50.6351526, 8.1860591 50.6352009)",2,L 3044,50,,
"[865649000, 131302939]",Schloßstraße,tertiary,False,True,138.933,"LINESTRING (8.1851194 50.6347396, 8.1850667 50.6347362, 8.1850058 50.634727, 8.1849337 50.634708, 8.1848554 50.634679, 8.1846015 50.6345456, 8.1844254 50.6344339, 8.1842087 50.6342673, 8.1840186 50.6340851, 8.1838289 50.6338461)",2,K 77,50,,
51798201,Weiherstraße,residential,False,False,64.997,"LINESTRING (8.1792617 50.6317789, 8.1792924 50.6317582, 8.1798912 50.631352)",,,,,
810673805,Schloßstraße,tertiary,False,False,88.111,"LINESTRING (8.1792617 50.6317789, 8.1798131 50.632086, 8.1802394 50.6322698)",,K 77,50,,
"[772414144, 810673805, 773604695]",Schloßstraße,tertiary,False,True,157.45100000000002,"LINESTRING (8.1792617 50.6317789, 8.1790907 50.6316878, 8.1788845 50.631562, 8.1781166 50.6311215, 8.1775986 50.6308347)",,K 77,"['50', '100']",,
61007912,Weilburger Straße,secondary,False,False,59.981,"LINESTRING (8.1858346 50.6340114, 8.1853666 50.6344618)",2,L 3044,50,,
61163516,Weilburger Straße,secondary,False,True,41.384,"LINESTRING (8.1858346 50.6340114, 8.1861523 50.6336985)",,L 3044,50,,
61007909,Wilhelmstraße,residential,False,False,84.53800000000001,"LINESTRING (8.1858346 50.6340114, 8.1858856 50.6340304, 8.1868484 50.634417)",,,50,,
131302938,Wilhelmstraße,living_street,False,True,185.024,"LINESTRING (8.1858346 50.6340114, 8.1856397 50.6339333, 8.1849457 50.6336574, 8.1836252 50.6331143)",,,,,
635360230,Weilburger Straße,secondary,False,True,41.204,"LINESTRING (8.1885327 50.6313344, 8.1888334 50.6310167)",,L 3044,50,,
33288846,Heunwiese,residential,False,False,45.608999999999995,"LINESTRING (8.1885327 50.6313344, 8.1885332 50.6312648, 8.1883712 50.6309401)",,,,,
"[51798293, 135264351]",Königsberger Straße,residential,False,False,95.639,"LINESTRING (8.1885327 50.6313344, 8.1885674 50.6313664, 8.1888465 50.6315123, 8.189215 50.6316737, 8.1896143 50.6318486)",,,,,
61007911,Weilburger Straße,secondary,False,False,142.432,"LINESTRING (8.1885327 50.6313344, 8.1884318 50.6314585, 8.188387 50.6315016, 8.1880755 50.6318007, 8.1874401 50.6324108)",,L 3044,50,,
33288846,Heunwiese,residential,False,True,45.608999999999995,"LINESTRING (8.1883712 50.6309401, 8.1885332 50.6312648, 8.1885327 50.6313344)",,,,,
183173913,Heunwiese,residential,False,False,34.326,"LINESTRING (8.1883712 50.6309401, 8.1884183 50.6309308, 8.1887868 50.6310017, 8.1888334 50.6310167)",,,,,
183173916,Heunwiese,residential,False,False,240.221,"LINESTRING (8.1883712 50.6309401, 8.1882845 50.6307993, 8.1881157 50.6306705, 8.1877006 50.6304, 8.187377 50.6301461, 8.1870112 50.6299699, 8.1858777 50.6295234)",,,,,
34321858,Stadionstraße,residential,False,False,17.322,"LINESTRING (8.1840725 50.635945, 8.1839877 50.6360912)",,,,,
