osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction,tunnel,width,access
"[10692099, 142938334, 155556463]",3,L 16,Bonner Straße,secondary,50,False,False,189.814,yes,"LINESTRING (7.1999849 50.7887725, 7.2000339 50.7888227, 7.2001937 50.7889761, 7.2010629 50.7898995, 7.2013833 50.7902326)",,,,
"[10692099, 142938334, 155556463]",3,L 16,Bonner Straße,secondary,50,False,True,189.814,yes,"LINESTRING (7.2013833 50.7902326, 7.2010629 50.7898995, 7.2001937 50.7889761, 7.2000339 50.7888227, 7.1999849 50.7887725)",,,,
42558561,2,L 16,Bonner Straße,secondary,50,False,False,47.782,,"LINESTRING (7.2013833 50.7902326, 7.201502 50.7903055, 7.2015742 50.7903498, 7.2016878 50.7904056, 7.2019239 50.7904881)",,,,
769655193,,,Bonner Straße,residential,30,False,True,28.514999999999997,,"LINESTRING (7.2013833 50.7902326, 7.2013402 50.7903411, 7.2012877 50.7904063, 7.2012145 50.7904607)",,,,
37712382,1,L 16,,secondary,50,True,False,17.404,,"LINESTRING (7.2048859 50.7913047, 7.2049066 50.7912902, 7.2049312 50.7912783, 7.2049588 50.7912694, 7.2049884 50.7912638, 7.2050192 50.7912617, 7.2050501 50.7912631, 7.20508 50.7912681, 7.2051081 50.7912763)",roundabout,,,
769655194,2,L 16,Bonner Straße,secondary,50,False,True,74.972,,"LINESTRING (7.2048859 50.7913047, 7.2047846 50.7912512, 7.2045262 50.7911351, 7.2043387 50.791075, 7.2039576 50.7909841)",,,,
"[32001595, 32001596, 24507301]",2,,Konrad-Adenauer-Allee,secondary,"['50', '30']",False,False,462.3109999999999,,"LINESTRING (7.2049475 50.7914665, 7.2048948 50.7915201, 7.2047394 50.7916868, 7.2046109 50.7918226, 7.2045301 50.7919127, 7.2040103 50.7924913, 7.2038917 50.7925862, 7.2036678 50.7927353, 7.202332 50.7936567, 7.2021812 50.7937566, 7.2019452 50.7939194, 7.201345 50.7943449, 7.2011362 50.7945006, 7.2009091 50.7946162, 7.2008106 50.7946667)",,,,
37712382,1,L 16,,secondary,50,True,False,21.099,,"LINESTRING (7.2049475 50.7914665, 7.2049158 50.7914538, 7.2048892 50.7914371, 7.204869 50.7914171, 7.2048563 50.7913948, 7.2048516 50.7913713, 7.2048551 50.7913476, 7.2048667 50.7913251, 7.2048859 50.7913047)",roundabout,,,
5202888,,,Wilhelmstraße,residential,50,True,False,43.515,,"LINESTRING (7.2019619 50.7952952, 7.2020167 50.7953526, 7.202083 50.7955754, 7.2021041 50.7956462, 7.2021116 50.7956713)",,,,
9727058,2,,Wilhelmstraße,residential,50,False,False,70.815,,"LINESTRING (7.2019619 50.7952952, 7.2019997 50.7952727, 7.2020544 50.7952249, 7.2022983 50.7949936, 7.2025641 50.794786)",,,,
9727108,,,Mahrstraße,residential,50,False,True,28.470000000000002,,"LINESTRING (7.2019619 50.7952952, 7.2016693 50.7953165, 7.2015595 50.7953245)",,,,
9727108,,,Mahrstraße,residential,50,False,False,28.470000000000002,,"LINESTRING (7.2015595 50.7953245, 7.2016693 50.7953165, 7.2019619 50.7952952)",,,,
"[24505288, 107505203]",2,,Mahrstraße,secondary,50,False,True,57.150999999999996,,"LINESTRING (7.2015595 50.7953245, 7.2015562 50.7953507, 7.2015461 50.7953765, 7.2015218 50.7954139, 7.2014393 50.7954839, 7.2013837 50.7955231, 7.201306 50.7955778, 7.2012832 50.7955949, 7.201259 50.7956109, 7.2010794 50.7957275)",,,,
"[24505289, 24505290, 5202883]",2,,Mahrstraße,secondary,50,False,True,77.476,,"LINESTRING (7.2015595 50.7953245, 7.2015428 50.7952909, 7.2015139 50.795254, 7.2014156 50.7951848, 7.2008685 50.7948782, 7.2007957 50.794832)",,yes,,
"[26656677, 17545414, 24518315, 23569293, 1086173535]",,,"['Bahnhofstraße', 'Ringstraße']",residential,50,True,False,225.40799999999996,yes,"LINESTRING (7.2021586 50.7957219, 7.202206 50.7956953, 7.2022578 50.7956868, 7.2023132 50.7956893, 7.2023623 50.7957016, 7.202638 50.7957792, 7.2034322 50.7959697, 7.2038124 50.7960577, 7.2038386 50.7960632, 7.203918 50.7960839, 7.2045126 50.7962381, 7.204502 50.7962961, 7.2044166 50.7964991, 7.2043547 50.7966488)",,,,
628785092,,,Wilhelmstraße,residential,50,False,False,48.937,,"LINESTRING (7.2021586 50.7957219, 7.2021416 50.7957393, 7.2021429 50.795761, 7.2023198 50.7961429)",,,,
"[24518280, 24518281, 22697003, 1086173533, 1086173534]",,,Alleestraße,"['unclassified', 'residential']",30,False,False,115.03399999999999,yes,"LINESTRING (7.2042977 50.7967048, 7.2042063 50.7966904, 7.2034891 50.7967052, 7.2034117 50.796706, 7.2033848 50.7967055, 7.2032638 50.7967053, 7.2032309 50.7967054, 7.2030859 50.7967096, 7.2029002 50.7967149, 7.2028242 50.7967167, 7.2026655 50.7967058)",,,,
"[24518280, 24518281, 22697003, 1086173533, 1086173534]",,,Alleestraße,"['residential', 'unclassified']",30,False,True,115.03399999999999,yes,"LINESTRING (7.2026655 50.7967058, 7.2028242 50.7967167, 7.2029002 50.7967149, 7.2030859 50.7967096, 7.2032309 50.7967054, 7.2032638 50.7967053, 7.2033848 50.7967055, 7.2034117 50.796706, 7.2034891 50.7967052, 7.2042063 50.7966904, 7.2042977 50.7967048)",,,,
42560039,2,,Wilhelmstraße,secondary,50,False,False,37.004,,"LINESTRING (7.2026655 50.7967058, 7.2026038 50.7966197, 7.2025533 50.7965387, 7.2024657 50.796398)",,,,
69581937,2,,Wilhelmstraße,secondary,50,False,True,61.747,,"LINESTRING (7.2026655 50.7967058, 7.2027093 50.7968239, 7.2027181 50.7968511, 7.2027323 50.7968954, 7.2027489 50.796977, 7.202766 50.7970615, 7.2027721 50.7970944, 7.202805 50.7972535)",,,,
23568372,,,Pleiser Hecke,residential,30,False,False,16.047,,"LINESTRING (7.2051081 50.7912763, 7.2051639 50.791202, 7.2052269 50.7911544)",,,,
37712382,1,L 16,,secondary,50,True,False,19.565,,"LINESTRING (7.2051081 50.7912763, 7.2051362 50.7912893, 7.2051596 50.7913056, 7.2051772 50.7913245, 7.2051885 50.7913453, 7.2051928 50.7913672, 7.20519 50.7913891, 7.2051802 50.7914102, 7.2051639 50.7914296)",roundabout,,,
"[42558416, 24505291, 24505292]",2,L 16,Bonner Straße,secondary,50,False,True,104.31200000000001,,"LINESTRING (7.2051639 50.7914296, 7.2052771 50.7914891, 7.205389 50.7915326, 7.2061015 50.7918991, 7.2063252 50.7920126)",,,,
37712382,1,L 16,,secondary,50,True,False,17.168000000000003,,"LINESTRING (7.2051639 50.7914296, 7.2051447 50.7914446, 7.2051216 50.7914572, 7.2050953 50.791467, 7.2050666 50.7914737, 7.2050366 50.791477, 7.205006 50.7914769, 7.204976 50.7914734, 7.2049475 50.7914665)",roundabout,,,
35535463,1,,,secondary,50,True,False,30.247999999999998,,"LINESTRING (7.2005038 50.7948645, 7.2004491 50.7948352, 7.2004118 50.7947964, 7.2003957 50.7947522, 7.2004024 50.7947071, 7.2004312 50.7946656, 7.2004792 50.7946319)",roundabout,,,
"[32001595, 32001596, 24507301]",2,,Konrad-Adenauer-Allee,secondary,"['50', '30']",False,True,462.3109999999999,,"LINESTRING (7.2008106 50.7946667, 7.2009091 50.7946162, 7.2011362 50.7945006, 7.201345 50.7943449, 7.2019452 50.7939194, 7.2021812 50.7937566, 7.202332 50.7936567, 7.2036678 50.7927353, 7.2038917 50.7925862, 7.2040103 50.7924913, 7.2045301 50.7919127, 7.2046109 50.7918226, 7.2047394 50.7916868, 7.2048948 50.7915201, 7.2049475 50.7914665)",,,,
35535463,1,,,secondary,50,True,False,19.567,,"LINESTRING (7.2008106 50.7946667, 7.2008382 50.7947071, 7.2008451 50.7947509, 7.2008304 50.7947939, 7.2007957 50.794832)",roundabout,,,
"[24505289, 24505290, 5202883]",2,,Mahrstraße,secondary,50,False,False,77.476,,"LINESTRING (7.2007957 50.794832, 7.2008685 50.7948782, 7.2014156 50.7951848, 7.2015139 50.795254, 7.2015428 50.7952909, 7.2015595 50.7953245)",,yes,,
35535463,1,,,secondary,50,True,False,22.659,,"LINESTRING (7.2007957 50.794832, 7.2007485 50.7948597, 7.2006908 50.7948779, 7.2006273 50.794885, 7.2005632 50.7948804, 7.2005038 50.7948645)",roundabout,,,
69581937,2,,Wilhelmstraße,secondary,50,False,False,61.747,,"LINESTRING (7.202805 50.7972535, 7.2027721 50.7970944, 7.202766 50.7970615, 7.2027489 50.796977, 7.2027323 50.7968954, 7.2027181 50.7968511, 7.2027093 50.7968239, 7.2026655 50.7967058)",,,,
"[49749409, 24505603, 49749221, 951238604, 23569598, 950974303]",2,,Wilhelmstraße,residential,"['20', '50']",False,False,192.99499999999998,,"LINESTRING (7.2040964 50.7939766, 7.2045165 50.7937523, 7.2047725 50.7936138, 7.2050221 50.7934575, 7.2052352 50.7933323, 7.2054927 50.7932099, 7.2056168 50.7931524, 7.2058746 50.7930198, 7.2060366 50.7929251, 7.2061699 50.7928417)",,,,
22696999,3,L 16,Bonner Straße,secondary,50,False,False,31.051000000000002,,"LINESTRING (7.2070528 50.7923497, 7.2068812 50.7922986, 7.2066963 50.7921903)",,,,
24505581,3,,Kaiser-Wilhelm-Platz,residential,50,False,False,26.441,,"LINESTRING (7.2070528 50.7923497, 7.2071375 50.7923864, 7.2073629 50.7924843)",,,,
115541109,3,L 333,Frankfurter Straße,secondary,50,False,True,17.224,,"LINESTRING (7.2070528 50.7923497, 7.2070953 50.7922816, 7.2071427 50.7922056)",,,,
315391537,3,,Wilhelmstraße,residential,50,False,True,26.082,,"LINESTRING (7.2070528 50.7923497, 7.2069179 50.7924341, 7.2067778 50.7925068)",,,,
33455741,,,Mühlenstraße,residential,30,False,False,29.930999999999997,,"LINESTRING (7.2080943 50.7951864, 7.2078793 50.7953381, 7.2078116 50.7953877)",,,,
33455741,,,Mühlenstraße,residential,30,False,True,170.477,,"LINESTRING (7.2080943 50.7951864, 7.2082038 50.7951327, 7.2086535 50.7949283, 7.2088519 50.7947963, 7.2089543 50.7947131, 7.2090306 50.7946177, 7.2090542 50.7945839, 7.2090608 50.7945636, 7.2090636 50.7944818, 7.2090401 50.7943782, 7.2088181 50.7939698, 7.2088053 50.7939461)",,,,
142938384,,,Herrengartenstraße,residential,30,False,True,61.853,,"LINESTRING (7.2080943 50.7951864, 7.2080777 50.7951553, 7.2077942 50.7946635)",,,,
24405085,,,Zeughausstraße,residential,30,True,False,98.161,,"LINESTRING (7.2078116 50.7953877, 7.2076822 50.7954008, 7.2074437 50.795402, 7.2071997 50.7954063, 7.2070106 50.795407, 7.2068951 50.7954104, 7.2064171 50.7954197)",,,,
"[168579265, 168618946, 168618947, 168579268, 24933160, 43736089, 33455741]",,,"['Bergstraße', 'Mühlenstraße']",residential,"['30', '10']",False,False,646.9389999999997,,"LINESTRING (7.2078116 50.7953877, 7.2077966 50.7954637, 7.2077741 50.7955859, 7.2077966 50.7957733, 7.2079463 50.7961326, 7.2079841 50.7962892, 7.2080061 50.7964139, 7.2080234 50.7965507, 7.2080265 50.7967488, 7.2080327 50.7967767, 7.2080486 50.7968011, 7.2080815 50.7968147, 7.208119 50.7968226, 7.208164 50.7968241, 7.2085183 50.7968303, 7.2087006 50.7968359, 7.2089646 50.7968685, 7.2095048 50.7970563, 7.2095668 50.7970777, 7.210187 50.7973001, 7.2103364 50.7973406, 7.2104715 50.7973607, 7.2106362 50.7973801, 7.2107984 50.7973761, 7.210874 50.7973507, 7.2108828 50.7973513, 7.2109132 50.7973349, 7.2109973 50.7972811, 7.2110782 50.7971836, 7.2111199 50.7970945, 7.2111211 50.7969953, 7.2110766 50.7968703, 7.2110184 50.7968187, 7.2101802 50.7962968, 7.2101466 50.7962513, 7.210154 50.7961979, 7.2102019 50.7961575, 7.2102723 50.7961484, 7.210357 50.7961651, 7.2105912 50.7962418, 7.2109891 50.7963722, 7.2110697 50.7963966, 7.2111241 50.7964086, 7.2111776 50.7964052, 7.2112208 50.7963821, 7.2112468 50.7963529, 7.2113066 50.7962361, 7.2113463 50.796149)",,,,
33455741,,,Mühlenstraße,residential,30,False,True,29.930999999999997,,"LINESTRING (7.2078116 50.7953877, 7.2078793 50.7953381, 7.2080943 50.7951864)",,,,
100012435,,L 333,,secondary,50,True,False,22.817,,"LINESTRING (7.2129851 50.7899803, 7.2130103 50.7900181, 7.2130103 50.7900592, 7.212985 50.790097, 7.2129385 50.7901256, 7.2128781 50.7901406)",roundabout,,,
24517259,,,Elisabethstraße,residential,30,False,True,104.80699999999999,,"LINESTRING (7.2058634 50.7973042, 7.2054446 50.7970413, 7.2051849 50.7968876, 7.2047757 50.7966599)",,,,
25831469,,,Selcukstraße,residential,20,False,True,77.901,,"LINESTRING (7.2058634 50.7973042, 7.2059549 50.7973019, 7.2063614 50.796999, 7.2065199 50.7968601, 7.2065536 50.7968306, 7.2065893 50.7968002)",,,,
142938388,2,,Hohenzollernstraße,residential,30,False,False,164.05699999999996,,"LINESTRING (7.2039576 50.7909841, 7.2039025 50.791056, 7.2038729 50.7911026, 7.2036273 50.791284, 7.2031416 50.7916125, 7.2029704 50.7917177, 7.2028672 50.7917733, 7.2027409 50.7918403, 7.202679 50.7918744, 7.2026379 50.7918906, 7.2023435 50.7920316)",,,6.00,
769655194,2,L 16,Bonner Straße,secondary,50,False,False,74.972,,"LINESTRING (7.2039576 50.7909841, 7.2043387 50.791075, 7.2045262 50.7911351, 7.2047846 50.7912512, 7.2048859 50.7913047)",,,,
769655194,2,L 16,Bonner Straße,secondary,50,False,True,153.267,,"LINESTRING (7.2039576 50.7909841, 7.20337 50.7908449, 7.2027833 50.790712, 7.2024987 50.7906433, 7.2023029 50.7905904, 7.2019239 50.7904881)",,,,
142938388,2,,Hohenzollernstraße,residential,30,False,False,69.329,,"LINESTRING (7.2023435 50.7920316, 7.2017925 50.792252, 7.2015152 50.79237)",,,6.00,
142938388,2,,Hohenzollernstraße,residential,30,False,True,164.05700000000002,,"LINESTRING (7.2023435 50.7920316, 7.2026379 50.7918906, 7.202679 50.7918744, 7.2027409 50.7918403, 7.2028672 50.7917733, 7.2029704 50.7917177, 7.2031416 50.7916125, 7.2036273 50.791284, 7.2038729 50.7911026, 7.2039025 50.791056, 7.2039576 50.7909841)",,,6.00,
35535463,1,,,secondary,50,True,False,26.529000000000003,,"LINESTRING (7.2004792 50.7946319, 7.2005451 50.7946086, 7.2006195 50.7946005, 7.200694 50.7946083, 7.2007602 50.7946312, 7.2008106 50.7946667)",roundabout,,,
24281354,,,Annostraße,residential,30,False,False,49.93,,"LINESTRING (7.2064171 50.7954197, 7.206432 50.7953898, 7.2064526 50.7953405, 7.206462 50.7952063, 7.2063678 50.7949817)",,,,
24281354,,,Annostraße,residential,30,False,True,100.45700000000001,,"LINESTRING (7.2064171 50.7954197, 7.2064021 50.7954618, 7.2062827 50.795794, 7.2061759 50.7960241, 7.2060513 50.7962926)",,,,
24281354,,,Annostraße,residential,30,False,False,100.45700000000002,,"LINESTRING (7.2060513 50.7962926, 7.2061759 50.7960241, 7.2062827 50.795794, 7.2064021 50.7954618, 7.2064171 50.7954197)",,,,
24405141,,,Annostraße,residential,30,False,False,46.588,,"LINESTRING (7.2063678 50.7949817, 7.2062814 50.7945663)",,,,
24281354,,,Annostraße,residential,30,False,True,49.93,,"LINESTRING (7.2063678 50.7949817, 7.206462 50.7952063, 7.2064526 50.7953405, 7.206432 50.7953898, 7.2064171 50.7954197)",,,,
24405086,,,Georgstraße,residential,30,False,True,106.35400000000001,,"LINESTRING (7.2063678 50.7949817, 7.2064666 50.794965, 7.2071673 50.7948141, 7.2077942 50.7946635)",,,,
24342393,,,Herrengartenstraße,residential,30,True,False,46.905,,"LINESTRING (7.2075731 50.7942655, 7.2077942 50.7946635)",,,,
24342472,,,Mahlgasse,residential,30,True,False,93.608,,"LINESTRING (7.2088053 50.7939461, 7.2087721 50.7939553, 7.2075731 50.7942655)",,,,
"[167102198, 167686828, 24422653, 24422654]",,,Mühlenstraße,residential,30,False,True,109.89699999999999,yes,"LINESTRING (7.2088053 50.7939461, 7.2087941 50.7939202, 7.2087632 50.7938487, 7.2087476 50.7938125, 7.2087355 50.7937844, 7.2086953 50.7937155, 7.2086198 50.7935898, 7.208607 50.7935689, 7.2083411 50.7931337, 7.2083161 50.7930767, 7.2083044 50.7930124)",,,,
33455741,,,Mühlenstraße,residential,30,False,False,170.47699999999998,,"LINESTRING (7.2088053 50.7939461, 7.2088181 50.7939698, 7.2090401 50.7943782, 7.2090636 50.7944818, 7.2090608 50.7945636, 7.2090542 50.7945839, 7.2090306 50.7946177, 7.2089543 50.7947131, 7.2088519 50.7947963, 7.2086535 50.7949283, 7.2082038 50.7951327, 7.2080943 50.7951864)",,,,
24405086,,,Georgstraße,residential,30,False,False,106.354,,"LINESTRING (7.2077942 50.7946635, 7.2071673 50.7948141, 7.2064666 50.794965, 7.2063678 50.7949817)",,,,
142938384,,,Herrengartenstraße,residential,30,False,False,61.853,,"LINESTRING (7.2077942 50.7946635, 7.2080777 50.7951553, 7.2080943 50.7951864)",,,,
24405141,,,Annostraße,residential,30,False,True,46.588,,"LINESTRING (7.2062814 50.7945663, 7.2063678 50.7949817)",,,,
24405143,,,Mahlgasse,residential,30,True,False,96.786,,"LINESTRING (7.2062814 50.7945663, 7.2068912 50.7944227, 7.2072995 50.7943368, 7.2075731 50.7942655)",,,,
24405146,,,Tierbungertstraße,residential,30,False,False,159.12400000000002,,"LINESTRING (7.2062814 50.7945663, 7.2061613 50.7943907, 7.2061046 50.7943487, 7.2060238 50.7943259, 7.20596 50.7943183, 7.2057846 50.7943676, 7.2048568 50.794625, 7.2046293 50.7947157, 7.2044257 50.7948034)",,,,
24507181,,,Händelstraße,residential,30,False,False,121.82,,"LINESTRING (7.2127767 50.7899459, 7.2127148 50.7898714, 7.2121848 50.7892471, 7.2119747 50.7889749)",,,6.00,
100012434,,L 333,,secondary,50,True,False,16.464,,"LINESTRING (7.2127767 50.7899459, 7.2128212 50.7899366, 7.212868 50.7899357, 7.2129133 50.7899432, 7.2129535 50.7899585, 7.2129851 50.7899803)",roundabout,,,
24422266,2,L 333,Frankfurter Straße,secondary,50,False,False,116.72299999999998,,"LINESTRING (7.2126925 50.7900678, 7.212581 50.7900976, 7.2124231 50.7901451, 7.2122619 50.7901934, 7.2119981 50.7902662, 7.2119196 50.7902879, 7.2115644 50.7903873, 7.2111564 50.7904608)",,,,
100012434,,L 333,,secondary,50,True,False,15.975999999999999,,"LINESTRING (7.2126925 50.7900678, 7.2126862 50.7900321, 7.2126996 50.7899972, 7.212731 50.7899673, 7.2127767 50.7899459)",roundabout,,,
"[49749409, 24505603, 49749221, 951238604, 23569598, 950974303]",2,,Wilhelmstraße,residential,"['50', '20']",False,True,192.995,,"LINESTRING (7.2061699 50.7928417, 7.2060366 50.7929251, 7.2058746 50.7930198, 7.2056168 50.7931524, 7.2054927 50.7932099, 7.2052352 50.7933323, 7.2050221 50.7934575, 7.2047725 50.7936138, 7.2045165 50.7937523, 7.2040964 50.7939766)",,,,
24505583,,,,secondary_link,50,True,False,99.20199999999998,,"LINESTRING (7.2061699 50.7928417, 7.2062874 50.7927188, 7.2064196 50.792573, 7.2064617 50.7924841, 7.2064848 50.7923951, 7.2064705 50.7922962, 7.206428 50.7922025, 7.2063252 50.7920126)",,,,
"[315391538, 42558373]","['4', '3']",,Wilhelmstraße,residential,50,False,False,56.692,,"LINESTRING (7.2061699 50.7928417, 7.2063849 50.7927303, 7.2064704 50.7926817, 7.2067778 50.7925068)",,,,
"[42558416, 24505291, 24505292]",2,L 16,Bonner Straße,secondary,50,False,False,104.31199999999998,,"LINESTRING (7.2063252 50.7920126, 7.2061015 50.7918991, 7.205389 50.7915326, 7.2052771 50.7914891, 7.2051639 50.7914296)",,,,
315391509,4,L 16,Bonner Straße,secondary,50,False,True,32.724000000000004,,"LINESTRING (7.2063252 50.7920126, 7.2063882 50.7920428, 7.2066963 50.7921903)",,,,
315391537,3,,Wilhelmstraße,residential,50,False,False,26.082,,"LINESTRING (7.2067778 50.7925068, 7.2069179 50.7924341, 7.2070528 50.7923497)",,,,
