osmid,name,highway,maxspeed,width,oneway,reversed,length,est_width,lanes,geometry,ref,access,bridge
18925169,Egersdorffstraße,residential,50,9,False,False,18.166,,,"LINESTRING (10.4052152 53.2501864, 10.4054674 53.2501238)",,,
"[85220995, 899418894]",Egersdorffstraße,residential,50,7,False,True,157.60899999999998,"['6', '5.20']",2,"LINESTRING (10.4052152 53.2501864, 10.4051228 53.2502387, 10.4048221 53.2505144, 10.4047217 53.2505972, 10.4046281 53.2506628, 10.4045183 53.2507177, 10.4043816 53.2507768, 10.4042364 53.2508247, 10.404078 53.2508595, 10.4039347 53.2508848, 10.4033687 53.2509626)",,,
17042996,Waagestraße,residential,,3.7,False,False,5.408,,,"LINESTRING (10.4056737 53.250217, 10.4057537 53.2502084)",,,
83687778,Am Marienplatz,residential,50,2.7,True,False,17.207,,,"LINESTRING (10.4056737 53.250217, 10.405573 53.2501685, 10.4054674 53.2501238)",,,
17454323,Reitende-Diener-Straße,residential,20,5.7,True,False,119.48899999999999,,,"LINESTRING (10.4066339 53.2516931, 10.4061127 53.2507796, 10.4060877 53.2506713)",,,
24220741,Hinter der Bardowicker Mauer,residential,10,3.9,True,False,87.754,,,"LINESTRING (10.4078957 53.2519231, 10.4066339 53.2516931)",,,
11766348,Burmeisterstraße,residential,10,,False,True,154.801,,1,"LINESTRING (10.4078957 53.2519231, 10.4077846 53.2508661, 10.4077731 53.2505331)",,,
11766348,Burmeisterstraße,residential,10,,False,False,154.801,,1,"LINESTRING (10.4077731 53.2505331, 10.4077846 53.2508661, 10.4078957 53.2519231)",,,
"[96306837, 39258214]",Am Ochsenmarkt,residential,20,"['8', '10']",True,False,113.38000000000001,,,"LINESTRING (10.4077731 53.2505331, 10.4064679 53.2506572, 10.4062749 53.2506751, 10.4060877 53.2506713)",,,
915205869,Rote Straße,residential,50,,True,False,71.005,,1,"LINESTRING (10.4096342 53.2444519, 10.4097321 53.2445953, 10.4097303 53.2447072, 10.4097137 53.2448175, 10.409686 53.2449198, 10.4096125 53.2450709)",,,
