osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,bridge,access,tunnel,width
141710080,True,Bismarckstraße,residential,30,False,57.653,"LINESTRING (9.2165013 48.4950334, 9.2159143 48.4953762)",,,,,,
16566364,True,Krämerstraße,residential,30,False,152.424,"LINESTRING (9.2165013 48.4950334, 9.2156874 48.4944308, 9.2150945 48.4940289)",,,,,,
1009377591,True,Gartenstraße,residential,30,False,31.186,"LINESTRING (9.2168106 48.4907151, 9.2167947 48.4907529, 9.2167477 48.4908075, 9.2165741 48.4909438)",2,,,,,
4213802,False,Aulberstraße,residential,30,True,39.658,"LINESTRING (9.2148713 48.4921134, 9.2145123 48.4918477)",,,,,,
4213802,False,Aulberstraße,residential,30,False,166.26999999999998,"LINESTRING (9.2148713 48.4921134, 9.2149414 48.4921564, 9.2157609 48.4926596, 9.2158265 48.4927015, 9.2165022 48.4931464)",,,,,,
706668449,True,Gartenstraße,residential,30,False,82.62799999999999,"LINESTRING (9.2148713 48.4921134, 9.214488 48.4923871, 9.2142764 48.4925332, 9.214103 48.4926546)",2,,,,,
4213802,False,Aulberstraße,residential,30,False,39.658,"LINESTRING (9.2145123 48.4918477, 9.2148713 48.4921134)",,,,,,
4213801,False,Mauerstraße,residential,30,False,67.396,"LINESTRING (9.2145123 48.4918477, 9.2147721 48.4916685, 9.2148739 48.4915982, 9.215009 48.4915084, 9.2151496 48.491413)",,,,,,
33883698,False,Aulberstraße,residential,20,False,68.575,"LINESTRING (9.2145123 48.4918477, 9.2139962 48.4914687, 9.2138878 48.4913905)",,,,,,
141710077,True,Aulberstraße,residential,30,False,155.907,"LINESTRING (9.2165022 48.4931464, 9.2179664 48.4941585)",,,,,,
4213802,False,Aulberstraße,residential,30,True,166.26999999999998,"LINESTRING (9.2165022 48.4931464, 9.2158265 48.4927015, 9.2157609 48.4926596, 9.2149414 48.4921564, 9.2148713 48.4921134)",,,,,,
141710083,True,Kaiserstraße,residential,30,False,131.742,"LINESTRING (9.2165022 48.4931464, 9.2167563 48.4929893, 9.2167694 48.4929813, 9.2171366 48.4927564, 9.2173291 48.4926385, 9.2176179 48.4924616, 9.2178118 48.4923399)",,,,,,
"[140451378, 4213803]",True,Kaiserstraße,residential,30,False,116.732,"LINESTRING (9.2118656 48.4960026, 9.2119052 48.4959766, 9.2122848 48.4957477, 9.2123685 48.4956977, 9.2123949 48.495682, 9.2130393 48.4952976)",,,,,,
314481528,False,Seestraße,residential,40,True,10.478,"LINESTRING (9.2172493 48.4877404, 9.2173113 48.4878252)",,,,,,
142313045,False,Georgenstraße,residential,30,False,60.734,"LINESTRING (9.2159863 48.4874779, 9.2164041 48.4879487)",,,,,,
142313049,False,Lindachstraße,residential,30,True,103.031,"LINESTRING (9.2159863 48.4874779, 9.215806 48.4875629, 9.2155938 48.4876646, 9.2153773 48.4877716, 9.2151523 48.4878797, 9.2150579 48.4879277, 9.2149768 48.4879756, 9.2149261 48.4880096, 9.2148903 48.4880473)",,,,,,
37596763,False,Tübinger Straße,tertiary,50,True,10.425,"LINESTRING (9.2060012 48.493984, 9.2058693 48.4939501)",,,,,,
"[152309896, 497873036]",True,Gutenbergstraße,secondary,50,False,132.02,"LINESTRING (9.2060012 48.493984, 9.2059409 48.4940825, 9.2058367 48.4943525, 9.2057171 48.4947023, 9.2056868 48.49481, 9.2056758 48.4948657, 9.2056674 48.4949445, 9.205677 48.4951433)","['2', '3']",,,,,
1252499640,False,Gminderstraße,residential,30,False,10.958,"LINESTRING (9.205677 48.4951433, 9.2055312 48.4951627)",,,,,,
"[152309897, 152280596, 1252499638]",True,Unter den Linden,secondary,50,False,54.236,"LINESTRING (9.205677 48.4951433, 9.2056895 48.4951975, 9.205707 48.4952575, 9.2057451 48.4953624, 9.2057722 48.4954435, 9.2057851 48.4954883, 9.205815 48.4956221)",2,,,,,
26003540,False,Unter den Linden,secondary,50,False,63.62400000000001,"LINESTRING (9.205815 48.4956221, 9.2058287 48.4956716, 9.2058392 48.49572, 9.2058472 48.4957682, 9.2058519 48.4958091, 9.2058552 48.4958805, 9.2058559 48.4959637, 9.2058522 48.4960245, 9.2058461 48.4960849, 9.2058392 48.4961353, 9.2058287 48.4961917)",4,,,,,
"[35549418, 1252499639]",True,Unter den Linden,secondary,50,False,55.347,"LINESTRING (9.205815 48.4956221, 9.2056662 48.4954155, 9.2056398 48.4953765, 9.2056082 48.4953237, 9.2055797 48.4952775, 9.2055533 48.4952262, 9.2055312 48.4951627)",2,,,,,
26003540,False,Unter den Linden,secondary,50,True,63.623999999999995,"LINESTRING (9.2058287 48.4961917, 9.2058392 48.4961353, 9.2058461 48.4960849, 9.2058522 48.4960245, 9.2058559 48.4959637, 9.2058552 48.4958805, 9.2058519 48.4958091, 9.2058472 48.4957682, 9.2058392 48.49572, 9.2058287 48.4956716, 9.205815 48.4956221)",4,,,,,
