osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,bridge,lanes
5918947,False,Schwarzachstraße,residential,False,109.029,"LINESTRING (11.3188058 49.3569298, 11.3179999 49.3569778, 11.3177244 49.3570234, 11.3175323 49.3570805, 11.3173789 49.3571648)",,,,
"[32816097, 34957531, 1094105795, 32816099]",False,Schwarzachstraße,tertiary,False,316.996,"LINESTRING (11.3188058 49.3569298, 11.3189225 49.3570043, 11.3193625 49.357132, 11.3198389 49.3572253, 11.3202913 49.3572858, 11.3207158 49.3573272, 11.320822 49.3573376, 11.32157 49.3574491, 11.3218845 49.3574874, 11.3220506 49.3575077, 11.3224971 49.3575603, 11.3227267 49.3576199, 11.322866 49.3576844, 11.3229538 49.357725)",LAU 22,50,yes,2
1094105796,False,Bergstraße,tertiary,True,163.79500000000002,"LINESTRING (11.3188058 49.3569298, 11.3183589 49.3562916, 11.3179061 49.3555786)",LAU 22,50,,
"[34957531, 32816097, 32816099, 1094105795]",False,Schwarzachstraße,tertiary,True,316.996,"LINESTRING (11.3229538 49.357725, 11.322866 49.3576844, 11.3227267 49.3576199, 11.3224971 49.3575603, 11.3220506 49.3575077, 11.3218845 49.3574874, 11.32157 49.3574491, 11.320822 49.3573376, 11.3207158 49.3573272, 11.3202913 49.3572858, 11.3198389 49.3572253, 11.3193625 49.357132, 11.3189225 49.3570043, 11.3188058 49.3569298)",LAU 22,50,yes,2
"[36859570, 1094105794, 29406958, 29406959]",False,,secondary,False,215.56,"LINESTRING (11.3229538 49.357725, 11.3224611 49.3579601, 11.3218204 49.3582163, 11.3214901 49.3583573, 11.3213525 49.3584266, 11.3212499 49.3584901, 11.3211234 49.3585759, 11.3209961 49.3586732, 11.3208136 49.358863, 11.3207875 49.3588919, 11.320722 49.3589644)",St 2401,50,yes,"['2', '3']"
"[36527825, 24514379]",False,Ochenbrucker Straße,secondary,False,187.665,"LINESTRING (11.3194166 49.3585878, 11.3188689 49.3584721, 11.3183299 49.358375, 11.3178848 49.3583024, 11.317525 49.358252, 11.3172996 49.3582249, 11.3169047 49.358183)",St 2401,50,,2
24514379,False,Ochenbrucker Straße,secondary,True,103.509,"LINESTRING (11.3194166 49.3585878, 11.3199876 49.3587307, 11.3203871 49.3588521, 11.320722 49.3589644)",St 2401,50,,2
24514682,False,Am Hammerberg,residential,False,41.403000000000006,"LINESTRING (11.3194166 49.3585878, 11.3193632 49.3586536, 11.3191536 49.3589184)",,,,
36527824,False,Ochenbrucker Straße,secondary,False,35.219,"LINESTRING (11.3169047 49.358183, 11.316419 49.3581675)",St 2401,50,,2
"[36527825, 24514379]",False,Ochenbrucker Straße,secondary,True,187.665,"LINESTRING (11.3169047 49.358183, 11.3172996 49.3582249, 11.317525 49.358252, 11.3178848 49.3583024, 11.3183299 49.358375, 11.3188689 49.3584721, 11.3194166 49.3585878)",St 2401,50,,2
24381577,False,Lochtweg,residential,False,78.78399999999999,"LINESTRING (11.3146448 49.3581944, 11.3146433 49.3582808, 11.3146174 49.3583373, 11.3145225 49.3584217, 11.3144689 49.3585093, 11.3143275 49.3588617)",,,,
36527824,False,Ochenbrucker Straße,secondary,False,54.622,"LINESTRING (11.3146448 49.3581944, 11.3139525 49.3582938, 11.3139083 49.3583002)",St 2401,50,,2
36527824,False,Ochenbrucker Straße,secondary,True,128.931,"LINESTRING (11.3146448 49.3581944, 11.314753 49.3581821, 11.3150616 49.3581548, 11.3154463 49.3581451, 11.3158971 49.358144, 11.316419 49.3581675)",St 2401,50,,2
24514379,False,Ochenbrucker Straße,secondary,False,103.509,"LINESTRING (11.320722 49.3589644, 11.3203871 49.3588521, 11.3199876 49.3587307, 11.3194166 49.3585878)",St 2401,50,,2
"[1094105794, 36859570, 29406958, 29406959]",False,,secondary,True,215.56,"LINESTRING (11.320722 49.3589644, 11.3207875 49.3588919, 11.3208136 49.358863, 11.3209961 49.3586732, 11.3211234 49.3585759, 11.3212499 49.3584901, 11.3213525 49.3584266, 11.3214901 49.3583573, 11.3218204 49.3582163, 11.3224611 49.3579601, 11.3229538 49.357725)",St 2401,50,yes,"['2', '3']"
5918947,False,Schwarzachstraße,residential,True,109.029,"LINESTRING (11.3173789 49.3571648, 11.3175323 49.3570805, 11.3177244 49.3570234, 11.3179999 49.3569778, 11.3188058 49.3569298)",,,,
