osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,access,est_width
14124964,3,St 2220,Altstadtring,secondary,50,False,False,44.697,"LINESTRING (11.1896325 49.1915789, 11.1901258 49.191819)",,,,
23326169,,,Zwingerstraße,tertiary,50,False,False,24.046999999999997,"LINESTRING (11.1896325 49.1915789, 11.1896671 49.1914414, 11.1896649 49.1913645)",,,,
77895684,,St 2225,Allersberger Straße,secondary,50,False,True,172.844,"LINESTRING (11.1896325 49.1915789, 11.1895309 49.1918208, 11.189353 49.192273, 11.1892564 49.1925186, 11.1891497 49.1927896, 11.189104 49.192899, 11.1890289 49.1930824)",,,,
537405406,3,St 2220,Altstadtring,secondary,50,False,False,29.171999999999997,"LINESTRING (11.1896325 49.1915789, 11.1895011 49.191479, 11.1893709 49.1913799)",,,,
19084761,3,St 2220,Altstadtring,secondary,50,False,True,76.71700000000001,"LINESTRING (11.1888388 49.1907853, 11.1889403 49.1909052, 11.1889657 49.1909499, 11.1892022 49.1912147, 11.1893709 49.1913799)",,,,
23141565,,St 2220,Rother Straße,secondary,50,False,False,66.15,"LINESTRING (11.1888388 49.1907853, 11.1886572 49.1908313, 11.1880052 49.1910239)",,,,
"[235514481, 25151331]","['2', '3']",St 2225,Altstadtring,secondary,50,False,False,69.506,"LINESTRING (11.1888388 49.1907853, 11.1886415 49.1904707, 11.1884925 49.1902688, 11.1884345 49.1902211)",,,,
23416550,2,,Talstraße,residential,,False,False,91.899,"LINESTRING (11.1884345 49.1902211, 11.1886025 49.1901271, 11.1886317 49.1899636, 11.1886011 49.1898043, 11.1885317 49.1896484, 11.1884537 49.1894608)",,,,
235514481,2,St 2225,Altstadtring,secondary,50,False,False,112.68400000000001,"LINESTRING (11.1884345 49.1902211, 11.1883752 49.1901724, 11.1882281 49.1900947, 11.1881683 49.1900631, 11.1880379 49.1899942, 11.187858 49.1899181, 11.1877963 49.189892, 11.1875643 49.1897851, 11.1871966 49.1896156)",,,,
"[235514481, 25151331]","['2', '3']",St 2225,Altstadtring,secondary,50,False,True,69.506,"LINESTRING (11.1884345 49.1902211, 11.1884925 49.1902688, 11.1886415 49.1904707, 11.1888388 49.1907853)",,,,
24899131,,,Bahnhofstraße,unclassified,30,False,False,55.142,"LINESTRING (11.1863049 49.1884914, 11.1861185 49.1884991, 11.1859649 49.1885135, 11.1855504 49.1885422)",,,,
"[23416867, 23416866, 205244355, 480073511]",,St 2225,Altstadtring,secondary,50,False,False,228.81400000000002,"LINESTRING (11.1863049 49.1884914, 11.1862757 49.1881586, 11.1862801 49.1880482, 11.1863402 49.1878406, 11.1864089 49.1876643, 11.186488 49.1875279, 11.1867596 49.1872337, 11.1869151 49.1871257, 11.1869998 49.1870765, 11.187245 49.1869516, 11.1874509 49.1868594, 11.1875757 49.1868204, 11.1876478 49.1867979)",yes,,,
"[23418349, 205488053]",2,St 2225,Altstadtring,secondary,50,False,True,67.825,"LINESTRING (11.1863049 49.1884914, 11.186332 49.1886271, 11.1863587 49.1886996, 11.1865202 49.1889916, 11.1865794 49.1890707)",,,,
481014224,2,St 2238,Heidecker Straße,secondary,50,False,True,17.886,"LINESTRING (11.1904531 49.1856148, 11.1906501 49.1857112)",,,,
