osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel,width
55510732,True,2,B 1,Kaiserstraße,primary,50,False,90.673,"LINESTRING (9.9535049 52.1565995, 9.9533804 52.156558, 9.9526421 52.1563277, 9.9525374 52.156295, 9.9524898 52.1562797, 9.952379 52.1562431, 9.9523238 52.1562256)",,
166257048,False,2,,Hagentor,tertiary,,True,11.029,"LINESTRING (9.9487427 52.1549753, 9.9487496 52.1550744)",,
620528358,False,4,,Kardinal-Bertram-Straße,tertiary,50,False,53.802,"LINESTRING (9.9487427 52.1549753, 9.9487103 52.1548215, 9.9486973 52.154767, 9.9486699 52.1546706, 9.9486254 52.1544969)",,
"[166257060, 275504139, 1132028812]",True,2,B 1,Kaiserstraße,primary,50,False,371.774,"LINESTRING (9.9487427 52.1549753, 9.9491717 52.1551059, 9.9495459 52.155223, 9.9502906 52.155459, 9.9505791 52.1555638, 9.9520989 52.1560611, 9.9523681 52.1561407, 9.9524307 52.15616, 9.9525015 52.1561809, 9.9526006 52.1562119, 9.953444 52.1564873, 9.9535715 52.1565237)",,
"[1131235909, 4915285]",False,"['4', '2']",,Schuhstraße,tertiary,50,False,108.11099999999999,"LINESTRING (9.9480141 52.1504956, 9.9482367 52.1505111, 9.9483215 52.150517, 9.9485723 52.1505372, 9.9490233 52.150592, 9.9495705 52.1506719)",,
79490365,False,5,,Bohlweg,residential,,True,33.357,"LINESTRING (9.9480141 52.1504956, 9.9480659 52.1504236, 9.9480937 52.1503852, 9.9481125 52.1503439, 9.9481709 52.1502123)",,
"[172252812, 1131235910]",False,4,,Kardinal-Bertram-Straße,tertiary,50,True,126.766,"LINESTRING (9.9480141 52.1504956, 9.9479424 52.1505991, 9.9479078 52.150649, 9.94787 52.1510262, 9.9478157 52.1516207)",,
"[1131235912, 25535893]",False,"['2', '3']",,Pfaffenstieg,tertiary,50,True,236.65500000000003,"LINESTRING (9.9480141 52.1504956, 9.9477382 52.1504774, 9.9465037 52.1504665, 9.9463021 52.1504467, 9.9460609 52.1503949, 9.9456543 52.1502989, 9.9453071 52.1502042, 9.9448826 52.1500571, 9.9447124 52.1500005)",,
8494616,False,,,Theaterstraße,residential,30,False,8.486,"LINESTRING (9.9569766 52.1530847, 9.9568721 52.1531261)",,
25408948,True,2,,Kennedydamm,secondary,50,False,130.389,"LINESTRING (9.9569766 52.1530847, 9.9570777 52.1531935, 9.9573083 52.1534489, 9.9574119 52.1535767, 9.9574513 52.1536393, 9.9576354 52.1539057, 9.9577744 52.1541473)",,
177084664,True,3,,Bahnhofsallee,tertiary,50,False,12.59,"LINESTRING (9.9578642 52.1547659, 9.9580381 52.1548038)",,
177084666,True,2,,Kennedydamm,secondary,50,False,133.63,"LINESTRING (9.9578642 52.1547659, 9.9578122 52.1546413, 9.9575196 52.1539995, 9.9574186 52.1537867, 9.9572942 52.1536181)",,
8494642,False,,,Eckemekerstraße,residential,,False,58.093,"LINESTRING (9.9478157 52.1516207, 9.9486082 52.1516189, 9.9486671 52.1516172)",,
8494643,False,,,Kardinal-Bertram-Straße,tertiary,,True,73.39699999999999,"LINESTRING (9.9478157 52.1516207, 9.9478009 52.1518462, 9.947771 52.1520929, 9.9477351 52.1522786)",,
"[172252812, 1131235910]",False,4,,Kardinal-Bertram-Straße,tertiary,50,False,126.76599999999999,"LINESTRING (9.9478157 52.1516207, 9.94787 52.1510262, 9.9479078 52.150649, 9.9479424 52.1505991, 9.9480141 52.1504956)",,
166257048,False,2,,Hagentor,tertiary,,False,11.029,"LINESTRING (9.9487496 52.1550744, 9.9487427 52.1549753)",,
