osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge,width
"[684743028, 39634533, 25803750]","['An der Elbe', 'Dampfschiffstraße']",living_street,False,"[False, True]",225.33199999999997,"LINESTRING (14.1520995 50.9169346, 14.1522443 50.9168816, 14.15242 50.9168385, 14.1527048 50.9167679, 14.1535899 50.9165496, 14.1537192 50.9165194, 14.1537467 50.9165469, 14.1537565 50.9165567, 14.153793 50.9165933, 14.1540051 50.9168055, 14.1540469 50.9168474, 14.1541939 50.9170494, 14.1542773 50.9171781, 14.1542817 50.9172077, 14.1542734 50.9172259, 14.1542516 50.9172414, 14.1541378 50.9172812, 14.1541178 50.9173)",,,,,
"[39216729, 24360459, 4686701, 341247725]","['Rudolf-Sendig-Straße', 'Kirnitzschtalstraße']",secondary,False,False,73.798,"LINESTRING (14.1560422 50.9177229, 14.1560234 50.9177717, 14.1559885 50.9178202, 14.1556655 50.9181589, 14.1556452 50.9181769, 14.1555734 50.9182445, 14.1555346 50.918301)",S 165,50,2,yes,
"[30068786, 30068787, 4726226, 1114892888, 1114892889]",Bergmannstraße,primary,False,True,133.98000000000002,"LINESTRING (14.1560422 50.9177229, 14.1559506 50.9177094, 14.1558202 50.917682, 14.1555905 50.9176453, 14.1554271 50.9176259, 14.154603 50.917514, 14.1544169 50.9174887, 14.1541769 50.9174643)",B 172,30,2,yes,
"[890860833, 77930174]",Badallee,living_street,False,True,528.6840000000001,"LINESTRING (14.1560422 50.9177229, 14.1561439 50.917801, 14.1563941 50.9179813, 14.156561 50.918095, 14.1567009 50.9181623, 14.1568724 50.9183494, 14.1569776 50.9184747, 14.157251 50.9187775, 14.1572847 50.9188173, 14.1575073 50.9190804, 14.1576927 50.9192862, 14.1578887 50.9195093, 14.1580867 50.9197498, 14.1581733 50.919862, 14.1582028 50.9199003, 14.1582654 50.9199931, 14.1583315 50.9201058, 14.1583879 50.9202205, 14.1584653 50.9203927, 14.1585291 50.9205306, 14.1585757 50.9206052, 14.1590601 50.9213798, 14.1594161 50.9219276)",,,,,3.3
"[221499524, 905455254]",Kirnitzschtalstraße,secondary,False,False,484.106,"LINESTRING (14.1555346 50.918301, 14.1555434 50.9183607, 14.1556801 50.9185341, 14.1557675 50.9186748, 14.1558899 50.9188856, 14.1560148 50.9190398, 14.1561043 50.9191026, 14.1561769 50.9191545, 14.156357 50.9193016, 14.1564001 50.9193427, 14.1564248 50.9193643, 14.1564629 50.9194043, 14.1564859 50.9194336, 14.1565305 50.9194904, 14.1566036 50.9195745, 14.1567722 50.9197683, 14.1568674 50.9198778, 14.1572973 50.9203788, 14.1573618 50.9204521, 14.1577211 50.9208692, 14.1580271 50.9212784, 14.1586841 50.9221567)",S 165,30,2,,
"[39216729, 4686701, 24360459, 341247725]","['Rudolf-Sendig-Straße', 'Kirnitzschtalstraße']",secondary,False,True,73.798,"LINESTRING (14.1555346 50.918301, 14.1555734 50.9182445, 14.1556452 50.9181769, 14.1556655 50.9181589, 14.1559885 50.9178202, 14.1560234 50.9177717, 14.1560422 50.9177229)",S 165,50,2,yes,
25021891,Lindenallee,secondary,False,False,233.132,"LINESTRING (14.1468279 50.92053, 14.1499248 50.9197656)",S 154,50,2,,
25021891,Lindenallee,secondary,False,True,233.132,"LINESTRING (14.1499248 50.9197656, 14.1468279 50.92053)",S 154,50,2,,
25538807,Elbstraße,residential,False,False,125.703,"LINESTRING (14.1499248 50.9197656, 14.1495494 50.9193765, 14.1490515 50.918807, 14.1490325 50.9187853)",,50,,,
"[77930179, 56185039]",Lindenallee,secondary,False,False,81.70400000000001,"LINESTRING (14.1499248 50.9197656, 14.1501949 50.9197232, 14.150408 50.9196947, 14.1506467 50.9196766, 14.1509792 50.9196575, 14.151074 50.9196621)",S 154,50,2,,
