osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,width
"[147067888, 295625027]","['2', '3']",L 3080,Heiligenstädter Straße,secondary,50,False,False,156.644,"LINESTRING (10.3193792 51.3874665, 10.3197567 51.3874925, 10.3201623 51.3875142, 10.3210136 51.387571, 10.3213803 51.387604, 10.3216217 51.3876257)",,,
147067888,2,L 3080,Heiligenstädter Straße,secondary,50,False,True,52.19199999999999,"LINESTRING (10.3193792 51.3874665, 10.3190974 51.3874471, 10.3186316 51.387415)",,,
"[1016382690, 718470477]",,,Heiligenstädter Straße,living_street,,False,False,135.42100000000002,"LINESTRING (10.3193792 51.3874665, 10.3194068 51.3875058, 10.319527 51.3875421, 10.3197312 51.3875741, 10.3203425 51.3876414, 10.320834 51.3876814, 10.3212512 51.3877223)",,,
24773809,3,,Bahnhofstraße,tertiary,30,False,False,68.304,"LINESTRING (10.3216217 51.3876257, 10.3222351 51.387649, 10.322449 51.3876693, 10.322597 51.3876946)",,,
"[147067888, 295625027]","['2', '3']",L 3080,Heiligenstädter Straße,secondary,50,False,True,156.644,"LINESTRING (10.3216217 51.3876257, 10.3213803 51.387604, 10.3210136 51.387571, 10.3201623 51.3875142, 10.3197567 51.3874925, 10.3193792 51.3874665)",,,
"[1016305777, 147067922, 1016305775]",2,,Mühlhäuser Chaussee,tertiary,50,False,True,228.87399999999997,"LINESTRING (10.3216217 51.3876257, 10.3216143 51.387563, 10.3215861 51.3874608, 10.3215551 51.3873595, 10.3215224 51.3872693, 10.3213391 51.3867631, 10.3212602 51.3865719, 10.3211803 51.3863672, 10.3208887 51.38562)",,,
"[1016382691, 15405437]",3,L 3080,Berliner Straße,secondary,50,False,False,75.636,"LINESTRING (10.3216217 51.3876257, 10.321665 51.3877452, 10.3217516 51.3880876, 10.3218273 51.3882933)",,,
28195835,2,,Bahnhofstraße,tertiary,30,False,False,106.625,"LINESTRING (10.324205 51.3882679, 10.3242287 51.3882756, 10.3244062 51.3883328, 10.324898 51.3885036, 10.325158 51.3885965, 10.3255425 51.3887396)",,,
"[147067829, 147067830]",2,L 1032,Bahnhofstraße,tertiary,30,False,True,128.51999999999998,"LINESTRING (10.324205 51.3882679, 10.3233748 51.3879623, 10.323203 51.3879026, 10.3228249 51.3877721, 10.322597 51.3876946)",,,
718467428,,,Lutherstraße,residential,30,False,True,148.94299999999998,"LINESTRING (10.324205 51.3882679, 10.3244139 51.3880255, 10.324444 51.388005, 10.3245211 51.3879531, 10.324715 51.3878806, 10.324976 51.3878304, 10.325634 51.3877004, 10.3259726 51.3876277)",,,
27563787,,,Hundeshagener Straße,residential,,False,False,28.266,"LINESTRING (10.3165916 51.3906446, 10.3166357 51.3904774, 10.316658 51.3903938)",,,
27576925,,,Am Friedhof,residential,,False,True,201.614,"LINESTRING (10.3165916 51.3906446, 10.3167435 51.3907334, 10.316927 51.3908883, 10.3174711 51.3911914, 10.3177155 51.3913253, 10.3178735 51.3914319, 10.3179781 51.39165, 10.3180163 51.3921091)",,,
27563787,,,Hundeshagener Straße,residential,,False,True,28.266,"LINESTRING (10.316658 51.3903938, 10.3166357 51.3904774, 10.3165916 51.3906446)",,,
"[27577271, 345659477, 1250870039, 1250870040, 345659480]",1,,Hundeshagener Straße,living_street,,False,False,68.867,"LINESTRING (10.316658 51.3903938, 10.3166713 51.3903501, 10.3166801 51.3903212, 10.3167058 51.3902367, 10.3167522 51.3900542, 10.3167758 51.3899734, 10.3167886 51.3899226, 10.3168249 51.3898544, 10.3168837 51.3897957)",yes,yes,
27563844,,,Hinterm Ringau,living_street,,False,True,250.194,"LINESTRING (10.3181604 51.3895566, 10.3183756 51.3895876, 10.318597 51.3896085, 10.318799 51.3896365, 10.3192648 51.3897212, 10.3194538 51.3897575, 10.3195766 51.3897771, 10.319706 51.3897968, 10.3198665 51.3898045, 10.3200393 51.3898099, 10.3203055 51.3898112, 10.3205314 51.3898122, 10.3207533 51.3898099, 10.3209291 51.3898064, 10.3210866 51.3898001, 10.321267 51.3897872, 10.3215143 51.3897639, 10.321582 51.3897567, 10.321711 51.389754)",,,
27581022,,,Leinestraße,residential,,False,False,51.698,"LINESTRING (10.3181604 51.3895566, 10.3182006 51.389529, 10.3182254 51.3895081, 10.318247 51.3894787, 10.3182596 51.3894524, 10.3182663 51.3894303, 10.3182755 51.3893683, 10.3182998 51.3891645, 10.3183371 51.3891172)",,,
147067897,,,Hundeshagener Straße,living_street,,False,True,94.65,"LINESTRING (10.3181604 51.3895566, 10.3180967 51.3895775, 10.3180263 51.3895888, 10.3178814 51.3896043, 10.3177479 51.3896152, 10.3174174 51.3896366, 10.3173041 51.3896474, 10.3172129 51.3896629, 10.317109 51.389691, 10.3170271 51.3897186, 10.3169513 51.3897525, 10.3168837 51.3897957)",,,
27563844,,,Hinterm Ringau,living_street,,False,False,250.19399999999996,"LINESTRING (10.321711 51.389754, 10.321582 51.3897567, 10.3215143 51.3897639, 10.321267 51.3897872, 10.3210866 51.3898001, 10.3209291 51.3898064, 10.3207533 51.3898099, 10.3205314 51.3898122, 10.3203055 51.3898112, 10.3200393 51.3898099, 10.3198665 51.3898045, 10.319706 51.3897968, 10.3195766 51.3897771, 10.3194538 51.3897575, 10.3192648 51.3897212, 10.318799 51.3896365, 10.318597 51.3896085, 10.3183756 51.3895876, 10.3181604 51.3895566)",,,
27581020,,,Brückenstraße,residential,,False,False,68.618,"LINESTRING (10.321711 51.389754, 10.3217169 51.3896122, 10.3217182 51.3892241, 10.3217754 51.3891446)",,,
27602519,,,Hinterm Ringau,living_street,,True,False,93.33700000000002,"LINESTRING (10.3230145 51.3895742, 10.322755 51.3896411, 10.3224109 51.3897063, 10.3221115 51.3897364, 10.321711 51.389754)",,,
149905074,3,L 3080,Berliner Straße,secondary,50,False,True,13.213000000000001,"LINESTRING (10.3230145 51.3895742, 10.3229787 51.3895341, 10.3229218 51.3894704)",,,
"[369142272, 369142273, 301674172, 369142270, 369142271]","['4', '3']",L 3080,Berliner Straße,secondary,50,False,False,85.725,"LINESTRING (10.3230145 51.3895742, 10.3230609 51.3896264, 10.3232128 51.3897973, 10.3233786 51.3899855, 10.3234017 51.3900115, 10.3235403 51.3901678, 10.3236122 51.3902489)",,,
