osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,junction,access
23205240,2,L 55,Frauendorfer Straße,secondary,False,False,8.043,,"LINESTRING (13.7579374 51.3785901, 13.7579923 51.3786538)",,
"[23205416, 171277988, 23205415]",2,L 55,Straße der Einheit,secondary,False,True,171.015,yes,"LINESTRING (13.7579374 51.3785901, 13.7576014 51.3779803, 13.7575437 51.377844, 13.7574937 51.3774426, 13.7574488 51.3770942)",,
1152530321,,,Lindenauer Straße,residential,False,False,103.996,,"LINESTRING (13.7579374 51.3785901, 13.7577411 51.3786313, 13.7565255 51.3789032)",,
"[171277985, 16790067]",2,K 6635,Elsterwerdaer Straße,tertiary,False,True,61.332,,"LINESTRING (13.7570674 51.3759138, 13.7565365 51.376131, 13.7564495 51.376162, 13.7563841 51.3761704, 13.7563022 51.3761693)",,
171277984,2,L 55,Bahnhofstraße,secondary,False,True,145.648,,"LINESTRING (13.7570674 51.3759138, 13.7576537 51.3757023, 13.7576876 51.3756901, 13.7577923 51.3756585, 13.7583032 51.3755046, 13.7589323 51.3753151)",,
171277988,2,L 55,Straße der Einheit,secondary,False,False,137.162,,"LINESTRING (13.7570674 51.3759138, 13.7571125 51.3759583, 13.7572855 51.3761329, 13.7573567 51.3762142, 13.7573633 51.3762306, 13.7573802 51.3762727, 13.7573891 51.3763801, 13.7574488 51.3770942)",,
66371003,,,Forstgasse,residential,False,False,148.377,,"LINESTRING (13.7572581 51.3734377, 13.756857 51.3735455, 13.7565817 51.3736203, 13.7565386 51.3736361, 13.7562968 51.3738259, 13.7560865 51.374103, 13.7560532 51.3743963)",,
182423997,2,L 55,Großenhainer Straße,secondary,False,False,88.72,,"LINESTRING (13.7572581 51.3734377, 13.7575989 51.3735795, 13.7578627 51.3736713, 13.758344 51.3738579)",,
182423997,2,L 55,Großenhainer Straße,secondary,False,True,213.627,,"LINESTRING (13.7572581 51.3734377, 13.7571762 51.3733772, 13.7569103 51.3731924, 13.7566525 51.3729562, 13.7564818 51.3727544, 13.7563369 51.3725468, 13.7560338 51.372106, 13.7559409 51.3719954, 13.7558368 51.3719023, 13.7557077 51.371794)",,
171279222,,,Schützenhausstraße,residential,False,True,155.322,,"LINESTRING (13.7593326 51.373391, 13.7600619 51.3733449, 13.760795 51.3732685, 13.7615478 51.3731974)",,
