osmid,bridge,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,ref,junction,width
"[12835001, 36951339]",yes,True,1,trunk_link,100,False,220.61899999999997,"LINESTRING (9.2069415 49.2276344, 9.2070802 49.2272605, 9.2071282 49.2271362, 9.2073355 49.2265874, 9.2075902 49.2258315, 9.2076385 49.2257554, 9.2076895 49.2257187)",,,,
23857769,,False,,residential,30,False,67.293,"LINESTRING (9.2113034 49.2283631, 9.2112985 49.2284477, 9.2111806 49.228749, 9.2111011 49.228952)",Lerchenstraße,,,
"[1190710472, 28028553]",,False,,tertiary,30,True,115.619,"LINESTRING (9.2113034 49.2283631, 9.210635 49.2283657, 9.2104922 49.228367, 9.2102497 49.2283674, 9.2101303 49.2283676, 9.2098761 49.2283686, 9.2097112 49.228369)",Rathausplatz,,,
"[47703299, 262459093]",,False,,tertiary,30,False,114.738,"LINESTRING (9.2113034 49.2283631, 9.2114501 49.2283572, 9.2118391 49.2283583, 9.2121246 49.2283591, 9.2128062 49.2283531, 9.2128782 49.2283354)","['Rathausplatz', 'Friedrichshaller Straße']",,,
12835009,,False,,tertiary,,False,11.504999999999999,"LINESTRING (9.2128782 49.2283354, 9.2129201 49.2282991, 9.2129505 49.2282446)",Sprengelbachstraße,,,
"[47703299, 262459093]",,False,,tertiary,30,True,114.73800000000001,"LINESTRING (9.2128782 49.2283354, 9.2128062 49.2283531, 9.2121246 49.2283591, 9.2118391 49.2283583, 9.2114501 49.2283572, 9.2113034 49.2283631)","['Rathausplatz', 'Friedrichshaller Straße']",,,
54188423,,False,,residential,20,True,68.43,"LINESTRING (9.2128782 49.2283354, 9.2129722 49.228382, 9.2130744 49.228417, 9.2135178 49.2285173, 9.2137443 49.2285685)",Friedrichshaller Straße,,,
12835009,,False,,tertiary,,True,42.08,"LINESTRING (9.2129361 49.2273263, 9.2129438 49.2277047)",Sprengelbachstraße,,,
"[47704280, 12835009, 330616397, 32497975]",yes,False,,tertiary,,False,65.884,"LINESTRING (9.2129361 49.2273263, 9.212936 49.2273007, 9.212935 49.2270775, 9.212945 49.2270003, 9.2129751 49.2267348)",Sprengelbachstraße,,,
"[37528964, 33182693]",,True,,residential,,False,212.197,"LINESTRING (9.2129361 49.2273263, 9.2121998 49.2273555, 9.2121353 49.2273803, 9.2121486 49.2278316, 9.2121605 49.2282358, 9.2122313 49.2282599, 9.2129505 49.2282446)",Rathausstraße,,,
"[27745761, 26982931, 336117852, 743186789]",yes,False,"['2', '3']",secondary,30,False,263.712,"LINESTRING (9.21651 49.2282201, 9.2166266 49.2281372, 9.2167513 49.228035, 9.216842 49.2279106, 9.2169208 49.2277571, 9.2175975 49.2263342, 9.2177513 49.2260107)",Hauptstraße,L 1088,,
"[429046562, 28028492, 80217149, 28028494]",yes,False,3,secondary,50,True,122.35699999999999,"LINESTRING (9.21651 49.2282201, 9.2166006 49.2283462, 9.2166167 49.2284817, 9.2165905 49.2285449, 9.2164738 49.228825, 9.2163857 49.2289957, 9.2163469 49.2290593, 9.2162975 49.2291318, 9.2162096 49.2292611)","['Friedrichsplatz', 'Kocherwaldstraße']",L 1096,,
"[336117884, 28028332, 429046564, 336117886]",,False,"['2', '3']",secondary,50,False,306.13800000000003,"LINESTRING (9.21651 49.2282201, 9.2164165 49.228155, 9.216221 49.2280778, 9.2156226 49.2278823, 9.2153094 49.2277663, 9.2149986 49.2276286, 9.2138669 49.2271009, 9.2132959 49.2268428, 9.2129751 49.2267348)",,L 1096,,
"[36950018, 336117883, 336117885, 82450263]",,False,3,secondary,"['50', '100']",False,208.235,"LINESTRING (9.2129751 49.2267348, 9.2124726 49.2265887, 9.2122136 49.226532, 9.211886 49.2264603, 9.2110462 49.2262836, 9.2102576 49.2261454)",,L 1096,,
"[47704280, 12835009, 330616397, 32497975]",yes,False,,tertiary,,True,65.884,"LINESTRING (9.2129751 49.2267348, 9.212945 49.2270003, 9.212935 49.2270775, 9.212936 49.2273007, 9.2129361 49.2273263)",Sprengelbachstraße,,,
"[28028332, 336117884, 429046564, 336117886]",,False,"['2', '3']",secondary,50,True,306.138,"LINESTRING (9.2129751 49.2267348, 9.2132959 49.2268428, 9.2138669 49.2271009, 9.2149986 49.2276286, 9.2153094 49.2277663, 9.2156226 49.2278823, 9.216221 49.2280778, 9.2164165 49.228155, 9.21651 49.2282201)",,L 1096,,
31183526,,False,2,secondary,30,False,75.936,"LINESTRING (9.214878 49.2308166, 9.215391 49.2302215)",Kocherwaldstraße,L 1096,,
143992931,,True,,secondary,30,False,12.120000000000001,"LINESTRING (9.214878 49.2308166, 9.2149175 49.2308362, 9.2149439 49.2308662, 9.2149484 49.2309081)",Kocherwaldstraße,L 1096,roundabout,
23857734,,False,,residential,30,False,103.832,"LINESTRING (9.2149484 49.2309081, 9.2150175 49.2309202, 9.2162922 49.2312268)",Tulpenweg,,,6
143992931,,True,,secondary,30,False,16.559,"LINESTRING (9.2149484 49.2309081, 9.2149244 49.2309439, 9.2148786 49.2309689, 9.2148208 49.2309779, 9.2147727 49.2309715)",Kocherwaldstraße,L 1096,roundabout,
36544864,,False,2,secondary,30,True,53.757999999999996,"LINESTRING (9.2147727 49.2309715, 9.2147193 49.231037, 9.214661 49.231101, 9.2144557 49.2313594, 9.2144244 49.231398)",Kocherwaldstraße,L 1096,,
143992931,,True,,secondary,30,False,13.675,"LINESTRING (9.2147727 49.2309715, 9.2147131 49.2309412, 9.2146908 49.2309027, 9.2146946 49.2308703)",Kocherwaldstraße,L 1096,roundabout,
23857726,,False,,residential,30,False,70.484,"LINESTRING (9.2146946 49.2308703, 9.2144711 49.2308262, 9.2143482 49.2307957, 9.2139552 49.2306934, 9.2137844 49.2306511)",Industriestraße,,,
143992931,,True,,secondary,30,False,16.531,"LINESTRING (9.2146946 49.2308703, 9.2147143 49.2308433, 9.2147621 49.2308167, 9.2148259 49.2308078, 9.214878 49.2308166)",Kocherwaldstraße,L 1096,roundabout,
23857726,,False,,residential,30,True,57.73,"LINESTRING (9.2130537 49.2304465, 9.2137844 49.2306511)",Industriestraße,,,
23857726,,False,,residential,30,False,186.186,"LINESTRING (9.2130537 49.2304465, 9.212825 49.2303506, 9.212581 49.2302271, 9.2124216 49.2301561, 9.2122687 49.2300884, 9.2119783 49.229979, 9.2112282 49.2297751, 9.2109492 49.2296975, 9.2108808 49.2296559, 9.2108519 49.2296205)",Industriestraße,,,
30925397,,False,,living_street,,False,214.761,"LINESTRING (9.2130537 49.2304465, 9.2130662 49.2304126, 9.2133564 49.2296234, 9.2137414 49.2285761, 9.2137443 49.2285685)",Nordstraße,,,
28495276,,False,,living_street,,False,27.809,"LINESTRING (9.2177044 49.2301502, 9.2179881 49.2299822)",Hohenmölsener Straße,,,
953807007,,False,,tertiary,30,False,67.989,"LINESTRING (9.2177044 49.2301502, 9.2170779 49.2296958)",Hagenbacher Straße,K 2028,,
23857734,,False,,residential,30,True,91.607,"LINESTRING (9.2177044 49.2301502, 9.2175757 49.2302488, 9.2173854 49.2304845, 9.2173645 49.2305064, 9.2172387 49.2306376, 9.2172026 49.230685, 9.2170756 49.2308607)",Tulpenweg,,,6
"[36544867, 953807007]",,False,,tertiary,"['50', '30']",True,160.983,"LINESTRING (9.2177044 49.2301502, 9.2177709 49.2302016, 9.2179877 49.2303566, 9.2180753 49.2304192, 9.2191818 49.2312296)",Hagenbacher Straße,K 2028,,
953807007,,False,,tertiary,30,True,67.989,"LINESTRING (9.2170779 49.2296958, 9.2177044 49.2301502)",Hagenbacher Straße,K 2028,,
37373844,,False,,residential,30,False,108.297,"LINESTRING (9.2170779 49.2296958, 9.2166934 49.2301588, 9.2166455 49.2302176, 9.216454 49.2304839, 9.2163933 49.2305607)",Lilienweg,,,
37382532,,False,,residential,30,False,63.59800000000001,"LINESTRING (9.2170779 49.2296958, 9.2171138 49.2296758, 9.2174078 49.2295115, 9.217501 49.2294729, 9.2175628 49.229449, 9.2176306 49.2294554, 9.2177238 49.2294722, 9.2178154 49.2294869)",Saint-Jean-Le-Blanc-Straße,,,
953807007,,False,,tertiary,30,False,79.44800000000001,"LINESTRING (9.2170779 49.2296958, 9.2170284 49.2296698, 9.2166515 49.2294817, 9.2164868 49.2293995, 9.2162096 49.2292611)",Hagenbacher Straße,K 2028,,
31183526,,False,2,secondary,30,True,122.252,"LINESTRING (9.2162096 49.2292611, 9.2160445 49.2294395, 9.2159675 49.2295297, 9.2157302 49.2298077, 9.215676 49.2298713, 9.2155094 49.230067, 9.215391 49.2302215)",Kocherwaldstraße,L 1096,,
"[47704278, 54188423]",,False,,residential,20,False,195.82500000000002,"LINESTRING (9.2162096 49.2292611, 9.2160111 49.2291699, 9.2158429 49.2290926, 9.2157232 49.2290503, 9.2157013 49.2290425, 9.2147305 49.2288128, 9.2145256 49.2287613, 9.2143087 49.2287068, 9.2141184 49.2286602, 9.2137443 49.2285685)",Friedrichshaller Straße,,,
"[429046562, 28028492, 80217149, 28028494]",yes,False,3,secondary,50,False,122.357,"LINESTRING (9.2162096 49.2292611, 9.2162975 49.2291318, 9.2163469 49.2290593, 9.2163857 49.2289957, 9.2164738 49.228825, 9.2165905 49.2285449, 9.2166167 49.2284817, 9.2166006 49.2283462, 9.21651 49.2282201)","['Friedrichsplatz', 'Kocherwaldstraße']",L 1096,,
953807007,,False,,tertiary,30,True,79.44800000000001,"LINESTRING (9.2162096 49.2292611, 9.2164868 49.2293995, 9.2166515 49.2294817, 9.2170284 49.2296698, 9.2170779 49.2296958)",Hagenbacher Straße,K 2028,,
108445152,,False,1,residential,30,True,34.178,"LINESTRING (9.2101176 49.2309397, 9.2105877 49.2309551)",Lerchenstraße,,,
262459078,,False,,residential,30,True,149.859,"LINESTRING (9.2101176 49.2309397, 9.2102514 49.2306009, 9.2103738 49.2302844, 9.2104962 49.2299825, 9.2106058 49.2298031, 9.2106641 49.2297177, 9.2107044 49.2296502)",Lerchenstraße,,,
"[714369249, 822166078]",,False,1,residential,30,"[False, True]",226.99200000000002,"LINESTRING (9.2101176 49.2309397, 9.2090836 49.2308962, 9.2094044 49.2295476)",Kurze Straße,,,
23857775,,False,,residential,30,False,13.731,"LINESTRING (9.2099349 49.2323165, 9.2101239 49.2323123)",Friedrich-Ebert-Straße,,,
23857775,,False,,residential,30,True,13.731,"LINESTRING (9.2101239 49.2323123, 9.2099349 49.2323165)",Friedrich-Ebert-Straße,,,
23857775,,False,,residential,30,False,35.314,"LINESTRING (9.2101239 49.2323123, 9.2101798 49.2323104, 9.2106099 49.2323001)",Friedrich-Ebert-Straße,,,
"[37522656, 23857792]",,False,,residential,30,False,187.517,"LINESTRING (9.2101239 49.2323123, 9.209742 49.2335791, 9.2103468 49.2335626)","['Damaschkestraße', 'Röntgenstraße']",,,
23857775,,False,,residential,30,False,84.141,"LINESTRING (9.210948 49.2322948, 9.2121054 49.2322574)",Friedrich-Ebert-Straße,,,
23857775,,False,,residential,30,True,24.556,"LINESTRING (9.210948 49.2322948, 9.2106099 49.2323001)",Friedrich-Ebert-Straße,,,
23857796,,False,,residential,30,False,94.493,"LINESTRING (9.210948 49.2322948, 9.2108566 49.2326787, 9.2108281 49.2331396)",Bunsenstraße,,,
23857792,,False,,residential,30,False,60.991,"LINESTRING (9.2114272 49.2335071, 9.2122662 49.2334802)",Damaschkestraße,,,
23857792,,False,,residential,30,True,9.12,"LINESTRING (9.2114272 49.2335071, 9.2113017 49.2335104)",Damaschkestraße,,,
47667365,,False,,residential,30,True,147.44,"LINESTRING (9.2114272 49.2335071, 9.2120737 49.2323276, 9.2121054 49.2322574)",Robert-Bosch-Straße,,,
