osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction
10504412,2,L 73,Schulstraße,residential,50,False,False,126.348,"LINESTRING (11.5945714 51.8503121, 11.5942306 51.8491955)",,
210294789,2,L 73,Hohenerxlebener Straße,tertiary,50,False,False,35.23,"LINESTRING (11.5945714 51.8503121, 11.5950727 51.8502451)",,
1151408696,2,,Hohenerxlebener Straße,tertiary,50,False,True,68.923,"LINESTRING (11.5945714 51.8503121, 11.5943953 51.8503371, 11.59392 51.8504045, 11.5935934 51.8504508)",,
28385703,2,L 71;L 73,Bernburger Straße,secondary,50,False,False,121.31500000000003,"LINESTRING (11.5897331 51.8473998, 11.5892412 51.8476119, 11.5889262 51.847722, 11.5886727 51.8477834, 11.5884289 51.8478245, 11.5881536 51.8478536)",,
47591911,,,Kalkstraße,residential,,False,True,254.438,"LINESTRING (11.5897331 51.8473998, 11.5897975 51.8474494, 11.589846 51.8475065, 11.5899264 51.8478376, 11.5899527 51.8479284, 11.5900591 51.8482954, 11.5901221 51.8485131, 11.5904558 51.8496334)",,
32074336,2,L 71;L 72;L 73,Bernburger Straße,secondary,50,False,False,51.961,"LINESTRING (11.5876638 51.8478556, 11.5874896 51.8478353, 11.5874221 51.8478284, 11.5873232 51.8478126, 11.5871624 51.8477788, 11.5869408 51.8477239)",,
47007339,1,,Zollstraße,residential,,True,False,366.08199999999994,"LINESTRING (11.5876638 51.8478556, 11.5877003 51.848, 11.587735 51.8482719, 11.5878925 51.8499531, 11.5879287 51.850006, 11.5880492 51.8501148, 11.5886279 51.8506373, 11.5887549 51.8507811, 11.5888386 51.8509776)",,
1099456964,2,L 71;L 72;L 73,Bernburger Straße,secondary,50,False,True,33.72,"LINESTRING (11.5876638 51.8478556, 11.5879282 51.8478646, 11.5881536 51.8478536)",,
"[32074336, 364741166]","['2', '3']",L 71;L 72;L 73,Bernburger Straße,secondary,50,False,True,92.566,"LINESTRING (11.5856806 51.8474832, 11.5857669 51.8474662, 11.5858521 51.8474614, 11.585919 51.8474653, 11.5869408 51.8477239)",,
"[364741243, 364741236, 33902502, 364741239]","['4', '2', '3']",,Schlachthofstraße,tertiary,50,False,False,215.608,"LINESTRING (11.5968031 51.8542699, 11.5967567 51.8543091, 11.5966736 51.85437, 11.5965729 51.8544362, 11.5964717 51.8544913, 11.596377 51.8545358, 11.59631 51.8545621, 11.5961938 51.854603, 11.5960857 51.8546335, 11.5959486 51.8546644, 11.5958122 51.8546919, 11.5950666 51.8548354, 11.5950346 51.8548405, 11.5947451 51.8548737, 11.5944989 51.8549142, 11.5943244 51.8549483, 11.5942756 51.8549588, 11.5942298 51.8549686, 11.5940872 51.854999, 11.5939798 51.8550189)",,
