osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,access,ref
"[187060060, 40584783]",True,"['2', '1']",primary_link,50,False,34.099999999999994,"LINESTRING (8.4605109 49.4936742, 8.4605608 49.4935872, 8.4606013 49.4935069, 8.4606254 49.4934773, 8.460724 49.493406)",,,
23263249,True,,residential,30,False,94.061,"LINESTRING (8.4709533 49.4867793, 8.4710769 49.4869141, 8.4713036 49.4871614, 8.4716216 49.4875053)",,,
255389621,True,,residential,30,False,70.3,"LINESTRING (8.4709533 49.4867793, 8.4707193 49.4868663, 8.470115 49.4871004)",Fressgasse,,
123699908,True,1,primary_link,50,False,41.457,"LINESTRING (8.4708079 49.4934649, 8.4707306 49.4934601, 8.4706548 49.4934494, 8.4705888 49.4934349, 8.4705256 49.4934159, 8.4704833 49.4933972, 8.4704477 49.493381, 8.4703137 49.4932983)",,,
"[999614640, 1148578793, 204207303]",True,4,primary,50,False,41.448,"LINESTRING (8.470528 49.4931131, 8.4707065 49.4929582, 8.4707459 49.492927, 8.4708677 49.4928369, 8.470877 49.4928302, 8.4708881 49.4928233)",Kurpfalzkreisel,,
"[204207312, 4420857]",True,2,primary,50,False,37.720000000000006,"LINESTRING (8.4713422 49.4927261, 8.471438 49.4927241, 8.4715035 49.4927268, 8.4715398 49.4927317, 8.471575 49.4927393, 8.4716131 49.4927512, 8.4716485 49.4927662, 8.4716731 49.4927795, 8.4716954 49.4927942, 8.4717154 49.4928104, 8.4717329 49.4928278, 8.4717451 49.4928453, 8.4717476 49.4928493, 8.4717604 49.4928726)",Kurpfalzkreisel,,
164086721,True,2,primary,50,False,26.906999999999996,"LINESTRING (8.4713422 49.4927261, 8.4715613 49.4926961, 8.4717066 49.4926758)",Friedrichsring,,
"[305325049, 305325046]",True,2,primary,50,False,72.901,"LINESTRING (8.4727782 49.4923594, 8.472982 49.4922733, 8.4731795 49.4921865, 8.4734651 49.4920401, 8.4735849 49.4919674)",Friedrichsring,,
"[659292417, 659292418, 4404114, 659292406, 659292407, 659292408]",True,,residential,"['50', '30']",False,212.40100000000004,"LINESTRING (8.4727782 49.4923594, 8.4726698 49.4923141, 8.4726552 49.4922978, 8.4726361 49.4922766, 8.4722414 49.4918484, 8.472093 49.4916881, 8.4717982 49.4913618, 8.4717463 49.4913043, 8.4717074 49.4912612, 8.4716128 49.4911563, 8.4715726 49.491113, 8.4715133 49.491049, 8.4714787 49.4910117, 8.471335 49.4908566, 8.4712313 49.4907448)",,,
305325049,True,2,primary,50,False,65.69800000000001,"LINESTRING (8.4735849 49.4919674, 8.4738641 49.4917836, 8.474046 49.4916481, 8.4741946 49.4915296)",Friedrichsring,,
7980431,True,,living_street,30,False,185.82399999999998,"LINESTRING (8.4741946 49.4915296, 8.4741527 49.4914692, 8.4728849 49.4900917)",,,
97301275,True,,residential,30,False,79.30399999999999,"LINESTRING (8.4659092 49.4887113, 8.4654307 49.4881935, 8.4653524 49.4881096, 8.4653434 49.4881001)",Marktstraße,,
"[190431168, 628505596]",True,1,residential,30,False,68.907,"LINESTRING (8.4659092 49.4887113, 8.4656021 49.488832, 8.4650931 49.4890322)",,,
190431168,True,1,residential,30,False,70.161,"LINESTRING (8.4650931 49.4890322, 8.4645196 49.4892547, 8.4642598 49.4893564)",,,
