osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,tunnel
33237521,Roßgasse,residential,False,False,91.048,"LINESTRING (10.4294308 49.6470583, 10.4295209 49.6472999, 10.429673 49.6478616)",,,,
47897431,Nürnberger Straße,tertiary,False,False,75.582,"LINESTRING (10.4294308 49.6470583, 10.429585 49.6470313, 10.4299567 49.6469822, 10.4301919 49.6469478, 10.430317 49.6469245, 10.43045 49.6468975)",2,30,,
47897431,Nürnberger Straße,tertiary,False,True,71.464,"LINESTRING (10.4294308 49.6470583, 10.4292977 49.6470877, 10.429165 49.64712, 10.4285107 49.6472988)",2,30,,
28800515,Rathausgasse,residential,False,False,15.903,"LINESTRING (10.4257895 49.6483329, 10.4259987 49.6483788)",,,,
215784692,Julius-Echter-Platz,tertiary,False,False,45.464999999999996,"LINESTRING (10.4257895 49.6483329, 10.4258403 49.6482973, 10.4258857 49.6482583, 10.4260504 49.6480496, 10.4261145 49.6479845)",2,30,,
"[215784692, 83897959]","['Julius-Echter-Platz', 'Würzburger Straße']",tertiary,False,True,68.39999999999999,"LINESTRING (10.4257895 49.6483329, 10.4257244 49.6483698, 10.4254881 49.6484717, 10.4250021 49.6486762)",2,30,,
83897959,Würzburger Straße,tertiary,False,True,48.519,"LINESTRING (10.4250021 49.6486762, 10.4244526 49.6489288)",2,30,,
70904989,Scharfes Eck,residential,False,False,154.78,"LINESTRING (10.4250021 49.6486762, 10.4248978 49.6485443, 10.4248542 49.6484114, 10.4248157 49.6480841, 10.4248286 49.6479744, 10.4248943 49.6478939, 10.4249447 49.647875, 10.4251546 49.6478451, 10.4255348 49.6478244, 10.4257735 49.6478309)",,50,,
"[215784692, 83897959]","['Julius-Echter-Platz', 'Würzburger Straße']",tertiary,False,False,68.39999999999999,"LINESTRING (10.4250021 49.6486762, 10.4254881 49.6484717, 10.4257244 49.6483698, 10.4257895 49.6483329)",2,30,,
"[152222089, 44151715, 262044822]",Bamberger Straße,primary,False,False,260.102,"LINESTRING (10.4262111 49.6514646, 10.4260418 49.6514023, 10.4258344 49.6513035, 10.4256886 49.651215, 10.4255894 49.6511426, 10.4252178 49.6507725, 10.4250206 49.6505644, 10.4243453 49.6498369, 10.4241179 49.6495919)",2,50,B 8,
28800517,Am Graben,residential,False,False,39.183,"LINESTRING (10.4269468 49.6485844, 10.427029 49.6485925, 10.4271208 49.6485774, 10.4274646 49.6484954)",,,,
43871470,Rathausgasse,residential,False,False,27.688000000000002,"LINESTRING (10.4269468 49.6485844, 10.4269008 49.6485575, 10.4267809 49.6483636)",,,,
"[33178947, 152037923, 100167334]","['Bamberger Straße', 'Rathausgasse']","['residential', 'unclassified']",False,"[False, True]",359.96700000000004,"LINESTRING (10.4269468 49.6485844, 10.4269195 49.6486384, 10.4269316 49.6487593, 10.4270626 49.6489105, 10.4271984 49.6491008, 10.4272728 49.6493024, 10.4254257 49.6496414, 10.4247822 49.649762, 10.4244548 49.6493643, 10.4244162 49.6492738, 10.4243772 49.6492036, 10.424324 49.6491396, 10.4242346 49.6490576)",,,,
28800515,Rathausgasse,residential,False,True,60.017,"LINESTRING (10.4267809 49.6483636, 10.4267156 49.6483108, 10.4266456 49.648302, 10.4264792 49.6483177, 10.4259987 49.6483788)",,,,
43871470,Rathausgasse,residential,False,True,27.688000000000002,"LINESTRING (10.4267809 49.6483636, 10.4269008 49.6485575, 10.4269468 49.6485844)",,,,
43871471,Rathausgasse,residential,False,False,32.449,"LINESTRING (10.4267809 49.6483636, 10.4267457 49.6482377, 10.4266901 49.6480983, 10.42668 49.6480795)",,,,
43871471,Rathausgasse,residential,False,True,32.449,"LINESTRING (10.42668 49.6480795, 10.4266901 49.6480983, 10.4267457 49.6482377, 10.4267809 49.6483636)",,,,
28800517,Am Graben,residential,False,True,102.27600000000001,"LINESTRING (10.4310514 49.6476645, 10.4306439 49.6476858, 10.4302791 49.6477796, 10.4299316 49.6478288, 10.429673 49.6478616)",,,,
33237542,Hirtengasse,residential,False,False,93.579,"LINESTRING (10.4310514 49.6476645, 10.4310076 49.6471139, 10.4309845 49.6469888, 10.4308984 49.6468343)",,,,
33237546,Mühlstraße,residential,False,False,83.751,"LINESTRING (10.4310514 49.6476645, 10.431477 49.6476544, 10.4318269 49.6476148, 10.4321928 49.6475434)",,,,
83897959,Würzburger Straße,tertiary,False,False,48.519,"LINESTRING (10.4244526 49.6489288, 10.4250021 49.6486762)",2,30,,
192593884,Jahnstraße,residential,False,True,13.03,"LINESTRING (10.4244526 49.6489288, 10.4244064 49.6488155)",,50,,
50902643,Würzburger Straße,tertiary,False,True,21.249,"LINESTRING (10.4244526 49.6489288, 10.4243938 49.6489647, 10.4242346 49.6490576)",2,50,,
192593884,Jahnstraße,residential,False,False,13.03,"LINESTRING (10.4244064 49.6488155, 10.4244526 49.6489288)",,50,,
152199798,Torbuck,residential,False,False,161.51500000000001,"LINESTRING (10.4244064 49.6488155, 10.4243219 49.6481952, 10.4242946 49.6479424, 10.4242832 49.6478873, 10.4241507 49.6473736)",,50,,
"[192593884, 152199783]",Jahnstraße,residential,False,True,110.34100000000001,"LINESTRING (10.4244064 49.6488155, 10.4242052 49.6487904, 10.424042 49.6487707, 10.4239017 49.6487238, 10.4233065 49.648492, 10.4231881 49.6484698, 10.4230077 49.6484406)",,50,,
28812510,Frankenbergstraße,residential,False,False,32.889,"LINESTRING (10.4213072 49.6478432, 10.4210164 49.6476151)",,30,,
"[28803384, 28803170, 156000211, 152199782]",Jahnstraße,residential,False,"[False, True]",86.389,"LINESTRING (10.4213072 49.6478432, 10.4214653 49.647921, 10.4216549 49.6480149, 10.4218865 49.6481254, 10.4221134 49.6482601, 10.4222557 49.6483168)",,"['50', '30']",,yes
28812510,Frankenbergstraße,residential,False,True,32.889,"LINESTRING (10.4210164 49.6476151, 10.4213072 49.6478432)",,30,,
50902640,Frankenbergstraße,residential,False,False,10.549,"LINESTRING (10.4210164 49.6476151, 10.4209019 49.6475559)",,30,,
50902641,Weingartenstraße,residential,False,True,90.648,"LINESTRING (10.4210164 49.6476151, 10.4217667 49.6472119, 10.421929 49.647061)",,30,,
28803075,Bahnhofstraße,residential,False,True,82.586,"LINESTRING (10.4255537 49.647102, 10.4257336 49.6477149, 10.4257735 49.6478309)",,50,,
48276254,Raiffeisenstraße,residential,False,False,66.888,"LINESTRING (10.4255537 49.647102, 10.4252847 49.6471283, 10.4246591 49.6472582)",,50,,
"[47897433, 72259244]",Bahnhofstraße,residential,False,False,181.14799999999997,"LINESTRING (10.4255537 49.647102, 10.4255516 49.6469788, 10.4255489 49.6468706, 10.425555 49.6468311, 10.4255757 49.6467396, 10.4256313 49.6466378, 10.4256723 49.6465766, 10.4256963 49.6465408, 10.4258016 49.6464505, 10.4260419 49.6463058, 10.4262046 49.6462059, 10.4263644 49.6461059, 10.4268495 49.645802)",,,,
"[152199776, 65272329]",Allee,residential,False,True,335.136,"LINESTRING (10.4255537 49.647102, 10.4261814 49.6469764, 10.4268266 49.646853, 10.4274219 49.6467323, 10.4298405 49.6462094, 10.4299069 49.6462024, 10.4299907 49.6462067)",,,,
28803075,Bahnhofstraße,residential,False,False,29.938000000000002,"LINESTRING (10.4261145 49.6479845, 10.4259239 49.6478914, 10.4257735 49.6478309)",,50,,
"[47897434, 47897431]","['Julius-Echter-Platz', 'Nürnberger Straße']",tertiary,False,False,74.473,"LINESTRING (10.4261145 49.6479845, 10.4261706 49.6479459, 10.4262414 49.6479105, 10.4263161 49.6478844, 10.4265738 49.6478146, 10.4270343 49.6476904)",2,30,,
215784692,Julius-Echter-Platz,tertiary,False,True,45.464999999999996,"LINESTRING (10.4261145 49.6479845, 10.4260504 49.6480496, 10.4258857 49.6482583, 10.4258403 49.6482973, 10.4257895 49.6483329)",2,30,,
152199782,Jahnstraße,residential,False,True,56.144999999999996,"LINESTRING (10.4230077 49.6484406, 10.4225647 49.6483934, 10.4222557 49.6483168)",,50,,
"[192593884, 152199783]",Jahnstraße,residential,False,False,110.341,"LINESTRING (10.4230077 49.6484406, 10.4231881 49.6484698, 10.4233065 49.648492, 10.4239017 49.6487238, 10.424042 49.6487707, 10.4242052 49.6487904, 10.4244064 49.6488155)",,50,,
"[320182625, 320182626, 48276254]",Raiffeisenstraße,residential,False,True,153.457,"LINESTRING (10.4230077 49.6484406, 10.423048 49.6480393, 10.4231052 49.6479849, 10.4237393 49.6476142, 10.4241507 49.6473736)",,50,,
