osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,access,junction
21524448,2,Scholienstraße,tertiary,50,False,False,175.294,"LINESTRING (8.9061101 53.8069474, 8.9060724 53.8068787, 8.9060697 53.8067182, 8.9061241 53.8065005, 8.906217 53.8062147, 8.9062306 53.8061355, 8.9062401 53.8060801, 8.9062561 53.8053828)",,,,
37714251,2,Marktstraße,tertiary,50,False,False,76.892,"LINESTRING (8.9061101 53.8069474, 8.906007 53.8069691, 8.9058735 53.8070142, 8.9054745 53.807191, 8.9054023 53.8072227, 8.9052083 53.807315, 8.9051688 53.807349)",,,,
688934957,2,Cuxhavener Straße,residential,50,False,True,15.848,"LINESTRING (8.8971412 53.8077804, 8.8973693 53.807827)",,,,
23358480,2,Große Ortstraße,tertiary,50,False,False,213.03700000000003,"LINESTRING (8.8971412 53.8077804, 8.897059 53.8078613, 8.8968386 53.8080981, 8.896483 53.8085505, 8.8961663 53.8088877, 8.8956079 53.8094155, 8.8955663 53.8094528)",,,,
"[259450376, 51741726]","['2', '3']",Cuxhavener Straße,tertiary,50,False,False,68.994,"LINESTRING (8.8971412 53.8077804, 8.8966924 53.8076371, 8.8966031 53.8076199, 8.8961759 53.807543)",,,,
27384397,3,Bahnhofstraße,tertiary,50,False,False,32.036,"LINESTRING (8.8957209 53.8074714, 8.8957554 53.8073509, 8.8957557 53.807185)",K 70,,,
46016835,2,Cuxhavener Straße,tertiary,50,False,False,57.682,"LINESTRING (8.8957209 53.8074714, 8.8954816 53.8074314, 8.8950416 53.8073699, 8.8948713 53.8073401)",K 70,,,
259450376,3,Cuxhavener Straße,tertiary,50,False,True,30.921,"LINESTRING (8.8957209 53.8074714, 8.8959799 53.8075142, 8.8961759 53.807543)",,,,
"[670732567, 241133855]",2,Cuxhavener Straße,tertiary,50,False,True,98.636,"LINESTRING (8.8922118 53.8069396, 8.8923448 53.8069615, 8.8923607 53.8069641, 8.8923822 53.8069673, 8.8930528 53.8070665, 8.8931899 53.8070874, 8.8933829 53.8071174, 8.8936662 53.8071615)",K 70,,,
21524448,2,Scholienstraße,tertiary,50,False,False,77.11,"LINESTRING (8.9062561 53.8053828, 8.9062486 53.805112, 8.9062262 53.8048403, 8.9062226 53.8048047, 8.9062075 53.8046901)",,,,
21524448,2,Scholienstraße,tertiary,50,False,True,175.294,"LINESTRING (8.9062561 53.8053828, 8.9062401 53.8060801, 8.9062306 53.8061355, 8.906217 53.8062147, 8.9061241 53.8065005, 8.9060697 53.8067182, 8.9060724 53.8068787, 8.9061101 53.8069474)",,,,
