osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,tunnel
506438934,4,Walsroder Straße,tertiary,50,False,False,18.01,"LINESTRING (9.7347141 52.4390008, 9.7348085 52.4391522)",,
"[1152882196, 1152882197, 1152882198]",2,Imhoffstraße,residential,30,False,False,88.45699999999998,"LINESTRING (9.7326177 52.4456083, 9.7327736 52.445586, 9.7332617 52.445493, 9.7333375 52.4454847, 9.7334126 52.4454834, 9.7337539 52.4454958, 9.7338528 52.4454995, 9.7338932 52.445501)",,
"[6279482, 1152882195]",2,Rosenstraße,residential,30,False,False,194.752,"LINESTRING (9.7338932 52.445501, 9.7338992 52.4454242, 9.7339861 52.4443184, 9.7339839 52.4441047, 9.7339634 52.4439359, 9.733921 52.4437532)",,
"[1152882184, 1152882196]",2,Imhoffstraße,residential,30,False,False,169.916,"LINESTRING (9.7338932 52.445501, 9.7340268 52.445506, 9.7349256 52.4455437, 9.7363939 52.4456096)",,
"[1152882196, 1152882197, 1152882198]",2,Imhoffstraße,residential,30,False,True,88.45699999999998,"LINESTRING (9.7338932 52.445501, 9.7338528 52.4454995, 9.7337539 52.4454958, 9.7334126 52.4454834, 9.7333375 52.4454847, 9.7332617 52.445493, 9.7327736 52.445586, 9.7326177 52.4456083)",,
26527530,2,Walsroder Straße,tertiary,50,True,False,91.428,"LINESTRING (9.7383348 52.4454572, 9.7383949 52.4455519, 9.7385135 52.4457315, 9.7386074 52.4458991, 9.7388261 52.4462227)",,
27825736,2,Imhoffstraße,residential,30,False,True,133.824,"LINESTRING (9.7383348 52.4454572, 9.7381998 52.4454715, 9.7379318 52.4455294, 9.7376475 52.4455828, 9.7372158 52.4456014, 9.7366449 52.4456178, 9.7363939 52.4456096)",,
5088505,2,Konrad-Adenauer-Straße,unclassified,30,True,False,136.46,"LINESTRING (9.7360674 52.4412298, 9.7362491 52.4411939, 9.7377027 52.4409257, 9.7380054 52.4409124)",,
30066731,3,Walsroder Straße,tertiary,50,False,False,16.592,"LINESTRING (9.7360674 52.4412298, 9.7361197 52.4413355, 9.7361355 52.4413731)",,
"[790429369, 545568844]",3,Walsroder Straße,tertiary,50,False,True,109.34100000000001,"LINESTRING (9.7360674 52.4412298, 9.7360257 52.441152, 9.7358772 52.4408969, 9.7356001 52.440434, 9.7355178 52.4403054)",,
545568845,2,Walsroder Straße,tertiary,50,False,False,74.2,"LINESTRING (9.7364813 52.4420938, 9.7368445 52.4427233)",,
24635446,2,Ehlersstraße,residential,30,False,False,112.386,"LINESTRING (9.7364813 52.4420938, 9.7363599 52.4421189, 9.7349205 52.4424349)",,
"[316607184, 789241551]","['4', '3']",Walsroder Straße,tertiary,50,False,True,83.60600000000001,"LINESTRING (9.7364813 52.4420938, 9.7363147 52.4417721, 9.7362522 52.4416547, 9.7361924 52.4415358, 9.7361535 52.4414524, 9.7361355 52.4413731)",,
318812534,3,Konrad-Adenauer-Straße,unclassified,30,False,False,2.459,"LINESTRING (9.7380054 52.4409124, 9.7380405 52.4409068)",,
