osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,ref,bridge
"[4745297, 124775290]",Gaststraße,"['residential', 'living_street']",False,False,47.964,2,"LINESTRING (7.9298956 53.2563751, 7.9298479 53.2563594, 7.929765 53.2563428, 7.9296651 53.2563327, 7.9291955 53.2562798)",,,
"[24811459, 980002868]",Bahnhofstraße,residential,False,False,188.31699999999998,2,"LINESTRING (7.9298956 53.2563751, 7.9297753 53.256517, 7.9294874 53.2568865, 7.9292503 53.257304, 7.9292202 53.2573793, 7.9291542 53.2575296, 7.929119 53.2576174, 7.9290069 53.2578473, 7.9289676 53.2579683)",,,
32515258,Bahnhofstraße,residential,False,True,197.565,,"LINESTRING (7.9298956 53.2563751, 7.9300877 53.2562, 7.9303025 53.2560287, 7.9307949 53.2556306, 7.930998 53.255476, 7.9310756 53.2554169, 7.9312783 53.2552573, 7.9314669 53.2551087, 7.9316578 53.2549456)",50,,
"[509457189, 509457190]",Gaststraße,residential,False,True,62.790000000000006,2,"LINESTRING (7.9298956 53.2563751, 7.9299753 53.2564041, 7.9301584 53.256506, 7.9303304 53.2566153, 7.9304074 53.2566935, 7.930474 53.256805)",50,,
24900439,Schillerstraße,residential,False,False,65.652,,"LINESTRING (7.9316578 53.2549456, 7.9315996 53.2549266, 7.9313127 53.2548437, 7.9309738 53.2547573, 7.9307589 53.2547025)",,,
32515258,Bahnhofstraße,residential,False,False,197.565,,"LINESTRING (7.9316578 53.2549456, 7.9314669 53.2551087, 7.9312783 53.2552573, 7.9310756 53.2554169, 7.930998 53.255476, 7.9307949 53.2556306, 7.9303025 53.2560287, 7.9300877 53.2562, 7.9298956 53.2563751)",50,,
4745298,Peterstraße,living_street,False,True,55.626000000000005,2,"LINESTRING (7.9276467 53.2561457, 7.9276809 53.2558692, 7.9277084 53.2556468)",,,
"[636378616, 24425523]",Poststraße,living_street,False,False,79.20100000000001,2,"LINESTRING (7.9276467 53.2561457, 7.9275926 53.2561139, 7.927363 53.2560951, 7.9271353 53.2560834, 7.9269734 53.256075, 7.9267199 53.2560607, 7.9264826 53.2560578)",,,
124775290,Gaststraße,living_street,False,True,104.21600000000001,2,"LINESTRING (7.9276467 53.2561457, 7.9277763 53.2561692, 7.9280293 53.2561919, 7.9288113 53.2562506, 7.9290604 53.2562695, 7.9290933 53.256272, 7.9291955 53.2562798)",,,
24901979,Meinardusstraße,living_street,False,False,133.487,,"LINESTRING (7.9291955 53.2562798, 7.929402 53.2554689, 7.9294896 53.2554234, 7.9297801 53.2551657)",,,
124775290,Gaststraße,living_street,False,False,104.216,2,"LINESTRING (7.9291955 53.2562798, 7.9290933 53.256272, 7.9290604 53.2562695, 7.9288113 53.2562506, 7.9280293 53.2561919, 7.9277763 53.2561692, 7.9276467 53.2561457)",,,
"[4745297, 124775290]",Gaststraße,"['living_street', 'residential']",False,True,47.964,2,"LINESTRING (7.9291955 53.2562798, 7.9296651 53.2563327, 7.929765 53.2563428, 7.9298479 53.2563594, 7.9298956 53.2563751)",,,
24902194,Grüne Straße,residential,False,False,25.546,,"LINESTRING (7.9280518 53.2540821, 7.9276696 53.2540598)",30,,
"[550474832, 4745298, 27263107]",Peterstraße,"['residential', 'living_street']",False,False,71.616,2,"LINESTRING (7.9280518 53.2540821, 7.9280047 53.2541354, 7.9279652 53.2541954, 7.9279402 53.2542535, 7.9279058 53.2543776, 7.9278935 53.2544563, 7.9278592 53.2545838, 7.927837 53.2547084)",,,
"[636282484, 24900439]",Schillerstraße,residential,False,True,194.166,,"LINESTRING (7.9280518 53.2540821, 7.9282304 53.2540762, 7.9283613 53.2540945, 7.9288317 53.2541929, 7.9290682 53.2542554, 7.9291409 53.2542729, 7.9307589 53.2547025)",,,
