osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,lanes
7720833,K 43,Holter Straße,tertiary,50,False,False,221.186,"LINESTRING (8.6331554 51.9016388, 8.6333726 51.9016524, 8.6335332 51.9016625, 8.6339302 51.9017188, 8.6341845 51.9017742, 8.63459 51.9018925, 8.6349983 51.9020639, 8.6352552 51.9022003, 8.6355139 51.9023685, 8.6357421 51.9025547, 8.6358179 51.9026211)",,,
137712683,,Am Hallenbad,unclassified,30,False,True,56.747,"LINESTRING (8.6331554 51.9016388, 8.6331221 51.9017452, 8.6331096 51.9019576, 8.6331156 51.902147)",,,
"[7720835, 452337365, 157469846]",K 43,Holter Straße,tertiary,50,False,True,263.314,"LINESTRING (8.6331554 51.9016388, 8.6329336 51.9016316, 8.6324176 51.9016312, 8.6317173 51.9016322, 8.6302016 51.9016754, 8.6293195 51.9016832)",yes,,
7720837,,,tertiary,50,True,False,21.584,"LINESTRING (8.6360955 51.9026284, 8.6361203 51.9026439, 8.6361357 51.9026697, 8.63614 51.9027184, 8.6361153 51.9027639, 8.6360631 51.9027996)",,roundabout,
25324852,,Rathausstraße,residential,50,False,False,80.46000000000001,"LINESTRING (8.6360955 51.9026284, 8.6361795 51.9025716, 8.6362767 51.9025047, 8.636414 51.9024047, 8.6365617 51.9022756, 8.6367798 51.9020441)",,,
7720833,K 43,Holter Straße,tertiary,50,False,True,221.18599999999998,"LINESTRING (8.6358179 51.9026211, 8.6357421 51.9025547, 8.6355139 51.9023685, 8.6352552 51.9022003, 8.6349983 51.9020639, 8.63459 51.9018925, 8.6341845 51.9017742, 8.6339302 51.9017188, 8.6335332 51.9016625, 8.6333726 51.9016524, 8.6331554 51.9016388)",,,
7720837,,,tertiary,50,True,False,21.282,"LINESTRING (8.6358179 51.9026211, 8.6358686 51.9025991, 8.6359282 51.9025883, 8.6359902 51.9025899, 8.636048 51.9026038, 8.6360955 51.9026284)",,roundabout,
7720837,,,tertiary,50,True,False,18.496,"LINESTRING (8.6360631 51.9027996, 8.6360024 51.9028177, 8.6359353 51.9028216, 8.6358732 51.9028144, 8.6358133 51.9027902)",,roundabout,
7720838,K 43,Holter Straße,tertiary,50,False,False,221.489,"LINESTRING (8.6360631 51.9027996, 8.6361536 51.9028525, 8.6364502 51.903017, 8.6367301 51.9031608, 8.6369063 51.9032405, 8.636978 51.9032716, 8.6374248 51.9034589, 8.6377285 51.9035915, 8.6386569 51.9039806)",,,
7720838,K 43,Holter Straße,tertiary,50,False,True,225.76499999999996,"LINESTRING (8.6414252 51.9050685, 8.6412431 51.9050257, 8.6410506 51.9049731, 8.6408924 51.9049197, 8.6406403 51.9048248, 8.6403425 51.9047033, 8.639869 51.9045065, 8.6395785 51.9043819, 8.6389129 51.9040895, 8.6386569 51.9039806)",,,
26540451,,Industriestraße,residential,,False,False,423.714,"LINESTRING (8.6414252 51.9050685, 8.6407941 51.905703, 8.6406709 51.9057294, 8.6379414 51.9049602, 8.6378556 51.90489, 8.6378489 51.9048258, 8.6379071 51.904754, 8.638102 51.9045791, 8.6386569 51.9039806)",,,
27085569,,Spellerstraße,residential,50,False,False,138.624,"LINESTRING (8.6377722 51.9006727, 8.6397124 51.9010206)",,,2
"[23991436, 23991475, 23991476]",,Ostritzer Straße,residential,50,False,True,547.661,"LINESTRING (8.6377722 51.9006727, 8.6371898 51.9005446, 8.6370381 51.9004852, 8.6369454 51.9004489, 8.6366851 51.9002961, 8.6365297 51.9001533, 8.6362233 51.8997858, 8.6356896 51.8991897, 8.6354272 51.8989835, 8.6351333 51.8987866, 8.6349156 51.8986521, 8.6346281 51.8984971, 8.6334305 51.8979837, 8.6327469 51.8976907, 8.6321643 51.8974469, 8.6320671 51.8974039)",yes,,2
"[271012201, 39306453]",,Rathausstraße,residential,50,False,True,167.059,"LINESTRING (8.6377722 51.9006727, 8.6377299 51.9007327, 8.6373615 51.9012758, 8.6372869 51.9013859, 8.6370258 51.9017388, 8.6367798 51.9020441)",,,
"[137712683, 137712690, 24868403]",,Am Hallenbad,unclassified,30,False,False,190.61299999999997,"LINESTRING (8.6332 51.9038516, 8.6331401 51.9037434, 8.6331108 51.9035979, 8.6331122 51.9034808, 8.6331283 51.9033749, 8.633135 51.9033385, 8.6331586 51.9032593, 8.6331518 51.9030753, 8.6331498 51.9029432, 8.6331428 51.902777, 8.6331315 51.9024944, 8.633122 51.9023018, 8.6331156 51.902147)",yes,,
