osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel
"[313660658, 29374654]","['2', '3']",B 470,Forchheimer Straße,primary,50,False,True,64.98,"LINESTRING (11.1819154 49.7801137, 11.1822201 49.7802989, 11.1824185 49.7804012, 11.1826006 49.7804947)",,
313660656,3,B 470,Breitenbacher Straße,primary,50,False,True,10.726,"LINESTRING (11.1886958 49.7839176, 11.1887824 49.7839962)",,
30718596,1,St 2685,Ramstertalstraße,secondary,50,True,False,26.511999999999997,"LINESTRING (11.1886958 49.7839176, 11.1888444 49.7838539, 11.1889212 49.7838296, 11.1890223 49.7838104)",,
146789599,2,B 470,Breitenbacher Straße,primary,50,False,False,34.349000000000004,"LINESTRING (11.1886958 49.7839176, 11.1886489 49.7838741, 11.1885977 49.7838266, 11.1884076 49.7836712)",,
"[218448838, 313660650, 313660652, 220237868, 313660654, 28723346, 706444440, 674243167]","['2', '3']",B 470,Breitenbacher Straße,primary,50,False,"[False, True]",305.757,"LINESTRING (11.1854409 49.7817076, 11.185594 49.7817842, 11.1856514 49.781815, 11.1857899 49.7818893, 11.1859837 49.7819933, 11.1860664 49.7820372, 11.1860908 49.7820509, 11.1862427 49.782136, 11.1862628 49.7821481, 11.1864192 49.782245, 11.1865796 49.7823497, 11.1867067 49.7824304, 11.1868104 49.7824992, 11.1868731 49.7825456, 11.1869049 49.7825654, 11.1869406 49.7825901, 11.1870715 49.7826822, 11.1874334 49.7829341, 11.1874812 49.7829719, 11.187728 49.7831627, 11.1880054 49.7833717, 11.1880791 49.7834289, 11.1882303 49.7835397, 11.1884076 49.7836712)",,
"[256804218, 29263980, 256804222]","['2', '3']",B 470,Breitenbacher Straße,primary,50,False,False,163.382,"LINESTRING (11.1854409 49.7817076, 11.1852037 49.781584, 11.1851121 49.7815363, 11.1847319 49.7813381, 11.1847077 49.7813277, 11.1842356 49.781125, 11.1837686 49.7809221, 11.1837306 49.7809056, 11.1835981 49.780848)",,
"[1265257639, 1265257640, 1265257641, 983847691, 28734348, 28734350, 29468383]",,,Zum Breitenbach,"['residential', 'living_street']",50,False,True,181.26999999999998,"LINESTRING (11.1854409 49.7817076, 11.1855802 49.7816284, 11.1856027 49.7816156, 11.1857039 49.781558, 11.1857549 49.781529, 11.1858081 49.7814964, 11.1860127 49.7813713, 11.1861747 49.7812271, 11.186283 49.7811173, 11.1863086 49.7810555, 11.1863149 49.7808725, 11.1863179 49.7807468, 11.186322 49.7805769, 11.1863285 49.7805538, 11.1863696 49.7804667, 11.1864227 49.7804099, 11.1865029 49.7803257)",yes,
"[1264593906, 1264593907, 38125557]",2,St 2260,Breitenbacher Straße,secondary,50,False,True,209.95199999999997,"LINESTRING (11.1854409 49.7817076, 11.1853944 49.7817401, 11.1853478 49.7817726, 11.1853305 49.7817847, 11.1853022 49.7818044, 11.1852835 49.7818175, 11.1851045 49.7819578, 11.1846178 49.7823764, 11.1845036 49.7824747, 11.1843893 49.782573, 11.1842995 49.7826674, 11.1842403 49.7827296, 11.1842083 49.7827708, 11.1841337 49.782867, 11.1840464 49.7829798, 11.1839115 49.7831538, 11.1838219 49.7832694)",,
218456101,4,B 470,Breitenbacher Straße,primary,50,False,True,21.001,"LINESTRING (11.1833476 49.7807505, 11.1835981 49.780848)",,
"[730777760, 210618989, 730783889, 28734323, 28734325, 3981561, 730777759]","['2', '3']",St 2260,Kirchenplatz,secondary,"['50', '30']",False,False,167.178,"LINESTRING (11.1833476 49.7807505, 11.1834378 49.7806512, 11.1834684 49.7806203, 11.1835352 49.7805527, 11.1836913 49.7804293, 11.1838844 49.7802809, 11.1839157 49.780256, 11.1839927 49.7801907, 11.1840344 49.7801594, 11.1841785 49.7800381, 11.1842108 49.7799989, 11.1842436 49.7799487, 11.1843143 49.7797512, 11.184343 49.7796696, 11.1843771 49.779573, 11.1844198 49.7794504)",yes,
29374654,3,B 470,Forchheimer Straße,primary,50,False,False,60.714999999999996,"LINESTRING (11.1833476 49.7807505, 11.1831955 49.7806955, 11.183157 49.7806825, 11.1829977 49.7806287, 11.1826006 49.7804947)",,
25768405,1,,Hauptstraße,living_street,,True,False,89.695,"LINESTRING (11.1844198 49.7794504, 11.1856176 49.7796794)",,
30473864,,,Am Kirchenwehr,residential,30,False,True,202.879,"LINESTRING (11.1844198 49.7794504, 11.1843509 49.7794299, 11.1839581 49.779313, 11.1839025 49.7792964, 11.1838863 49.7792921, 11.1838436 49.7792874, 11.1836746 49.7792689, 11.1831298 49.7792318, 11.1829828 49.7792156, 11.1828541 49.7792157, 11.182805 49.7792178, 11.1826628 49.7792213, 11.1825947 49.7791953, 11.1825669 49.7791543, 11.1825352 49.7786006)",,
"[730783888, 28579777]","['2', '3']",St 2260,Bahnhofstraße,secondary,30,False,False,33.8,"LINESTRING (11.1844198 49.7794504, 11.1844589 49.7793742, 11.1844806 49.7793381, 11.1846077 49.7791873, 11.1846205 49.7791769)",,
