osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,access
"[26555306, 26611179, 26611180]","['2', '3']",B 236,Hörder Straße,primary,50,False,True,109.887,"LINESTRING (7.5642254 51.4458615, 7.5640536 51.4459429, 7.5639363 51.4460366, 7.5638794 51.4461071, 7.5638423 51.4461855, 7.5637812 51.4463282, 7.5636178 51.4467424)",,
495276383,3,B 236,Bethunestraße,primary,50,False,False,83.11500000000001,"LINESTRING (7.5642254 51.4458615, 7.5644237 51.4458005, 7.5651562 51.4456091, 7.5653232 51.4455611)",,
"[643051066, 593864324, 26143829]",3,L 648,Karl-Gerharts-Straße,secondary,50,False,True,227.62099999999998,"LINESTRING (7.5642254 51.4458615, 7.5641 51.4456569, 7.5638796 51.4453781, 7.5631763 51.4444766, 7.563157 51.4444514, 7.5631068 51.4443831, 7.5630683 51.4443337, 7.5628083 51.4440158)",,
"[6143673, 643051063, 681852031]","['2', '3']",L 648,Karl-Gerharts-Straße,secondary,50,False,False,134.502,"LINESTRING (7.5611364 51.4422322, 7.5612583 51.4423553, 7.5615562 51.4426559, 7.5619376 51.4430475, 7.5619699 51.4430807, 7.5621452 51.4432655)",,
"[13688482, 643051067, 255402341]",3,,Bahnhofstraße,"['unclassified', 'residential']","['20', '30']",False,False,65.36,"LINESTRING (7.5611364 51.4422322, 7.5613322 51.4421809, 7.5618941 51.4420454, 7.5620143 51.4420177)",,
6273841,,,Friedhofstraße,residential,30,False,False,49.116,"LINESTRING (7.5629425 51.4483899, 7.5635775 51.4485861)",,
263781900,2,B 236,Hörder Straße,primary,50,False,False,59.214,"LINESTRING (7.5629425 51.4483899, 7.5629667 51.4483288, 7.563158 51.4478746)",,
"[625155825, 26555306, 26555307]",2,B 236,Hörder Straße,primary,50,False,False,85.714,"LINESTRING (7.5633191 51.4474904, 7.5633411 51.4474304, 7.5635403 51.4469313, 7.5636178 51.4467424)",yes,
"[625155824, 625155825]","['2', '3']",B 236,Hörder Straße,primary,50,False,True,44.157,"LINESTRING (7.5633191 51.4474904, 7.5632668 51.4476104, 7.563158 51.4478746)",,
4825164,2,B 236,Bethunestraße,primary,50,False,False,122.501,"LINESTRING (7.5662572 51.4453207, 7.5679149 51.4449383)",,
