osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,tunnel
24341759,2,Rodacher Straße,tertiary,50,False,False,67.367,"LINESTRING (11.3309951 50.2360555, 11.3310638 50.2360336, 11.3318492 50.2357936)",,,
24341759,2,Rodacher Straße,tertiary,50,False,True,85.668,"LINESTRING (11.3309951 50.2360555, 11.3309181 50.236078, 11.329892 50.2363649)",,,
"[303398913, 296308765, 215617358]","['2', '3']",Stöhrstraße,secondary,50,False,False,168.483,"LINESTRING (11.3309951 50.2360555, 11.3311749 50.2363535, 11.3313667 50.2366708, 11.3314237 50.236766, 11.3318742 50.2374624)",St 2200,,
"[296308776, 296308777, 1125672364, 695943204]","['2', '3']",Stöhrstraße,secondary,50,False,True,288.733,"LINESTRING (11.334486 50.243126, 11.3343117 50.2428029, 11.3341604 50.2424572, 11.3340896 50.2422467, 11.3340382 50.2419885, 11.3339975 50.2417326, 11.3338772 50.2410637, 11.3338183 50.24064, 11.3338094 50.2405759)",St 2200,,
24000220,,Andreas-Limmer-Straße,residential,,False,False,90.80199999999999,"LINESTRING (11.330177 50.2401834, 11.3301935 50.2402033, 11.3305261 50.2406064, 11.3310456 50.2405428)",,,
"[1153327712, 1068606516, 1153327711]",2,Kreuzbergstraße,residential,50,False,False,110.64,"LINESTRING (11.330177 50.2401834, 11.3303103 50.2401924, 11.3308528 50.2401622, 11.3313674 50.2401443, 11.3317075 50.2402232)",,,
1068606516,2,Kreuzbergstraße,residential,50,False,True,11.306,"LINESTRING (11.330177 50.2401834, 11.3301192 50.2401485, 11.3300614 50.2401136)",,,
"[296308770, 296308772]","['2', '3']",Stöhrstraße,secondary,50,False,True,159.04400000000004,"LINESTRING (11.3338094 50.2405759, 11.3337906 50.2404277, 11.3337186 50.2401784, 11.333505 50.2397625, 11.333267 50.2393955, 11.3331855 50.2392801, 11.3331427 50.2392196)",St 2200,,
"[296308776, 296308777, 1125672364, 695943204]","['2', '3']",Stöhrstraße,secondary,50,False,False,288.73300000000006,"LINESTRING (11.3338094 50.2405759, 11.3338183 50.24064, 11.3338772 50.2410637, 11.3339975 50.2417326, 11.3340382 50.2419885, 11.3340896 50.2422467, 11.3341604 50.2424572, 11.3343117 50.2428029, 11.334486 50.243126)",St 2200,,
"[1153327713, 34848979]",2,Kreuzbergstraße,residential,50,False,True,154.792,"LINESTRING (11.3338094 50.2405759, 11.3336672 50.2405587, 11.3333498 50.240531, 11.3325941 50.2403972, 11.3321377 50.2403086, 11.3317075 50.2402232)",,,
24057704,,Kreuzbergstraße,residential,,False,False,8.981,"LINESTRING (11.3317569 50.2400545, 11.3317208 50.2399771)",,,
24000219,,Kreuzbergstraße,residential,,False,False,53.771,"LINESTRING (11.3317569 50.2400545, 11.33229 50.2400012, 11.3325049 50.2399843)",,,
