osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,junction,maxspeed,width,tunnel
15221259,2,LAU 23,Fischbacher Straße,tertiary,False,False,52.688,"LINESTRING (11.3505111 49.3854615, 11.3504528 49.3855104, 11.3501344 49.3856992, 11.3500727 49.3857492, 11.3500374 49.3858126)",,,,
113265687,,,,tertiary,True,False,12.350000000000001,"LINESTRING (11.3505111 49.3854615, 11.3504919 49.3854432, 11.3504813 49.385422, 11.3504802 49.3853998, 11.3504888 49.3853784, 11.3505064 49.3853593)",roundabout,,,
31573132,,LAU 23,Oberer Markt,tertiary,False,True,32.546,"LINESTRING (11.3539958 49.3854904, 11.3536741 49.3854579, 11.3535515 49.3854455)",,20,5,
"[172593072, 172593073, 34181791]",,,"['Feilturmgasse', 'Wehrmauer']",residential,False,True,110.342,"LINESTRING (11.3539958 49.3854904, 11.354 49.3853998, 11.3538851 49.3852756, 11.3537842 49.3850424, 11.3537261 49.3850291, 11.3536319 49.3850659, 11.353582 49.3851289, 11.3535251 49.3852387, 11.3535359 49.3852714, 11.3535646 49.3852884, 11.3535565 49.3854095, 11.3535515 49.3854455)",,20,"['5.7', '3.4', '3.8']",
145815936,,,Oberer Markt,tertiary,False,False,38.488,"LINESTRING (11.3539958 49.3854904, 11.3543724 49.3855199, 11.3545244 49.385527)",,20,,
145815936,,,Oberer Markt,tertiary,False,True,16.167,"LINESTRING (11.3547477 49.3855238, 11.3545244 49.385527)",,20,,
23457972,,,Schloßplatz,residential,False,False,29.594,"LINESTRING (11.3547477 49.3855238, 11.3547435 49.3854433, 11.3547442 49.3853337, 11.3547431 49.3852577)",,20,,
145815936,,,Oberer Markt,tertiary,False,False,122.07000000000001,"LINESTRING (11.3547477 49.3855238, 11.3549646 49.3855234, 11.3552116 49.3855269, 11.355594 49.3855652, 11.3557353 49.3855844, 11.3561602 49.3856696, 11.3563897 49.3857284)",,20,,
33893125,,,Unterer Markt,tertiary,False,False,97.72200000000001,"LINESTRING (11.3563897 49.3857284, 11.3567414 49.3858377, 11.3570877 49.3859201, 11.3571533 49.3859294, 11.3573269 49.3859505, 11.3576746 49.3859576)",,20,,
145815936,,,Oberer Markt,tertiary,False,True,122.07000000000001,"LINESTRING (11.3563897 49.3857284, 11.3561602 49.3856696, 11.3557353 49.3855844, 11.355594 49.3855652, 11.3552116 49.3855269, 11.3549646 49.3855234, 11.3547477 49.3855238)",,20,,
33893125,,,Unterer Markt,tertiary,False,True,97.72200000000001,"LINESTRING (11.3576746 49.3859576, 11.3573269 49.3859505, 11.3571533 49.3859294, 11.3570877 49.3859201, 11.3567414 49.3858377, 11.3563897 49.3857284)",,20,,
36881994,,,Unterer Markt,tertiary,False,False,53.278,"LINESTRING (11.3576746 49.3859576, 11.3578073 49.3859464, 11.3581875 49.385928, 11.3584078 49.3859166)",,20,,
"[23457971, 1152610566]",,,Untere Brauhausstraße,residential,False,False,111.233,"LINESTRING (11.3576746 49.3859576, 11.3576983 49.3860746, 11.3577598 49.3862691, 11.3578075 49.3864198, 11.3579079 49.3866782, 11.3579479 49.3868251, 11.3579786 49.3869375)",,20,5,
23457971,,,Untere Brauhausstraße,residential,False,True,81.669,"LINESTRING (11.3580296 49.3876702, 11.3580383 49.3874541, 11.3580265 49.3872998, 11.3580199 49.3872133, 11.358019 49.3871875, 11.3579803 49.3869477, 11.3579786 49.3869375)",,20,5,
"[33214340, 36914110]",,,Türkeistraße,unclassified,False,False,114.65799999999999,"LINESTRING (11.3580296 49.3876702, 11.3578163 49.3876926, 11.3576112 49.3876834, 11.3574805 49.3876689, 11.357368 49.3876376, 11.3572896 49.3876182, 11.3567979 49.3875016, 11.3566908 49.3874716, 11.356522 49.3874244)",,50,5,
51139870,,,Lederesmühle,residential,False,True,17.47,"LINESTRING (11.3580296 49.3876702, 11.3581966 49.3876595, 11.3582683 49.3876702)",,,,
12306289,,,Flurergasse,residential,True,False,202.167,"LINESTRING (11.3584078 49.3859166, 11.3584212 49.385966, 11.3585229 49.3862578, 11.3585854 49.3865874, 11.3586069 49.3867636, 11.3586176 49.3868626, 11.3586371 49.3870443, 11.3585992 49.3871907, 11.3585537 49.3873224, 11.3584987 49.3874117, 11.3582683 49.3876702)",,,,
"[51139869, 23458033, 36881994, 31745277]",,LAU 23,"['Unterer Markt', 'Neumarkter Straße']",tertiary,False,"[False, True]",157.109,"LINESTRING (11.3584078 49.3859166, 11.3584334 49.3859139, 11.3585819 49.3859015, 11.3587221 49.3858859, 11.3588597 49.3858546, 11.3589175 49.3858317, 11.358964 49.3857941, 11.3592454 49.3854874, 11.3593207 49.385419, 11.3593549 49.3854079, 11.3594826 49.3853663, 11.359571 49.3853432, 11.3601 49.3852181, 11.3601466 49.3852109)",,20,,building_passage
36881994,,,Unterer Markt,tertiary,False,True,53.278,"LINESTRING (11.3584078 49.3859166, 11.3581875 49.385928, 11.3578073 49.3859464, 11.3576746 49.3859576)",,20,,
145815975,,,Schmiedgasse,residential,True,False,76.439,"LINESTRING (11.3584078 49.3859166, 11.3584057 49.3858657, 11.3584064 49.3857854, 11.3584176 49.3856922, 11.3583658 49.3854871, 11.3583372 49.3853727, 11.3582779 49.3852392)",,,,
51139870,,,Lederesmühle,residential,False,False,17.47,"LINESTRING (11.3582683 49.3876702, 11.3581966 49.3876595, 11.3580296 49.3876702)",,,,
"[33893232, 51139870]",,,Lederesmühle,residential,False,True,76.175,"LINESTRING (11.3582683 49.3876702, 11.3583728 49.3877007, 11.358654 49.3878429, 11.3586938 49.3878622, 11.3588437 49.3879349, 11.3589568 49.3879862, 11.3590021 49.3880018, 11.3590326 49.3880124, 11.3591526 49.3880251)",,,,
