osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,width
249439817,L 385,Marktstraße,secondary,50,False,True,11.302,"LINESTRING (9.9770851 52.3726107, 9.9769221 52.37259)",,,
28278767,,Marktstraße,residential,30,False,False,88.714,"LINESTRING (9.9770851 52.3726107, 9.9771934 52.3726254, 9.9773543 52.3726471, 9.9783609 52.3727834)",,,
53089615,B 443,Berliner Allee,primary,50,True,False,285.14700000000005,"LINESTRING (9.9770851 52.3726107, 9.9770734 52.372793, 9.9770628 52.3729592, 9.9770595 52.3733159, 9.9770743 52.3736025, 9.9771171 52.3738409, 9.9771481 52.3740812, 9.977195 52.3743274, 9.9772926 52.3747841, 9.9773065 52.3748898, 9.9772992 52.3750003, 9.9772881 52.3750839, 9.9772636 52.3751649)",2,,
27267020,K 134,Germaniastraße,tertiary,,False,True,11.474,"LINESTRING (9.9772636 52.3751649, 9.9770999 52.3751392)",,,
27266488,B 443,Poststraße,primary,50,True,False,45.714,"LINESTRING (9.9772636 52.3751649, 9.9772066 52.3752619, 9.9771332 52.3753536, 9.9770385 52.3754565, 9.9769564 52.3755288)",1,,
154867789,K 134,Germaniastraße,tertiary,50,False,False,64.269,"LINESTRING (9.9772636 52.3751649, 9.9773381 52.3751779, 9.9774429 52.3751928, 9.9775012 52.3751994, 9.9777174 52.375224, 9.9778241 52.3752303, 9.9779527 52.3752317, 9.9780869 52.3752261, 9.9781971 52.3752135)",,,
10415233,,Feldstraße,residential,30,False,False,84.795,"LINESTRING (9.9709075 52.3729619, 9.9708365 52.3734704, 9.9708124 52.3737222)",,,
28269576,,Feldstraße,residential,30,False,True,105.10300000000001,"LINESTRING (9.9709075 52.3729619, 9.9709197 52.3728138, 9.9709889 52.372018)",,,
"[1262455717, 1262455718, 166282367]",L 385,Ahltener Straße,secondary,"['50', '30']",False,False,223.69400000000002,"LINESTRING (9.9709075 52.3729619, 9.9720612 52.3728044, 9.9723674 52.3727626, 9.9727915 52.3727114, 9.973026 52.3726836, 9.9734588 52.3726322, 9.9736714 52.3726069, 9.9737569 52.3725968, 9.9741324 52.3725496)",,,
10415233,,Feldstraße,residential,30,False,False,13.806,"LINESTRING (9.9707438 52.3747525, 9.9707377 52.3748766)",,,
10415233,,Feldstraße,residential,30,False,True,114.66199999999999,"LINESTRING (9.9707438 52.3747525, 9.9707853 52.3740887, 9.9708015 52.3738299, 9.9708124 52.3737222)",,,
25960253,,Goethestraße,residential,30,False,False,107.40899999999999,"LINESTRING (9.9707438 52.3747525, 9.9699739 52.3748035, 9.9691708 52.3748567)",,,
10415233,,Feldstraße,residential,30,False,False,114.66199999999999,"LINESTRING (9.9708124 52.3737222, 9.9708015 52.3738299, 9.9707853 52.3740887, 9.9707438 52.3747525)",,,
10415233,,Feldstraße,residential,30,False,True,84.795,"LINESTRING (9.9708124 52.3737222, 9.9708365 52.3734704, 9.9709075 52.3729619)",,,
28168822,,Gartenstraße,residential,30,False,True,336.4839999999999,"LINESTRING (9.9708124 52.3737222, 9.9728569 52.3734635, 9.9738622 52.3733323, 9.9740239 52.3733112, 9.9746321 52.3732313, 9.9755447 52.3731127, 9.9756489 52.3730762)",,,
10415234,,Große Moorstraße,residential,30,False,False,109.944,"LINESTRING (9.9721866 52.3747128, 9.9737661 52.3744942)",,,
841494116,,Große Moorstraße,residential,30,False,True,100.029,"LINESTRING (9.9721866 52.3747128, 9.9707377 52.3748766)",,,
"[32687720, 25963865]",,Leinestraße,residential,30,False,False,200.028,"LINESTRING (9.9721866 52.3747128, 9.9712961 52.3756183, 9.9706365 52.3762424)",,,
25963864,,Wilhelmstraße,residential,30,False,True,195.861,"LINESTRING (9.9678092 52.3765939, 9.9693834 52.3763982, 9.9706365 52.3762424)",,,
"[31651410, 28168463]",,"['Claudiusweg', 'Eichendorffstraße']","['residential', 'living_street']",30,False,False,215.017,"LINESTRING (9.9678092 52.3765939, 9.967674 52.3760267, 9.9676365 52.3759849, 9.9676196 52.3758939, 9.9676594 52.3757331, 9.9682722 52.3756399, 9.9685669 52.3755582, 9.9693384 52.3754927)",,,
36931099,,Feldstraße,residential,30,False,False,11.742,"LINESTRING (9.9705507 52.3783597, 9.9704463 52.3782755)",,,
25975315,,Bahnhofstraße,residential,30,False,True,123.488,"LINESTRING (9.9705507 52.3783597, 9.9702186 52.3789323, 9.9700582 52.3790648, 9.9696129 52.3792663)",,,
"[32687721, 36931100]",,Bahnhofstraße,residential,30,False,True,434.321,"LINESTRING (9.9705507 52.3783597, 9.9708025 52.3782761, 9.9716652 52.3779742, 9.973247 52.3763749, 9.9732737 52.3763481, 9.9736395 52.3759801, 9.9741657 52.3754507, 9.9743142 52.3753014)",,,
36931099,,Feldstraße,residential,30,False,True,133.696,"LINESTRING (9.9706365 52.3762424, 9.9705503 52.3774436)",,,
24606233,,Feldstraße,residential,30,False,True,100.06899999999999,"LINESTRING (9.9706365 52.3762424, 9.9706842 52.3755697, 9.9707002 52.3753433)",,,
25963864,,Wilhelmstraße,residential,30,False,False,195.861,"LINESTRING (9.9706365 52.3762424, 9.9693834 52.3763982, 9.9678092 52.3765939)",,,
"[32687720, 25963865]",,Leinestraße,residential,30,False,True,200.028,"LINESTRING (9.9706365 52.3762424, 9.9712961 52.3756183, 9.9721866 52.3747128)",,,
"[27267034, 35448546]",,Manskestraße,unclassified,30,False,False,193.088,"LINESTRING (9.9805949 52.3748971, 9.980599 52.3749876, 9.9806066 52.3750702, 9.9806811 52.3753581, 9.980864 52.3760122, 9.9808916 52.3761219, 9.9809285 52.3762786, 9.9810068 52.3766141)",2,,
55866840,,,tertiary,,True,False,18.213,"LINESTRING (9.9805949 52.3748971, 9.980548 52.3748915, 9.9805006 52.3748743, 9.9804711 52.3748538, 9.9804504 52.374825, 9.9804483 52.3747828)",,roundabout,
55866840,,,tertiary,,True,False,26.164,"LINESTRING (9.9804483 52.3747828, 9.9804671 52.3747523, 9.9804954 52.3747306, 9.9805263 52.3747168, 9.9805811 52.3747054, 9.9806249 52.3747052, 9.980678 52.3747157, 9.9807144 52.3747319, 9.9807422 52.3747541)",,roundabout,
154867790,K 134,Germaniastraße,tertiary,50,False,True,61.20400000000001,"LINESTRING (9.9804483 52.3747828, 9.9803002 52.3747808, 9.9798959 52.3747822, 9.9797678 52.3747918, 9.9796554 52.3748117, 9.9795602 52.3748358)",,,
