osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel,access
79069425,True,4,L 448,Schützenbahn,primary,50,False,8.736,"LINESTRING (7.0153099 51.4610176, 7.0153557 51.4610908)",,
"[4233752, 395144311]",True,2,L 191,Gerlingstraße,secondary,50,False,152.553,"LINESTRING (7.0153099 51.4610176, 7.0153871 51.461011, 7.0155065 51.4610104, 7.0156893 51.4610103, 7.0160417 51.4610214, 7.0161055 51.4610254, 7.0163493 51.4610382, 7.016501 51.4610567, 7.0166165 51.4610789, 7.0167599 51.4611051, 7.0172261 51.4611901, 7.0172767 51.4611997, 7.0174677 51.461229)",,
27361838,False,,,Waldthausenstraße,residential,30,True,45.711,"LINESTRING (7.0174677 51.461229, 7.0174806 51.4611688, 7.0174832 51.4611588, 7.0174939 51.4611167, 7.0175542 51.4610002, 7.0176455 51.4608345)",,
395144311,True,2,L 191,Gerlingstraße,secondary,50,False,64.175,"LINESTRING (7.0174677 51.461229, 7.0179336 51.4612904, 7.0183773 51.4613376)",,
27363459,True,1,,Gerlingstraße,residential,50,False,13.937999999999999,"LINESTRING (7.0183773 51.4613376, 7.0184247 51.4614135, 7.0184151 51.461457)",,
"[314875432, 395144307, 395144310]",True,2,L 191,Gerlingstraße,secondary,50,False,92.551,"LINESTRING (7.0183773 51.4613376, 7.0190431 51.4613896, 7.0191925 51.4613963, 7.019357 51.4613984, 7.019422 51.4613966, 7.0197075 51.461395)",,
10757092,True,2,,Goldschmidtstraße,secondary,50,False,23.376,"LINESTRING (7.0201435 51.4613854, 7.0199104 51.4615374)",,
38573699,True,1,L 191,Gerlingstraße,secondary,50,False,40.795,"LINESTRING (7.0201435 51.4613854, 7.0203557 51.461383, 7.020732 51.4613927)",,
213446123,True,5,L 448,Schützenbahn,primary,50,False,10.248,"LINESTRING (7.0147939 51.4579485, 7.0148418 51.4578613)",,
118947032,True,2,,Am Porscheplatz,residential,30,False,25.266,"LINESTRING (7.0147939 51.4579485, 7.0146438 51.45796, 7.0144313 51.4579475)",,
"[27443834, 213446123, 181078686]",True,5,L 448,Schützenbahn,primary,50,False,117.45599999999999,"LINESTRING (7.0148418 51.4578613, 7.0149661 51.4576555, 7.0149842 51.4576196, 7.0150833 51.4574231, 7.0151863 51.4572253, 7.015258 51.4570651, 7.0152836 51.4570065, 7.0153494 51.4568541)",,
32596123,True,2,L 448,Bernestraße,primary,50,False,19.028,"LINESTRING (7.0155413 51.4564559, 7.0156164 51.4562913)",,
395270725,True,3,,Gildehofstraße,primary,50,False,14.869,"LINESTRING (7.0159548 51.4545703, 7.0159343 51.4545006, 7.015915 51.4544389)",,
395270767,True,3,L 448,Varnhorststraße,secondary,50,False,28.523,"LINESTRING (7.0159548 51.4545703, 7.0161251 51.4544923, 7.0163145 51.4544517)",,
7821157,True,,,Gerswidastraße,residential,30,False,23.584,"LINESTRING (7.0094691 51.4592051, 7.0093774 51.4591723, 7.0093438 51.4591518, 7.0093075 51.4591259, 7.0092723 51.4590927, 7.0092435 51.4590539)",,
394984659,True,,,Kreuzeskirchstraße,residential,30,False,36.302,"LINESTRING (7.0094691 51.4592051, 7.0092543 51.4591966, 7.0089456 51.4591993)",,
12997856,True,2,L 448,Varnhorststraße,secondary,50,False,33.139,"LINESTRING (7.0198342 51.4550289, 7.0196996 51.4550429, 7.0195601 51.4550459, 7.0193581 51.4550399)",,
53175909,True,,,Steeler Straße,residential,30,False,36.015,"LINESTRING (7.0198342 51.4550289, 7.0196906 51.4551245, 7.0195432 51.4552226, 7.0194598 51.4552496)",,
25659211,True,4,,Hollestraße,secondary,50,False,21.789,"LINESTRING (7.0213715 51.454469, 7.021299 51.4544243, 7.0212592 51.4543999, 7.0212286 51.4543821, 7.0211464 51.4543322)",,
32595816,True,2,L 448,Steeler Straße,secondary,50,False,93.02199999999999,"LINESTRING (7.0213715 51.454469, 7.0211229 51.4545564, 7.0208613 51.4546478, 7.0206772 51.4547272, 7.0205033 51.4548064, 7.0203721 51.4548646, 7.0202411 51.4549183)",,
5781941,False,1,,I. Dellbrügge,residential,30,False,72.626,"LINESTRING (7.0134981 51.4545909, 7.01418 51.4546037, 7.0143684 51.4546057, 7.0145459 51.4546071)",,
"[7821154, 27377511]",True,,,"['Gänsemarkt', 'I. Weberstraße']",residential,30,False,122.306,"LINESTRING (7.0090886 51.4580175, 7.0091965 51.4580072, 7.009243 51.4580027, 7.0093436 51.4579924, 7.0094451 51.4579868, 7.0095154 51.4579867, 7.0096494 51.4579916, 7.0097526 51.4579988, 7.0098418 51.4580083, 7.0099157 51.4580194, 7.0099929 51.4580343, 7.0106108 51.4581846, 7.0106301 51.4583)",,
7821158,False,,,Gerswidastraße,residential,30,True,22.415000000000003,"LINESTRING (7.0090886 51.4580175, 7.0090986 51.458066, 7.009102 51.4580825, 7.0091206 51.4581733, 7.0091304 51.4582174)",,
7821158,False,,,Gerswidastraße,residential,30,False,22.415000000000003,"LINESTRING (7.0091304 51.4582174, 7.0091206 51.4581733, 7.009102 51.4580825, 7.0090986 51.458066, 7.0090886 51.4580175)",,
7821157,True,,,Gerswidastraße,residential,30,False,74.092,"LINESTRING (7.0092186 51.4588814, 7.0091885 51.4586016, 7.0091304 51.4582174)",,
7821163,True,,,Mechtildisstraße,residential,30,False,103.529,"LINESTRING (7.010711 51.4588349, 7.010689 51.4588349, 7.0105917 51.458838, 7.0093125 51.4588784, 7.0092186 51.4588814)",,
27377511,True,,,I. Weberstraße,residential,30,False,44.499,"LINESTRING (7.010711 51.4588349, 7.010743 51.4591184, 7.0107492 51.4591734, 7.0107561 51.4592341)",,
251061131,True,3,L 452,Viehofer Platz,primary,50,False,76.833,"LINESTRING (7.0151408 51.4621289, 7.0149954 51.4621625, 7.0147665 51.4621868, 7.0143985 51.4622083, 7.0140464 51.4622122)",,
387304987,True,2,,Gladbecker Straße,primary,50,False,8.711,"LINESTRING (7.0124189 51.4619687, 7.0125149 51.4619181)",,
35818239,True,2,L 452,Friedrich-Ebert-Straße,secondary,50,False,25.892,"LINESTRING (7.0124189 51.4619687, 7.0123219 51.4619405, 7.0120886 51.46186)",,
145657233,True,2,L 448,Schützenbahn,secondary,50,False,40.044,"LINESTRING (7.0157328 51.4623084, 7.0155953 51.4621325, 7.0155618 51.4620898, 7.0154805 51.4619844)",,
213446120,True,2,L 448,Schützenbahn,secondary_link,50,False,36.366,"LINESTRING (7.0157328 51.4623084, 7.0154574 51.4622036, 7.0153947 51.4621794, 7.0152758 51.4621491)",,
"[925861032, 36327394]",True,3,L 191,Gerlingstraße,secondary,50,False,26.006,"LINESTRING (7.0199104 51.4615374, 7.0197346 51.461536, 7.0196858 51.4615344, 7.0195351 51.4615333)",,
314875433,True,2,,Goldschmidtstraße,secondary,50,False,19.472,"LINESTRING (7.0195351 51.4615333, 7.0197075 51.461395)",,
45039354,True,2,L 191,Gerlingstraße,secondary,50,False,78.134,"LINESTRING (7.0195351 51.4615333, 7.0193067 51.4615269, 7.0191023 51.461516, 7.0187522 51.4614929, 7.0184151 51.461457)",,
36327393,True,2,L 191,Gerlingstraße,secondary,50,False,30.227999999999998,"LINESTRING (7.0197075 51.461395, 7.0198495 51.4613939, 7.0199114 51.4613917, 7.0199176 51.4613914, 7.0201435 51.4613854)",,
"[45038911, 395959806, 395972023]",True,"['2', '1']",,Goldschmidtstraße,secondary,50,False,330.598,"LINESTRING (7.0197075 51.461395, 7.0199046 51.4612514, 7.0202886 51.4610298, 7.0203416 51.4609992, 7.0206475 51.4608022, 7.020773 51.4606948, 7.0208964 51.4605618, 7.0209929 51.4604095, 7.0211081 51.4601422, 7.0211368 51.4600771, 7.0212352 51.4598653, 7.0213078 51.4597009, 7.021359 51.4595747, 7.0214093 51.4594614, 7.0217226 51.4587832)",,
45107359,False,,,Mittwegstraße,residential,30,False,9.445,"LINESTRING (7.0184151 51.461457, 7.018365 51.461536)",,
"[395144306, 395144309]",True,"['2', '3']",L 191,Gerlingstraße,secondary,50,False,66.431,"LINESTRING (7.0184151 51.461457, 7.0181755 51.4614255, 7.0174823 51.4613189)",,
"[314409553, 38573697, 314409555]",True,"['2', '3']",L 191,Gerlingstraße,secondary,50,False,110.24799999999999,"LINESTRING (7.0173561 51.4612989, 7.017233 51.4612751, 7.0171869 51.4612662, 7.0167137 51.4611752, 7.0164986 51.4611361, 7.0162163 51.4611042, 7.0158086 51.4610945)",,
"[96867688, 45106818, 96867709]",False,,,Waldthausenstraße,residential,30,False,138.464,"LINESTRING (7.0173561 51.4612989, 7.0173328 51.4613532, 7.0171413 51.4616985, 7.0170167 51.4619233, 7.0170038 51.4619443, 7.0169924 51.461963, 7.0169571 51.4620225, 7.0166875 51.4624721)",building_passage,
71830682,True,3,L 448,Viehofer Platz,primary,50,False,41.49300000000001,"LINESTRING (7.0156481 51.4615529, 7.0156453 51.461721, 7.0156226 51.4618152, 7.0155991 51.4618647, 7.0155554 51.4619161)",,
395144337,True,2,L 448,Schützenbahn,secondary,50,False,75.275,"LINESTRING (7.0156481 51.4615529, 7.0158206 51.4617288, 7.0159318 51.4618883, 7.0159513 51.4619173, 7.0161088 51.462164)",,
"[41705243, 28217572, 132705461]",True,,,Pferdemarkt,residential,30,False,121.44199999999998,"LINESTRING (7.0147734 51.4608919, 7.0146159 51.4608536, 7.0145888 51.460847, 7.0145533 51.4608457, 7.0145123 51.4608575, 7.0144819 51.4608703, 7.0142944 51.4609648, 7.0142595 51.4609811, 7.01423 51.4609917, 7.0141992 51.460997, 7.0138113 51.4610315, 7.0137781 51.4610292, 7.0137457 51.461021, 7.0137198 51.4610095, 7.0137015 51.4609948, 7.0136896 51.4609849, 7.0136862 51.4609748, 7.0136856 51.4609592, 7.0137064 51.4607074, 7.0136915 51.4606756, 7.0136647 51.4606528)",,
"[45040240, 395144338]",True,3,L 448,Schützenbahn,primary,50,False,210.29,"LINESTRING (7.0147734 51.4608919, 7.0147379 51.4607524, 7.0147171 51.460632, 7.0147151 51.4605888, 7.0147158 51.4605298, 7.0147191 51.4602757, 7.0147176 51.4601201, 7.014685 51.4599103, 7.0145333 51.4592638, 7.0144913 51.4590124)",,
45019775,True,2,L 452,Viehofer Platz,secondary,50,False,7.002,"LINESTRING (7.0125108 51.4619949, 7.0124189 51.4619687)",,
45019759,True,2,,Gladbecker Straße,secondary,50,False,19.604,"LINESTRING (7.0125108 51.4619949, 7.0124726 51.4620595, 7.0123589 51.4621403)",,
12994605,True,1,,Herkulesstraße,secondary_link,50,False,49.641999999999996,"LINESTRING (7.0221518 51.4541654, 7.0220113 51.4544027, 7.0219714 51.4545946)",,
314292717,True,4,L 448,Steeler Straße,secondary,50,False,37.664,"LINESTRING (7.0221518 51.4541654, 7.0218534 51.4542842, 7.0218079 51.4543031, 7.021691 51.4543449)",,
"[395361660, 314292708, 91326445]",True,"['2', '1']",,Herkulesstraße,secondary,50,False,104.97399999999999,"LINESTRING (7.0219714 51.4545946, 7.0221283 51.4547739, 7.022299 51.4550465, 7.0225097 51.455474)",,
91326445,True,1,,Herkulesstraße,secondary,50,False,81.86699999999999,"LINESTRING (7.0225097 51.455474, 7.02277 51.4560509, 7.0228199 51.4561843)",,
396071364,False,2,,Silberstraße,residential,50,False,12.109,"LINESTRING (7.0225097 51.455474, 7.0224595 51.4554865, 7.0224153 51.455494, 7.022346 51.4555117)",,
12994607,True,2,,Goldschmidtstraße,secondary,50,False,6.133,"LINESTRING (7.0226588 51.4574852, 7.0226188 51.4575344)",,
396071352,True,2,,Engelbertstraße,tertiary,50,False,27.539,"LINESTRING (7.0226588 51.4574852, 7.0227947 51.4575281, 7.0230009 51.4576107)",,
314292707,True,2,,Goldschmidtstraße,secondary,50,False,15.913,"LINESTRING (7.0223198 51.4575303, 7.0224089 51.4573984)",,
396071355,True,2,,Engelbertstraße,tertiary,50,False,79.614,"LINESTRING (7.0223198 51.4575303, 7.0221986 51.4574753, 7.0213722 51.4571254)",,
12994609,True,1,,Herkulesstraße,secondary,50,False,76.78399999999999,"LINESTRING (7.0224089 51.4573984, 7.0224665 51.4573145, 7.0226337 51.4570992, 7.0227188 51.4569706, 7.0227657 51.4568571, 7.0227802 51.4567537)",,
44112496,True,3,,Engelbertstraße,tertiary,50,False,19.822,"LINESTRING (7.0224089 51.4573984, 7.0225222 51.4574377, 7.0225614 51.4574515, 7.0226588 51.4574852)",,
45040408,True,2,,Goldschmidtstraße,secondary,50,False,135.224,"LINESTRING (7.0225456 51.4576291, 7.022494 51.4576991, 7.0223221 51.4578809, 7.0222441 51.4579916, 7.0221901 51.4580861, 7.0221008 51.4582814, 7.0218885 51.4587675)",,
396071354,True,2,,Engelbertstraße,tertiary,50,False,19.122,"LINESTRING (7.0225456 51.4576291, 7.0224617 51.457592, 7.022425 51.4575742, 7.0223198 51.4575303)",,
