osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width
159656026,Bergstraße,residential,30,False,True,76.813,"LINESTRING (7.1208553 49.9557841, 7.1218801 49.955578)",,,
156179535,Im Plantert,residential,,False,False,162.097,"LINESTRING (7.1208553 49.9557841, 7.1207459 49.9555778, 7.120667 49.9554699, 7.1205575 49.955369, 7.1204427 49.9552818, 7.1203984 49.9552551, 7.1203191 49.9552071, 7.1202132 49.9551569, 7.1200712 49.9551034, 7.1198206 49.9550367, 7.1194567 49.9549484, 7.1192239 49.9548954)",,,
159656026,Bergstraße,residential,30,False,False,131.563,"LINESTRING (7.1208553 49.9557841, 7.1197719 49.956006, 7.1191046 49.9561463)",,,
617592083,Am Neuberg,residential,,False,False,196.475,"LINESTRING (7.1208553 49.9557841, 7.1209968 49.9560613, 7.1212543 49.9565168, 7.1213597 49.9566678, 7.1217907 49.9570552, 7.1221275 49.9573282)",,,
159656026,Bergstraße,residential,30,False,False,76.813,"LINESTRING (7.1218801 49.955578, 7.1208553 49.9557841)",,,
"[156179668, 617592084]",Allwies,residential,,False,False,214.08,"LINESTRING (7.1218801 49.955578, 7.1222225 49.9562636, 7.1225525 49.9569242, 7.1225617 49.9569698, 7.122559 49.9570123, 7.122543 49.9570381, 7.1225151 49.9570632, 7.1223888 49.9571567, 7.1223486 49.9571864, 7.1221275 49.9573282)",,,
159656026,Bergstraße,residential,30,False,True,51.11,"LINESTRING (7.1218801 49.955578, 7.1224851 49.9554488, 7.1225584 49.9554337)",,,
156179528,Fröschenpuhl,residential,,False,True,68.44,"LINESTRING (7.1191046 49.9561463, 7.1190208 49.9560133, 7.1189227 49.9559018, 7.1187957 49.9557882, 7.118688 49.9557165, 7.1185715 49.9556441)",,,
159656026,Bergstraße,residential,30,False,False,184.81400000000002,"LINESTRING (7.1191046 49.9561463, 7.1187384 49.9562359, 7.1185674 49.9562778, 7.1177244 49.956543, 7.117375 49.9566529, 7.1171193 49.9567334, 7.1167549 49.9568342)",,,
159656026,Bergstraße,residential,30,False,True,131.563,"LINESTRING (7.1191046 49.9561463, 7.1197719 49.956006, 7.1208553 49.9557841)",,,
159656023,Am Laubloch,residential,50,True,False,63.721999999999994,"LINESTRING (7.1229811 49.9546841, 7.1231606 49.954725, 7.1237412 49.9549769)",,,
159656034,Köveniger Straße,tertiary,50,False,False,280.201,"LINESTRING (7.1229811 49.9546841, 7.1226483 49.9544825, 7.1221091 49.9541558, 7.1217842 49.953959, 7.1213208 49.9536619, 7.1208632 49.9533527, 7.1204873 49.9530925, 7.1202064 49.9529069)",2,K 65,
159656034,Köveniger Straße,tertiary,50,False,True,67.087,"LINESTRING (7.1229811 49.9546841, 7.1232473 49.9548818, 7.1235093 49.9551791)",2,K 65,
159637774,Am Bahnhof,tertiary,50,True,False,67.667,"LINESTRING (7.1178364 49.9509971, 7.1179544 49.9510089, 7.1180516 49.9510288, 7.1181764 49.951062, 7.1184567 49.9511397, 7.1185049 49.9511569, 7.1185465 49.9511789, 7.11858 49.9512031, 7.1186116 49.9512298, 7.1186496 49.9512696)",1,K 65,
159637799,Im Trehl,residential,,False,False,112.38900000000001,"LINESTRING (7.1178364 49.9509971, 7.1178328 49.9508246, 7.1178017 49.9504351, 7.1177065 49.9499911)",,,
159637781,Bahnstraße,tertiary,50,False,False,27.084,"LINESTRING (7.1186496 49.9512696, 7.1184768 49.9513338, 7.1183173 49.9513861)",2,K 65,
"[563377408, 159656017, 820392251]",Am Bahnhof,tertiary,50,False,True,121.326,"LINESTRING (7.1186496 49.9512696, 7.1187542 49.95124, 7.1188296 49.9512234, 7.1188858 49.9512147, 7.1189589 49.9512091, 7.1191835 49.9512151, 7.1195353 49.9512457, 7.119731 49.9512576, 7.1199372 49.9512702, 7.1201538 49.9512712, 7.1202444 49.951287, 7.1203048 49.9513171)",2,K 65,
159637819,Poststraße,residential,,False,True,49.223,"LINESTRING (7.1168663 49.9513535, 7.1168757 49.9513951, 7.116965 49.9517916)",,,
159656041,Poststraße,secondary,50,False,False,48.389,"LINESTRING (7.1168663 49.9513535, 7.1168098 49.9511509, 7.1167813 49.9509223)",2,L 187,
159637781,Bahnstraße,tertiary,50,False,False,14.912,"LINESTRING (7.1183173 49.9513861, 7.1182714 49.9513956, 7.1182336 49.9514, 7.118112 49.9513955)",2,K 65,
159637781,Bahnstraße,tertiary,50,False,True,27.084,"LINESTRING (7.1183173 49.9513861, 7.1184768 49.9513338, 7.1186496 49.9512696)",2,K 65,
159637803,Luisenstraße,residential,,False,True,65.084,"LINESTRING (7.1183421 49.9518905, 7.1192449 49.9519623)",,,
159637803,Luisenstraße,residential,,False,False,65.084,"LINESTRING (7.1192449 49.9519623, 7.1183421 49.9518905)",,,
159637825,Schulstraße,residential,,False,True,49.707,"LINESTRING (7.1192449 49.9519623, 7.119135 49.9524037)",,,
159637825,Schulstraße,residential,,False,False,49.397000000000006,"LINESTRING (7.1192449 49.9519623, 7.1193549 49.9515471, 7.1193611 49.9515244)",,,
307598722,Kirchstraße,residential,30,False,False,10.702,"LINESTRING (7.1169086 49.9523026, 7.1170576 49.9523111)",,,
307598722,Kirchstraße,residential,30,False,True,10.702,"LINESTRING (7.1170576 49.9523111, 7.1169086 49.9523026)",,,
307598728,Kirchstraße,residential,30,False,False,57.547,"LINESTRING (7.1170576 49.9523111, 7.1178618 49.9523205)",,,
159637819,Poststraße,residential,,False,False,58.144999999999996,"LINESTRING (7.1170576 49.9523111, 7.1170558 49.9523008, 7.116965 49.9517916)",,,
156179660,Oberstädter Straße,residential,,False,True,139.06099999999998,"LINESTRING (7.1180974 49.9534984, 7.1190263 49.9537265, 7.1191631 49.9537727, 7.1198671 49.9540103)",,,
221584738,Römerstraße,residential,,False,False,156.924,"LINESTRING (7.1180974 49.9534984, 7.1182151 49.9532584, 7.1183585 49.9529522, 7.118392 49.9528888, 7.1184315 49.9528139, 7.1184702 49.9527373, 7.1184852 49.9526651, 7.118458 49.9526072, 7.1183849 49.9525591, 7.1179996 49.9523834, 7.1178618 49.9523205)",,,
221584738,Römerstraße,residential,,False,True,101.394,"LINESTRING (7.1180974 49.9534984, 7.1180779 49.9535359, 7.1177819 49.9540762, 7.1176388 49.9543375, 7.1176272 49.9543586)",,,
198858770,Im Plantert,residential,,False,True,127.91,"LINESTRING (7.1176272 49.9543586, 7.118125 49.9544856, 7.1183701 49.9545482, 7.1192958 49.9547716)",,,
221584738,Römerstraße,residential,,False,False,101.394,"LINESTRING (7.1176272 49.9543586, 7.1176388 49.9543375, 7.1177819 49.9540762, 7.1180779 49.9535359, 7.1180974 49.9534984)",,,
221584738,Römerstraße,residential,,False,True,108.668,"LINESTRING (7.1176272 49.9543586, 7.1176178 49.9543786, 7.1174407 49.9547572, 7.1171894 49.9552944)",,,
156179528,Fröschenpuhl,residential,,False,False,106.586,"LINESTRING (7.1171894 49.9552944, 7.1173402 49.9553269, 7.1181268 49.9555021, 7.1183124 49.9555461, 7.118451 49.9555964, 7.1185715 49.9556441)",,,
221584738,Römerstraße,residential,,False,False,108.66799999999999,"LINESTRING (7.1171894 49.9552944, 7.1174407 49.9547572, 7.1176178 49.9543786, 7.1176272 49.9543586)",,,
221584738,Römerstraße,residential,,False,True,174.678,"LINESTRING (7.1171894 49.9552944, 7.1168803 49.9560083, 7.1168733 49.9560544, 7.1167549 49.9568342)",,,
159656049,Untere Kaiserstraße,residential,30,False,False,166.906,"LINESTRING (7.1209958 49.9497475, 7.1205063 49.9512151)",,,
159641118,An der Mosel,residential,30,False,False,238.24499999999998,"LINESTRING (7.1209958 49.9497475, 7.1200098 49.9497427, 7.1196214 49.9497537, 7.1194814 49.9497577, 7.1190178 49.9498028, 7.1185414 49.9498531, 7.1181165 49.9499082, 7.1177065 49.9499911)",,,
159641118,An der Mosel,residential,30,False,True,577.338,"LINESTRING (7.1209958 49.9497475, 7.1213589 49.9497763, 7.1217163 49.9498046, 7.1222836 49.9498758, 7.1228612 49.9499756, 7.1229329 49.949988, 7.1235718 49.9501103, 7.1237937 49.9501758, 7.124064 49.9502555, 7.1246202 49.9504555, 7.1252155 49.950737, 7.125489 49.9509497, 7.1261109 49.9514575, 7.1262149 49.9515424, 7.126539 49.9517922, 7.1267101 49.951924, 7.1270122 49.9521147, 7.1275384 49.9524227)",,,
159637799,Im Trehl,residential,,False,True,112.38900000000001,"LINESTRING (7.1177065 49.9499911, 7.1178017 49.9504351, 7.1178328 49.9508246, 7.1178364 49.9509971)",,,
