osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,width,bridge
7955638,True,Holzmarkt,residential,False,18.604,"LINESTRING (14.4342984 51.1813779, 14.434248 51.1814443, 14.4341547 51.1815176)",,,,,
"[256623617, 30987973]",False,"['Holzmarkt', 'Steinstraße']",secondary,False,71.013,"LINESTRING (14.4342984 51.1813779, 14.4340524 51.1813481, 14.4338641 51.1813145, 14.4334327 51.1812234, 14.4333199 51.1812034)","['2', '3']",S 111,"['50', '30']",,
256623617,False,Steinstraße,secondary,False,59.236,"LINESTRING (14.4333199 51.1812034, 14.4330819 51.1811665, 14.432495 51.1810753)",2,S 111,30,,
"[256623617, 30987973]",False,"['Holzmarkt', 'Steinstraße']",secondary,True,71.013,"LINESTRING (14.4333199 51.1812034, 14.4334327 51.1812234, 14.4338641 51.1813145, 14.4340524 51.1813481, 14.4342984 51.1813779)","['2', '3']",S 111,"['50', '30']",,
40794294,True,Lotzestraße,residential,False,90.693,"LINESTRING (14.432495 51.1810753, 14.4323969 51.180262)",,,,,
256623617,False,Steinstraße,secondary,True,59.236,"LINESTRING (14.432495 51.1810753, 14.4330819 51.1811665, 14.4333199 51.1812034)",2,S 111,30,,
267382690,False,Steinstraße,secondary,False,122.061,"LINESTRING (14.432495 51.1810753, 14.432267 51.181046, 14.4318954 51.1810153, 14.4314943 51.1809962, 14.431443 51.1809946, 14.4310768 51.1809749, 14.4307544 51.1809725)",2,S 111,30,,
267382689,False,Steinstraße,secondary,False,61.084,"LINESTRING (14.4303606 51.1809774, 14.4294846 51.1809927)",2,S 111,30,,
267382690,False,Steinstraße,secondary,True,27.455,"LINESTRING (14.4303606 51.1809774, 14.4307544 51.1809725)",2,S 111,30,,
"[22931269, 267388301]",False,Kurt-Pchalek-Straße,residential,True,89.168,"LINESTRING (14.4303606 51.1809774, 14.4303405 51.1805779, 14.4303085 51.1801762)",,,,,
