osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,tunnel,junction
276813960,3,Heiersstraße,residential,50,False,True,54.957,"LINESTRING (8.7583088 51.722722, 8.7581717 51.7226222, 8.7580755 51.7225512, 8.7579756 51.7224693, 8.7578058 51.7223385)",,,,
"[326641833, 326641836, 326641839]","['4', '2', '3']",Gierswall,secondary,50,False,True,197.39100000000002,"LINESTRING (8.7583088 51.722722, 8.7585049 51.7226427, 8.7589452 51.722447, 8.7590506 51.7224001, 8.7591151 51.7223749, 8.7594533 51.7222156, 8.7596881 51.722105, 8.7597543 51.7220738, 8.7599938 51.721934, 8.7601346 51.7218381, 8.760175 51.7218106, 8.7602238 51.7217774, 8.7604566 51.7215686)",,,,
"[326640043, 326640044, 237119038]","['4', '2', '3']",Busdorfwall,secondary,50,False,False,163.97899999999998,"LINESTRING (8.7626857 51.7188116, 8.7626341 51.719015, 8.7625347 51.719219, 8.7623285 51.7195458, 8.7621038 51.7198908, 8.7618539 51.7201854)",,,,
237119038,2,Busdorfwall,secondary,50,False,True,151.487,"LINESTRING (8.7626857 51.7188116, 8.7626897 51.7186723, 8.7626604 51.7185425, 8.7626374 51.7184951, 8.7625343 51.7183201, 8.7624094 51.7181863, 8.7621684 51.717928, 8.7620262 51.7177756, 8.7618426 51.7175789)",,,,
"[17259481, 456762757]",,Agathastraße,residential,"['6', '30']",False,False,119.018,"LINESTRING (8.7626857 51.7188116, 8.7628501 51.7188218, 8.7628932 51.7188301, 8.763189 51.7189242, 8.7633067 51.7189658, 8.7634659 51.7190109, 8.7635675 51.7190391, 8.7636358 51.719055, 8.7638167 51.719076, 8.7638442 51.7190776, 8.7640058 51.7190831, 8.7641722 51.7190618, 8.7643064 51.7190253)",,,,
"[34835600, 361440482]",4,Liboriberg,secondary,50,False,True,123.518,"LINESTRING (8.7598708 51.7161523, 8.759664 51.7161064, 8.7592446 51.7160314, 8.7591538 51.7160151, 8.7581525 51.715836)",,,,
"[34835601, 787014577]",3,Kasseler Straße,residential,50,False,False,33.957,"LINESTRING (8.7598708 51.7161523, 8.7598174 51.7162548, 8.7597779 51.7163199, 8.7597515 51.7163499, 8.7596789 51.7164324)",,,,
"[42153435, 237119038]","['2', '3']",Busdorfwall,secondary,50,False,False,212.904,"LINESTRING (8.7598708 51.7161523, 8.7599939 51.716176, 8.7602215 51.7162525, 8.7603656 51.7163104, 8.7604366 51.7163583, 8.7606758 51.7165164, 8.7608589 51.7166762, 8.7610527 51.7168454, 8.7613892 51.7171392, 8.7614575 51.7171981, 8.761719 51.7174345, 8.7618426 51.7175789)",,,,
"[4274410, 280764573, 280764574]",4,Kasseler-Tor-Brücke,secondary,50,False,True,64.858,"LINESTRING (8.7581525 51.715836, 8.7582823 51.7155749, 8.7583794 51.7153798, 8.7584393 51.7152806)",yes,,,
"[34835600, 361440482]",4,Liboriberg,secondary,50,False,False,123.51800000000001,"LINESTRING (8.7581525 51.715836, 8.7591538 51.7160151, 8.7592446 51.7160314, 8.759664 51.7161064, 8.7598708 51.7161523)",,,,
"[326641839, 4546269, 323634327]","['4', '2']",Gierswall,secondary,50,False,False,148.246,"LINESTRING (8.7616339 51.720455, 8.7615447 51.7205775, 8.7614885 51.7206287, 8.7613115 51.72079, 8.7611233 51.7209717, 8.7608409 51.7212359, 8.7604566 51.7215686)",,,,
"[326640545, 34834546, 689177036]",3,Giersstraße,residential,"['50', '30']",False,True,49.343999999999994,"LINESTRING (8.7616339 51.720455, 8.7614406 51.7204173, 8.7613678 51.7203991, 8.7613313 51.7203899, 8.7612987 51.7203817, 8.7612531 51.7203704, 8.7609644 51.720298)",,,,
128954463,3,Busdorfwall,secondary,50,False,True,33.595,"LINESTRING (8.7616339 51.720455, 8.7617497 51.720318, 8.7617878 51.7202696, 8.7618539 51.7201854)",,,,
128954464,5,Driburger Straße,secondary,50,False,False,41.091,"LINESTRING (8.7616339 51.720455, 8.7618548 51.7204574, 8.7619293 51.7204582, 8.7619522 51.7204585, 8.7622289 51.7204409)",,,,
8010677,,Am Ostfriedhof,residential,30,False,True,329.62699999999995,"LINESTRING (8.7646291 51.7201062, 8.7646028 51.7199985, 8.7645813 51.7199064, 8.7645778 51.719879, 8.7645689 51.7198142, 8.7645676 51.7198046, 8.7645517 51.7196462, 8.7645685 51.7194862, 8.7646228 51.7192935, 8.7646584 51.7192056, 8.7652363 51.7183192, 8.7652449 51.7183066, 8.7653956 51.7180573, 8.7658593 51.7172902)",,,,
17259482,4,Benhauser Straße,secondary,50,False,False,67.07900000000001,"LINESTRING (8.7646291 51.7201062, 8.7646451 51.7202191, 8.7646483 51.7203716, 8.764629 51.7205483, 8.7645872 51.7207065)",,,,
"[899430252, 369470726, 31310199]","['4', '2']",Driburger Straße,secondary,50,False,False,424.01000000000005,"LINESTRING (8.7646291 51.7201062, 8.7649056 51.7200678, 8.7653414 51.7199938, 8.765585 51.7199498, 8.7657078 51.7199241, 8.7660528 51.7198422, 8.766223 51.7197987, 8.7668925 51.7196222, 8.7674769 51.7194667, 8.767713 51.7194015, 8.7696043 51.7189032, 8.7700452 51.7187891, 8.7701108 51.7187721, 8.7703476 51.7187107)",,,,
"[197048913, 326641295]",4,Driburger Straße,secondary,50,False,True,169.499,"LINESTRING (8.7646291 51.7201062, 8.7643049 51.7201558, 8.7634404 51.7202819, 8.7633805 51.7202898, 8.762909 51.7203569, 8.7622289 51.7204409)",,,,
17259482,4,Benhauser Straße,secondary,50,False,True,67.07900000000001,"LINESTRING (8.7645872 51.7207065, 8.764629 51.7205483, 8.7646483 51.7203716, 8.7646451 51.7202191, 8.7646291 51.7201062)",,,,
19202356,,Fechtelerstraße,residential,30,False,True,128.683,"LINESTRING (8.7645872 51.7207065, 8.7653473 51.720822, 8.7654038 51.7208305, 8.7657584 51.7208878, 8.7658243 51.7208998, 8.7660627 51.7209086, 8.7663505 51.7207816)",,,,
369470720,,Benhauser Straße,secondary,50,False,False,23.842,"LINESTRING (8.7645872 51.7207065, 8.7645269 51.7208544, 8.7644921 51.7209124)",,,,
1160257272,2,Benhauser Straße,secondary,50,False,False,28.13,"LINESTRING (8.7642314 51.7211959, 8.7645822 51.7213254)",,,,
"[323350445, 19201526, 68609046]",2,"['Dörener Platz', 'Penzlinger Straße']",unclassified,50,False,False,85.601,"LINESTRING (8.7642314 51.7211959, 8.7640281 51.7213569, 8.7638783 51.7214835, 8.7638117 51.7215485, 8.7637904 51.7215693, 8.7637659 51.7215933, 8.7635251 51.7218284)",,,,
1160257273,,Benhauser Straße,secondary,50,False,True,36.308,"LINESTRING (8.7642314 51.7211959, 8.7644058 51.7210187, 8.7644921 51.7209124)",,,,
280764591,2,Warburger Straße,secondary,50,False,False,128.556,"LINESTRING (8.763801 51.715285, 8.7638645 51.7152605, 8.7641357 51.7151448, 8.7642055 51.715115, 8.7644358 51.7150167, 8.7645851 51.7149529, 8.7648757 51.7148288, 8.765033 51.7147574, 8.7652543 51.7146587, 8.7653312 51.7146236)",,,,
"[172452591, 42153443, 997552629, 280764591]",2,Warburger Straße,secondary,50,False,True,261.873,"LINESTRING (8.763801 51.715285, 8.7632706 51.7154909, 8.7630835 51.7155531, 8.7628404 51.7156249, 8.7625159 51.7157063, 8.762287 51.7157662, 8.7622655 51.7157712, 8.7618425 51.7158636, 8.7617868 51.7158742, 8.7616072 51.7158916, 8.7614959 51.7158947, 8.7611717 51.7158883, 8.7609458 51.7158774, 8.760752 51.7158638, 8.7604761 51.715825, 8.7602514 51.7157673)",,,,
30724792,,Kasseler Straße,residential,30,False,True,57.289,"LINESTRING (8.7584421 51.7179554, 8.7585679 51.7175861, 8.7586007 51.7174899, 8.7586139 51.7174513)",,7,,
"[172997610, 36734333, 32056910, 4291279]",,"['Laurentiusgasse', 'Am Busdorf', 'Kasseler Straße']","['residential', 'living_street']",30,False,False,364.58799999999997,"LINESTRING (8.7584421 51.7179554, 8.7584386 51.7181973, 8.7584777 51.7185031, 8.7585066 51.7187193, 8.7586364 51.7187452, 8.7590207 51.7187844, 8.7597541 51.7188612, 8.7598666 51.7188753, 8.7600514 51.7188904, 8.7602366 51.7189849, 8.7603411 51.7190202, 8.7606585 51.7191263, 8.7606823 51.7191516, 8.7607463 51.7192286, 8.7607623 51.7193148, 8.7607943 51.7194234, 8.7607957 51.7194635, 8.7607057 51.7196505, 8.7603616 51.7201531)",,7,,
8551725,,Andreasstraße,residential,30,False,False,129.262,"LINESTRING (8.7647808 51.7172012, 8.7643864 51.7171454, 8.7640481 51.7170793, 8.762993 51.716852)",,,,
8551725,,Andreasstraße,residential,30,False,True,74.955,"LINESTRING (8.7647808 51.7172012, 8.7653221 51.7172479, 8.7658593 51.7172902)",,,,
14839101,,Blasiusstraße,residential,30,False,False,89.958,"LINESTRING (8.7647808 51.7172012, 8.7646969 51.7172725, 8.7645508 51.7174036, 8.7642512 51.7176727, 8.7641883 51.7177849, 8.7641142 51.7178912)",,,,
9952843,,Giersstraße,residential,30,False,False,147.07199999999997,"LINESTRING (8.7582825 51.719351, 8.758583 51.7194592, 8.7589579 51.7196137, 8.7593354 51.7197716, 8.7593975 51.7197972, 8.7596077 51.7198849, 8.7599583 51.7200268, 8.7600741 51.7200696)",,,,
129438624,,Giersstraße,residential,30,False,False,21.873,"LINESTRING (8.7600741 51.7200696, 8.7603616 51.7201531)",,,,
9952843,,Giersstraße,residential,30,False,True,147.072,"LINESTRING (8.7600741 51.7200696, 8.7599583 51.7200268, 8.7596077 51.7198849, 8.7593975 51.7197972, 8.7593354 51.7197716, 8.7589579 51.7196137, 8.758583 51.7194592, 8.7582825 51.719351)",,,,
19791081,,Am Stadelhof,living_street,,True,False,108.96199999999999,"LINESTRING (8.7600741 51.7200696, 8.759948 51.7202275, 8.7598967 51.7202642, 8.7597234 51.7203884, 8.7596558 51.7205144, 8.7596138 51.7205926, 8.7595347 51.7207401, 8.7594524 51.7208935, 8.7594453 51.7209095, 8.7594275 51.7209502)",,,,
"[19803707, 302659037]",,Giersmauer,living_street,,False,False,169.07500000000002,"LINESTRING (8.7609644 51.720298, 8.7609332 51.7203307, 8.7607035 51.7206913, 8.7606554 51.7207427, 8.76049 51.7209191, 8.7602788 51.7211326, 8.7600643 51.7213355, 8.7597649 51.7216187)",,,,
"[28882961, 682402815]",,Busdorfmauer,living_street,,False,True,84.957,"LINESTRING (8.7609644 51.720298, 8.7610507 51.7202033, 8.7613691 51.7196217, 8.7613942 51.7195836)",,,,
129438624,,Giersstraße,residential,30,False,True,44.54,"LINESTRING (8.7609644 51.720298, 8.7609251 51.7202886, 8.7608916 51.7202807, 8.7603616 51.7201531)",,,,
"[326640545, 34834546, 689177036]",3,Giersstraße,residential,"['50', '30']",False,False,49.343999999999994,"LINESTRING (8.7609644 51.720298, 8.7612531 51.7203704, 8.7612987 51.7203817, 8.7613313 51.7203899, 8.7613678 51.7203991, 8.7614406 51.7204173, 8.7616339 51.720455)",,,,
"[19803707, 302659037]",,Giersmauer,living_street,,False,True,169.075,"LINESTRING (8.7597649 51.7216187, 8.7600643 51.7213355, 8.7602788 51.7211326, 8.76049 51.7209191, 8.7606554 51.7207427, 8.7607035 51.7206913, 8.7609332 51.7203307, 8.7609644 51.720298)",,,,
28883428,,Giersmauer,living_street,,True,False,90.874,"LINESTRING (8.7589047 51.7218959, 8.7588568 51.7219415, 8.7587567 51.7219866, 8.7578058 51.7223385)",,,,
276813960,3,Heiersstraße,residential,50,False,True,15.111,"LINESTRING (8.7578058 51.7223385, 8.7576902 51.722223)",,,,
