osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,tunnel,est_width,access
"[4415808, 445564886]",3,B 466,Oskar-Mayer-Straße,primary,False,False,89.46,"LINESTRING (10.4928925 48.847431, 10.492989 48.8475321, 10.4930455 48.8475913, 10.4932025 48.8477581, 10.4932897 48.8478508, 10.4935283 48.8481181)",,,,,
10865874,2,B 466,Herlinstraße,primary,False,False,105.186,"LINESTRING (10.4928925 48.847431, 10.4927883 48.8474447, 10.4926671 48.8474595, 10.4925048 48.8474632, 10.4924805 48.8474638, 10.4923269 48.8474588, 10.4921146 48.8474316, 10.4915475 48.8473328, 10.4914851 48.8473219)",30,,,,
10865874,2,B 466,Herlinstraße,primary,False,True,105.186,"LINESTRING (10.4914851 48.8473219, 10.4915475 48.8473328, 10.4921146 48.8474316, 10.4923269 48.8474588, 10.4924805 48.8474638, 10.4925048 48.8474632, 10.4926671 48.8474595, 10.4927883 48.8474447, 10.4928925 48.847431)",30,,,,
25480093,,,,unclassified,False,True,64.48,"LINESTRING (10.4926376 48.8561447, 10.4926004 48.8558925, 10.4926111 48.8557691, 10.492629 48.8557114, 10.49266 48.8556461, 10.4927099 48.855578)",,,,,
"[25480098, 25480099, 815873827, 30071818, 30071819, 29567824]",2,,Innerer Ring,secondary,False,False,729.0580000000001,"LINESTRING (10.4926376 48.8561447, 10.4920601 48.85629, 10.4914924 48.8564189, 10.491187 48.8564642, 10.4907142 48.8565074, 10.4901612 48.8565342, 10.4896738 48.8565241, 10.489293 48.8564907, 10.4889098 48.8564497, 10.4885851 48.8563967, 10.4880954 48.8562925, 10.4875804 48.8561612, 10.4870296 48.8559957, 10.4867885 48.8559173, 10.4862002 48.8556449, 10.4857077 48.8553878, 10.4853378 48.8552046, 10.4845115 48.8547872, 10.4838559 48.8544469, 10.4837312 48.8543638)",50,yes,,,
29567824,,,Innerer Ring,secondary,False,True,112.77600000000001,"LINESTRING (10.4926376 48.8561447, 10.4934933 48.8558761, 10.4937838 48.8557766, 10.4940196 48.8556958)",50,,,,
"[25279634, 35822221, 35822222]",2,,Baldinger Straße,unclassified,False,False,91.54200000000002,"LINESTRING (10.4837312 48.8543638, 10.4837927 48.8543331, 10.4840451 48.8542157, 10.4841912 48.8541469, 10.484296 48.8540997, 10.4845699 48.8539795, 10.4846696 48.8539339, 10.4847541 48.8538901)","['50', '30']",yes,,,
84972201,,,Würzburger Straße,residential,False,True,67.138,"LINESTRING (10.4837312 48.8543638, 10.4835585 48.8544436, 10.4831079 48.8546596, 10.4829882 48.8547181)",,,,,
"[25480098, 815873827, 25480099, 30071818, 30071819, 29567824]",2,,Innerer Ring,secondary,False,True,729.0580000000001,"LINESTRING (10.4837312 48.8543638, 10.4838559 48.8544469, 10.4845115 48.8547872, 10.4853378 48.8552046, 10.4857077 48.8553878, 10.4862002 48.8556449, 10.4867885 48.8559173, 10.4870296 48.8559957, 10.4875804 48.8561612, 10.4880954 48.8562925, 10.4885851 48.8563967, 10.4889098 48.8564497, 10.489293 48.8564907, 10.4896738 48.8565241, 10.4901612 48.8565342, 10.4907142 48.8565074, 10.491187 48.8564642, 10.4914924 48.8564189, 10.4920601 48.85629, 10.4926376 48.8561447)",50,yes,,,
183534403,,,Hallgasse,unclassified,True,False,85.997,"LINESTRING (10.4878287 48.8502101, 10.4878046 48.8502155, 10.4876549 48.8502325, 10.4874364 48.8502334, 10.4872276 48.8502269, 10.4871315 48.8502163, 10.4869577 48.8502021, 10.4868326 48.8501909, 10.486675 48.8501463)",,,,,
