osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,bridge,ref,access,junction
4428868,Schmidgallstraße,residential,30,False,False,95.066,"LINESTRING (9.3934105 48.8780006, 9.3934413 48.878032, 9.3940677 48.8786748, 9.3941145 48.8787193)",,,,,,
4428868,Schmidgallstraße,residential,30,False,True,93.89699999999999,"LINESTRING (9.3934105 48.8780006, 9.3933731 48.8779628, 9.3927594 48.8773476, 9.3927115 48.8772924)",,,,,,
170398683,Bahnhofstraße,residential,30,False,False,109.331,"LINESTRING (9.3934105 48.8780006, 9.3933682 48.8780225, 9.3922722 48.878638)",,,,,,
170398683,Bahnhofstraße,residential,30,False,True,113.257,"LINESTRING (9.3934105 48.8780006, 9.3934456 48.8779804, 9.3938609 48.8777406, 9.3941527 48.877639, 9.3947204 48.8774763)",,,,,,
23561855,Lindenstraße,residential,30,False,False,77.61500000000001,"LINESTRING (9.3918562 48.8745586, 9.3918608 48.8744766, 9.3918622 48.8744051, 9.3918629 48.8742476, 9.3918636 48.8741578, 9.3918489 48.8738608)",,,,,,
297286414,Waiblinger Straße,tertiary,50,True,False,78.037,"LINESTRING (9.3918562 48.8745586, 9.3921424 48.874698, 9.3927131 48.8749768)",,,,,,
4463242,Kantstraße,residential,30,False,True,90.506,"LINESTRING (9.4029598 48.8738599, 9.4027023 48.8736376, 9.4025025 48.8734304, 9.402331 48.8731642)",,,,,,
625232001,Schorndorfer Straße,tertiary,30,True,False,106.02,"LINESTRING (9.4029598 48.8738599, 9.4019718 48.8743091, 9.4017779 48.8744114)",,,,,,
401165904,Schloßstraße,residential,30,False,False,17.514,"LINESTRING (9.3982502 48.8744908, 9.3983313 48.874639)",,,,,,
4463236,Robert-Boehringer-Straße,residential,30,False,False,175.429,"LINESTRING (9.3982502 48.8744908, 9.400383 48.8739344, 9.4004798 48.8739089)",,,,,,
401165904,Schloßstraße,residential,30,False,True,64.204,"LINESTRING (9.3982502 48.8744908, 9.3979982 48.8740354, 9.3979492 48.8739484)",,,,,,
4463236,Robert-Boehringer-Straße,residential,30,False,True,175.429,"LINESTRING (9.4004798 48.8739089, 9.400383 48.8739344, 9.3982502 48.8744908)",,,,,,
55069727,Paulinenstraße,tertiary,30,False,False,100.448,"LINESTRING (9.4004798 48.8739089, 9.4005108 48.8739834, 9.4005897 48.8741516, 9.4007122 48.8743559, 9.4007151 48.8743615, 9.4008856 48.8746078, 9.4009015 48.8746298, 9.4009937 48.8747443)",,,,,,
55069727,Paulinenstraße,tertiary,30,False,True,29.149,"LINESTRING (9.4004798 48.8739089, 9.4004323 48.8737242, 9.4004165 48.8736501)",,,,,,
8053032,Steinweg,residential,30,False,False,107.146,"LINESTRING (9.4008772 48.8711989, 9.4019862 48.8713202, 9.4022872 48.8713392, 9.4023255 48.8713379)",7,,,,,
11948369,Breuningsweiler Straße,tertiary,30,True,False,41.858000000000004,"LINESTRING (9.4008772 48.8711989, 9.4008221 48.87129, 9.4007651 48.8713803, 9.400658 48.8714243, 9.4005157 48.8714518)",5,,,,,
"[159797740, 4463246]",Seegartenstraße,residential,30,False,False,141.593,"LINESTRING (9.4017779 48.8744114, 9.4019003 48.8745188, 9.4019605 48.8745558, 9.402093 48.8746691, 9.4021826 48.8747417, 9.4022615 48.8748006, 9.4030388 48.8753764)",,,,,,
618508276,Schorndorfer Straße,tertiary,30,True,False,68.77099999999999,"LINESTRING (9.4017779 48.8744114, 9.4016405 48.8744787, 9.4012642 48.8746703, 9.4011426 48.8747072, 9.4009937 48.8747443)",,,,,,
926255723,Albertviller Straße,tertiary,30,False,False,24.963,"LINESTRING (9.4004738 48.871229, 9.4005157 48.8714518)",,3,,,,
