osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,tunnel,bridge,width
50412447,False,2,Hauptstraße,tertiary,30,True,65.81,"LINESTRING (7.7024859 47.8444223, 7.7025844 47.8443701, 7.7026645 47.8443306, 7.7027403 47.8442849, 7.7030671 47.8439838)",,,,,
926338136,True,1,,tertiary,30,False,16.991,"LINESTRING (7.7024859 47.8444223, 7.7025055 47.8444441, 7.7025127 47.8444691, 7.7025063 47.8444942, 7.7024874 47.8445163, 7.7024582 47.8445325, 7.7024223 47.8445409)",K 4941,roundabout,,,
24848799,True,1,,tertiary,30,False,15.428999999999998,"LINESTRING (7.7024223 47.8445409, 7.7023879 47.8445408, 7.7023552 47.8445333, 7.7023278 47.8445193, 7.7023085 47.8445002, 7.7022992 47.8444779, 7.7023009 47.8444548)",K 4941,roundabout,,,
145349300,False,,Ernst-Bark-Gasse,residential,,True,58.136,"LINESTRING (7.7077259 47.8409996, 7.7081936 47.8414177)",,,,,
"[57395571, 1153205667, 825515902]",False,2,Hauptstraße,tertiary,30,False,120.725,"LINESTRING (7.7077259 47.8409996, 7.707555 47.8410847, 7.7073639 47.8411783, 7.7069472 47.8413839, 7.7069224 47.8413929, 7.7068254 47.8414283, 7.7063494 47.8415557)",,,building_passage,,
"[57395571, 926808596, 926338126]",False,2,Hauptstraße,tertiary,30,True,48.185,"LINESTRING (7.7077259 47.8409996, 7.7079369 47.8408917, 7.708119 47.8407985, 7.7081901 47.8407658, 7.7082416 47.840739)",,,,,
30027653,False,2,Hauptstraße,tertiary,30,False,22.608,"LINESTRING (7.7082416 47.840739, 7.708327 47.8406977, 7.7084858 47.8406187)",,,,,
145349294,False,,Alte Postgasse,residential,,False,58.703,"LINESTRING (7.7082416 47.840739, 7.70829 47.8407947, 7.7084179 47.8409324, 7.7086789 47.8411774)",,,,,
289480807,False,,Marktplatz,residential,30,True,28.598,"LINESTRING (7.7082416 47.840739, 7.7082095 47.8407095, 7.7081422 47.8406224, 7.7081376 47.8404999)",,,,,
"[57395571, 926808596, 926338126]",False,2,Hauptstraße,tertiary,30,False,48.185,"LINESTRING (7.7082416 47.840739, 7.7081901 47.8407658, 7.708119 47.8407985, 7.7079369 47.8408917, 7.7077259 47.8409996)",,,,,
"[145349299, 338721077]",False,,Markgrafenstraße,residential,30,False,100.08500000000001,"LINESTRING (7.7081376 47.8404999, 7.7080354 47.840385, 7.7079738 47.8403157, 7.7075827 47.8399358, 7.7075347 47.8398852, 7.7073398 47.8397866)",,,,,
185449206,False,,Marktplatz,residential,30,True,31.934,"LINESTRING (7.7081376 47.8404999, 7.708365 47.8405119, 7.7084533 47.8405899, 7.7084858 47.8406187)",,,,,
289480807,False,,Marktplatz,residential,30,False,28.598000000000003,"LINESTRING (7.7081376 47.8404999, 7.7081422 47.8406224, 7.7082095 47.8407095, 7.7082416 47.840739)",,,,,
926338137,True,1,,tertiary,30,False,17.491999999999997,"LINESTRING (7.7023009 47.8444548, 7.7023205 47.8444262, 7.7023565 47.844406, 7.7024018 47.8443981, 7.7024479 47.8444039, 7.7024859 47.8444223)",K 4941,roundabout,,,
"[145349298, 57395573]",False,,Joh.-Dan.-Schöpflin-Weg,residential,,False,112.464,"LINESTRING (7.7063494 47.8415557, 7.7065453 47.8417578, 7.7067094 47.8419537, 7.7067917 47.842022, 7.7069046 47.8421458, 7.7070706 47.84231, 7.7071472 47.8424119)",,,,,
825515901,False,2,Hauptstraße,tertiary,30,False,15.879999999999999,"LINESTRING (7.7063494 47.8415557, 7.7062264 47.8415746, 7.7061401 47.8415794)",,,,,
"[57395571, 1153205667, 825515902]",False,2,Hauptstraße,tertiary,30,True,120.725,"LINESTRING (7.7063494 47.8415557, 7.7068254 47.8414283, 7.7069224 47.8413929, 7.7069472 47.8413839, 7.7073639 47.8411783, 7.707555 47.8410847, 7.7077259 47.8409996)",,,building_passage,,
"[145349881, 57395573]",False,,"['Neubergweg', 'Joh.-Dan.-Schöpflin-Weg']",residential,,False,208.931,"LINESTRING (7.7071472 47.8424119, 7.7070755 47.8425807, 7.7069895 47.8427022, 7.7069255 47.8427576, 7.7067709 47.8428913, 7.7066373 47.843007, 7.7066436 47.8432053, 7.7066249 47.8432677, 7.7061684 47.8438635, 7.7059839 47.8440821)",,,,,
