osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,bridge,width
26431493,Friedrich-Ebert-Straße,residential,30,False,False,74.783,,"LINESTRING (7.9699581 49.2041886, 7.9695286 49.2047998)",,,
27443568,Landauer Straße,secondary,50,False,False,124.511,L 490,"LINESTRING (7.9699581 49.2041886, 7.9693499 49.20397, 7.9690621 49.203865, 7.9688754 49.2037982, 7.9684525 49.2036538)",,,
166174318,Landauer Straße,secondary,50,False,True,129.77499999999998,L 490,"LINESTRING (7.9699581 49.2041886, 7.9706747 49.2044654, 7.9708303 49.2045277, 7.971027 49.2046064, 7.9711807 49.2046636, 7.9714098 49.2047486, 7.9714952 49.204783)",,,
269429756,Am Osterbächel,residential,30,False,True,144.208,,"LINESTRING (7.9699581 49.2041886, 7.970052 49.2040467, 7.9701076 49.203956, 7.9701056 49.2039043, 7.9700795 49.2038211, 7.970003 49.2036704, 7.9699025 49.2035116, 7.9697925 49.2033294, 7.9695747 49.2030897, 7.9694952 49.2030011)",,,
26431492,An der Feuerwache,residential,30,False,True,74.867,,"LINESTRING (7.9684525 49.2036538, 7.9684209 49.2037003, 7.9683683 49.2037777, 7.9681897 49.2040403, 7.9680341 49.2042691)",,,
"[27443568, 1066384177]",Landauer Straße,secondary,"['50', '30']",False,False,118.52,L 490,"LINESTRING (7.9684525 49.2036538, 7.9682856 49.2035983, 7.9682401 49.2035832, 7.9681432 49.2035492, 7.968003 49.2035, 7.9671076 49.203185, 7.967013 49.2031524)",,,
27443568,Landauer Straße,secondary,50,False,True,124.51100000000001,L 490,"LINESTRING (7.9684525 49.2036538, 7.9688754 49.2037982, 7.9690621 49.203865, 7.9693499 49.20397, 7.9699581 49.2041886)",,,
26431479,Saarlandstraße,secondary,30,False,False,78.691,L 490,"LINESTRING (7.9660914 49.2029845, 7.9660267 49.2029935, 7.9659639 49.2030171, 7.9659185 49.2030464, 7.965885 49.20308, 7.9658504 49.2031306, 7.9656145 49.2035851)",2,,
1066384177,Landauer Straße,secondary,30,False,True,70.447,L 490,"LINESTRING (7.9660914 49.2029845, 7.9661747 49.2029751, 7.9663059 49.2029827, 7.9664284 49.2030112, 7.9665507 49.2030396, 7.9668253 49.2031035, 7.967013 49.2031524)",,,
26431479,Saarlandstraße,secondary,30,False,True,78.691,L 490,"LINESTRING (7.9656145 49.2035851, 7.9658504 49.2031306, 7.965885 49.20308, 7.9659185 49.2030464, 7.9659639 49.2030171, 7.9660267 49.2029935, 7.9660914 49.2029845)",2,,
26431491,Hohenstaufenstraße,residential,,False,False,191.57500000000002,,"LINESTRING (7.9656145 49.2035851, 7.9656699 49.2036008, 7.9659943 49.2036817, 7.9664008 49.2037917, 7.9664326 49.2038003, 7.9667856 49.2039036, 7.9674274 49.2040915, 7.9680341 49.2042691)",,,
27443565,Saarlandstraße,secondary,30,False,False,74.179,L 490,"LINESTRING (7.9656145 49.2035851, 7.9654405 49.2039442, 7.9654222 49.203981, 7.9653905 49.2040449, 7.9653074 49.2041813, 7.965281 49.2042149)",,,
91598551,Meßplatz,residential,30,True,False,60.039,,"LINESTRING (7.9656145 49.2035851, 7.9649531 49.2034209, 7.964842 49.2033933)",,,
26431496,Bahnhofstraße,residential,,False,False,20.319,,"LINESTRING (7.9638411 49.204455, 7.9638445 49.2045745, 7.9638466 49.2046377)",,,
52514435,Saarlandstraße,secondary,50,False,False,134.103,L 490,"LINESTRING (7.9638411 49.204455, 7.9634061 49.2044593, 7.9631337 49.20444, 7.9629715 49.2044111, 7.9625967 49.204357, 7.9622169 49.204296, 7.9620243 49.2042822)",2,,
"[27443564, 164876751]",Saarlandstraße,secondary,50,False,True,42.337,L 490,"LINESTRING (7.9638411 49.204455, 7.9642604 49.2044401, 7.9644232 49.204438)",2,,
26431491,Hohenstaufenstraße,residential,,False,False,123.57699999999998,,"LINESTRING (7.9680341 49.2042691, 7.9681042 49.204294, 7.9691093 49.2046509, 7.969294 49.2047165, 7.9695286 49.2047998)",,,
26431491,Hohenstaufenstraße,residential,,False,True,191.57500000000002,,"LINESTRING (7.9680341 49.2042691, 7.9674274 49.2040915, 7.9667856 49.2039036, 7.9664326 49.2038003, 7.9664008 49.2037917, 7.9659943 49.2036817, 7.9656699 49.2036008, 7.9656145 49.2035851)",,,
26431492,An der Feuerwache,residential,30,False,False,74.86699999999999,,"LINESTRING (7.9680341 49.2042691, 7.9681897 49.2040403, 7.9683683 49.2037777, 7.9684209 49.2037003, 7.9684525 49.2036538)",,,
26431493,Friedrich-Ebert-Straße,residential,30,False,True,74.783,,"LINESTRING (7.9695286 49.2047998, 7.9699581 49.2041886)",,,
26431491,Hohenstaufenstraße,residential,,False,True,123.577,,"LINESTRING (7.9695286 49.2047998, 7.969294 49.2047165, 7.9691093 49.2046509, 7.9681042 49.204294, 7.9680341 49.2042691)",,,
"[27443566, 269429775, 269429778, 164249017, 164249018]",Friedrich-Ebert-Straße,residential,30,False,False,127.43900000000001,,"LINESTRING (7.9695286 49.2047998, 7.9693402 49.2051051, 7.9692906 49.2051785, 7.9691443 49.2054265, 7.9691324 49.2054439, 7.9690832 49.2055188, 7.9689214 49.2057678, 7.9688696 49.2058617)",,yes,
"[27443566, 269429775, 269429778, 164249017, 164249018]",Friedrich-Ebert-Straße,residential,30,False,True,127.439,,"LINESTRING (7.9688696 49.2058617, 7.9689214 49.2057678, 7.9690832 49.2055188, 7.9691324 49.2054439, 7.9691443 49.2054265, 7.9692906 49.2051785, 7.9693402 49.2051051, 7.9695286 49.2047998)",,yes,
"[166064104, 1153328753, 166064102, 1153328751]",Bahnhofstraße,residential,,False,True,113.25599999999999,,"LINESTRING (7.9688696 49.2058617, 7.9690617 49.2058976, 7.9691597 49.2059156, 7.9693474 49.2059511, 7.9695627 49.2059802, 7.9696846 49.2059899, 7.9698704 49.2059852, 7.9700535 49.2060188, 7.9701569 49.2060584, 7.9702527 49.2061064, 7.9703212 49.2061563)",,,
"[1154163362, 1154163363, 1154163365, 70541126, 166064103, 1154163367, 1154163370, 1154163373, 1154163375, 1154163376, 1153328754, 1153328756, 1153328757, 1185849372, 73566943]",Bahnhofstraße,residential,,False,False,322.684,,"LINESTRING (7.9688696 49.2058617, 7.9685403 49.2057919, 7.968369 49.2057556, 7.96815 49.2057069, 7.9677857 49.2056262, 7.9675637 49.2055766, 7.967356 49.2055098, 7.9670256 49.2053935, 7.9666184 49.2052361, 7.9665223 49.205199, 7.9664531 49.2051722, 7.9662282 49.2051021, 7.9661065 49.2050671, 7.9660636 49.2050547, 7.9659841 49.2050314, 7.9657963 49.2049739, 7.965734 49.2049551, 7.9655866 49.2049105, 7.9654866 49.2048863, 7.9652257 49.2048436, 7.9650867 49.2048209, 7.9647771 49.20477)",,,
26431496,Bahnhofstraße,residential,,False,True,20.319,,"LINESTRING (7.9638466 49.2046377, 7.9638445 49.2045745, 7.9638411 49.204455)",,,
"[164876744, 164407369, 210994060, 210994061]",Bahnhofstraße,residential,,False,True,69.189,,"LINESTRING (7.9638466 49.2046377, 7.9640653 49.2046691, 7.9642675 49.2046981, 7.9644355 49.204724, 7.9644847 49.2047316, 7.9645726 49.2047431, 7.9647771 49.20477)",,,
1163415200,Zweibrücker Straße,secondary,50,False,False,15.685,L 490,"LINESTRING (7.9620243 49.2042822, 7.9618096 49.204297)",2,,
