osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,ref,bridge
450175069,1,secondary,50,roundabout,True,False,13.262,"LINESTRING (8.1461358 51.8273861, 8.1461983 51.8273955, 8.1462534 51.827416, 8.146296 51.8274458)",,,
33285930,1,residential,,,True,False,52.347,"LINESTRING (8.1459065 51.8274985, 8.1457761 51.8274924, 8.1456743 51.8274822, 8.1455382 51.8274519, 8.1451828 51.8273634)",Ruggestraße,,
450175069,1,secondary,50,roundabout,True,False,14.205,"LINESTRING (8.1459065 51.8274985, 8.14592 51.8274677, 8.1459452 51.8274397, 8.1459804 51.8274164, 8.1460237 51.827399)",,,
34570874,,residential,,,False,True,186.853,"LINESTRING (8.146296 51.8274458, 8.146453 51.8274106, 8.1469184 51.8273063, 8.1472381 51.8272413, 8.1474494 51.8272392, 8.1477653 51.8272815, 8.1479742 51.827352, 8.1488034 51.8276357)",Bultstraße,,
450175069,1,secondary,50,roundabout,True,False,15.407,"LINESTRING (8.146296 51.8274458, 8.1463224 51.827482, 8.14633 51.8275215, 8.1463182 51.8275605, 8.1463069 51.8275786)",,,
450175069,1,secondary,50,roundabout,True,False,11.925999999999998,"LINESTRING (8.145951 51.8275993, 8.1459275 51.8275768, 8.1459119 51.8275517, 8.1459048 51.8275253, 8.1459065 51.8274985)",,,
34572684,2,residential,20,,False,False,13.975,"LINESTRING (8.1423512 51.823087, 8.1425501 51.8231131)",Geiststraße,,
34571289,2,secondary,50,,False,True,42.554,"LINESTRING (8.1423512 51.823087, 8.1423623 51.8229811, 8.1423179 51.8228858, 8.1422158 51.82272)",Geiststraße,L 792,
974461971,2,secondary,50,,False,False,56.516000000000005,"LINESTRING (8.1423512 51.823087, 8.1423195 51.8231633, 8.1421308 51.8233505, 8.1420409 51.8234609, 8.1420175 51.823545)",Paulsburg,L 792,
25019162,2,tertiary,50,,False,True,69.091,"LINESTRING (8.1513348 51.8299108, 8.1512299 51.8300394, 8.1511372 51.8302606, 8.151081 51.830507)",Zur Axt,K 11,
