osmid,ref,highway,oneway,reversed,length,bridge,geometry,name,maxspeed
"[31666311, 31666314, 31452923, 165326631]",BT 34,tertiary,False,True,139.647,yes,"LINESTRING (11.3431583 49.8487698, 11.3436586 49.8487701, 11.3439619 49.8487672, 11.3444984 49.8487557, 11.3451054 49.8487446)",,
202779205,St 2191,secondary,False,True,284.13,,"LINESTRING (11.3431583 49.8487698, 11.3432047 49.8486634, 11.3432853 49.8484183, 11.3433067 49.8483193, 11.3433232 49.8482191, 11.3433543 49.847946, 11.3434023 49.8474024, 11.3434231 49.8471541, 11.3434285 49.8470234, 11.3434662 49.8468043, 11.3435141 49.846569, 11.3435454 49.8465008, 11.3435789 49.8464557, 11.3436503 49.84639, 11.343772 49.8462782)",Hauptstraße,50
41592432,,residential,False,False,9.365,,"LINESTRING (11.3448858 49.8451429, 11.3450061 49.8451757)",Marktplatz,50
"[1210147053, 24451885]",,residential,False,False,33.724000000000004,,"LINESTRING (11.3448858 49.8451429, 11.3446971 49.845066, 11.3444883 49.8449808)",Marktplatz,
297007008,St 2191,secondary,False,True,104.48499999999999,,"LINESTRING (11.3448858 49.8451429, 11.3451215 49.8449171, 11.3456299 49.8443357)",Dooser Straße,50
"[1050272409, 31454166]",St 2191,secondary,False,False,91.87700000000001,,"LINESTRING (11.3448858 49.8451429, 11.3447008 49.8452846, 11.3441975 49.8458374)","['Hauptstraße', 'Marktplatz']",50
31454327,BT 15,tertiary,False,False,256.192,,"LINESTRING (11.3476614 49.8444632, 11.3482663 49.8447448, 11.3484628 49.8448532, 11.3485448 49.8449104, 11.3486221 49.8449706, 11.3486604 49.8450636, 11.3486924 49.8451735, 11.3487063 49.8452616, 11.3487166 49.8454443, 11.3487479 49.8456587, 11.3487722 49.8457305, 11.3488094 49.8457873, 11.3488596 49.8458455, 11.3494394 49.8463193)",Zeubacher Straße,50
41592431,BT 34,tertiary,False,False,162.338,,"LINESTRING (11.3476614 49.8444632, 11.3473053 49.84461, 11.3469816 49.8447422, 11.3468419 49.8448014, 11.3466296 49.8449012, 11.3462664 49.845102, 11.3459462 49.8452985, 11.345881 49.8453539)",Vorstadt,50
55092112,BT 34,tertiary,False,True,66.299,,"LINESTRING (11.3476614 49.8444632, 11.347753 49.8444048, 11.3478263 49.8443363, 11.3479797 49.8441131, 11.3480274 49.8440437, 11.3480964 49.8439432)",Vorstadt,
"[41592432, 6269577, 31666134]",,residential,False,"[False, True]",65.82300000000001,yes,"LINESTRING (11.345881 49.8453539, 11.3458272 49.8453398, 11.3454435 49.8452655, 11.3452952 49.8452398, 11.3450061 49.8451757)",Marktplatz,50
