osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge,width,junction
23711375,Alter Postweg,residential,False,True,162.20600000000002,"LINESTRING (6.1836118 51.2432154, 6.1839635 51.2430859, 6.184585 51.2425932, 6.1848158 51.2424, 6.1850286 51.2421469, 6.1850679 51.2421054)",,,,,
191550781,Alter Postweg,residential,False,True,49.476,"LINESTRING (6.1836118 51.2432154, 6.1834497 51.2432721, 6.1832807 51.2433503, 6.1831803 51.2434269, 6.1831093 51.2435143)",30,,,,
"[950028450, 191378007]",Alter Postweg,residential,False,False,110.63500000000002,"LINESTRING (6.1836118 51.2432154, 6.183711 51.243253, 6.1841839 51.243432, 6.1843509 51.243457, 6.1850999 51.243463)",,,,,
"[950028451, 28453143]",Bergstraße,residential,False,False,125.34599999999999,"LINESTRING (6.1836118 51.2432154, 6.1835953 51.2431834, 6.1835333 51.2430627, 6.1835207 51.2429209, 6.1836167 51.2427379, 6.1835032 51.2424453, 6.1834737 51.2421147)",30,,,,
28449427,Borner Straße,living_street,True,False,88.27300000000001,"LINESTRING (6.1834737 51.2421147, 6.1830853 51.2421387, 6.1827351 51.2420795, 6.1824531 51.2420093, 6.1822929 51.2419228)",,,,,
28449575,Burgweiherplatz,living_street,False,False,41.045,"LINESTRING (6.1834737 51.2421147, 6.1833926 51.2420596, 6.1834172 51.2417658)",,,,,
"[950028451, 28453143]",Bergstraße,residential,False,True,125.34600000000002,"LINESTRING (6.1834737 51.2421147, 6.1835032 51.2424453, 6.1836167 51.2427379, 6.1835207 51.2429209, 6.1835333 51.2430627, 6.1835953 51.2431834, 6.1836118 51.2432154)",30,,,,
23711375,Alter Postweg,residential,False,False,162.206,"LINESTRING (6.1850679 51.2421054, 6.1850286 51.2421469, 6.1848158 51.2424, 6.184585 51.2425932, 6.1839635 51.2430859, 6.1836118 51.2432154)",,,,,
82113233,Borner Straße,residential,True,False,114.37800000000001,"LINESTRING (6.1850679 51.2421054, 6.184531 51.2420025, 6.1841311 51.2420018, 6.1834737 51.2421147)",30,,,,
"[102247116, 805454772, 73546237, 102247118]",Borner Straße,residential,False,True,88.089,"LINESTRING (6.1850679 51.2421054, 6.1852465 51.2421567, 6.185511 51.2422388, 6.185848 51.2423433, 6.1862005 51.2424585)",,,,,
"[28452657, 47460794]",Burgwall,residential,False,True,141.85199999999998,"LINESTRING (6.1866607 51.2412259, 6.1866432 51.2415258, 6.1866235 51.2415502, 6.1865485 51.2417683, 6.1864668 51.2419776, 6.1864317 51.2420541, 6.1863881 51.2421597, 6.1862005 51.2424585)",,2,,,
"[158512403, 105212794, 590603227, 105212767]",Westring,tertiary,False,True,392.832,"LINESTRING (6.1812986 51.2394593, 6.1815954 51.2392044, 6.1817468 51.2391298, 6.1821224 51.2390119, 6.1824441 51.2389659, 6.1842524 51.2387513, 6.1844214 51.2387498, 6.1849869 51.238757, 6.18537 51.2387989, 6.1855161 51.2388343, 6.1856982 51.2388966, 6.1859425 51.2389943, 6.1861771 51.2390933, 6.1863014 51.2391384, 6.1863753 51.2391561, 6.1864443 51.2391698)",,,yes,,
107093546,Westring,tertiary,False,False,70.174,"LINESTRING (6.1812986 51.2394593, 6.1812149 51.2395657, 6.1811054 51.2397554, 6.1810276 51.239903, 6.1809455 51.2400496)",,,,,
280250312,Deichweg,residential,False,True,64.696,"LINESTRING (6.1812986 51.2394593, 6.1812333 51.2394353, 6.1811691 51.2394117, 6.1811191 51.2393868, 6.1810088 51.2392994, 6.1808907 51.239229, 6.1807446 51.239151, 6.1805826 51.2390987)",,,,,
107093564,Klosterstraße,residential,False,False,26.661,"LINESTRING (6.1851836 51.2396066, 6.1849431 51.2397932)",,,,,
"[280246496, 45664484]",Burgwall,residential,True,False,240.40800000000002,"LINESTRING (6.1851836 51.2396066, 6.185393 51.2398739, 6.1856095 51.2399182, 6.1858542 51.2399793, 6.1861615 51.2400954, 6.1863773 51.2401737, 6.1865888 51.2402603, 6.1866347 51.2402854, 6.1867024 51.240326, 6.1867339 51.2403587, 6.1867642 51.2404538, 6.1867725 51.2405329, 6.1866228 51.2411877, 6.1866607 51.2412259)",,,,,
"[28453381, 105212789, 105212783]",Klosterstraße,residential,False,True,104.42399999999999,"LINESTRING (6.1851836 51.2396066, 6.1853921 51.2394174, 6.1858092 51.2392883, 6.1859309 51.2392755, 6.1860815 51.2392573, 6.1862672 51.2392254, 6.1863054 51.2392153, 6.1864443 51.2391698)",,,yes,,
107093564,Klosterstraße,residential,False,True,26.661,"LINESTRING (6.1849431 51.2397932, 6.1851836 51.2396066)",,,,,
28447903,Ahornweg,residential,False,False,82.328,"LINESTRING (6.1801963 51.2474223, 6.1813791 51.2474259)",,,,,
28447872,Kesseler Weg,residential,False,False,160.724,"LINESTRING (6.1801963 51.2474223, 6.180141 51.2469653, 6.1801326 51.2459782)",30,,,,
28453138,Herrenlandstraße,residential,False,True,88.128,"LINESTRING (6.1800935 51.2452972, 6.1811936 51.2449049)",,,,,
