osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,access
59305057,3,B 9,primary,70,False,False,53.584,"LINESTRING (6.8419269 51.0967537, 6.8418097 51.0968553, 6.8414539 51.097133)",,
98435078,2,L 280,tertiary,50,True,False,35.548,"LINESTRING (6.8419269 51.0967537, 6.8417091 51.0967372, 6.8414491 51.096657)",Walhovener Straße,
226447293,3,B 9,primary,70,False,True,59.510000000000005,"LINESTRING (6.8419269 51.0967537, 6.8420421 51.0966542, 6.842072 51.0966284, 6.8424204 51.0963174)",,
616787809,,,residential,30,False,True,33.74,"LINESTRING (6.8419269 51.0967537, 6.8420707 51.096793, 6.8423678 51.0968778)",Walhovener Straße,
510894841,,,unclassified,50,False,True,11.228,"LINESTRING (6.8477773 51.091176, 6.8479209 51.0912214)",Rheinfelder Straße,
56427405,,,unclassified,50,False,False,43.034,"LINESTRING (6.8477773 51.091176, 6.8475387 51.0911217, 6.8472007 51.0910396)",Rheinfelder Straße,
49210506,3,B 9,primary,70,False,False,59.463,"LINESTRING (6.8472007 51.0910396, 6.8471246 51.0911242, 6.8471015 51.0911498, 6.8467808 51.0915048)",,
56427405,,,unclassified,50,False,True,43.034,"LINESTRING (6.8472007 51.0910396, 6.8475387 51.0911217, 6.8477773 51.091176)",Rheinfelder Straße,
345742635,3,B 9,primary,70,False,True,56.922000000000004,"LINESTRING (6.8472007 51.0910396, 6.84726 51.0909603, 6.8472814 51.0909321, 6.847547 51.0905762)",,
510894842,,K 18,secondary,50,False,False,41.769999999999996,"LINESTRING (6.8472007 51.0910396, 6.8470147 51.0909958, 6.8469418 51.0909814, 6.8468218 51.0909605, 6.8466262 51.0909393)",Europastraße,
23139024,,K 18,secondary,50,False,True,97.39100000000002,"LINESTRING (6.8452538 51.090786, 6.8454845 51.0908196, 6.845738 51.0908417, 6.8462419 51.0908988, 6.8464129 51.0909157, 6.8466262 51.0909393)",Europastraße,
191104566,,K 18,secondary,50,False,False,83.049,"LINESTRING (6.8452538 51.090786, 6.8450051 51.0907324, 6.8447957 51.09067, 6.8444881 51.0905469, 6.8443527 51.0904965, 6.8442045 51.0904413)",Europastraße,
297019536,,,residential,30,False,True,91.24499999999999,"LINESTRING (6.8452538 51.090786, 6.8452218 51.0908336, 6.8451959 51.0908753, 6.8451768 51.0909179, 6.8451455 51.0910031, 6.8451155 51.0910874, 6.8451052 51.0911537, 6.845118 51.091207, 6.8451705 51.0913419, 6.8452083 51.0914282, 6.8452282 51.0915067, 6.8452066 51.0915832)",Unter den Hecken,
56427395,,K 18,secondary,50,False,False,119.711,"LINESTRING (6.8442045 51.0904413, 6.8440628 51.0904052, 6.8438053 51.0903396, 6.8434602 51.0902607, 6.8432981 51.0902241, 6.843221 51.0902063, 6.8427503 51.0900932, 6.8426543 51.0900701, 6.8426031 51.0900578)",Europastraße,
76234608,,,residential,30,False,False,98.53099999999999,"LINESTRING (6.8442045 51.0904413, 6.8442542 51.0904008, 6.8442825 51.0903777, 6.8444787 51.090228, 6.845125 51.0897701)",Kölner Straße,
191104566,,K 18,secondary,50,False,True,83.049,"LINESTRING (6.8442045 51.0904413, 6.8443527 51.0904965, 6.8444881 51.0905469, 6.8447957 51.09067, 6.8450051 51.0907324, 6.8452538 51.090786)",Europastraße,
24044519,,,residential,30,False,False,141.703,"LINESTRING (6.8405641 51.0964158, 6.8406788 51.0962964, 6.8407364 51.0962364, 6.841245 51.0957066, 6.8415931 51.0953176)",Unter den Hecken,
98435090,2,L 280,tertiary,50,True,False,104.01599999999999,"LINESTRING (6.8405641 51.0964158, 6.8406868 51.096422, 6.8408264 51.0964291, 6.8411862 51.0965104, 6.8417093 51.0966465, 6.8417599 51.0966631, 6.8419269 51.0967537)",Walhovener Straße,
140578484,,L 280,tertiary,50,False,False,25.981,"LINESTRING (6.8405641 51.0964158, 6.8403433 51.0963699, 6.8402835 51.0963575, 6.8402109 51.0963424)",Walhovener Straße,
"[26341171, 835799340]",2,,unclassified,50,False,True,267.21,"LINESTRING (6.8405641 51.0964158, 6.8404847 51.096515, 6.8404408 51.0965699, 6.8403416 51.0966787, 6.8403237 51.0966983, 6.8403221 51.0967038, 6.8403173 51.0967207, 6.8403263 51.0967704, 6.8403776 51.0968141, 6.8408702 51.0971132, 6.8409401 51.0971718, 6.8409659 51.0972545, 6.8409098 51.0973266, 6.8408266 51.0973671, 6.8406782 51.0974089, 6.840574 51.0974408, 6.8404379 51.097479, 6.8402369 51.0975502, 6.8400842 51.0976201, 6.8399388 51.0977073, 6.8398442 51.097782, 6.8397962 51.0978198, 6.8397846 51.0978316, 6.8396558 51.0979626, 6.8396164 51.0980122, 6.8394921 51.0981691, 6.8394779 51.0981878)",An der Wache,
297025397,,,residential,50,False,False,8.955,"LINESTRING (6.8393882 51.0962109, 6.8394748 51.0961515)",Kölner Straße,
