osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,ref,tunnel
22754759,Elsestraße,tertiary,50,False,True,3.744,"LINESTRING (8.5793435 52.1966253, 8.5793086 52.1966513)",,,,
22676891,Elsestraße,tertiary,50,True,False,86.91300000000001,"LINESTRING (8.5793435 52.1966253, 8.5793741 52.1965615, 8.5800534 52.1961292, 8.580221 52.1960777)",,,,
22754759,Elsestraße,tertiary,50,False,False,3.744,"LINESTRING (8.5793086 52.1966513, 8.5793435 52.1966253)",,,,
674246728,Ortstraße,residential,,False,False,7.73,"LINESTRING (8.5793086 52.1966513, 8.5794113 52.1966808)",,,,
"[1058382354, 22675781, 22754765, 22754759]",Elsestraße,tertiary,50,False,"[False, True]",85.28399999999999,"LINESTRING (8.5793086 52.1966513, 8.5789903 52.1968737, 8.5785923 52.1971349, 8.578543 52.1971636, 8.5784552 52.1972115)",yes,,,
22675886,Elsestraße,tertiary,50,True,False,85.765,"LINESTRING (8.580221 52.1960777, 8.5801197 52.1961659, 8.5800908 52.1961837, 8.5795779 52.1964997, 8.5794371 52.1965915, 8.5793435 52.1966253)",,,,
22675811,Elsedamm,residential,30,True,False,124.28399999999999,"LINESTRING (8.579557 52.1980752, 8.5791783 52.1976038, 8.5789966 52.1974928, 8.5784552 52.1972115)",,,,
34184466,Bahnhofstraße,residential,30,False,True,6.564,"LINESTRING (8.579557 52.1980752, 8.5795801 52.1980671, 8.5796406 52.1980459)",,,,
34184467,Bahnhofstraße,residential,30,False,False,210.915,"LINESTRING (8.579557 52.1980752, 8.5785284 52.1984124, 8.57835 52.1984722, 8.5774241 52.1987631, 8.5772237 52.1988811, 8.5770144 52.1990947)",,,,
22675823,Gasstraße,residential,30,False,True,146.613,"LINESTRING (8.5781341 52.2016697, 8.578705 52.2011608, 8.5793834 52.2005965)",,,,
"[22677362, 22677403]",Zum Stellwerk,unclassified,50,False,False,563.965,"LINESTRING (8.5781341 52.2016697, 8.578017 52.2017724, 8.5777067 52.2020255, 8.5772426 52.2024281, 8.5771791 52.202491, 8.577084 52.2026212, 8.577063 52.2027, 8.577124 52.2028039, 8.5774266 52.2028901, 8.577859 52.2029678, 8.5779139 52.2029777, 8.5786987 52.2031413, 8.578825 52.2031676, 8.5789039 52.2031782, 8.5789748 52.2031696, 8.5791459 52.2030563, 8.5792042 52.2030399, 8.5792707 52.2030425, 8.5813949 52.2034823, 8.5819444 52.2036124, 8.5820724 52.2036145, 8.5821668 52.2035792, 8.582374 52.2033369, 8.5824385 52.2032012)",,,,
48762241,Wasserbreite,secondary,50,False,False,171.008,"LINESTRING (8.5781341 52.2016697, 8.5783133 52.2017244, 8.5784447 52.2017844, 8.5787475 52.2019815, 8.5789628 52.2021195, 8.5793436 52.2023696, 8.5797753 52.2026439, 8.5799328 52.2027309)",,2,L 546,
"[22677407, 48762241, 367460734, 903543967]",Wasserbreite,secondary,50,False,True,212.00699999999998,"LINESTRING (8.5781341 52.2016697, 8.5777852 52.201562, 8.5775056 52.2014669, 8.5774022 52.2014307, 8.5773034 52.2013896, 8.5771208 52.2013189, 8.576934 52.2012324, 8.5766339 52.2010869, 8.5764779 52.2009961, 8.5761998 52.2008599, 8.576091 52.2008145, 8.5759335 52.2007503, 8.5756986 52.2006522, 8.5755739 52.2005978)",,"['2', '3']",L 546,
22675785,Kleiner Bruchweg,residential,30,False,False,273.86,"LINESTRING (8.5793834 52.2005965, 8.5794698 52.2006749, 8.5805503 52.2016855, 8.5806457 52.2017981, 8.5806002 52.2019185, 8.5799328 52.2027309)",,,,
22675823,Gasstraße,residential,30,False,False,146.613,"LINESTRING (8.5793834 52.2005965, 8.578705 52.2011608, 8.5781341 52.2016697)",,,,
1190256363,Kleiner Bruchweg,residential,30,False,True,238.63799999999998,"LINESTRING (8.5793834 52.2005965, 8.5782614 52.1995484, 8.5781222 52.1994657, 8.5770144 52.1990947)",,,,
"[22677385, 1190256364]","['Gasstraße', 'Frühlingsweg']","['residential', 'living_street']",30,False,True,304.403,"LINESTRING (8.5793834 52.2005965, 8.580157 52.1999293, 8.5800524 52.1990894, 8.5799399 52.1986595, 8.5798403 52.1984189, 8.5796948 52.1981209, 8.5796406 52.1980459)",,,,
22675864,Ernst-Reuter-Straße,residential,30,False,True,95.688,"LINESTRING (8.5758324 52.1986303, 8.5770144 52.1990947)",,,,
22675727,Elsestraße,tertiary,50,False,True,129.649,"LINESTRING (8.5758324 52.1986303, 8.577044 52.1979688, 8.5772529 52.1978548)",,,,
22675864,Ernst-Reuter-Straße,residential,30,False,False,95.688,"LINESTRING (8.5770144 52.1990947, 8.5758324 52.1986303)",,,,
34184467,Bahnhofstraße,residential,30,False,False,67.626,"LINESTRING (8.5770144 52.1990947, 8.5765386 52.1996284)",,,,
34184467,Bahnhofstraße,residential,30,False,True,210.915,"LINESTRING (8.5770144 52.1990947, 8.5772237 52.1988811, 8.5774241 52.1987631, 8.57835 52.1984722, 8.5785284 52.1984124, 8.579557 52.1980752)",,,,
1190256363,Kleiner Bruchweg,residential,30,False,False,238.63799999999998,"LINESTRING (8.5770144 52.1990947, 8.5781222 52.1994657, 8.5782614 52.1995484, 8.5793834 52.2005965)",,,,
22677373,Viktoriastraße,unclassified,30,True,False,204.971,"LINESTRING (8.5870731 52.1994858, 8.5880609 52.1983001, 8.5888488 52.1984702)",,,,
"[1060450115, 46986068]",Eschstraße,"['residential', 'living_street']",30,False,True,108.285,"LINESTRING (8.5870731 52.1994858, 8.5864849 52.1992877, 8.5863624 52.1992336, 8.5860191 52.1990616, 8.5857734 52.1989328)",,,,
1222321922,Eschstraße,residential,30,False,False,100.126,"LINESTRING (8.5870731 52.1994858, 8.5877068 52.1997045, 8.5882106 52.1998627, 8.5883787 52.1998943)",,,,
22677416,Goetheplatz,residential,,False,False,95.05000000000001,"LINESTRING (8.5892259 52.2005477, 8.5892887 52.200596, 8.5898138 52.2012413, 8.5898459 52.2013105)",,,,
35776319,Nordring,residential,50,False,True,307.411,"LINESTRING (8.5892259 52.2005477, 8.5890865 52.2005437, 8.5876725 52.2006074, 8.5870554 52.2006285, 8.5867528 52.2006211, 8.5856543 52.2004567, 8.5855123 52.2004331, 8.5849339 52.2003369, 8.5847836 52.2003132)",,,,
64182692,Nordring,residential,50,False,False,50.093,"LINESTRING (8.5892259 52.2005477, 8.5894042 52.2005712, 8.5895451 52.2006085, 8.5896885 52.2006691, 8.5898613 52.2007574)",,2,,
295817695,Eschstraße,unclassified,50,False,True,98.327,"LINESTRING (8.5892259 52.2005477, 8.5892258 52.2004989, 8.5892217 52.200455, 8.5891635 52.200321, 8.5889758 52.2001893, 8.5886844 52.2000579, 8.5884319 52.1999539, 8.5883944 52.1999285, 8.5883787 52.1998943)",,,,
64182683,Hindenburgstraße,residential,30,False,False,83.655,"LINESTRING (8.5873086 52.1963242, 8.5874034 52.1963535, 8.5874706 52.196389, 8.5882528 52.1968021)",,,,
"[1171880536, 22675736, 1190256360, 249680412]",Kaiser-Wilhelm-Straße,"['unclassified', 'living_street']","['50', '30']",False,True,308.896,"LINESTRING (8.5873086 52.1963242, 8.5872329 52.1963787, 8.5872016 52.1964321, 8.5871706 52.196485, 8.5868004 52.1971166, 8.5866434 52.1973796, 8.5865461 52.1975643, 8.5865134 52.1976213, 8.5862947 52.1980019, 8.5862395 52.1981035, 8.5861233 52.1983077, 8.5858791 52.1987386, 8.5857734 52.1989328)",,,,
22675785,Kleiner Bruchweg,residential,30,False,True,273.86,"LINESTRING (8.5799328 52.2027309, 8.5806002 52.2019185, 8.5806457 52.2017981, 8.5805503 52.2016855, 8.5794698 52.2006749, 8.5793834 52.2005965)",,,,
"[249680408, 48762241, 367461521, 405344408]",Wasserbreite,secondary,50,False,False,178.862,"LINESTRING (8.5799328 52.2027309, 8.5800777 52.2027787, 8.5802332 52.2028157, 8.5811109 52.2029669, 8.5813309 52.2030057, 8.581604 52.2030539, 8.5818404 52.2030956, 8.5824385 52.2032012)",,"['2', '3']",L 546,
48762241,Wasserbreite,secondary,50,False,True,171.008,"LINESTRING (8.5799328 52.2027309, 8.5797753 52.2026439, 8.5793436 52.2023696, 8.5789628 52.2021195, 8.5787475 52.2019815, 8.5784447 52.2017844, 8.5783133 52.2017244, 8.5781341 52.2016697)",,2,L 546,
64182683,Hindenburgstraße,residential,30,False,True,83.655,"LINESTRING (8.5882528 52.1968021, 8.5874706 52.196389, 8.5874034 52.1963535, 8.5873086 52.1963242)",,,,
22675795,Lübbecker Straße,secondary,50,True,False,17.654,"LINESTRING (8.5901728 52.2034209, 8.5901405 52.2033264, 8.5901303 52.2032645)",,,L 546,
371234791,Wasserbreite,secondary,50,False,True,31.836,"LINESTRING (8.5901728 52.2034209, 8.5899435 52.2034617, 8.5897308 52.2035127)",,,L 546,
22677497,Nordring,residential,50,True,False,58.334,"LINESTRING (8.5900944 52.2013198, 8.5901071 52.2012081, 8.5901091 52.2011333, 8.5900959 52.201059, 8.5900807 52.2010149, 8.5900601 52.2009717, 8.5899516 52.200812)",,,,
64202399,Lübbecker Straße,secondary,50,False,False,28.240000000000002,"LINESTRING (8.5900944 52.2013198, 8.5900784 52.2013583, 8.5900667 52.2013973, 8.5900597 52.201436, 8.5900571 52.2014749, 8.5900597 52.2015716)",,3,L 546,
411084053,Goetheplatz,residential,,False,True,32.484,"LINESTRING (8.5900597 52.2015716, 8.5898459 52.2013105)",,,,
"[22696427, 405348453, 64202399]",Lübbecker Straße,secondary,50,False,False,150.618,"LINESTRING (8.5900597 52.2015716, 8.5900602 52.2016003, 8.5900982 52.2019729, 8.5901243 52.2022766, 8.5901285 52.2023195, 8.5901316 52.2023651, 8.5901651 52.2029245)",yes,"['2', '3']",L 546,
64202399,Lübbecker Straße,secondary,50,False,True,28.239999999999995,"LINESTRING (8.5900597 52.2015716, 8.5900571 52.2014749, 8.5900597 52.201436, 8.5900667 52.2013973, 8.5900784 52.2013583, 8.5900944 52.2013198)",,3,L 546,
22675727,Elsestraße,tertiary,50,False,False,129.649,"LINESTRING (8.5772529 52.1978548, 8.577044 52.1979688, 8.5758324 52.1986303)",,,,
