osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,width,bridge,access,tunnel
"[17912165, 182601807]",Mühlstraße,residential,"['50', '100']",False,False,65.97200000000001,"LINESTRING (9.1569484 49.283969, 9.1570549 49.2839668, 9.1572851 49.2839597, 9.1572922 49.2839599, 9.1578573 49.2839724)",,,,,,,
"[117646024, 482729359]",Mosbacher Straße,primary,70,False,False,248.62599999999998,"LINESTRING (9.1569484 49.283969, 9.1569905 49.2838566, 9.1570001 49.2838288, 9.1570093 49.2837927, 9.1570602 49.2835803, 9.1571374 49.2830763, 9.1572068 49.2826223, 9.1572328 49.2824523, 9.1572909 49.282116, 9.1572901 49.2819298, 9.1572949 49.2817479)","['2', '3']",B 27,,,,,
12660658,Im Hohen Kirschbaum,residential,30,False,False,62.854000000000006,"LINESTRING (9.1666064 49.2805134, 9.1664867 49.2803402, 9.1664464 49.2802717, 9.1662804 49.2799899)",,,,,,,
145025655,Im Schützengarten,residential,30,False,True,113.90399999999998,"LINESTRING (9.1666064 49.2805134, 9.1668125 49.2806463, 9.167075 49.2807303, 9.1672656 49.2807551, 9.1674582 49.2807303, 9.1676874 49.2806721, 9.1678146 49.2806107, 9.167958 49.2805262)",,,,,,,
262476004,Obergriesheimer Straße,tertiary,50,False,True,139.298,"LINESTRING (9.1666064 49.2805134, 9.1664054 49.2806407, 9.1658472 49.2809322, 9.165229 49.2812683, 9.1651365 49.2813186)",,K 2159,,,,,
12660658,Im Hohen Kirschbaum,residential,30,False,True,62.854,"LINESTRING (9.1662804 49.2799899, 9.1664464 49.2802717, 9.1664867 49.2803402, 9.1666064 49.2805134)",,,,,,,
12660639,Am Lohgraben,residential,,False,False,279.775,"LINESTRING (9.1600029 49.2805873, 9.1602853 49.2805843, 9.1603671 49.2805727, 9.1604395 49.2805392, 9.1608 49.2802982, 9.1608894 49.2802603, 9.1610042 49.2802476, 9.1610859 49.2802481, 9.1611751 49.2802647, 9.1615264 49.280357, 9.161557 49.2804115, 9.1613072 49.2808498, 9.1612612 49.2809068, 9.1611666 49.280972, 9.1610334 49.2810157, 9.1608693 49.2810294, 9.1601934 49.281073, 9.1601266 49.2810933)",,,,,,,
"[801203061, 801203062]",Heilbronner Straße,residential,50,False,True,57.936,"LINESTRING (9.1600029 49.2805873, 9.1600225 49.2809192, 9.1600419 49.2809881, 9.1601266 49.2810933)",2,,,,,,
12660668,Lerchenstraße,residential,30,False,True,80.763,"LINESTRING (9.1624536 49.2815685, 9.1613435 49.2816244)",,,,,,,
12835207,Südstraße,residential,30,False,True,38.691,"LINESTRING (9.1624536 49.2815685, 9.1625318 49.2819127)",,,,,,,
"[12660660, 12835207]","['Südstraße', 'Heimstättenweg']",residential,30,False,False,241.07299999999998,"LINESTRING (9.1624536 49.2815685, 9.1623685 49.281243, 9.1639038 49.2812018, 9.1647463 49.2812151, 9.1648007 49.281216, 9.1649907 49.2812437, 9.1650178 49.2812476, 9.1651365 49.2813186)",,,,,,,
13421984,Königsberger Straße,residential,30,False,False,53.821,"LINESTRING (9.1651365 49.2813186, 9.1654211 49.2817656)",,,,,,,
"[12660660, 12835207]","['Südstraße', 'Heimstättenweg']",residential,30,False,True,241.07299999999998,"LINESTRING (9.1651365 49.2813186, 9.1650178 49.2812476, 9.1649907 49.2812437, 9.1648007 49.281216, 9.1647463 49.2812151, 9.1639038 49.2812018, 9.1623685 49.281243, 9.1624536 49.2815685)",,,,,,,
262476004,Obergriesheimer Straße,tertiary,50,False,False,139.298,"LINESTRING (9.1651365 49.2813186, 9.165229 49.2812683, 9.1658472 49.2809322, 9.1664054 49.2806407, 9.1666064 49.2805134)",,K 2159,,,,,
262476004,Obergriesheimer Straße,tertiary,50,False,True,230.435,"LINESTRING (9.1651365 49.2813186, 9.1640218 49.2819416, 9.1638175 49.2820429, 9.1628348 49.2825835, 9.1627073 49.2826537)",,K 2159,,,,,
13421984,Königsberger Straße,residential,30,False,True,53.821,"LINESTRING (9.1654211 49.2817656, 9.1651365 49.2813186)",,,,,,,
12660650,Sudetenstraße,residential,30,False,False,53.772000000000006,"LINESTRING (9.1654211 49.2817656, 9.1658642 49.2816676, 9.1661307 49.2816277)",,,,,,,
12660670,Sudetenstraße,residential,30,False,True,88.936,"LINESTRING (9.1654211 49.2817656, 9.1649725 49.2818868, 9.1646388 49.2820586, 9.1646469 49.2822385, 9.1646501 49.2822642)",,,,,,,
13421984,Königsberger Straße,residential,30,False,False,62.827,"LINESTRING (9.1654211 49.2817656, 9.1655183 49.2820114, 9.1656375 49.2823127)",,,,,,,
12660644,Stettiner Straße,residential,30,False,False,113.648,"LINESTRING (9.1656375 49.2823127, 9.1659806 49.282297, 9.1660211 49.2822952, 9.1663299 49.2822903, 9.1666121 49.2822781, 9.1667359 49.2822728, 9.1671444 49.2821259)",,,,,,,
13421984,Königsberger Straße,residential,30,False,False,55.282,"LINESTRING (9.1656375 49.2823127, 9.1656539 49.282396, 9.1657347 49.2828058)",,,,,,,
13421984,Königsberger Straße,residential,30,False,True,62.827,"LINESTRING (9.1656375 49.2823127, 9.1655183 49.2820114, 9.1654211 49.2817656)",,,,,,,
12660670,Sudetenstraße,residential,30,False,False,70.92699999999999,"LINESTRING (9.1657347 49.2828058, 9.1652102 49.2828037, 9.1647569 49.2828018)",,,,,,,
13421984,Königsberger Straße,residential,30,False,False,95.642,"LINESTRING (9.1657347 49.2828058, 9.1657622 49.2830157, 9.165799 49.2832913, 9.1658117 49.283386, 9.1658003 49.283542, 9.1657931 49.2836635)",,,,,,,
13421984,Königsberger Straße,residential,30,False,True,55.282,"LINESTRING (9.1657347 49.2828058, 9.1656539 49.282396, 9.1656375 49.2823127)",,,,,,,
29109726,Breslauer Straße,residential,30,False,True,86.303,"LINESTRING (9.1657347 49.2828058, 9.1662221 49.2828592, 9.1668997 49.2829617)",,,,,,,
12660644,Stettiner Straße,residential,30,False,True,113.648,"LINESTRING (9.1671444 49.2821259, 9.1667359 49.2822728, 9.1666121 49.2822781, 9.1663299 49.2822903, 9.1660211 49.2822952, 9.1659806 49.282297, 9.1656375 49.2823127)",,,,,,,
12660647,Sudetenstraße,residential,30,False,False,61.382,"LINESTRING (9.1661307 49.2816277, 9.1660659 49.2810773)",,,,,,,
12660650,Sudetenstraße,residential,30,False,False,29.852,"LINESTRING (9.1661307 49.2816277, 9.1665416 49.2816128)",,,,,,,
12660650,Sudetenstraße,residential,30,False,True,53.772000000000006,"LINESTRING (9.1661307 49.2816277, 9.1658642 49.2816676, 9.1654211 49.2817656)",,,,,,,
12660650,Sudetenstraße,residential,30,False,True,29.852,"LINESTRING (9.1665416 49.2816128, 9.1661307 49.2816277)",,,,,,,
12660647,Sudetenstraße,residential,30,False,True,61.382,"LINESTRING (9.1660659 49.2810773, 9.1661307 49.2816277)",,,,,,,
12660670,Sudetenstraße,residential,30,False,False,60.288999999999994,"LINESTRING (9.1647569 49.2828018, 9.164742 49.2827298, 9.1647311 49.2826795, 9.1646968 49.2825204, 9.1646822 49.2824584, 9.1646738 49.2824105, 9.1646524 49.2822863, 9.1646501 49.2822642)",,,,,,,
12660670,Sudetenstraße,residential,30,False,True,70.92699999999999,"LINESTRING (9.1647569 49.2828018, 9.1652102 49.2828037, 9.1657347 49.2828058)",,,,,,,
