osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,tunnel,ref,junction,bridge,width,access
751984087,True,Auenweg,residential,50,False,14.186,,"LINESTRING (12.4974277 48.6323446, 12.4976028 48.6323983)",,,,,,
1010104112,False,Wollerstraße,tertiary,50,False,21.011,2,"LINESTRING (12.4974277 48.6323446, 12.4975556 48.6321756)",,,,,,
1010104113,False,Auenweg,tertiary,50,True,11.414,3,"LINESTRING (12.4974277 48.6323446, 12.4973099 48.6324115)",,,,,,
24923693,False,Wollerstraße,tertiary,50,True,112.62,2,"LINESTRING (12.4991926 48.6305703, 12.4991068 48.6306068, 12.4990398 48.6306544, 12.4989599 48.6307274, 12.4982748 48.6313751)",,,,,,
"[575236808, 24916121]",False,Wollanger,tertiary,30,False,82.104,2,"LINESTRING (12.4991926 48.6305703, 12.4992844 48.6305305, 12.4997024 48.6302273, 12.4998365 48.6300935, 12.4998948 48.6300065)",,,,,,
25663259,True,Obere Stadt,residential,30,False,110.21600000000001,,"LINESTRING (12.4956382 48.6273999, 12.4956701 48.6274559, 12.4956844 48.6275184, 12.4956912 48.6275902, 12.4956849 48.6277059, 12.4956527 48.6278294, 12.4956068 48.6280226, 12.4956009 48.6280475, 12.495591 48.628087, 12.4955498 48.628251, 12.495534 48.6283135, 12.4955249 48.6283779)",,,,,,
"[975346054, 671622599, 975346055, 975346056, 481877198, 25663258, 390886110]",False,Steinweg,residential,"['20', '30']",False,231.213,,"LINESTRING (12.4956382 48.6273999, 12.4957028 48.627386, 12.4957754 48.6273775, 12.4959574 48.6273623, 12.4960955 48.6273573, 12.4962022 48.6273619, 12.496259 48.6273675, 12.4962986 48.6273784, 12.49634 48.6274023, 12.4963615 48.6274341, 12.4963787 48.6274603, 12.4963796 48.627495, 12.4963735 48.6275291, 12.496358 48.6276008, 12.4963331 48.6277183, 12.4963236 48.6277733, 12.4963264 48.6278342, 12.4963309 48.627924, 12.4963371 48.6279399, 12.4963462 48.6279538, 12.4963651 48.6279716, 12.496384 48.6279819, 12.4964115 48.6279926, 12.4964396 48.6279982, 12.4965387 48.6280016, 12.4966671 48.6280175, 12.4967313 48.6280374, 12.4968148 48.6280778, 12.4968815 48.6281236, 12.4970229 48.6282399, 12.4971005 48.6283108, 12.4972019 48.6283891, 12.497404 48.6285542, 12.4974895 48.6286068)",building_passage,,,,,
24916070,True,,secondary,50,False,11.690999999999999,1,"LINESTRING (12.4936559 48.6307097, 12.4936402 48.6307338, 12.4936176 48.6307555, 12.493589 48.6307738, 12.4935556 48.630788)",,St 2111,roundabout,,,
756808652,True,Bahnhofstraße,secondary,50,False,25.357999999999997,1,"LINESTRING (12.4936559 48.6307097, 12.4937121 48.6307772, 12.4937274 48.6307955, 12.4938228 48.6309093)",,St 2111,,,,
24916070,True,,secondary,50,False,3.079,1,"LINESTRING (12.4936645 48.6306826, 12.4936559 48.6307097)",,St 2111,roundabout,,,
24916070,True,,secondary,50,False,9.466999999999999,1,"LINESTRING (12.493325 48.630767, 12.4932969 48.6307456, 12.4932762 48.6307207, 12.4932639 48.6306935)",,St 2111,roundabout,,,
756808646,True,Pappelweg,residential,50,False,20.3,1,"LINESTRING (12.493325 48.630767, 12.4932387 48.6307705, 12.4931551 48.6307675, 12.4930512 48.6307535)",,,,,,
24916070,True,,secondary,50,False,11.826,1,"LINESTRING (12.4932804 48.6306111, 12.4933014 48.6305884, 12.4933287 48.6305689, 12.4933613 48.6305533, 12.4933979 48.6305423)",,St 2111,roundabout,,,
756808648,True,Frontenhausener Straße,secondary,50,False,25.785,1,"LINESTRING (12.4932804 48.6306111, 12.4932316 48.6305297, 12.4931098 48.6304099)",,St 2111,,,,
24916070,True,,secondary,50,False,18.189999999999998,1,"LINESTRING (12.4933979 48.6305423, 12.4934464 48.6305356, 12.4934958 48.6305369, 12.4935433 48.6305462, 12.493586 48.6305627, 12.4936214 48.6305856)",,St 2111,roundabout,,,
24916070,True,,secondary,50,False,11.506999999999998,1,"LINESTRING (12.4936214 48.6305856, 12.4936427 48.6306073, 12.4936573 48.6306313, 12.4936646 48.6306567, 12.4936645 48.6306826)",,St 2111,roundabout,,,
756808650,True,Fischerei,residential,50,False,24.811999999999998,,"LINESTRING (12.4936214 48.6305856, 12.4937518 48.6305725, 12.4939559 48.6305554)",,,,,,
756808649,True,Frontenhausener Straße,secondary,50,False,25.82,1,"LINESTRING (12.4931098 48.6304099, 12.4932822 48.6304959, 12.4933399 48.630519, 12.4933979 48.6305423)",,St 2111,,,,
756808653,True,Bahnhofstraße,secondary,50,False,23.824,1,"LINESTRING (12.4938228 48.6309093, 12.4936653 48.6308361, 12.4936126 48.630813, 12.4935556 48.630788)",,St 2111,,,,
"[97443056, 975346049]",False,Bahnhofstraße,secondary,50,True,110.11699999999999,3,"LINESTRING (12.4938228 48.6309093, 12.4940374 48.6310752, 12.4942229 48.6312251, 12.4943111 48.6313216, 12.4944109 48.6314351, 12.4944822 48.6315405, 12.4946131 48.6317416)",,St 2111,,,,
24923689,False,Dr.-Josef-Hastreiter-Straße,tertiary,50,True,183.87800000000001,,"LINESTRING (12.5043138 48.6318681, 12.5042123 48.6318015, 12.5040761 48.6317055, 12.5039601 48.6316331, 12.5037001 48.6314709, 12.5035256 48.6313658, 12.5030592 48.6310571, 12.5030458 48.6310476, 12.5029654 48.6309907, 12.502894 48.6309461, 12.5025855 48.6307533, 12.5025286 48.6307103)",,,,,,
