osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,tunnel
47504892,Auf der Lake,residential,False,False,179.15,"LINESTRING (8.2871201 51.1551755, 8.2872892 51.1550924, 8.2873799 51.1550632, 8.287502 51.1550314, 8.2875837 51.1550211, 8.2876803 51.1550228, 8.2878775 51.1550449, 8.2881846 51.1551002, 8.288234 51.1551113, 8.2882451 51.1551138, 8.288485 51.1551675, 8.288768 51.1552468, 8.289105 51.1553478, 8.2892954 51.155417, 8.2894586 51.1554867)",,,,,
"[736292628, 736292630]",Bahnhofstraße,primary,False,False,114.953,"LINESTRING (8.2871201 51.1551755, 8.2866163 51.1549039, 8.2865161 51.1548507, 8.2863253 51.1547046, 8.2861711 51.1545717, 8.2860558 51.1544868, 8.2859609 51.1544499)","['2', '3']",B 236,50,,
"[35877897, 736292629]",Bahnhofstraße,primary,False,True,214.013,"LINESTRING (8.2871201 51.1551755, 8.2875493 51.1554497, 8.2877707 51.1556008, 8.2879487 51.1557236, 8.2879608 51.1557319, 8.2883995 51.1560306, 8.2888258 51.1563282, 8.2892088 51.1565852)","['2', '3']",B 236,50,,
37117819,Wormbacher Straße,residential,False,False,26.246,"LINESTRING (8.2830748 51.1550235, 8.2831351 51.1550843, 8.283159 51.155114, 8.2831691 51.1551495, 8.2831675 51.1552446)",,,,,
343075823,Werper Straße,secondary,False,False,155.34599999999998,"LINESTRING (8.2830748 51.1550235, 8.283023 51.1550531, 8.2829666 51.1550808, 8.282875 51.1551165, 8.2827773 51.1551415, 8.2826583 51.1551623, 8.2825377 51.1551672, 8.2822711 51.1551573, 8.2821664 51.1551599, 8.2820564 51.1551706, 8.2819842 51.1551842, 8.2819075 51.1552079, 8.2817957 51.1552618, 8.2816762 51.1553272, 8.2811623 51.1556106)",2,L 737,50,,
445918630,Wormbacher Straße,secondary,False,True,29.012,"LINESTRING (8.2830748 51.1550235, 8.2831352 51.1549755, 8.283159 51.1549508, 8.2831875 51.1549126, 8.2832068 51.1548511, 8.2832215 51.1547857)",2,L 737,50,,
29325045,Selbend,residential,False,True,79.541,"LINESTRING (8.2843557 51.1516856, 8.2854952 51.1517141)",,,,,
"[364424200, 627208708, 220494502]",Oststraße,residential,False,False,67.773,"LINESTRING (8.2843557 51.1516856, 8.284311 51.1517281, 8.2842871 51.1517483, 8.2842121 51.1518009, 8.2840029 51.1519476, 8.2838711 51.1520335, 8.2837936 51.1520938, 8.2837379 51.1521537)",2,,,,
364424200,Oststraße,residential,False,True,151.252,"LINESTRING (8.2843557 51.1516856, 8.2844314 51.1515606, 8.2844799 51.1514728, 8.284799 51.150357)",2,,,,
29176138,Weststraße,residential,False,False,96.224,"LINESTRING (8.2837379 51.1521537, 8.2836279 51.1521158, 8.2834169 51.15188, 8.2833541 51.1518081, 8.283283 51.1517245, 8.2832054 51.1516002, 8.2831808 51.1515145, 8.2831948 51.1513959)",,,30,,
"[771934836, 34324989]",Oststraße,residential,False,False,68.68,"LINESTRING (8.2837379 51.1521537, 8.2836549 51.1522973, 8.2836409 51.1523509, 8.2836369 51.1524337, 8.2836622 51.1525407, 8.2836966 51.1526632, 8.2837401 51.1527544)",2,,,,
"[364424200, 627208708, 220494502]",Oststraße,residential,False,True,67.773,"LINESTRING (8.2837379 51.1521537, 8.2837936 51.1520938, 8.2838711 51.1520335, 8.2840029 51.1519476, 8.2842121 51.1518009, 8.2842871 51.1517483, 8.284311 51.1517281, 8.2843557 51.1516856)",2,,,,
