osmid,lanes,ref,name,highway,oneway,reversed,length,maxspeed,geometry,width,junction,bridge,tunnel,access
"[557967696, 4612625, 818008461]",2,L 1208,Tübinger Straße,secondary,False,False,178.29699999999997,50,"LINESTRING (9.1309054 48.6352265, 9.1308751 48.6353, 9.1308426 48.6353472, 9.130818 48.6353789, 9.1307296 48.635462, 9.1306029 48.6355373, 9.1304905 48.6355783, 9.1303668 48.6356198, 9.1302219 48.6356398, 9.1300601 48.6356363, 9.1299039 48.6356118, 9.1295699 48.6355557, 9.1294199 48.6355414, 9.1292701 48.6355452, 9.1291464 48.6355621, 9.1290248 48.6355857, 9.1289283 48.6356142, 9.1288324 48.6356527)",,,,,
92398134,,,Woertzstraße,residential,False,True,235.973,30,"LINESTRING (9.1309054 48.6352265, 9.1308179 48.6352299, 9.1307517 48.6352591, 9.1306616 48.6353534, 9.1305852 48.6354242, 9.1304646 48.6354724, 9.1302879 48.635496, 9.130152 48.6355061, 9.1300608 48.6354933, 9.1295687 48.6353698, 9.1294401 48.6353725, 9.1293059 48.6353748, 9.1291564 48.6353815, 9.1290408 48.6353849, 9.1289491 48.6353736, 9.128859 48.6353545, 9.1287724 48.6353287, 9.1286722 48.6352939, 9.1286144 48.6352546, 9.1285685 48.6352209, 9.1285091 48.635185, 9.12803 48.6350705)",,,,,
"[557967691, 557967694]",2,L 1208,Tübinger Straße,secondary,False,True,72.864,,"LINESTRING (9.1309054 48.6352265, 9.1309216 48.6351626, 9.1309507 48.6349554, 9.1309734 48.6348218, 9.1309988 48.6347249, 9.1310654 48.6345819)",,,,,
144254642,1,L 1208,,secondary,True,False,12.339,50,"LINESTRING (9.1283888 48.6359694, 9.1284167 48.635942, 9.1284623 48.6359173, 9.1285174 48.6359034)",5.5,roundabout,,,
440072468,1,L 1185;L 1208,Stuttgarter Straße,secondary,True,False,24.42,50,"LINESTRING (9.1290646 48.6378188, 9.1288394 48.6377423, 9.128767 48.6377212)",,,,,
"[937835935, 30439731, 557952885, 1050524351]",2,L 1185;L 1208,Stuttgarter Straße,secondary,False,False,145.844,50,"LINESTRING (9.1290646 48.6378188, 9.1292949 48.6379211, 9.1296051 48.6380406, 9.1296687 48.6380637, 9.1298232 48.638116, 9.1304221 48.6383387, 9.1305302 48.638395, 9.1305718 48.6384167, 9.1307355 48.638518)",,,,,
30170525,2,L 1208,Stuttgarter Straße,secondary,False,False,89.20100000000001,50,"LINESTRING (9.1307355 48.638518, 9.1308955 48.6386483, 9.1309512 48.638702, 9.1310656 48.6388122, 9.131149 48.6389128, 9.1313767 48.6391963)",,,,,
"[4870830, 704982967]",2,L 1185,Nürtinger Straße,secondary,False,False,131.85000000000002,30,"LINESTRING (9.1307355 48.638518, 9.130802 48.6384819, 9.1308694 48.6384629, 9.1309396 48.6384598, 9.1310571 48.6384652, 9.1311745 48.6384705, 9.1312924 48.6384804, 9.1314924 48.6384802, 9.1316314 48.6384701, 9.1316819 48.6384623, 9.1317307 48.6384547, 9.1318271 48.6384398, 9.132063 48.6383828, 9.132262 48.6383241, 9.1323202 48.6383049, 9.1324427 48.6382668)",,,,,
"[1050524351, 30439731, 557952885, 937835935]",2,L 1185;L 1208,Stuttgarter Straße,secondary,False,True,145.844,50,"LINESTRING (9.1307355 48.638518, 9.1305718 48.6384167, 9.1305302 48.638395, 9.1304221 48.6383387, 9.1298232 48.638116, 9.1296687 48.6380637, 9.1296051 48.6380406, 9.1292949 48.6379211, 9.1290646 48.6378188)",,,,,
"[4870830, 704982967]",2,L 1185,Nürtinger Straße,secondary,False,True,131.85000000000002,30,"LINESTRING (9.1324427 48.6382668, 9.1323202 48.6383049, 9.132262 48.6383241, 9.132063 48.6383828, 9.1318271 48.6384398, 9.1317307 48.6384547, 9.1316819 48.6384623, 9.1316314 48.6384701, 9.1314924 48.6384802, 9.1312924 48.6384804, 9.1311745 48.6384705, 9.1310571 48.6384652, 9.1309396 48.6384598, 9.1308694 48.6384629, 9.130802 48.6384819, 9.1307355 48.638518)",,,,,
"[11301957, 196689958, 11168270]",,,Echterdinger Straße,residential,False,True,42.09400000000001,30,"LINESTRING (9.1324427 48.6382668, 9.1324094 48.6382324, 9.1323371 48.6381622, 9.1322474 48.6380934, 9.1321617 48.6379911, 9.1321691 48.6379463)",,,yes,,
406984218,,K 1053,Echterdinger Straße,tertiary,False,True,38.592,50,"LINESTRING (9.1324427 48.6382668, 9.1324818 48.6383174, 9.1325194 48.6383672, 9.1325594 48.6384435, 9.1325761 48.6385042, 9.1325748 48.6385728, 9.1325709 48.6385962)",,,,,
"[4920341, 43495830, 196701319]",,,Alfred-Ritter-Straße,living_street,False,False,143.48399999999998,,"LINESTRING (9.1267819 48.637451, 9.1267855 48.637361, 9.1280996 48.6367684, 9.128236 48.6367073, 9.1282834 48.6366822)",,,yes,,
162110191,2,L 1185,Alfred-Ritter-Straße,secondary,False,True,37.929,50,"LINESTRING (9.1267819 48.637451, 9.1266775 48.6374729, 9.1265447 48.6375074, 9.1263411 48.6375724, 9.126308 48.6375845)",6.5,,,,
329122059,2,L 1185,Gartenstraße,secondary,False,False,112.1,50,"LINESTRING (9.1267819 48.637451, 9.1271175 48.6374175, 9.1273192 48.6374155, 9.1275272 48.6374333, 9.1277663 48.6374674, 9.1280148 48.6375265, 9.1282534 48.6376042)",,,,,
11301951,2,,Neuer Weg,residential,False,False,165.38400000000001,30,"LINESTRING (9.1294655 48.6366666, 9.1294965 48.6366496, 9.1295987 48.6365597, 9.1297467 48.636443, 9.1298519 48.6363887, 9.1299209 48.6363707, 9.130017 48.6363509, 9.1302621 48.6363461, 9.1307199 48.6363265, 9.130948 48.6363199, 9.1311583 48.6363048, 9.131336 48.6362858, 9.1315102 48.6362627)",,,,,
"[39394312, 512073361, 816889045]",,,Auf dem Graben,residential,False,False,65.44699999999999,20,"LINESTRING (9.1294655 48.6366666, 9.1294187 48.6366832, 9.1293664 48.6366824, 9.1292815 48.63665, 9.1289335 48.6365176, 9.1287589 48.6365069, 9.1287093 48.6365051, 9.1286487 48.6365059)",,,,,
237702240,,,Auf dem Graben,residential,False,True,29.576,,"LINESTRING (9.1294655 48.6366666, 9.1295032 48.6367054, 9.1295327 48.6367338, 9.1296015 48.6367724, 9.1297775 48.6368203)",,,,,
11301951,2,,Neuer Weg,residential,False,False,87.136,30,"LINESTRING (9.1315102 48.6362627, 9.1317795 48.6362482, 9.1322633 48.6362728, 9.1323694 48.6362782, 9.1325576 48.6362991, 9.1326835 48.6363277)",,,,,
11301951,2,,Neuer Weg,residential,False,True,165.38400000000004,30,"LINESTRING (9.1315102 48.6362627, 9.131336 48.6362858, 9.1311583 48.6363048, 9.130948 48.6363199, 9.1307199 48.6363265, 9.1302621 48.6363461, 9.130017 48.6363509, 9.1299209 48.6363707, 9.1298519 48.6363887, 9.1297467 48.636443, 9.1295987 48.6365597, 9.1294965 48.6366496, 9.1294655 48.6366666)",,,,,
418111510,,,Im Heimbach,residential,False,True,28.425,30,"LINESTRING (9.1315102 48.6362627, 9.1314009 48.6361333, 9.1313227 48.6360391)",,,,,
818461854,,,Neuer Weg,residential,False,True,27.217,30,"LINESTRING (9.1330059 48.6364482, 9.1326835 48.6363277)",,,,,
11168263,,,Vordere Seestraße,residential,False,False,27.659,30,"LINESTRING (9.1330059 48.6364482, 9.1329807 48.6365155, 9.1329807 48.6366075, 9.1330168 48.6366916)",,,,,
961970288,2,,Bahnhofstraße,residential,False,False,37.316,50,"LINESTRING (9.1330059 48.6364482, 9.1330837 48.6364514, 9.13351 48.6364148)",,,,,
11168263,,,Vordere Seestraße,residential,False,False,26.817,30,"LINESTRING (9.132975 48.637517, 9.1329279 48.6375533, 9.1329115 48.6375659, 9.1328834 48.6376164, 9.1328705 48.6376549, 9.1328568 48.6377379)",,,,,
11168263,,,Vordere Seestraße,residential,False,True,103.54700000000003,30,"LINESTRING (9.132975 48.637517, 9.1330572 48.637472, 9.1331965 48.6373867, 9.1332539 48.6373415, 9.1332712 48.6372946, 9.1332678 48.6372385, 9.1332263 48.6371291, 9.1331566 48.6369941, 9.1331268 48.6369365, 9.1330168 48.6366916)",,,,,
11168263,,,Vordere Seestraße,residential,False,True,26.817,30,"LINESTRING (9.1328568 48.6377379, 9.1328705 48.6376549, 9.1328834 48.6376164, 9.1329115 48.6375659, 9.1329279 48.6375533, 9.132975 48.637517)",,,,,
11168435,,,Hintere Seestraße,residential,False,True,186.321,30,"LINESTRING (9.1328568 48.6377379, 9.1329341 48.6377424, 9.1330119 48.6377337, 9.1331864 48.6376799, 9.1334868 48.6375665, 9.1335928 48.6375103, 9.1336501 48.6374563, 9.1336892 48.6373721, 9.1337019 48.6371422, 9.1337021 48.6370051, 9.1336909 48.6369028, 9.1336368 48.6367191, 9.1336203 48.6366796, 9.13351 48.6364148)",,,,,
406984202,,,Auf dem Graben,residential,False,False,56.631,30,"LINESTRING (9.1328568 48.6377379, 9.1328132 48.6377673, 9.1327385 48.637803, 9.1326257 48.6378356, 9.1323125 48.6378986, 9.1322036 48.6379208, 9.1321691 48.6379463)",,,,,
"[196689958, 11301957, 11168270]",,,Echterdinger Straße,residential,False,False,42.09400000000001,30,"LINESTRING (9.1321691 48.6379463, 9.1321617 48.6379911, 9.1322474 48.6380934, 9.1323371 48.6381622, 9.1324094 48.6382324, 9.1324427 48.6382668)",,,yes,,
11301953,,,Auf dem Graben,residential,False,False,117.798,20,"LINESTRING (9.1321691 48.6379463, 9.1320093 48.6379304, 9.1318057 48.6379161, 9.1314364 48.6378919, 9.1312691 48.6378696, 9.1311403 48.637843, 9.1310029 48.6378238, 9.1308195 48.6377699, 9.1306338 48.6376933)",,,,,
406984202,,,Auf dem Graben,residential,False,True,56.631,30,"LINESTRING (9.1321691 48.6379463, 9.1322036 48.6379208, 9.1323125 48.6378986, 9.1326257 48.6378356, 9.1327385 48.637803, 9.1328132 48.6377673, 9.1328568 48.6377379)",,,,,
11301953,,,Auf dem Graben,residential,False,True,117.79799999999999,20,"LINESTRING (9.1306338 48.6376933, 9.1308195 48.6377699, 9.1310029 48.6378238, 9.1311403 48.637843, 9.1312691 48.6378696, 9.1314364 48.6378919, 9.1318057 48.6379161, 9.1320093 48.6379304, 9.1321691 48.6379463)",,,,,
11301954,,,Auf dem Graben,residential,True,False,53.953,,"LINESTRING (9.1306338 48.6376933, 9.130529 48.6376374, 9.1303965 48.637551, 9.1302136 48.6373897, 9.1301628 48.6373264)",,,,,
63115397,,,Unter der Mauer,living_street,True,False,19.399,,"LINESTRING (9.1297775 48.6368203, 9.1298895 48.6368171, 9.1300399 48.6368031)",,,,,
237702240,,,Auf dem Graben,residential,False,False,29.575999999999997,,"LINESTRING (9.1297775 48.6368203, 9.1296015 48.6367724, 9.1295327 48.6367338, 9.1295032 48.6367054, 9.1294655 48.6366666)",,,,,
