osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,width,bridge
505777824,1,L 359,secondary,50,roundabout,True,False,19.752,"LINESTRING (7.0150523 51.1047531, 7.0151071 51.1047811, 7.015137 51.1048214, 7.0151359 51.1048657, 7.0151039 51.1049054)",,,
762492462,2,L 359,secondary,30,,False,False,179.42000000000002,"LINESTRING (7.0150523 51.1047531, 7.015113 51.1046765, 7.0151623 51.1046129, 7.0158171 51.1037648, 7.0161796 51.1033031)",Neukirchener Straße,,
"[27199562, 210554070]",2,,tertiary,50,,False,True,86.874,"LINESTRING (7.0151039 51.1049054, 7.0152464 51.1049457, 7.0155651 51.1050419, 7.0160847 51.1051988, 7.0162283 51.1052399)",Montanusstraße,,
505777830,1,L 359,secondary,50,roundabout,True,False,14.686,"LINESTRING (7.0151039 51.1049054, 7.0150481 51.104932, 7.0149794 51.1049409, 7.0149114 51.1049301)",,,
"[85285477, 1250090126]",2,L 359,secondary,50,,False,True,116.66199999999999,"LINESTRING (7.0149114 51.1049301, 7.0148488 51.1050162, 7.0144428 51.1055695, 7.014358 51.1056628, 7.0142195 51.1057946, 7.0141475 51.1058606)",Neukirchener Straße,,
505777827,1,L 359,secondary,50,roundabout,True,False,16.401,"LINESTRING (7.0149114 51.1049301, 7.0148526 51.1048976, 7.014826 51.1048514, 7.0148399 51.104803)",,,
49003241,1,L 359,secondary,50,roundabout,True,False,22.616,"LINESTRING (7.0141475 51.1058606, 7.0141942 51.1058954, 7.014214 51.1059339, 7.01421 51.1059743, 7.0141827 51.106011, 7.0141414 51.1060366)",,,
"[85285477, 1250090126]",2,L 359,secondary,50,,False,False,116.66199999999999,"LINESTRING (7.0141475 51.1058606, 7.0142195 51.1057946, 7.014358 51.1056628, 7.0144428 51.1055695, 7.0148488 51.1050162, 7.0149114 51.1049301)",Neukirchener Straße,,
10059170,,,residential,30,,False,True,93.959,"LINESTRING (7.0166879 51.1071963, 7.0170524 51.1068184, 7.017385 51.1064735)",Lingemannstraße,6,
10059669,,,residential,30,,False,True,103.457,"LINESTRING (7.0166879 51.1071963, 7.016408 51.1074115, 7.0160796 51.1076662, 7.0157505 51.1079169)",Märzgässchen,6,
33095540,2,L 359,tertiary,50,,False,False,145.782,"LINESTRING (7.0166879 51.1071963, 7.0159731 51.1068741, 7.014984 51.1064385)",Kirchstraße,,
