osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,access,width,bridge
"[127963610, 24956055]",False,3,B 496,primary,50,True,107.15500000000002,Fuldabrückenstraße,"LINESTRING (9.6507972 51.4138031, 9.6507973 51.4138267, 9.6507938 51.4139497, 9.6507837 51.4140711, 9.6507794 51.4141223, 9.6507501 51.4142739, 9.6507306 51.4143284, 9.650709 51.4143715, 9.6506631 51.4144213, 9.6506099 51.4144694, 9.6505172 51.4145166, 9.6504269 51.4145547, 9.6503296 51.4145791, 9.6502262 51.4145958)",,,
30170599,False,2,B 496,primary,50,False,33.522999999999996,Kasseler Straße,"LINESTRING (9.6507972 51.4138031, 9.6507986 51.4136438, 9.650758 51.4135039)",yes,,
579700772,False,3,,tertiary,50,True,36.643,Am Feuerteich,"LINESTRING (9.6507972 51.4138031, 9.6510017 51.4137335, 9.651021 51.4137269, 9.6511271 51.4136937, 9.6512635 51.4136482)",,,
"[127963610, 24956055]",False,3,B 496,primary,50,False,107.15499999999999,Fuldabrückenstraße,"LINESTRING (9.6502262 51.4145958, 9.6503296 51.4145791, 9.6504269 51.4145547, 9.6505172 51.4145166, 9.6506099 51.4144694, 9.6506631 51.4144213, 9.650709 51.4143715, 9.6507306 51.4143284, 9.6507501 51.4142739, 9.6507794 51.4141223, 9.6507837 51.4140711, 9.6507938 51.4139497, 9.6507973 51.4138267, 9.6507972 51.4138031)",,,
576106614,False,2,B 496,primary,50,True,100.676,Fuldabrückenstraße,"LINESTRING (9.6502262 51.4145958, 9.6501017 51.4146151, 9.6490548 51.4148038, 9.6489275 51.4148347, 9.6488422 51.4148636)",,,
"[28218186, 396582991, 79236343]",False,2,B 80,primary,50,True,389.251,"['Steinweg', 'Blume']","LINESTRING (9.6585543 51.4186121, 9.6580554 51.4186991, 9.6568133 51.4189157, 9.6567421 51.418929, 9.6563342 51.4190052, 9.6554731 51.4191661, 9.6551793 51.4192079, 9.655 51.4192378, 9.6548445 51.4192679, 9.6546924 51.4193041, 9.6545508 51.4193419, 9.6541752 51.4194395, 9.6540344 51.4194764, 9.6539121 51.4195049, 9.65357 51.4195806, 9.6535075 51.4195941, 9.6532037 51.419658)",,,
28218189,True,1,,residential,30,False,123.166,Breite Gasse,"LINESTRING (9.6585543 51.4186121, 9.6585637 51.418654, 9.6586982 51.4192546, 9.6588013 51.419709)",,,
"[206744592, 286384273, 49685714, 286384274, 1113276148, 22945020]",False,,,residential,30,True,204.684,Tanzwerder,"LINESTRING (9.6485433 51.4188033, 9.6484863 51.4187072, 9.6484151 51.4185693, 9.6483868 51.4185056, 9.648378 51.4184257, 9.6483805 51.418351, 9.6484051 51.4182421, 9.6484806 51.4179423, 9.6484944 51.4178451, 9.6485093 51.4177209, 9.6485087 51.4176339, 9.6485014 51.4175622, 9.6484903 51.4175042, 9.6484658 51.4174173, 9.6484351 51.4173329, 9.6483919 51.4172408, 9.6483384 51.4171578, 9.6482222 51.4170157)",,,
1192622550,False,2,,tertiary,50,False,25.266,Am Feuerteich,"LINESTRING (9.6531005 51.4130993, 9.6527756 51.4132021)",,,
"[49051793, 103146875, 677989317, 23546758]",False,"['2', '3']",,tertiary,50,"[False, True]",454.296,"['Am Feuerteich', 'Vor der Bahn']","LINESTRING (9.6531005 51.4130993, 9.6533649 51.4129963, 9.6537148 51.4128475, 9.6540724 51.4126801, 9.6546116 51.4123887, 9.6549973 51.4121834, 9.6550639 51.4121555, 9.6551277 51.4121355, 9.6551863 51.4121222, 9.6552712 51.4121133, 9.6553284 51.4121119, 9.6553659 51.412112, 9.6554733 51.4121199, 9.6555407 51.4121286, 9.6555982 51.4121423, 9.6556735 51.4121648, 9.655851 51.41223, 9.6560043 51.412285, 9.6566235 51.4125069, 9.6567393 51.4125533, 9.6569052 51.4126269, 9.6569767 51.412661, 9.6571482 51.4127377, 9.6572969 51.4127927, 9.6574556 51.4128491, 9.6577101 51.4129357, 9.6578192 51.4129826, 9.6579178 51.4130393, 9.6580081 51.4131052, 9.6582584 51.4132867, 9.6583114 51.4133206, 9.6583448 51.4133507, 9.65844 51.4133983)",,,
23546766,False,,,residential,50,False,25.713,Schlesierplatz,"LINESTRING (9.6531005 51.4130993, 9.6530846 51.4130673, 9.6530713 51.4130403, 9.653044 51.4129805, 9.6529905 51.4128785)",,,
23546766,False,,,residential,50,True,25.713,Schlesierplatz,"LINESTRING (9.6529905 51.4128785, 9.653044 51.4129805, 9.6530713 51.4130403, 9.6530846 51.4130673, 9.6531005 51.4130993)",,,
26945103,False,2,,residential,30,False,22.279,Markt,"LINESTRING (9.651915 51.4177514, 9.6515972 51.4177808)",,,
"[266147537, 23546774]",True,,,residential,30,False,100.301,Lange Straße,"LINESTRING (9.651915 51.4177514, 9.6519737 51.4180122, 9.6520149 51.418146, 9.6520831 51.4182495, 9.6521404 51.4183304, 9.6522006 51.4184199, 9.6523265 51.4186093)",,,
23546777,True,,,residential,30,False,96.63300000000001,Kirchstraße,"LINESTRING (9.6515916 51.4163937, 9.6522705 51.4163071, 9.6529604 51.4162314)",,,
26063083,True,,,residential,30,False,72.787,Radbrunnenstraße,"LINESTRING (9.6510249 51.4148283, 9.650963 51.4148363, 9.6503135 51.4149203, 9.6499972 51.4149612)",,,
215107765,False,,,residential,30,False,27.151000000000003,Lange Straße,"LINESTRING (9.6510249 51.4148283, 9.6510073 51.4147556, 9.6509961 51.4146762, 9.6510003 51.4145853)",,,
22945022,False,,,residential,30,True,152.08599999999998,Kasseler Schlagd,"LINESTRING (9.6487716 51.4168251, 9.6489994 51.4170338, 9.6490328 51.4171348, 9.649256 51.4173534, 9.6493545 51.4173922, 9.6494715 51.4175264, 9.6495606 51.4176338, 9.6496235 51.4177191, 9.6496427 51.4177522, 9.649667 51.4177947, 9.6496752 51.4178078, 9.6497178 51.4178956, 9.6497385 51.4179593, 9.6497473 51.4180182, 9.6497477 51.4180207)",,,
"[342145057, 381838473, 381838492]",False,,,residential,30,False,43.656,Löwenbrücke,"LINESTRING (9.6487716 51.4168251, 9.6486627 51.4168539, 9.6483287 51.4169782, 9.6482222 51.4170157)",,8,yes
"[573879013, 897201838, 897201839]",False,,,residential,30,False,134.80499999999998,Kasseler Schlagd,"LINESTRING (9.6487716 51.4168251, 9.6486724 51.416726, 9.6486036 51.4166335, 9.648537 51.4165202, 9.6484686 51.4163766, 9.6484461 51.416321, 9.6484303 51.416254, 9.6484246 51.41623, 9.6484007 51.4161063, 9.6483872 51.4159854, 9.6483969 51.4158711, 9.6484086 51.4157707, 9.6484437 51.41566)",,,
175540689,True,,,residential,30,False,48.883,Burgstraße,"LINESTRING (9.6529604 51.4162314, 9.652906 51.4157931)",,,
26945103,False,2,,residential,30,True,38.41,Markt,"LINESTRING (9.6510497 51.4178328, 9.6512969 51.4178123, 9.6515972 51.4177808)",,,
26945104,True,1,,residential,30,False,150.39100000000002,Ziegelstraße,"LINESTRING (9.6510497 51.4178328, 9.6509629 51.4175568, 9.6508671 51.417316, 9.6508493 51.4172805, 9.6507231 51.4170266, 9.6504762 51.4165298)",,,
267104436,False,,,residential,30,True,4.015,Siebenturmstraße,"LINESTRING (9.6499921 51.415464, 9.6500484 51.4154556)",,,
"[26540233, 267104437, 267104438]",True,,,residential,30,False,77.019,Siebenturmstraße,"LINESTRING (9.6499921 51.415464, 9.6498375 51.4154886, 9.6497024 51.4155117, 9.6496493 51.4155214, 9.6494208 51.4155742, 9.6492027 51.4156229, 9.6489427 51.4156882)",,,
175692098,True,1,,residential,30,False,55.337,Ziegelstraße,"LINESTRING (9.6499972 51.4149612, 9.6499825 51.4151327, 9.6499855 51.4151909, 9.650002 51.4152838, 9.6500484 51.4154556)",,,
24269745,True,1,,residential,30,False,25.58,Mühlenstraße,"LINESTRING (9.6497477 51.4180207, 9.6501028 51.4179584)",,,
26437291,False,,,residential,30,False,6.355,Mühlenstraße,"LINESTRING (9.6497477 51.4180207, 9.6496594 51.418036)",,,
22945022,False,,,residential,30,False,152.08599999999998,Kasseler Schlagd,"LINESTRING (9.6497477 51.4180207, 9.6497473 51.4180182, 9.6497385 51.4179593, 9.6497178 51.4178956, 9.6496752 51.4178078, 9.649667 51.4177947, 9.6496427 51.4177522, 9.6496235 51.4177191, 9.6495606 51.4176338, 9.6494715 51.4175264, 9.6493545 51.4173922, 9.649256 51.4173534, 9.6490328 51.4171348, 9.6489994 51.4170338, 9.6487716 51.4168251)",,,
"[286388966, 286399015, 286399017, 286405263, 286405265, 286399027, 286405269, 23546775]",True,,,residential,30,False,125.98000000000002,"['Wanfrieder Schlagd', 'Bremer Schlagd']","LINESTRING (9.6497477 51.4180207, 9.6497416 51.4180409, 9.6497393 51.4180553, 9.6497442 51.4180776, 9.6498053 51.4181975, 9.6498326 51.4182541, 9.6498358 51.4182902, 9.6498374 51.4183243, 9.649962 51.4185557, 9.6500385 51.4186891, 9.6500814 51.4187377, 9.6501269 51.4187745, 9.6501833 51.4188079, 9.6502563 51.4188423, 9.6502686 51.4188476, 9.6503033 51.4188583, 9.6503749 51.4188804, 9.6504692 51.4188988, 9.6505473 51.4189012, 9.6506007 51.4189011)",,,
"[175540690, 266302482]",False,,,living_street,,False,159.326,Dielengraben,"LINESTRING (9.6538209 51.4186127, 9.6539106 51.4185919, 9.6543119 51.4185203, 9.6548178 51.4184279, 9.6549922 51.418389, 9.6552505 51.4183046, 9.6553506 51.4182721, 9.6554652 51.4182221, 9.6555379 51.418183, 9.6556106 51.4181357, 9.6556663 51.4180984, 9.6557019 51.4180627, 9.6557302 51.4180109, 9.6557342 51.4179998, 9.6557497 51.4179562)",,,
"[782545578, 28709394]",False,,,residential,30,False,165.843,Friedrich-Ludwig-Jahn-Straße,"LINESTRING (9.6557497 51.4179562, 9.6556982 51.4179402, 9.6556339 51.4179155, 9.6555879 51.4178867, 9.6555424 51.4178515, 9.6554905 51.4177877, 9.655313 51.4174642, 9.65528 51.4174154, 9.6552385 51.4173724, 9.6551918 51.4173391, 9.6551308 51.4173061, 9.6550703 51.4172921, 9.6550029 51.4172823, 9.6549347 51.4172795, 9.6548938 51.4172819, 9.6548854 51.4172825, 9.6548406 51.4172857, 9.654732 51.4173029, 9.6547227 51.4173048, 9.6545899 51.4173313, 9.6544781 51.4173535, 9.6543736 51.4173734, 9.6542965 51.4173958, 9.6542733 51.4174092, 9.6542122 51.4174687, 9.6540899 51.4174881)",,,
"[175540690, 266302482]",False,,,living_street,,True,159.32599999999996,Dielengraben,"LINESTRING (9.6557497 51.4179562, 9.6557342 51.4179998, 9.6557302 51.4180109, 9.6557019 51.4180627, 9.6556663 51.4180984, 9.6556106 51.4181357, 9.6555379 51.418183, 9.6554652 51.4182221, 9.6553506 51.4182721, 9.6552505 51.4183046, 9.6549922 51.418389, 9.6548178 51.4184279, 9.6543119 51.4185203, 9.6539106 51.4185919, 9.6538209 51.4186127)",,,
266301623,False,,,residential,30,True,90.58,Werraweg,"LINESTRING (9.6557497 51.4179562, 9.6558094 51.4179644, 9.6558728 51.4179687, 9.6559578 51.417966, 9.6560442 51.4179498, 9.6561382 51.417924, 9.6568413 51.4177187, 9.6568949 51.4176928, 9.6569254 51.4176612)",,,
26540130,True,1,,residential,30,False,53.783,Wallstraße,"LINESTRING (9.6510003 51.4145853, 9.6508652 51.4145776, 9.6507085 51.4145777, 9.6503829 51.4145899, 9.6503405 51.4145915, 9.6502262 51.4145958)",,,
26540180,False,,,residential,30,True,86.42500000000001,Wallstraße,"LINESTRING (9.6510003 51.4145853, 9.651147 51.4145952, 9.6513048 51.4146168, 9.6513927 51.4146289, 9.6515859 51.4146597, 9.6517606 51.4146913, 9.6519935 51.4147456, 9.6520966 51.4147774, 9.6521846 51.4148097)",,,
215107765,False,,,residential,30,True,27.151000000000003,Lange Straße,"LINESTRING (9.6510003 51.4145853, 9.6509961 51.4146762, 9.6510073 51.4147556, 9.6510249 51.4148283)",,,
27190670,True,,,residential,30,False,101.897,Rosenstraße,"LINESTRING (9.652906 51.4157931, 9.6524344 51.4158521, 9.651545 51.4159979, 9.6514785 51.4160088)",delivery,,
49051794,True,,,residential,30,False,61.537,Burgstraße,"LINESTRING (9.652906 51.4157931, 9.6529011 51.4157647, 9.6528801 51.4156429, 9.6528573 51.4155152, 9.6528161 51.4153734, 9.6527844 51.4153045, 9.6527555 51.4152493)",,,
