osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,ref,maxspeed,tunnel,junction,access
35426848,Tunnelstraße,residential,False,False,89.205,"LINESTRING (8.5952337 49.1201068, 8.5951302 49.1200955, 8.5950403 49.1200638, 8.5946042 49.1198598, 8.5944733 49.119807, 8.5943428 49.1197543, 8.5942584 49.119738, 8.5941716 49.1197304)",,,,,,,
144250276,Tunnelstraße,residential,False,True,111.746,"LINESTRING (8.5952337 49.1201068, 8.5952773 49.1201646, 8.5953272 49.1201942, 8.5957839 49.1203454, 8.5961032 49.1205122, 8.5964121 49.1206257, 8.5964997 49.1206499)",,,,,,,
"[4367203, 206393449, 206393451]",Hochstraße,unclassified,False,True,31.763,"LINESTRING (8.5952337 49.1201068, 8.5953481 49.1200953, 8.5955535 49.1200543, 8.5956569 49.1200391)",yes,,,,,,
57935373,Wilderichstraße,secondary,True,False,100.081,"LINESTRING (8.5983355 49.126918, 8.5974211 49.1271706, 8.5970629 49.1272591)",,1,B 3,50,,,
"[254490996, 23217572, 254490997]",Kaiserstraße,secondary,False,False,169.014,"LINESTRING (8.5955463 49.1263544, 8.595942 49.1261847, 8.5963028 49.126047, 8.5964382 49.126014, 8.5966165 49.125973, 8.5967596 49.1259395, 8.5971839 49.1258683, 8.5974686 49.1258164, 8.5976661 49.1257644)",,"['2', '3']",B 3,50,,,
144250030,Kaiserstraße,secondary,False,False,175.78900000000002,"LINESTRING (8.5955463 49.1263544, 8.5950505 49.1265547, 8.5941251 49.1269353, 8.5936855 49.1271397, 8.5935187 49.127213)",,2,L 618,50,,,
"[298686290, 184738675, 317012919]",Schloßstraße,residential,False,True,108.637,"LINESTRING (8.5955463 49.1263544, 8.5952764 49.1262047, 8.5949642 49.1260418, 8.5946186 49.1258746, 8.594369 49.1257542)",,2,,"['50', '20']",,,
23226239,Hochstraße,residential,False,True,102.758,"LINESTRING (8.5988488 49.1206104, 8.5989757 49.1206225, 8.5994579 49.1206318, 8.5998261 49.1206281, 8.6002575 49.1206027)",,,,30,,,
35426849,Hochstraße,residential,False,False,154.73700000000002,"LINESTRING (8.5988488 49.1206104, 8.5982373 49.1205624, 8.5975461 49.1204527, 8.5971101 49.1203537, 8.5967878 49.1202878)",,,,30,,,
35426850,Eggerten,residential,False,False,74.649,"LINESTRING (8.5988488 49.1206104, 8.5988662 49.120518, 8.598836 49.1199401)",,,,30,,,
