osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,width
"[22278664, 238900697, 314962342]",3,An der Unterführung,residential,False,False,276.274,"LINESTRING (13.5141875 51.4638012, 13.5141758 51.4637449, 13.5141383 51.4636089, 13.5141586 51.4634318, 13.514224 51.463279, 13.5142981 51.4631527, 13.5143979 51.4630546, 13.5145032 51.4629597, 13.5146477 51.4628718, 13.5148063 51.4627985, 13.5149754 51.4627398, 13.5154065 51.4626503, 13.5156967 51.4625884, 13.5159571 51.4625329, 13.5159719 51.4625298, 13.5168273 51.4623474)",,,,
"[765814337, 765814338, 24654755, 42389093, 42389094, 238900710, 314962346, 23126133, 314962392, 314962398]","['4', '2', '3']",Schillerstraße,primary,False,True,494.7880000000001,"LINESTRING (13.5141875 51.4638012, 13.5143544 51.4637772, 13.5148177 51.4636995, 13.5151512 51.4636505, 13.5155882 51.4635936, 13.516384 51.4635281, 13.5168858 51.4635034, 13.5169478 51.4635008, 13.5174523 51.4634903, 13.517966 51.4634894, 13.518542 51.4635079, 13.5187262 51.4635154, 13.5195432 51.4635742, 13.5204359 51.4636656, 13.5208828 51.4637097, 13.5212496 51.4637567)",B 101,"['50', '70']",yes,
1046252492,3,Schillerstraße,primary,False,True,3.32,"LINESTRING (13.5212496 51.4637567, 13.5212967 51.4637622)",B 101,50,,
"[238900704, 31257386]",2,"['Wielandstraße', 'Lessingstraße']",residential,False,True,106.459,"LINESTRING (13.5212496 51.4637567, 13.5212369 51.4640459, 13.52118 51.4645727, 13.521179 51.4645773, 13.5211527 51.4646148, 13.5211241 51.4646451, 13.5210882 51.4646734, 13.5210552 51.4646844)",,50,,5.0
"[765814337, 765814338, 24654755, 42389093, 238900710, 42389094, 314962346, 23126133, 314962392, 314962398]","['4', '2', '3']",Schillerstraße,primary,False,False,494.78799999999995,"LINESTRING (13.5212496 51.4637567, 13.5208828 51.4637097, 13.5204359 51.4636656, 13.5195432 51.4635742, 13.5187262 51.4635154, 13.518542 51.4635079, 13.517966 51.4634894, 13.5174523 51.4634903, 13.5169478 51.4635008, 13.5168858 51.4635034, 13.516384 51.4635281, 13.5155882 51.4635936, 13.5151512 51.4636505, 13.5148177 51.4636995, 13.5143544 51.4637772, 13.5141875 51.4638012)",B 101,"['50', '70']",yes,
"[230724304, 158006348, 158006349]",,Ackerstraße,residential,False,True,188.849,"LINESTRING (13.524659 51.4641708, 13.5246729 51.4641236, 13.5249434 51.4632108, 13.5249801 51.463126, 13.5252394 51.4625126)",,50,yes,
"[1046252492, 305206519]","['2', '3']",Schillerstraße,primary,False,False,237.31600000000003,"LINESTRING (13.524659 51.4641708, 13.5237127 51.4640546, 13.5224248 51.4638956, 13.522291 51.4638798, 13.5212967 51.4637622)",B 101,50,,
305206519,2,Schillerstraße,primary,False,True,119.281,"LINESTRING (13.524659 51.4641708, 13.5253286 51.4642494, 13.526349 51.4643761)",B 101,50,,
16213272,,Berliner Straße,residential,False,False,52.772,"LINESTRING (13.5209968 51.4613064, 13.5207351 51.4617521)",,50,,
16213272,,Berliner Straße,residential,False,True,224.56799999999998,"LINESTRING (13.5209968 51.4613064, 13.5215533 51.4602371, 13.522043 51.4593952)",,50,,
