osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry,junction,tunnel,access
"[822845124, 167351237, 256751666, 822816950, 563895544]",True,"['2', '3', '1']",Ettlinger Straße,secondary,50,4,False,62.977000000000004,"LINESTRING (8.4033081 49.0031941, 8.4033277 49.0032625, 8.4033487 49.0033523, 8.4033621 49.0034557, 8.4033735 49.0035392, 8.4033798 49.003629, 8.4033831 49.0036604, 8.4034 49.0037567)",,,
"[170002292, 764269327]",True,1,Baumeisterstraße,tertiary,50,3,False,52.832,"LINESTRING (8.4093647 49.0043515, 8.4094339 49.0043434, 8.4095933 49.0043353, 8.4097263 49.0043398, 8.4100019 49.0043637, 8.410027 49.0043659, 8.4100841 49.004371)",,,
251351709,False,2,Baumeisterstraße,tertiary,50,,True,106.887,"LINESTRING (8.4093647 49.0043515, 8.4090264 49.0043159, 8.4083512 49.0042449, 8.4079178 49.0041996)",,,
"[362290763, 292515347]",False,2,Adlerstraße,residential,50,3,False,137.38,"LINESTRING (8.4093647 49.0043515, 8.4093583 49.0043665, 8.4093183 49.0044606, 8.4092895 49.0045136, 8.4088178 49.0054212, 8.4088003 49.0054609, 8.4087803 49.0055253)",,,
3527731,True,1,Rondellplatz,residential,50,6,False,18.726,"LINESTRING (8.4038415 49.0069094, 8.4038281 49.0069411, 8.4038025 49.0069693, 8.4037664 49.0069922, 8.4037225 49.007008, 8.4036678 49.0070166)",roundabout,,
4188464,False,,Markgrafenstraße,residential,30,,False,141.63299999999998,"LINESTRING (8.4038415 49.0069094, 8.4040107 49.0069317, 8.4040423 49.0069361, 8.4045599 49.0070244, 8.4048853 49.0070752, 8.4056262 49.0071913, 8.4057291 49.0072075)",,,
4060250,False,2,Markgrafenstraße,residential,50,,False,24.424,"LINESTRING (8.4098257 49.0077744, 8.4099721 49.0077592, 8.4100199 49.0077542, 8.4101568 49.0077417)",,,
"[105032352, 105032353, 260114818, 160259913, 3098251, 134778191]",False,2,"['Markgrafenstraße', 'Adlerstraße']",residential,"['50', '30']","['5.5', '6']","[False, True]",354.404,"LINESTRING (8.4098257 49.0077744, 8.4097688 49.007778, 8.4097298 49.0077798, 8.4096907 49.007781, 8.4096418 49.0077824, 8.4096214 49.007783, 8.4095464 49.0077853, 8.4094794 49.0077854, 8.4092457 49.0077773, 8.4091825 49.007767, 8.4090166 49.0077399, 8.4088954 49.0077203, 8.4077113 49.0075291, 8.4076667 49.0076162, 8.4070628 49.0087968, 8.4068619 49.0092086)",,building_passage,
"[251337184, 250809474, 251056462, 259899378, 259899379, 259899380, 259899381, 244032955]",True,"['2', '3']",Fritz-Erler-Straße,secondary,50,,False,189.525,"LINESTRING (8.4098257 49.0077744, 8.4098561 49.007617, 8.4098935 49.0074194, 8.4099101 49.0073398, 8.4099212 49.0072843, 8.409943 49.0071754, 8.4099936 49.0069088, 8.4100185 49.0067216, 8.4100692 49.0064961, 8.410105 49.0063368, 8.4101286 49.0062436, 8.410169 49.0060853)",,,
3527731,True,1,Rondellplatz,residential,50,6,False,28.059000000000005,"LINESTRING (8.4034851 49.006948, 8.4034705 49.0069223, 8.403465 49.006895, 8.4034687 49.0068677, 8.4034815 49.0068415, 8.4035089 49.0068127, 8.4035471 49.0067899, 8.403577 49.006779, 8.4036093 49.0067717, 8.4036545 49.006769)",roundabout,,
"[467660664, 313382602, 3533904, 25445054]",False,,Erbprinzenstraße,residential,30,"['5.7', '6', '5']",True,160.757,"LINESTRING (8.4034851 49.006948, 8.4034524 49.0069576, 8.4034247 49.0069657, 8.4033787 49.0069798, 8.4029675 49.0071062, 8.4028293 49.0071511, 8.4027354 49.0071816, 8.4024997 49.0072546, 8.4016328 49.007523, 8.401493 49.0075664)",,,
223054687,True,2,Fritz-Erler-Straße,secondary,50,,False,11.887,"LINESTRING (8.4102605 49.0092628, 8.4102622 49.0092734, 8.4102656 49.0092952, 8.4102626 49.0093268, 8.4102569 49.0093693)",,,
531785377,False,,Herrenstraße,residential,50,,False,59.226,"LINESTRING (8.4008266 49.0109466, 8.4013254 49.0113669)",,,
"[376239874, 376239875, 376239876, 376239877, 159908038, 159908039, 154343753, 3533995]",False,,"['Zentralhof', 'Herrenstraße', 'Waldstraße']","['residential', 'living_street']","['50', 'DE:walk', '20', 'walk']",4.5,"[False, True]",266.596,"LINESTRING (8.4008266 49.0109466, 8.4005179 49.0106844, 8.4001596 49.0103814, 8.4000526 49.0104351, 8.3998279 49.010548, 8.3997609 49.01058, 8.3997327 49.0105883, 8.399711 49.010589, 8.3996937 49.0105865, 8.3996812 49.0105796, 8.3996162 49.0105287, 8.3995269 49.0104537, 8.3993127 49.0102738, 8.3992964 49.01026, 8.3992555 49.0102424, 8.3992127 49.0102354, 8.3991628 49.0102319, 8.3990541 49.0102401, 8.399024 49.0102437, 8.3988421 49.0102652, 8.3984687 49.0103231, 8.3983556 49.0104046, 8.3983094 49.0104379, 8.3983279 49.0104487, 8.3985099 49.0105554)",,building_passage,
