osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,est_width,access
"[239035712, 363010619, 230316955]",False,3,L 675,Kaiserstraße,secondary,50,True,89.78599999999999,"LINESTRING (7.3988099 51.3874515, 7.3988277 51.3874935, 7.3988466 51.387543, 7.3988545 51.3875743, 7.3988581 51.3876151, 7.3988617 51.3876566, 7.3988621 51.3876974, 7.3988595 51.3877295, 7.3988593 51.3877484, 7.3988479 51.3877938, 7.3988371 51.3878335, 7.3988204 51.3878778, 7.3987875 51.3879437, 7.3987343 51.3880356, 7.398699 51.3880919, 7.3986826 51.3881192, 7.3986035 51.3882276)",,
"[363010627, 274223527]",False,"['2', '3']",L 675,Kaiserstraße,secondary,50,False,77.98599999999999,"LINESTRING (7.3988099 51.3874515, 7.398724 51.3873402, 7.3986189 51.3872498, 7.3985672 51.3872165, 7.3985247 51.3871891, 7.3984633 51.387151, 7.3984417 51.3871359, 7.3984078 51.3871147, 7.3983644 51.3870903, 7.398233 51.3870068, 7.3981938 51.386983, 7.3981774 51.386973, 7.3980913 51.38692)",,
"[275428432, 464154242, 145407062, 464154239]",False,,,Am Bollwerk,residential,30,"[False, True]",139.90300000000002,"LINESTRING (7.3988099 51.3874515, 7.3988841 51.3874378, 7.3989443 51.3874318, 7.3990247 51.3874273, 7.3990555 51.38743, 7.3991542 51.3874401, 7.3992547 51.3874608, 7.3995737 51.3875393, 7.3995926 51.3875463, 7.4000649 51.3877259, 7.4001004 51.3877339, 7.4004157 51.387834, 7.4005584 51.3878833, 7.4005756 51.3879369)",,
"[463265761, 230444342, 464379937]",False,2,L 675,Kaiserstraße,secondary,50,False,37.17400000000001,"LINESTRING (7.3938237 51.3843302, 7.3936747 51.3842646, 7.3935107 51.3842202, 7.3934334 51.3842003, 7.3933495 51.3841784)",,
"[463265762, 463265765, 463265766, 463265767, 464124111, 230444339, 53049684]",False,2,L 675,Kaiserstraße,secondary,50,True,244.53100000000003,"LINESTRING (7.3938237 51.3843302, 7.3939366 51.3843769, 7.3940212 51.3844194, 7.3943534 51.3846092, 7.3945568 51.3847267, 7.3947234 51.3848304, 7.3947447 51.3848433, 7.3947611 51.3848544, 7.3948028 51.3848805, 7.3948382 51.3849016, 7.3951385 51.3850894, 7.395357 51.3852286, 7.3954015 51.3852587, 7.3954324 51.3852778, 7.3954636 51.3852986, 7.3955042 51.3853231, 7.3959598 51.3856107, 7.3961255 51.385715, 7.3963523 51.3858585)",,
"[234885223, 230316957, 145407071]",False,,,Burgstraße,"['residential', 'living_street']",30,"[False, True]",83.659,"LINESTRING (7.3986035 51.3882276, 7.3987187 51.3882369, 7.3987433 51.3882401, 7.3987765 51.3882439, 7.3988222 51.3882494, 7.3989315 51.3882655, 7.3990044 51.3882839, 7.3990502 51.3882978, 7.3990967 51.3883071, 7.3993661 51.3884022, 7.3994899 51.3884404, 7.3997053 51.3885142)",,
145407084,True,,,Königstraße,residential,30,False,29.400999999999996,"LINESTRING (7.3986035 51.3882276, 7.3985457 51.3882398, 7.3984973 51.3882445, 7.3983855 51.3882387, 7.3983326 51.3882161, 7.3982362 51.388155)",,
"[239035712, 363010619, 230316955]",False,3,L 675,Kaiserstraße,secondary,50,False,89.78599999999999,"LINESTRING (7.3986035 51.3882276, 7.3986826 51.3881192, 7.398699 51.3880919, 7.3987343 51.3880356, 7.3987875 51.3879437, 7.3988204 51.3878778, 7.3988371 51.3878335, 7.3988479 51.3877938, 7.3988593 51.3877484, 7.3988595 51.3877295, 7.3988621 51.3876974, 7.3988617 51.3876566, 7.3988581 51.3876151, 7.3988545 51.3875743, 7.3988466 51.387543, 7.3988277 51.3874935, 7.3988099 51.3874515)",,
"[239035713, 263361250, 80414989, 363010623]",False,3,L 675,Kaiserstraße,secondary,50,True,90.29899999999999,"LINESTRING (7.3986035 51.3882276, 7.3985219 51.3883372, 7.3984938 51.3883802, 7.3984335 51.3884974, 7.3984241 51.3885157, 7.3983637 51.3886446, 7.3983559 51.3886651, 7.3983369 51.3887516, 7.3983341 51.3888466, 7.3983424 51.3889135, 7.3983479 51.3889388, 7.3983733 51.3890092)",,
"[16713484, 463490477, 463490478]",True,1,,Wilhelmstraße,residential,30,False,104.47900000000001,"LINESTRING (7.3963523 51.3858585, 7.3964426 51.3857421, 7.3964736 51.3856922, 7.3966305 51.3854462, 7.3966684 51.3853954, 7.3966929 51.3853626, 7.3967262 51.385318, 7.3967887 51.3852343, 7.3968274 51.3851825, 7.3968505 51.3851526, 7.3969066 51.3850769, 7.3969286 51.3850505, 7.3969436 51.3850271, 7.3969634 51.3850003)",,
"[464124110, 240429520, 464071729, 464071730, 240429523, 464071731, 464071732, 230444336]",False,2,L 675,Kaiserstraße,secondary,50,True,168.823,"LINESTRING (7.3963523 51.3858585, 7.3964636 51.3859318, 7.3966248 51.3860286, 7.3966894 51.3860673, 7.3967177 51.3860843, 7.3968462 51.3861615, 7.3969635 51.3862319, 7.3971113 51.3863232, 7.3971452 51.3863441, 7.3971892 51.3863706, 7.397254 51.3864096, 7.3972889 51.3864306, 7.3973002 51.3864375, 7.3973653 51.3864773, 7.3974975 51.386558, 7.3975656 51.3865996, 7.3976264 51.3866377, 7.3977972 51.3867455, 7.3978868 51.3868012, 7.3979007 51.3868093, 7.3979835 51.3868576, 7.3980407 51.386891, 7.3980913 51.38692)",,
"[464071733, 464071734]",False,,,Wilhelmstraße,residential,30,False,37.882,"LINESTRING (7.3963523 51.3858585, 7.39632 51.3858977, 7.3962945 51.3859327, 7.3962366 51.3860099, 7.3961839 51.3860889, 7.3961288 51.3861692)",13 m,
"[463265762, 463265765, 463265766, 463265767, 464124111, 230444339, 53049684]",False,2,L 675,Kaiserstraße,secondary,50,False,244.53100000000003,"LINESTRING (7.3963523 51.3858585, 7.3961255 51.385715, 7.3959598 51.3856107, 7.3955042 51.3853231, 7.3954636 51.3852986, 7.3954324 51.3852778, 7.3954015 51.3852587, 7.395357 51.3852286, 7.3951385 51.3850894, 7.3948382 51.3849016, 7.3948028 51.3848805, 7.3947611 51.3848544, 7.3947447 51.3848433, 7.3947234 51.3848304, 7.3945568 51.3847267, 7.3943534 51.3846092, 7.3940212 51.3844194, 7.3939366 51.3843769, 7.3938237 51.3843302)",,
5081834,False,,,Im Kirchspiel,residential,30,False,57.102000000000004,"LINESTRING (7.3990461 51.3893217, 7.3991116 51.3893674, 7.3993434 51.3894779, 7.3997031 51.3896283)",,yes
234885592,False,,,Im Kirchspiel,residential,30,False,22.724,"LINESTRING (7.3990461 51.3893217, 7.3990268 51.3893336, 7.3989929 51.3893546, 7.3989165 51.3893915, 7.3989025 51.3893983, 7.3988285 51.3894386, 7.3987998 51.389456)",,
"[234885592, 5081833]",False,,,Im Kirchspiel,"['residential', 'living_street']",30,True,70.05600000000001,"LINESTRING (7.3990461 51.3893217, 7.3990678 51.3892904, 7.3991732 51.3891341, 7.3992852 51.3890035, 7.3992972 51.3889934, 7.3995011 51.3887602)",,
5081834,False,,,Im Kirchspiel,residential,30,True,57.102,"LINESTRING (7.3997031 51.3896283, 7.3993434 51.3894779, 7.3991116 51.3893674, 7.3990461 51.3893217)",,yes
5081835,False,,,Im Kirchspiel,residential,30,False,34.347,"LINESTRING (7.3997031 51.3896283, 7.3997721 51.3895056, 7.3998497 51.389392, 7.3998806 51.3893401)",,yes
233602675,False,,,Im Kirchspiel,residential,30,False,11.35,"LINESTRING (7.3997031 51.3896283, 7.3996344 51.3897024, 7.3996088 51.3897064)",,yes
233602675,False,,,Im Kirchspiel,residential,30,True,11.35,"LINESTRING (7.3996088 51.3897064, 7.3996344 51.3897024, 7.3997031 51.3896283)",,yes
"[130595209, 282946436, 263361605]",False,"['2', '3']",L 675,Kaiserstraße,secondary,50,False,58.42700000000001,"LINESTRING (7.3987998 51.389456, 7.3987368 51.3894152, 7.3986454 51.3893408, 7.3985906 51.3892963, 7.3985445 51.389249, 7.3985094 51.3892153, 7.3984801 51.3891745, 7.3984053 51.389075, 7.3983733 51.3890092)",,
234885592,False,,,Im Kirchspiel,residential,30,True,22.724,"LINESTRING (7.3987998 51.389456, 7.3988285 51.3894386, 7.3989025 51.3893983, 7.3989165 51.3893915, 7.3989929 51.3893546, 7.3990268 51.3893336, 7.3990461 51.3893217)",,
"[249696509, 232431139, 230444322, 5096102, 464131484, 464131482, 249696444, 464131485, 464131486]",False,,,Gustav-Vorsteher-Straße,"['living_street', 'residential']","['7', '30']",False,359.307,"LINESTRING (7.3933495 51.3841784, 7.3933577 51.3841409, 7.3934403 51.3838508, 7.3934868 51.3836585, 7.3935102 51.3835785, 7.3935337 51.3835427, 7.3935847 51.3835192, 7.3936712 51.3835099, 7.3937792 51.3835092, 7.3938008 51.3835119, 7.3938691 51.3835238, 7.3940094 51.3835484, 7.3942835 51.3836047, 7.3945018 51.3836491, 7.3948388 51.383718, 7.3949317 51.383737, 7.3951451 51.3837804, 7.395532 51.3838592, 7.3961275 51.3839803, 7.3962324 51.3840017, 7.3962781 51.384011, 7.3963528 51.3840263, 7.3972553 51.3842107, 7.3974727 51.3842538)",,
"[464379937, 463265761, 230444342]",False,2,L 675,Kaiserstraße,secondary,50,True,37.17400000000001,"LINESTRING (7.3933495 51.3841784, 7.3934334 51.3842003, 7.3935107 51.3842202, 7.3936747 51.3842646, 7.3938237 51.3843302)",,
"[9068904, 464379938, 464379939]",False,2,L 675,Kaiserstraße,secondary,50,False,85.213,"LINESTRING (7.3933495 51.3841784, 7.393194 51.3841451, 7.3930895 51.3841281, 7.3930397 51.3841199, 7.3928409 51.3840952, 7.3926852 51.3840787, 7.3925094 51.3840603, 7.3922158 51.3840384, 7.3921464 51.3840369)",,
