osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,tunnel,junction
39503665,Moosweg,residential,False,True,75.741,"LINESTRING (10.7200864 49.2300223, 10.7195507 49.2298735, 10.7193276 49.2297764, 10.7192137 49.2296748)",,,,,
42865704,Lichtenauer Straße,tertiary,False,True,160.905,"LINESTRING (10.7200864 49.2300223, 10.7202673 49.2298313, 10.7204124 49.2297151, 10.7204714 49.2296777, 10.7205857 49.22961, 10.7217212 49.2290687)",AN 12,50,,,
73913423,Lichtenauer Straße,tertiary,False,False,34.567,"LINESTRING (10.7200864 49.2300223, 10.7199564 49.2301571, 10.7198418 49.2302889)",AN 12,50,,,
73913420,Obere Vorstadt,tertiary,False,False,35.829,"LINESTRING (10.7217212 49.2290687, 10.7221228 49.2288815)",AN 12,50,,,
"[220744953, 23824843, 37791343]","['Schlegelgasse', 'Nördliche Ringstraße']",residential,False,False,215.76500000000001,"LINESTRING (10.7217212 49.2290687, 10.7218061 49.2291425, 10.7218381 49.2291693, 10.7218944 49.2291763, 10.7219641 49.229178, 10.7220285 49.2291675, 10.7227145 49.2290492, 10.7234572 49.2288887, 10.724236 49.228797, 10.7245271 49.2287461)",,50,,,
42865704,Lichtenauer Straße,tertiary,False,False,160.905,"LINESTRING (10.7217212 49.2290687, 10.7205857 49.22961, 10.7204714 49.2296777, 10.7204124 49.2297151, 10.7202673 49.2298313, 10.7200864 49.2300223)",AN 12,50,,,
893741610,Richard-Wagner-Straße,tertiary,False,False,11.773,"LINESTRING (10.7230599 49.2268056, 10.7230768 49.2267003)",AN 12,50,,,
"[34210657, 1234272073, 1234272074, 60110647, 60110653]",Hauptstraße,residential,False,False,38.836999999999996,"LINESTRING (10.7230599 49.2268056, 10.7232318 49.2268008, 10.7234451 49.2267993, 10.7234755 49.2267991, 10.7235386 49.2267964, 10.7235943 49.2267941)",,,yes,building_passage,
67333597,Obere Vorstadt,tertiary,False,True,72.52799999999999,"LINESTRING (10.7230599 49.2268056, 10.7230611 49.2269356, 10.7230704 49.2271035, 10.7231589 49.227453)",AN 12,50,,,
37791255,Windsbacher Straße,secondary,False,False,51.524,"LINESTRING (10.7297942 49.225828, 10.7303294 49.2261322)",St 2220,50,,,
24253987,Adelmannsdorfer Straße,unclassified,False,False,152.32,"LINESTRING (10.7297942 49.225828, 10.7300948 49.225689, 10.7303159 49.2255273, 10.730969 49.2250496, 10.7313158 49.2248988)",,,,,
42865707,Dr.-Johann-Baptist-Kurz-Platz,secondary,False,True,107.089,"LINESTRING (10.7297942 49.225828, 10.7293416 49.2257811, 10.728948 49.2257721, 10.7283323 49.2258323)",St 2220,50,,,
"[1234272072, 1234272098, 1234272099, 23824845]","['Heumarkt', 'Dr.-Johann-Baptist-Kurz-Platz']",residential,False,True,84.26600000000002,"LINESTRING (10.7283323 49.2258323, 10.7278308 49.2259926, 10.7275961 49.2260834, 10.7273988 49.2261862, 10.7273464 49.2262125, 10.7273379 49.2262168)",,,,building_passage,
42865707,Dr.-Johann-Baptist-Kurz-Platz,secondary,False,False,107.089,"LINESTRING (10.7283323 49.2258323, 10.728948 49.2257721, 10.7293416 49.2257811, 10.7297942 49.225828)",St 2220,50,,,
893730554,Untere Vorstadt,secondary,False,False,58.59799999999999,"LINESTRING (10.7283323 49.2258323, 10.7281991 49.2256777, 10.7281528 49.2254846, 10.7281125 49.225389, 10.7280486 49.2253532)",St 2220,30,,,
25745823,Merkendorfer Straße,secondary,False,True,136.69,"LINESTRING (10.7228528 49.2234097, 10.7230307 49.2235573, 10.7231394 49.2236332, 10.7233869 49.2237459, 10.724371 49.2241136)",St 2220,50,,,
95525956,Merkendorfer Straße,secondary,False,False,39.369,"LINESTRING (10.7228528 49.2234097, 10.7227342 49.2232454, 10.7226422 49.2230838)",St 2220,50,,,
"[220744969, 42865706]",Untere Vorstadt,secondary,False,True,299.91100000000006,"LINESTRING (10.7245939 49.2242227, 10.7249733 49.224439, 10.7250253 49.2244784, 10.7258741 49.2250349, 10.7260709 49.2251585, 10.726309 49.2252707, 10.7265265 49.2253373, 10.7267326 49.2253721, 10.7269147 49.2253739, 10.7271372 49.2253625, 10.72776 49.2253305, 10.7278731 49.2253313, 10.7279783 49.225335, 10.7280486 49.2253532)",St 2220,"['50', '30']",,,
940015057,,secondary,True,False,14.065999999999999,"LINESTRING (10.7245939 49.2242227, 10.7245463 49.2242512, 10.7244842 49.2242626, 10.7244208 49.2242545)",St 2220,50,,,roundabout
"[106874056, 106874047]",Richard-Wagner-Straße,tertiary,False,True,137.77599999999998,"LINESTRING (10.7244208 49.2242545, 10.7240142 49.2249529, 10.723973 49.225001, 10.7236555 49.2253721, 10.7236466 49.2253822)",AN 12,50,,,
893730553,,secondary,True,False,18.41,"LINESTRING (10.7244208 49.2242545, 10.7243706 49.2242292, 10.7243427 49.2241921, 10.7243428 49.2241507, 10.724371 49.2241136)",St 2220,50,,,roundabout
25745823,Merkendorfer Straße,secondary,False,False,136.69,"LINESTRING (10.724371 49.2241136, 10.7233869 49.2237459, 10.7231394 49.2236332, 10.7230307 49.2235573, 10.7228528 49.2234097)",St 2220,50,,,
167574528,,secondary,True,False,13.581,"LINESTRING (10.724371 49.2241136, 10.7244512 49.2240823, 10.7245438 49.2240911)",St 2220,50,,,roundabout
25745824,Biederbacher Straße,tertiary,False,False,162.635,"LINESTRING (10.7245438 49.2240911, 10.7247231 49.2237458, 10.7249356 49.2231525, 10.7250995 49.2226757)",AN 12,50,,,
167574528,,secondary,True,False,16.884,"LINESTRING (10.7245438 49.2240911, 10.7245884 49.2241155, 10.7246138 49.2241496, 10.7246158 49.2241875, 10.7245939 49.2242227)",St 2220,50,,,roundabout
