osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,width,lanes,junction,bridge
10574981,Am Schusterboll,residential,False,True,169.983,"LINESTRING (7.8681137 52.5401225, 7.8682353 52.5401176, 7.8683203 52.5401233, 7.868486 52.5401721, 7.8685913 52.5402156, 7.8687347 52.5402762, 7.8691518 52.5403964, 7.8696789 52.5405666, 7.8699629 52.5406602, 7.8701504 52.5407348, 7.8701853 52.5407756, 7.8702073 52.5408154, 7.870182 52.5408551)",,,,,,
708315182,Voltlager Damm,tertiary,False,False,184.231,"LINESTRING (7.8681137 52.5401225, 7.8680156 52.5398603, 7.8678812 52.5396513, 7.8676843 52.5393968, 7.867436 52.5391011, 7.867209 52.538904, 7.8671005 52.538822, 7.8668781 52.5386689)",K 111,50,5.5,,,
708315182,Voltlager Damm,tertiary,False,True,56.114999999999995,"LINESTRING (7.8681137 52.5401225, 7.868118 52.5401527, 7.8681391 52.5402988, 7.868135 52.5404304, 7.8681217 52.5405167, 7.868078 52.5406228)",K 111,50,5.5,,,
10574985,Loxtener Straße,secondary,False,False,60.738,"LINESTRING (7.8653604 52.5441048, 7.8655236 52.5443638, 7.865609 52.5445181, 7.8656601 52.5446195)",L 74,50,,2,,
10574985,Loxtener Straße,secondary,False,True,241.717,"LINESTRING (7.8653604 52.5441048, 7.8651343 52.5437176, 7.8650093 52.5433684, 7.8649379 52.5431152, 7.8648283 52.5425855, 7.8646767 52.5419777)",L 74,50,,2,,
84005513,Am Schultenhof,residential,False,False,60.480999999999995,"LINESTRING (7.8653604 52.5441048, 7.8652051 52.5441431, 7.8651283 52.5441636, 7.8645203 52.5442907)",,,,,,
27501143,Tiefer Weg,residential,False,False,115.51199999999999,"LINESTRING (7.8691704 52.5445551, 7.8692704 52.5445419, 7.8694018 52.544562, 7.8697384 52.5446439, 7.870135 52.5447296, 7.8703834 52.5447611, 7.8705245 52.5447722, 7.8708154 52.5447733)",,50,,,,
1214216293,Druchhorner Straße,tertiary,False,False,80.609,"LINESTRING (7.8691704 52.5445551, 7.8691301 52.5444901, 7.869027 52.5443999, 7.8688169 52.5442709, 7.8686407 52.5441628, 7.8684419 52.5440621, 7.868369 52.5440304)",K 143,,,,,
1214216293,Druchhorner Straße,tertiary,False,True,180.64399999999998,"LINESTRING (7.8691704 52.5445551, 7.8691951 52.5446693, 7.8691995 52.5448756, 7.8692131 52.5455147, 7.8692164 52.5455433, 7.869225 52.5458333, 7.869253 52.5460638, 7.869285 52.5461762)",K 143,,,,,
84013865,Hackmanns Boll,residential,False,False,215.38599999999997,"LINESTRING (7.8718152 52.5395172, 7.8719391 52.5395383, 7.8724396 52.5396283, 7.8726838 52.5396582, 7.8731743 52.5397017, 7.8735546 52.5397311, 7.8738326 52.539744, 7.8740747 52.5397614, 7.8741688 52.5397396, 7.8742411 52.5396702, 7.8742826 52.5392771)",,,,,,
