osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge,ref,width
4818688,Innersteallee,residential,False,True,184.715,,,"LINESTRING (10.3362772 51.9348188, 10.3338523 51.9340948)",,,
27077654,Bahnhofstraße,residential,False,False,98.621,2,50,"LINESTRING (10.3362772 51.9348188, 10.3360469 51.9350707, 10.3358319 51.9353204, 10.3355924 51.9355987)",,,
"[55274710, 27077653, 27077654]",Bahnhofstraße,residential,False,True,63.674,2,50,"LINESTRING (10.3362772 51.9348188, 10.3363079 51.9347759, 10.3363433 51.9347329, 10.3366346 51.9343938, 10.3366989 51.9343088)",yes,,
10425717,Lange Straße,tertiary,False,True,60.052,2,50,"LINESTRING (10.3350134 51.9390717, 10.3354394 51.9385998)",,,
29044934,Lange Straße,tertiary,False,False,13.571,2,50,"LINESTRING (10.3350134 51.9390717, 10.3348952 51.9391696)",,,
"[851909769, 4818685]",Breite Straße,residential,False,False,172.946,,,"LINESTRING (10.3350134 51.9390717, 10.3349188 51.9390299, 10.3344243 51.9386474, 10.3336105 51.9379211, 10.3335149 51.9378262)",,,
29044935,Harzstraße,residential,False,False,10.849,,,"LINESTRING (10.3333981 51.9376069, 10.3332518 51.9375697)",,,
"[55942333, 59604839]",Meisterstraße,residential,False,"[False, True]",97.434,,30,"LINESTRING (10.3333981 51.9376069, 10.3335414 51.9375655, 10.3340613 51.9372729, 10.3341734 51.9372273, 10.3345526 51.9371093)",,,
851909769,Breite Straße,residential,False,True,25.992,,,"LINESTRING (10.3333981 51.9376069, 10.3333999 51.9376593, 10.3335149 51.9378262)",,,
15518217,Mühlenstraße,secondary,False,False,45.745,,50,"LINESTRING (10.3296798 51.9374766, 10.3297934 51.9376708, 10.3298289 51.9377626, 10.3298696 51.9378703)",,L 515,
"[29044935, 503754216, 582625336, 893345688, 1094925177, 1094925178]",Harzstraße,residential,False,True,180.343,,,"LINESTRING (10.3296798 51.9374766, 10.3298199 51.9374293, 10.3300028 51.9374116, 10.3302369 51.9374252, 10.3303953 51.9374372, 10.3306649 51.9374528, 10.33129 51.9374817, 10.3316874 51.9374986, 10.3320937 51.9375028, 10.3322778 51.9374772)",,,
1094925179,Harzstraße,secondary,False,True,93.936,,50,"LINESTRING (10.3296798 51.9374766, 10.3294883 51.937322, 10.3289372 51.9369441, 10.3287886 51.9368355)",,L 515,
823570560,Bahnhofstraße,residential,False,False,92.006,,30,"LINESTRING (10.3349168 51.9363336, 10.3348367 51.9363909, 10.3347698 51.936444, 10.334711 51.9365171, 10.3346481 51.9366366, 10.3346055 51.9367573, 10.3345664 51.9369388, 10.3345526 51.9371093)",,,
823570560,Bahnhofstraße,residential,False,True,94.289,,30,"LINESTRING (10.3349168 51.9363336, 10.3350386 51.9362436, 10.3355416 51.9356854, 10.3355924 51.9355987)",,,
"[26655038, 851909766]",Freiheitsstraße,residential,False,True,74.137,,,"LINESTRING (10.3349168 51.9363336, 10.335022 51.9363504, 10.3353953 51.9364426, 10.3358915 51.9366163)",,,
26655038,Freiheitsstraße,residential,False,True,66.452,,,"LINESTRING (10.3358915 51.9366163, 10.3366931 51.9369523)",,,
"[851909766, 26655038]",Freiheitsstraße,residential,False,False,74.137,,,"LINESTRING (10.3358915 51.9366163, 10.3353953 51.9364426, 10.335022 51.9363504, 10.3349168 51.9363336)",,,
26655061,Oberer Schmiedekamp,residential,False,False,135.11599999999999,,,"LINESTRING (10.3358915 51.9366163, 10.3364367 51.9360519, 10.3369201 51.9355799)",,,
26655074,Ringstraße,residential,False,True,87.253,2,50,"LINESTRING (10.3355924 51.9355987, 10.3349249 51.9355979, 10.3345437 51.9355932, 10.3343281 51.9356305)",,,
27077654,Bahnhofstraße,residential,False,True,98.62100000000001,2,50,"LINESTRING (10.3355924 51.9355987, 10.3358319 51.9353204, 10.3360469 51.9350707, 10.3362772 51.9348188)",,,
823570559,Ringstraße,residential,False,False,91.04700000000001,,,"LINESTRING (10.3355924 51.9355987, 10.3362452 51.9355901, 10.3366232 51.9355844, 10.3369201 51.9355799)",,,
823570560,Bahnhofstraße,residential,False,False,94.289,,30,"LINESTRING (10.3355924 51.9355987, 10.3355416 51.9356854, 10.3350386 51.9362436, 10.3349168 51.9363336)",,,
26655061,Oberer Schmiedekamp,residential,False,True,135.11599999999999,,,"LINESTRING (10.3369201 51.9355799, 10.3364367 51.9360519, 10.3358915 51.9366163)",,,
823570559,Ringstraße,residential,False,True,91.047,,,"LINESTRING (10.3369201 51.9355799, 10.3366232 51.9355844, 10.3362452 51.9355901, 10.3355924 51.9355987)",,,
