osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,width,junction
46676664,3,L 615,Hauptstraße,secondary,False,True,35.89,"LINESTRING (6.9158727 51.6032899, 6.9160684 51.6032496, 6.916366 51.6031884)",,,
46741769,3,L 623,Bottroper Straße,secondary,False,True,37.053,"LINESTRING (6.9158727 51.6032899, 6.9158473 51.6031305, 6.9158198 51.6029583)",50,,
"[32598070, 1118421459, 651547622]","['2', '3']",L 623,Alleestraße,secondary,False,False,200.46200000000002,"LINESTRING (6.9158727 51.6032899, 6.9158463 51.6034771, 6.9157871 51.6038975, 6.9157437 51.6042051, 6.9156344 51.6049591, 6.9156192 51.6050858)",50,,
303537871,2,L 623,Bottroper Straße,secondary,False,False,52.485,"LINESTRING (6.9145909 51.5998876, 6.9146133 51.6003594)",50,,
22588541,,,Hackfurthstraße,residential,False,False,112.50200000000001,"LINESTRING (6.9145909 51.5998876, 6.9151753 51.5998878, 6.9162197 51.5998931)",30,,
32598069,2,,Kirchhellener Ring,residential,False,True,83.178,"LINESTRING (6.9267396 51.6012043, 6.9266649 51.6019509)",30,,
38127561,2,K 3,Hackfurthstraße,tertiary,False,True,292.078,"LINESTRING (6.9267396 51.6012043, 6.9264845 51.6012097, 6.9262168 51.6011924, 6.925943 51.6011691, 6.9256429 51.6011258, 6.9253941 51.601091, 6.9251651 51.6010516, 6.9251208 51.601044, 6.9248094 51.6009927, 6.9244314 51.6009244, 6.9240362 51.6008531, 6.9239748 51.6008408, 6.9236874 51.6007848, 6.9235145 51.6007456, 6.9233461 51.6007047, 6.922666 51.6005514)",30,,
946041486,2,,Kirchhellener Ring,residential,False,False,131.397,"LINESTRING (6.9267396 51.6012043, 6.9266708 51.600655, 6.9265701 51.6003098, 6.9264897 51.6000344)",20,,
32598069,2,,Kirchhellener Ring,residential,False,False,83.178,"LINESTRING (6.9266649 51.6019509, 6.9267396 51.6012043)",30,,
32598069,2,,Kirchhellener Ring,residential,False,True,127.074,"LINESTRING (6.9266649 51.6019509, 6.9265973 51.6024331, 6.9265073 51.6030895)",30,,
22588546,2,L 615,Oberhofstraße,secondary,False,False,56.362,"LINESTRING (6.9182724 51.6031774, 6.9183457 51.603161, 6.9184799 51.603131, 6.9188271 51.6030361, 6.919025 51.602982)",30,,
"[651547621, 610642158, 46676663]","['2', '3']",L 615,Hauptstraße,secondary,False,False,132.187,"LINESTRING (6.9182724 51.6031774, 6.9180133 51.6032009, 6.9177871 51.6031941, 6.9177153 51.6031921, 6.9176635 51.6031907, 6.9174744 51.6031839, 6.9173071 51.6031783, 6.9172609 51.6031767, 6.9171879 51.6031743, 6.9170229 51.6031681, 6.9168578 51.6031618, 6.916782 51.6031628, 6.9165963 51.6031651, 6.916366 51.6031884)",30,,
727084424,,,Hauptstraße,residential,False,True,139.45,"LINESTRING (6.9182724 51.6031774, 6.9184427 51.6032609, 6.9186815 51.6033454, 6.9191943 51.6035183, 6.9193599 51.6035727, 6.9196864 51.6036887, 6.9199393 51.6037336, 6.9200547 51.6037468)",20,,
727084423,,,Hauptstraße,residential,False,True,8.949,"LINESTRING (6.9236736 51.6039818, 6.9235452 51.6039926)",30,,
304133067,2,,Schulze-Delitzsch-Straße,tertiary,False,True,99.21000000000001,"LINESTRING (6.9236736 51.6039818, 6.9236505 51.6039385, 6.9236208 51.6038398, 6.9235969 51.6034746, 6.9235337 51.6032625, 6.9235312 51.603254, 6.9234895 51.6031741, 6.923439 51.6031089)",30,,
"[44951885, 610642159]",2,,Hauptstraße,tertiary,False,True,211.88100000000003,"LINESTRING (6.9236736 51.6039818, 6.9238567 51.6041274, 6.9238941 51.6041445, 6.9240872 51.6042287, 6.9243717 51.6043747, 6.924971 51.604723, 6.9251121 51.6048052, 6.9252931 51.6048988, 6.9255808 51.605029, 6.9258214 51.6051054, 6.926045 51.6051648)",30,,
32598070,2,L 623,Alleestraße,secondary,False,True,231.6,"LINESTRING (6.9153692 51.6071628, 6.9153898 51.6070132, 6.9154087 51.6068399, 6.9155932 51.60528, 6.9156192 51.6050858)",50,,
"[610642146, 610642148]",3,,Kirchhellener Ring,tertiary,False,True,154.06300000000002,"LINESTRING (6.9153692 51.6071628, 6.9155651 51.6071714, 6.9160168 51.6071911, 6.9162218 51.6072, 6.9165025 51.6072148, 6.9165206 51.6072158, 6.9169276 51.6072298, 6.916999 51.6072302, 6.9174228 51.6072324, 6.9175963 51.6072333)",30,,
"[155966785, 610642150, 610642151]","['2', '3']",,Kirchhellener Ring,tertiary,False,False,155.712,"LINESTRING (6.9198166 51.6069973, 6.9189015 51.6071099, 6.9185879 51.6071454, 6.9183 51.60718, 6.9182777 51.6071835, 6.9180805 51.6072055, 6.9179207 51.6072186, 6.9176794 51.6072319, 6.9175963 51.6072333)",30,,
304133066,,,Schulstraße,residential,False,False,107.289,"LINESTRING (6.9198166 51.6069973, 6.9198032 51.6069009, 6.9198002 51.606879, 6.9198383 51.6060332)",30,,
"[304133063, 755541640, 758703849, 610642154, 755541641, 755541643, 755541645, 755541642, 755541644, 610642152]","['2', '3']",,Kirchhellener Ring,tertiary,False,False,308.803,"LINESTRING (6.9198166 51.6069973, 6.9205447 51.6069305, 6.9207522 51.6069072, 6.9208028 51.6069012, 6.9209608 51.6068819, 6.9210286 51.6068729, 6.9212395 51.6068472, 6.9212702 51.6068434, 6.9215855 51.606805, 6.9217043 51.6067937, 6.9221072 51.6067554, 6.9223241 51.6067348, 6.9229254 51.6066776, 6.9232236 51.6066494, 6.9234228 51.6066305, 6.9236959 51.6065915, 6.923971 51.6065276, 6.9240225 51.6065136, 6.9241935 51.6064673)",30,,
156166029,,,An der Windmühle,residential,False,False,47.741,"LINESTRING (6.9184798 51.6075118, 6.9185916 51.6075006, 6.9190719 51.6074531, 6.9191636 51.6074547)",30,,
156166041,,,An der Windmühle,residential,False,True,61.79600000000001,"LINESTRING (6.9184798 51.6075118, 6.9177838 51.6075569, 6.9175888 51.6075602)",30,,
