osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,tunnel,bridge
37702993,True,2,K 5,Friedrich-Wilhelm-Straße,secondary,50,False,12.361,"LINESTRING (6.7653972 51.431157, 6.7655581 51.4311091)",,,
5033844,True,1,K 5,Düsseldorfer Straße,secondary,30,False,14.559,"LINESTRING (6.7654674 51.4312804, 6.7653972 51.431157)",,,
37702995,True,2,K 5,Friedrich-Wilhelm-Straße,secondary,50,False,72.261,"LINESTRING (6.7654674 51.4312804, 6.7653025 51.4313008, 6.7646331 51.4313805, 6.7644433 51.4314014)",,,
234416894,True,3,K 5,Friedrich-Wilhelm-Straße,secondary,50,False,74.665,"LINESTRING (6.766522 51.4311441, 6.7658999 51.4312249, 6.7657095 51.4312495, 6.7656395 51.4312579, 6.7654674 51.4312804)",yes,,
37617081,False,3,,Vulkanstraße,secondary,50,False,64.554,"LINESTRING (6.7539178 51.4315958, 6.7540485 51.4315643, 6.754099 51.4315532, 6.754784 51.4313828)",,,
"[161192876, 161192877, 10115831]",False,"['2', '3']",,Werftstraße,secondary,50,True,209.11500000000004,"LINESTRING (6.7539178 51.4315958, 6.753739 51.431782, 6.7536415 51.4318966, 6.753589 51.4320494, 6.7535912 51.4322076, 6.7536319 51.4326187, 6.7536574 51.4327518, 6.7536877 51.4328467, 6.7537264 51.4329682, 6.753849 51.4331447, 6.7538827 51.4331908, 6.7539357 51.4332512, 6.7540555 51.4333708)",,,
37617075,True,1,K 5,Steinsche Gasse,secondary,50,False,13.795,"LINESTRING (6.7568443 51.4307634, 6.756657 51.4307215)",,,
"[12605212, 914388757, 914388759]",True,2,L 60,Plessingstraße,secondary,50,False,59.94200000000001,"LINESTRING (6.7568443 51.4307634, 6.7567891 51.4308512, 6.7565509 51.4311971, 6.7564967 51.4312565)",,,
391032561,True,1,,Steinsche Gasse,secondary,50,False,12.79,"LINESTRING (6.7607989 51.4324322, 6.7608554 51.4323227)",,,
29100559,True,2,K 5,Steinsche Gasse,secondary,50,False,100.88499999999999,"LINESTRING (6.7607989 51.4324322, 6.7605829 51.4322897, 6.7603813 51.432184, 6.7601225 51.4320782, 6.7598954 51.4320071, 6.7596052 51.4319327)",,,
"[119294841, 151584023]",True,1,,Am Rathausbogen,residential,,False,64.794,"LINESTRING (6.7613184 51.4356801, 6.7613243 51.4352475, 6.761334 51.4352153, 6.7613678 51.4351817, 6.7614196 51.4351585, 6.7614761 51.4351445)",,,
"[119294709, 231890741, 615789313]",True,2,L 78,Schwanenstraße,secondary,50,False,106.22999999999999,"LINESTRING (6.7617863 51.4346219, 6.7613908 51.4347526, 6.7613439 51.4347683, 6.7609961 51.4348951, 6.7608366 51.4349535, 6.7606134 51.4350522, 6.7605533 51.4350799, 6.7604751 51.4351139)",,,
231814588,True,2,L 78,Poststraße,secondary,50,False,64.475,"LINESTRING (6.762417 51.4349762, 6.7624592 51.4348346, 6.7624618 51.434642, 6.76244 51.4345192, 6.7624309 51.4344922, 6.7624142 51.4344613, 6.7623826 51.4344052)",,,
"[9794054, 616127207]",True,1,L 78,Schwanenstraße,secondary,50,False,74.03699999999999,"LINESTRING (6.762417 51.4349762, 6.7623775 51.4347923, 6.7623659 51.4347478, 6.7623393 51.4347071, 6.7623047 51.4346727, 6.7622762 51.4346519, 6.7622656 51.4346444, 6.7622393 51.4346299, 6.7622124 51.434621, 6.7621619 51.4346096, 6.7620928 51.4345992, 6.7620111 51.4345945, 6.7619295 51.4345976, 6.7617863 51.4346219)",,,
9794057,False,4,L 78,Poststraße,secondary,50,True,12.778,"LINESTRING (6.7624087 51.4351301, 6.7625928 51.4351359)",,,
56672307,True,3,L 78,Poststraße,secondary,50,False,17.123,"LINESTRING (6.7624087 51.4351301, 6.762417 51.4349762)",,,
"[235102992, 147019941, 231814582]",False,"['2', '3']",,Am Rathausbogen,residential,50,True,64.71600000000001,"LINESTRING (6.7624087 51.4351301, 6.7622704 51.4351271, 6.7622027 51.4351271, 6.7619168 51.4351411, 6.7616427 51.4351436, 6.7614761 51.4351445)",,,
"[9861642, 231890727]",True,"['2', '1']",L 78,Ruhrorter Straße,secondary,,False,162.43200000000002,"LINESTRING (6.7570509 51.4370047, 6.7569508 51.4370908, 6.7569096 51.4371264, 6.7564928 51.4374685, 6.7564404 51.4375115, 6.7564185 51.4375292, 6.7564007 51.437544, 6.7562752 51.4376331, 6.7557857 51.4380306, 6.7556231 51.4381626)",,,
161892473,True,2,K 2,Schifferstraße,tertiary,50,False,15.208000000000002,"LINESTRING (6.7570509 51.4370047, 6.7569952 51.4369816, 6.7569186 51.4369482, 6.7568698 51.4369275)",,,
237640662,False,2,,Bülowstraße,residential,30,True,9.534,"LINESTRING (6.7539843 51.439492, 6.75395 51.4394726, 6.7539208 51.4394556, 6.7538839 51.4394334)",,,
161192866,True,2,L 60,Plessingstraße,secondary,50,False,13.384,"LINESTRING (6.7569108 51.4306504, 6.7568443 51.4307634)",,,
37617080,True,2,K 5,Steinsche Gasse,secondary,50,False,77.13499999999999,"LINESTRING (6.7569108 51.4306504, 6.7570347 51.4306857, 6.7571421 51.4307303, 6.7572263 51.43077, 6.7573311 51.4308241, 6.7575334 51.430945, 6.7577568 51.4310926)",,,
38320319,True,2,K 5,Steinsche Gasse,secondary,50,False,10.656,"LINESTRING (6.7608554 51.4323227, 6.7609561 51.4323951)",,,
"[9858203, 911467564]",True,1,K 5,Friedrich-Wilhelm-Platz,secondary,50,False,68.402,"LINESTRING (6.7608554 51.4323227, 6.7609005 51.4322679, 6.7609644 51.4321926, 6.7611177 51.4319843, 6.7612417 51.4318126, 6.7612752 51.4317662)",,,
"[47369402, 334278034]",True,"['2', '3']",,Steinsche Gasse,secondary,50,False,101.466,"LINESTRING (6.7611001 51.4325118, 6.7612693 51.4326826, 6.7614778 51.432951, 6.7616628 51.4332088, 6.7616871 51.4332779, 6.7617004 51.4333377)",,,
21796815,True,1,,Universitätsstraße,residential,50,False,7.369,"LINESTRING (6.7617004 51.4333377, 6.7615958 51.4333495)",,,
"[147415929, 391032562, 334278035]",True,"['2', '3']",,Steinsche Gasse,secondary,50,False,119.20299999999999,"LINESTRING (6.7617004 51.4333377, 6.7617159 51.4333921, 6.7618602 51.4336335, 6.7620171 51.4338597, 6.7620804 51.4339203, 6.7621383 51.4339699, 6.7623249 51.4341431, 6.7623727 51.434189, 6.7623772 51.4341935, 6.7624705 51.4342873)",,,
"[234261416, 10107294]",True,"['2', '1']",K 5,Friedrich-Wilhelm-Straße,secondary,50,False,111.912,"LINESTRING (6.7615363 51.4316746, 6.7616238 51.4316642, 6.7617251 51.4316511, 6.7621737 51.4316029, 6.762911 51.4315171, 6.7629655 51.4315098, 6.7631245 51.4314948)",,,
38320320,True,1,K 5,Friedrich-Wilhelm-Platz,secondary,30,False,12.073,"LINESTRING (6.7615363 51.4316746, 6.7616022 51.4316946, 6.761619 51.4317145, 6.761628 51.4317545)",,,
"[387292052, 387292053, 21796815]",True,1,,Universitätsstraße,residential,"['50', '30']",False,111.91999999999999,"LINESTRING (6.7615958 51.4333495, 6.7615321 51.4333658, 6.7614703 51.433381, 6.7611311 51.4334643, 6.7600985 51.433726)",,building_passage,
"[314987512, 231890746, 234261424]",True,"['2', '3']",,Steinsche Gasse,secondary,50,False,116.466,"LINESTRING (6.7615958 51.4333495, 6.7615598 51.4333041, 6.7613452 51.4329905, 6.7611334 51.4327435, 6.7609384 51.4325377, 6.7609056 51.4325127, 6.7607989 51.4324322)",,,
911153882,True,1,,,secondary,50,False,20.059,"LINESTRING (6.7655581 51.4311091, 6.7654674 51.4312804)",no,,
9861741,True,2,L 78,Schwanentor,secondary,,False,9.436,"LINESTRING (6.7568698 51.4369275, 6.7569592 51.4368635)",,,
29088655,True,1,L 60,Schifferstraße,tertiary,50,False,62.638000000000005,"LINESTRING (6.7568698 51.4369275, 6.756725 51.4368649, 6.7565317 51.4367646, 6.7563546 51.4366607, 6.7561964 51.4365543)",,,
41845979,True,3,L 78,Steinsche Gasse,secondary,50,False,2.094,"LINESTRING (6.7624705 51.4342873, 6.7624828 51.4343045)",,,
