osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,maxspeed,bridge,width
"[30668715, 913032942, 926338128, 911295030, 911295031]",False,2,Werderstraße,unclassified,True,195.806,"LINESTRING (7.6303777 47.8081556, 7.6302827 47.8081479, 7.63015 47.808144, 7.6300975 47.8081443, 7.6298507 47.8081531, 7.6297172 47.808162, 7.6295938 47.8081767, 7.6295254 47.8081856, 7.6294469 47.8081959, 7.6292476 47.8082219, 7.6289495 47.8082609, 7.6288906 47.8082686, 7.6282335 47.8083547, 7.6277934 47.8084124)",,,30,,
25819287,False,,Werderstraße,secondary,False,49.462,"LINESTRING (7.6312352 47.8082913, 7.6314869 47.8083166, 7.6318891 47.8083619)",K 4946,,50,,
"[912599205, 25819294]",True,1,Werderstraße,secondary,False,22.72,"LINESTRING (7.6312352 47.8082913, 7.631134 47.8082898, 7.6310625 47.8082911, 7.6309316 47.8082828)",K 4946,,50,,
"[25819297, 912599199]",True,1,Moltkeplatz,tertiary,False,25.4,"LINESTRING (7.6307222 47.808536, 7.6307139 47.8084489, 7.6307144 47.8084057, 7.6307402 47.8083093)",,,,,
273186698,False,2,Moltkeplatz,tertiary,True,40.268,"LINESTRING (7.6307222 47.808536, 7.6306817 47.808704, 7.6306488 47.8087913, 7.6305858 47.808884)",,,,,
"[912599204, 911295017, 912599222, 28572794, 911295004]",False,2,Östliche Allee,secondary,True,90.562,"LINESTRING (7.6309076 47.8079504, 7.6309225 47.807913, 7.6309833 47.8077649, 7.6310052 47.8077198, 7.6310415 47.8076463, 7.6310786 47.8075824, 7.6311546 47.8074913, 7.6311945 47.8074435, 7.6312081 47.8074276, 7.6312633 47.8073652, 7.6313992 47.8072118)",K 4946,,40,,
"[911295018, 25819292]",True,1,Östliche Allee,secondary,False,23.354,"LINESTRING (7.6309076 47.8079504, 7.6309165 47.8079997, 7.6309208 47.8080639, 7.6309321 47.8081597)",K 4946,,40,,
30668700,True,1,Werderstraße,secondary,False,4.172,"LINESTRING (7.6309321 47.8081597, 7.6309426 47.8081701, 7.630951 47.8081813, 7.6309572 47.808193)",K 4946,roundabout,,,
"[110328573, 25819295]",True,1,Moltkeplatz,tertiary,False,26.266,"LINESTRING (7.6308557 47.8083177, 7.6308002 47.8084159, 7.6307857 47.8084448, 7.6307222 47.808536)",,,,,
227963501,True,1,Werderstraße,secondary,False,8.902000000000001,"LINESTRING (7.6308557 47.8083177, 7.6308363 47.8083206, 7.6308166 47.8083219, 7.6307966 47.8083213, 7.6307771 47.808319, 7.6307581 47.808315, 7.6307402 47.8083093)",K 4946,roundabout,50,,
183223670,True,1,Werderstraße,secondary,False,10.943,"LINESTRING (7.6307402 47.8083093, 7.6307198 47.8083002, 7.630702 47.8082891, 7.630687 47.8082761, 7.6306754 47.8082616, 7.6306674 47.8082462, 7.6306633 47.80823)",K 4946,roundabout,50,,
"[25819298, 912599198]",True,1,Werderstraße,unclassified,False,23.073,"LINESTRING (7.6306633 47.80823, 7.6305371 47.8082114, 7.6303777 47.8081556)",,,30,,
146385984,True,1,Werderstraße,secondary,False,9.35,"LINESTRING (7.6306633 47.80823, 7.6306629 47.808216, 7.6306653 47.808202, 7.6306707 47.8081885, 7.6306787 47.8081755, 7.6306894 47.8081635, 7.6307024 47.8081526)",K 4946,roundabout,50,,
145294944,True,1,Schwarzwaldstraße,secondary,False,8.452,"LINESTRING (7.6278969 47.8117944, 7.6278695 47.8117897, 7.6278434 47.8117824, 7.6278192 47.8117725, 7.6277975 47.8117603)",L 131,roundabout,,,
27540788,False,,Blankenhornstraße,residential,True,191.672,"LINESTRING (7.6277934 47.8084124, 7.6279318 47.8088408, 7.628121 47.8094248, 7.6282894 47.8100499, 7.6283027 47.8101016)",,,,,
"[30668715, 913032942, 926338128, 911295030, 911295031]",False,2,Werderstraße,unclassified,False,195.80599999999998,"LINESTRING (7.6277934 47.8084124, 7.6282335 47.8083547, 7.6288906 47.8082686, 7.6289495 47.8082609, 7.6292476 47.8082219, 7.6294469 47.8081959, 7.6295254 47.8081856, 7.6295938 47.8081767, 7.6297172 47.808162, 7.6298507 47.8081531, 7.6300975 47.8081443, 7.63015 47.808144, 7.6302827 47.8081479, 7.6303777 47.8081556)",,,30,,
30668715,False,2,Werderstraße,unclassified,True,113.624,"LINESTRING (7.6277934 47.8084124, 7.6272067 47.8084892, 7.6266382 47.808564, 7.6263002 47.8086085)",,,30,,
487167861,False,2,Werderstraße,unclassified,False,25.977,"LINESTRING (7.6231167 47.8090423, 7.6233243 47.8090112, 7.6234562 47.8089914)",,,30,,
"[911295021, 911295022, 911295023, 911295024, 911295025, 27417977]",False,2,Werderstraße,unclassified,True,147.574,"LINESTRING (7.6231167 47.8090423, 7.6227428 47.809093, 7.6223746 47.8091427, 7.6222155 47.8091643, 7.6220259 47.8091899, 7.6218366 47.8092101, 7.6217401 47.8092212, 7.6214863 47.8092461, 7.6214012 47.8092479, 7.6212799 47.8092416, 7.6211736 47.8092213)",,,30,,
933090423,False,,Hügelheimer Straße,residential,False,41.735,"LINESTRING (7.6231167 47.8090423, 7.6231386 47.8091691, 7.6231201 47.8092802, 7.6230436 47.809406)",,,,,
30666575,False,2,Hügelheimer Straße,residential,True,28.184,"LINESTRING (7.6209497 47.8134151, 7.6210779 47.8131767)",,,,,
30668720,True,1,Hügelheimer Straße,residential,False,30.512,"LINESTRING (7.6209497 47.8134151, 7.6209627 47.8134596, 7.6209563 47.8135094, 7.620952 47.8135433, 7.6209059 47.813685)",,,,,
876290985,False,3,Schwarzwaldstraße,secondary,False,11.635,"LINESTRING (7.6209059 47.813685, 7.6207569 47.8137156)",L 131,,,,
"[876290982, 876290983, 145294983, 876290986, 319887664]",False,"['4', '2', '3']",Schwarzwaldstraße,secondary,False,322.736,"LINESTRING (7.6209059 47.813685, 7.6210898 47.8136437, 7.6211573 47.8136291, 7.6216864 47.8135237, 7.6218656 47.813488, 7.6225398 47.8133396, 7.6231553 47.813174, 7.6233966 47.8131025, 7.6246806 47.8126839, 7.6249094 47.8126087)",L 131,,,,
444067228,True,1,Kinzigstraße,residential,False,50.68599999999999,"LINESTRING (7.6209059 47.813685, 7.6208713 47.8138408, 7.6208649 47.8139775, 7.620825 47.8141368)",,,,,
28617089,False,,Schillerstraße,residential,True,174.986,"LINESTRING (7.6249094 47.8126087, 7.6249424 47.8126626, 7.6250664 47.8128374, 7.6251248 47.8129093, 7.6253003 47.8131182, 7.6255637 47.8134682, 7.6258106 47.8137502, 7.6260354 47.8139869)",,,30,,
"[876290982, 145294983, 876290983, 876290986, 319887664]",False,"['4', '2', '3']",Schwarzwaldstraße,secondary,True,322.73600000000005,"LINESTRING (7.6249094 47.8126087, 7.6246806 47.8126839, 7.6233966 47.8131025, 7.6231553 47.813174, 7.6225398 47.8133396, 7.6218656 47.813488, 7.6216864 47.8135237, 7.6211573 47.8136291, 7.6210898 47.8136437, 7.6209059 47.813685)",L 131,,,,
934123100,False,,Schillerstraße,residential,False,199.91500000000002,"LINESTRING (7.6249094 47.8126087, 7.624868 47.8125379, 7.6244108 47.8115405, 7.6241322 47.8108886)",,,30,,
934123101,False,2,Schwarzwaldstraße,secondary,False,202.303,"LINESTRING (7.6249094 47.8126087, 7.6254693 47.8124176, 7.6273479 47.8118163)",L 131,,,,
933090424,False,,Schillerplatz,residential,True,28.232,"LINESTRING (7.6235969 47.8093646, 7.6234934 47.8091204)",,,30,,
933090425,False,,Schillerstraße,residential,True,59.469,"LINESTRING (7.6235969 47.8093646, 7.6237799 47.8098851)",,,30,,
273191070,False,,Schillerplatz,residential,False,43.123,"LINESTRING (7.6235969 47.8093646, 7.623298 47.8094163, 7.6231747 47.8094364, 7.6231058 47.8094311, 7.6230436 47.809406)",,,30,,
933090425,False,,Schillerstraße,residential,False,59.469,"LINESTRING (7.6237799 47.8098851, 7.6235969 47.8093646)",,,30,,
27348464,False,,Lessingstraße,residential,False,112.739,"LINESTRING (7.6237799 47.8098851, 7.6245443 47.8097526, 7.6250672 47.8096676, 7.6252443 47.8096388)",,,30,,
