osmid,lanes,ref,highway,maxspeed,width,oneway,reversed,length,geometry,name,junction,access
52878200,2,B 10,primary,100,7.3,False,False,104.44800000000001,"LINESTRING (9.0822801 48.8786666, 9.0816178 48.878952, 9.0810611 48.8791549)",,,
24461480,,,primary_link,,,True,False,46.650999999999996,"LINESTRING (9.0799814 48.8786867, 9.0798797 48.87878, 9.079759 48.8788532, 9.0796354 48.8789144, 9.0795108 48.8789625)",,,
959687581,2,,primary_link,,7,False,False,96.332,"LINESTRING (9.0799814 48.8786867, 9.08016 48.8785974, 9.0803719 48.8785065, 9.0805073 48.8784616, 9.0806307 48.8784316, 9.080746 48.8784183, 9.0808412 48.8784201, 9.0809311 48.8784316, 9.0809914 48.8784492, 9.0810625 48.8784748, 9.0811414 48.8785212)",,,
959687581,2,,primary_link,,7,False,True,96.332,"LINESTRING (9.0811414 48.8785212, 9.0810625 48.8784748, 9.0809914 48.8784492, 9.0809311 48.8784316, 9.0808412 48.8784201, 9.080746 48.8784183, 9.0806307 48.8784316, 9.0805073 48.8784616, 9.0803719 48.8785065, 9.08016 48.8785974, 9.0799814 48.8786867)",,,
959687584,1,,primary_link,,5.2,True,False,94.564,"LINESTRING (9.0811414 48.8785212, 9.0813104 48.8786236, 9.0813965 48.8786856, 9.0814802 48.8787242, 9.0815858 48.8787508, 9.0816835 48.8787641, 9.0817775 48.8787658, 9.0818792 48.8787564, 9.0819629 48.8787412, 9.082053 48.8787169, 9.0822801 48.8786666)",,,
108122153,2,L 1140,secondary,50,,False,False,11.521,"LINESTRING (9.0794523 48.8788663, 9.0795108 48.8789625)",Ludwigsburger Straße,,
8157622,1,,primary_link,,,True,False,27.676000000000002,"LINESTRING (9.0794523 48.8788663, 9.0796301 48.8788024, 9.0797806 48.8787426)",,,
9077884,2,,tertiary,50,,False,True,38.370999999999995,"LINESTRING (9.0794523 48.8788663, 9.07936 48.8787141, 9.0792789 48.8785409)",Ludwigsburger Straße,,
52878200,2,B 10,primary,100,7.3,False,True,104.44800000000001,"LINESTRING (9.0810611 48.8791549, 9.0816178 48.878952, 9.0822801 48.8786666)",,,
959687582,1,,primary_link,,5.2,True,False,77.828,"LINESTRING (9.0810611 48.8791549, 9.0811936 48.8790292, 9.0812827 48.8789139, 9.0812999 48.8788505, 9.0813033 48.8787766, 9.0812851 48.8787094, 9.0812459 48.8786435, 9.0811414 48.8785212)",,,
6009388,2,,tertiary,30,,False,True,97.119,"LINESTRING (9.0744158 48.8765555, 9.0747203 48.8765536, 9.0748764 48.8765519, 9.0751188 48.876539, 9.0752611 48.8765315, 9.0755496 48.8765, 9.0756253 48.8764895, 9.0757345 48.8764743)",Stuttgarter Straße,,
"[7837369, 8166667, 355302757]",,,residential,30,,False,"[False, True]",138.959,"LINESTRING (9.0744158 48.8765555, 9.0744219 48.8765962, 9.074427 48.8767511, 9.0744526 48.8769723, 9.0744664 48.8770019, 9.0745555 48.8771932, 9.0747175 48.8774835, 9.0748331 48.877643, 9.0749073 48.8777472)",Schulberg,,
124950684,2,,tertiary,50,,False,True,134.815,"LINESTRING (9.0744158 48.8765555, 9.0742532 48.8765506, 9.0739967 48.8765446, 9.0735949 48.8765245, 9.0733818 48.8765075, 9.0732587 48.8765018, 9.072991 48.8765078, 9.0727675 48.8765234, 9.0725793 48.8765423)",Vaihinger Straße,,
396376763,,,residential,30,,False,True,50.594,"LINESTRING (9.0744158 48.8765555, 9.0744147 48.8765045, 9.0744129 48.8764179, 9.0744144 48.8762596, 9.0744004 48.8761624, 9.0743817 48.8761022)",Bahnhofstraße,,
671540938,1,,residential,30,,True,False,12.916,"LINESTRING (9.0830344 48.8739168, 9.0829763 48.8738759, 9.0829137 48.873832)",Hermann-Essig-Straße,,
858289136,1,,tertiary,50,,True,False,6.041,"LINESTRING (9.0830344 48.8739168, 9.0830559 48.8738936, 9.0830857 48.8738748)",Stuttgarter Straße,roundabout,
6008768,,,tertiary,50,,False,True,222.546,"LINESTRING (9.0817888 48.8747655, 9.081576 48.874841, 9.0813029 48.8749284, 9.0810052 48.8750128, 9.0806267 48.8751151, 9.0802541 48.8752073, 9.0802311 48.875216, 9.0801759 48.8752306, 9.0800338 48.8752695, 9.0796106 48.8753897, 9.0793215 48.8754734, 9.0792113 48.8755053, 9.0790009 48.8755645)",Stuttgarter Straße,,
8012691,,,residential,30,,False,False,26.184,"LINESTRING (9.0817888 48.8747655, 9.0817562 48.874715, 9.0817294 48.8746776, 9.081665 48.8746312, 9.0815706 48.8745866)",Posener Straße,,
8012729,,,residential,30,,False,False,130.41199999999998,"LINESTRING (9.0817888 48.8747655, 9.0818069 48.8747969, 9.0818217 48.8748181, 9.0819315 48.8748342, 9.0820538 48.874824, 9.0827511 48.8746954, 9.0829509 48.8746715, 9.0831167 48.8746522, 9.0833965 48.874628, 9.0834789 48.8746212)",Vöhinger Weg,,
"[439155464, 671540937]","['2', '3']",,tertiary,50,,False,False,105.88499999999999,"LINESTRING (9.0817888 48.8747655, 9.0821277 48.8746066, 9.0824785 48.8744212, 9.0827861 48.8742388, 9.0829097 48.8741645)",Stuttgarter Straße,,
6008787,2,,residential,30,,False,False,38.581,"LINESTRING (9.0819344 48.8724667, 9.0814135 48.8725215)",Breslauer Straße,,
8163884,2,,residential,30,,False,False,117.06400000000001,"LINESTRING (9.0819344 48.8724667, 9.0824989 48.8723715, 9.0827345 48.8723341, 9.0832328 48.8722257, 9.0834666 48.8721663)",Breslauer Straße,,yes
"[32598277, 8167782]",,,"['residential', 'living_street']",30,,False,"[False, True]",263.7830000000001,"LINESTRING (9.0819344 48.8724667, 9.0819822 48.8720355, 9.0819788 48.8720159, 9.0819978 48.8718865, 9.0820369 48.8718383, 9.0821843 48.8717289, 9.0825152 48.8714968, 9.082909 48.8714971, 9.0829464 48.8714991, 9.0833655 48.871504, 9.083437 48.8715127, 9.0834858 48.8715584, 9.0834878 48.8716017, 9.0834666 48.8721663)","['Glogauer Weg', 'Breslauer Straße']",,
8012677,,,residential,30,4,False,True,110.903,"LINESTRING (9.0784164 48.8717987, 9.0770372 48.8722132)",Im Wolfsgalgen,,
6008787,2,,residential,30,,False,False,61.579,"LINESTRING (9.0784164 48.8717987, 9.0782415 48.8714516, 9.0782109 48.8713756, 9.0782088 48.8712661)",Breslauer Straße,,
6008787,2,,residential,30,,False,True,222.78199999999998,"LINESTRING (9.0784164 48.8717987, 9.0786525 48.8721811, 9.078845 48.8723295, 9.0790461 48.8724188, 9.0790813 48.8724336, 9.0791265 48.872449, 9.0793695 48.8725339, 9.0794628 48.872556, 9.0796492 48.8725712, 9.0798213 48.8725723, 9.0799088 48.8725732, 9.0803458 48.8725686, 9.0808732 48.8725539)",Breslauer Straße,,
"[8167778, 33487543]",,,"['residential', 'living_street']",30,,False,True,343.41600000000005,"LINESTRING (9.0784164 48.8717987, 9.0788309 48.8716799, 9.0793027 48.8713392, 9.0797448 48.8710045, 9.0800438 48.8708161, 9.0802684 48.8708127, 9.0806122 48.8710194, 9.0808523 48.8711517, 9.0810138 48.8712475, 9.0817821 48.871156, 9.0818309 48.8711527, 9.081906 48.8711479, 9.0822313 48.8711201)",Liegnitzer Straße,,
"[1147477091, 124950662]",,,residential,30,,False,False,216.14200000000002,"LINESTRING (9.0729802 48.8744872, 9.0731264 48.8746405, 9.0731796 48.8746932, 9.0732935 48.8748188, 9.0733839 48.8749397, 9.0734505 48.875034, 9.073533 48.8752002, 9.0736012 48.8753546, 9.0736958 48.8755745, 9.0737506 48.8757035, 9.0738517 48.8758836, 9.0738962 48.8759395, 9.0739828 48.8759805, 9.0740575 48.8760004, 9.0741497 48.8760232, 9.0742662 48.8760494, 9.0743817 48.8761022)",Bahnhofstraße,,
"[124815936, 1147477091]",,,residential,30,,False,True,211.00000000000003,"LINESTRING (9.0729802 48.8744872, 9.0727973 48.8743399, 9.0725133 48.8741414, 9.0724741 48.8741149, 9.0722568 48.8739714, 9.0720852 48.8738574, 9.0719248 48.8737316, 9.0718218 48.87363, 9.0716587 48.8734719, 9.0716244 48.873438, 9.0715589 48.8733566, 9.0714557 48.873204, 9.0713689 48.873035, 9.0713453 48.8729572)",Bahnhofstraße,,
"[1147477092, 8013469]",,,residential,,,False,False,122.848,"LINESTRING (9.0729802 48.8744872, 9.0730602 48.8744748, 9.0732171 48.8745136, 9.0733549 48.8745538, 9.0735873 48.874587, 9.0737812 48.8746187, 9.073873 48.8746292, 9.0739998 48.8746436, 9.0741761 48.8746647, 9.074284 48.8746743, 9.0746038 48.8747321)",Hohlgraben,,
"[124815936, 1147477091]",,,residential,30,,False,False,210.99999999999997,"LINESTRING (9.0713453 48.8729572, 9.0713689 48.873035, 9.0714557 48.873204, 9.0715589 48.8733566, 9.0716244 48.873438, 9.0716587 48.8734719, 9.0718218 48.87363, 9.0719248 48.8737316, 9.0720852 48.8738574, 9.0722568 48.8739714, 9.0724741 48.8741149, 9.0725133 48.8741414, 9.0727973 48.8743399, 9.0729802 48.8744872)",Bahnhofstraße,,
124815936,,,residential,30,,False,True,40.808,"LINESTRING (9.0713453 48.8729572, 9.0713309 48.8728436, 9.0713157 48.8725908)",Bahnhofstraße,,
671543087,,,residential,30,,False,False,72.694,"LINESTRING (9.0713453 48.8729572, 9.0714666 48.8729382, 9.071548 48.8729411, 9.0716105 48.8729565, 9.0716623 48.8729951, 9.072007 48.8733519)",Hermann-Essig-Straße,,
8012677,,,residential,30,4,False,False,422.71900000000005,"LINESTRING (9.072007 48.8733519, 9.0720999 48.8733087, 9.0721455 48.873269, 9.072171 48.8732135, 9.0721911 48.8730406, 9.0722112 48.8729409, 9.0722422 48.8729137, 9.0722796 48.8729047, 9.0723286 48.8729001, 9.0728358 48.8729719, 9.0733537 48.8730134, 9.0735663 48.8730111, 9.0736154 48.8730106, 9.0740175 48.872948, 9.0750201 48.8727722, 9.0755663 48.8726414, 9.0758269 48.8725518, 9.07648 48.8723504, 9.0770372 48.8722132)",Im Wolfsgalgen,,
671543087,,,residential,30,,False,False,54.701,"LINESTRING (9.072007 48.8733519, 9.0722997 48.8736571, 9.0723727 48.8737191, 9.0724382 48.8737494)",Hermann-Essig-Straße,,
671543087,,,residential,30,,False,True,72.694,"LINESTRING (9.072007 48.8733519, 9.0716623 48.8729951, 9.0716105 48.8729565, 9.071548 48.8729411, 9.0714666 48.8729382, 9.0713453 48.8729572)",Hermann-Essig-Straße,,
34113090,,,residential,,,False,True,125.732,"LINESTRING (9.0724382 48.8737494, 9.0724915 48.873823, 9.0725854 48.8738927, 9.0726882 48.8739509, 9.0728592 48.8740392, 9.0729676 48.8740682, 9.0732399 48.8741254, 9.0735393 48.8741768, 9.0736239 48.8741233, 9.073646 48.8739457)",Hermann-Essig-Straße,,
671543087,,,residential,30,,False,False,91.408,"LINESTRING (9.0724382 48.8737494, 9.0725867 48.8737895, 9.0730105 48.8738794, 9.0732533 48.8739136, 9.073646 48.8739457)",Hermann-Essig-Straße,,
671543087,,,residential,30,,False,True,54.70100000000001,"LINESTRING (9.0724382 48.8737494, 9.0723727 48.8737191, 9.0722997 48.8736571, 9.072007 48.8733519)",Hermann-Essig-Straße,,
8010850,,,residential,30,,False,False,13.575,"LINESTRING (9.0753746 48.8740245, 9.0755184 48.8739473)",Bettelackerweg,,
8010850,,,residential,30,,False,True,51.077,"LINESTRING (9.0753746 48.8740245, 9.0751603 48.8741299, 9.0748161 48.8743003)",Bettelackerweg,,
671543087,,,residential,30,,False,True,126.838,"LINESTRING (9.0753746 48.8740245, 9.0752234 48.8740082, 9.0748519 48.874002, 9.074534 48.8739967, 9.0742091 48.8739819, 9.073646 48.8739457)",Hermann-Essig-Straße,,
7837119,,,residential,30,,False,False,54.405,"LINESTRING (9.0750281 48.8782259, 9.0749416 48.8780652, 9.0749073 48.8777472)",Eugen-Herrmann-Straße,,
