osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,lanes,access,width,junction
13769592,Söltlstraße,residential,False,False,36.703,,,"LINESTRING (12.3863752 49.3462396, 12.3867227 49.3459994)",,,,,
6280709,Konrad-Adenauer-Straße,secondary,False,False,41.782,St 2040,50,"LINESTRING (12.3863752 49.3462396, 12.3866465 49.3462404, 12.3869418 49.3462913)",,,,,
6280709,Konrad-Adenauer-Straße,secondary,False,True,218.063,St 2040,50,"LINESTRING (12.3863752 49.3462396, 12.3861559 49.3462742, 12.385949 49.346343, 12.3857616 49.3464428, 12.3856113 49.3465447, 12.3849324 49.3471058, 12.3844826 49.3475088, 12.3843243 49.3476191)",,,,,
6280709,Konrad-Adenauer-Straße,secondary,False,False,218.06300000000002,St 2040,50,"LINESTRING (12.3843243 49.3476191, 12.3844826 49.3475088, 12.3849324 49.3471058, 12.3856113 49.3465447, 12.3857616 49.3464428, 12.385949 49.346343, 12.3861559 49.3462742, 12.3863752 49.3462396)",,,,,
"[6280709, 27369622, 27369621]",Konrad-Adenauer-Straße,secondary,False,True,203.791,St 2040,50,"LINESTRING (12.3843243 49.3476191, 12.384163 49.3477171, 12.3839685 49.3478454, 12.3835791 49.3479969, 12.383377 49.3480642, 12.3832999 49.3480921, 12.383222 49.348119, 12.3829334 49.3482717, 12.3827003 49.348395, 12.3825382 49.3485053, 12.3823569 49.3486126, 12.3821431 49.3487147, 12.3821059 49.3487281)",yes,,,,
11121913,Buchbindergasse,residential,False,False,39.123000000000005,,20,"LINESTRING (12.3843243 49.3476191, 12.3844773 49.3477107, 12.3846428 49.3478984)",,,,,
11276117,Bahnhofstraße,residential,False,False,121.17299999999999,,,"LINESTRING (12.3799055 49.3477297, 12.3799235 49.3476455, 12.37984 49.3475347, 12.379605 49.3472319, 12.3792326 49.3468081, 12.3791784 49.3467677)",,,,,
25304947,Amberger Straße,unclassified,False,False,227.66199999999998,St 2398,50,"LINESTRING (12.3799055 49.3477297, 12.3796599 49.3476241, 12.3795609 49.3475773, 12.378795 49.3472652, 12.3787537 49.347247, 12.3786462 49.3472011, 12.3781411 49.3469853, 12.3780678 49.346953, 12.3776768 49.346787, 12.3772507 49.3466359)",,,,,
25337192,Austraße,tertiary,False,True,251.989,SAD 37,50,"LINESTRING (12.3799055 49.3477297, 12.3798135 49.3478168, 12.3797235 49.3478487, 12.3796267 49.3478708, 12.3782355 49.3480937, 12.3777834 49.3481239, 12.3776528 49.3481326, 12.3768863 49.3481725, 12.3766184 49.348179, 12.3765626 49.3481804)",,,,,
25709195,Vorstadt,secondary,False,True,77.605,St 2398,50,"LINESTRING (12.3799055 49.3477297, 12.3800884 49.3478085, 12.3807781 49.3481344)",,2,,,
6280709,Konrad-Adenauer-Straße,secondary,False,True,12.862,St 2040,50,"LINESTRING (12.3883213 49.3470606, 12.3881944 49.3469797)",,,,,
15221372,Scherrstraße,residential,False,False,199.62,,30,"LINESTRING (12.3827572 49.3514661, 12.3834314 49.3516774, 12.3834514 49.3516972, 12.3834777 49.3517231, 12.383556 49.3518005, 12.383694 49.3520493, 12.3840343 49.3529173)",,,,,
"[25414690, 25542185, 228497776, 25542065, 27369617, 27369618, 65598072]","['Scherrstraße', 'Jobplatz']",secondary,False,False,302.0229999999999,St 2040,50,"LINESTRING (12.3827572 49.3514661, 12.3828795 49.3512108, 12.3829261 49.3510321, 12.3829344 49.3508697, 12.3829098 49.3506969, 12.3828198 49.3504468, 12.3827947 49.3504034, 12.382683 49.3502318, 12.3824978 49.349954, 12.3823915 49.3498165, 12.3823189 49.3497208, 12.3822308 49.3496044, 12.3821982 49.3495614, 12.3820494 49.3493318, 12.3820204 49.3492548, 12.3819774 49.349133, 12.381974 49.3490043, 12.3819655 49.3489559, 12.3819682 49.3489224, 12.381964 49.3488865)",yes,,,,
228497777,,secondary,False,True,57.287,St 2040,50,"LINESTRING (12.3827572 49.3514661, 12.3825182 49.351718, 12.3822937 49.3518811)",,,,,
15221372,Scherrstraße,residential,False,True,14.539,,30,"LINESTRING (12.3840788 49.3530448, 12.3840343 49.3529173)",,,,,
11276112,Krankenhausstraße,residential,False,True,106.892,,,"LINESTRING (12.3791784 49.3467677, 12.3797626 49.3465292, 12.3804287 49.3462572)",,,,,
11276117,Bahnhofstraße,residential,False,True,121.173,,,"LINESTRING (12.3791784 49.3467677, 12.3792326 49.3468081, 12.379605 49.3472319, 12.37984 49.3475347, 12.3799235 49.3476455, 12.3799055 49.3477297)",,,,,
40088795,Bahnhofstraße,residential,False,False,125.137,,,"LINESTRING (12.3791784 49.3467677, 12.3783715 49.3462738, 12.377901 49.3460105)",,,,,
11276112,Krankenhausstraße,residential,False,False,106.892,,,"LINESTRING (12.3804287 49.3462572, 12.3797626 49.3465292, 12.3791784 49.3467677)",,,,,
"[11276112, 25633577]","['Ringseisstraße', 'Krankenhausstraße']",residential,False,True,214.748,,,"LINESTRING (12.3804287 49.3462572, 12.3816806 49.3457679, 12.3817547 49.3456769, 12.3817262 49.3456071, 12.3814473 49.3453515, 12.3811284 49.3451103, 12.3809716 49.3449707)",,,,,
11276114,Kolpingstraße,residential,False,False,102.63099999999999,,,"LINESTRING (12.3804287 49.3462572, 12.3796493 49.3457512, 12.3795157 49.3456636, 12.3793914 49.3456471)",,,,,
11276114,Kolpingstraße,residential,False,True,225.024,,,"LINESTRING (12.3804287 49.3462572, 12.3811721 49.3467065, 12.3813539 49.346791, 12.3816961 49.3469501, 12.3818894 49.3470391, 12.3820261 49.347102, 12.3822353 49.3472003, 12.3826182 49.3473802, 12.3828476 49.3475203)",,,,,
25304950,Bahnhofstraße,residential,False,False,28.942,,,"LINESTRING (12.3764639 49.345467, 12.3763594 49.3454239, 12.376122 49.3453324)",,,,,
40088795,Bahnhofstraße,residential,False,True,121.881,,,"LINESTRING (12.3764639 49.345467, 12.3767728 49.3455786, 12.3770156 49.3456645, 12.377256 49.3456928, 12.3776243 49.3458782, 12.377901 49.3460105)",,,,,
78204655,Bahnhofstraße,residential,False,False,98.515,,,"LINESTRING (12.3764639 49.345467, 12.3761262 49.345755, 12.3760064 49.3462727)",,,,,
25304947,Amberger Straße,unclassified,False,True,98.85,St 2398,50,"LINESTRING (12.3760064 49.3462727, 12.3764023 49.3463705, 12.3772507 49.3466359)",,,,,
78204655,Bahnhofstraße,residential,False,True,98.515,,,"LINESTRING (12.3760064 49.3462727, 12.3761262 49.345755, 12.3764639 49.345467)",,,,,
13769587,Rahm,residential,False,False,28.79,,20,"LINESTRING (12.3846428 49.3478984, 12.3842764 49.3479987)",,,,,
11121913,Buchbindergasse,residential,False,False,38.366,,20,"LINESTRING (12.3846428 49.3478984, 12.3848327 49.3479489, 12.3851465 49.3480028)",,,,,
11121913,Buchbindergasse,residential,False,True,39.123000000000005,,20,"LINESTRING (12.3846428 49.3478984, 12.3844773 49.3477107, 12.3843243 49.3476191)",,,,,
24210092,Schrannenplatz,residential,False,False,31.098,,20,"LINESTRING (12.3859175 49.3487612, 12.3858734 49.3486385, 12.3858196 49.3484889)",,,,,
"[28108065, 443820082, 78080926, 28108062]",Hauptstraße,residential,True,False,184.406,,20,"LINESTRING (12.3859175 49.3487612, 12.3857608 49.3488017, 12.3857469 49.3488054, 12.3855992 49.3488488, 12.3854408 49.3488888, 12.3851254 49.3489679, 12.3848537 49.3490344, 12.3837041 49.3493161, 12.383538 49.3493493)",,,,,
28108059,Schrannenplatz,residential,False,True,39.364,,20,"LINESTRING (12.3856211 49.3480768, 12.3857856 49.3484142)",,,,,
232555808,Buchbindergasse,residential,False,False,82.802,,20,"LINESTRING (12.3856211 49.3480768, 12.3857833 49.3480832, 12.3859164 49.3480749, 12.3864046 49.3480842, 12.3867599 49.348115)",,,,,
"[232555808, 11121913]",Buchbindergasse,residential,False,True,35.388999999999996,,20,"LINESTRING (12.3856211 49.3480768, 12.3854671 49.3480597, 12.3854223 49.348051, 12.3853827 49.3480434, 12.3851465 49.3480028)",,,,,
27369620,Hauptstraße,residential,False,True,52.462,,20,"LINESTRING (12.383538 49.3493493, 12.3833336 49.3493712, 12.3831216 49.3493135, 12.3830277 49.349257, 12.3829274 49.3491762)",,,,,
