osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes,ref,maxspeed,width
"[33181937, 35211354, 35211355]",Bahnhofstraße,residential,False,True,119.35199999999998,yes,"LINESTRING (9.2929244 48.9995518, 9.2930699 48.9994935, 9.2934958 48.9991435, 9.29368 48.9990062, 9.2937719 48.9989416, 9.2939673 48.9987359)",,,,
"[28980677, 126121707, 301669332, 301669333, 301611573, 301669334, 301663644, 1000342877, 1000342878]",Kleinbottwarer Straße,secondary,False,False,678.2379999999999,,"LINESTRING (9.2929244 48.9995518, 9.29315 48.999659, 9.2934437 48.9997844, 9.2937694 48.9998969, 9.2939481 48.9999466, 9.294308 49.0000444, 9.2949178 49.0001984, 9.2951106 49.0002545, 9.2954304 49.0003404, 9.2957989 49.0004691, 9.2961555 49.0006106, 9.2965452 49.000829, 9.2967923 49.0009958, 9.2970352 49.0011768, 9.2972784 49.0014213, 9.2973242 49.0014808, 9.2981388 49.0025406, 9.2983706 49.0028434, 9.2984253 49.0029131, 9.2984846 49.0029887, 9.2987163 49.0032774, 9.2988651 49.0034745, 9.2988806 49.0034968, 9.2989007 49.0035251, 9.2990161 49.0036864, 9.2990743 49.0037607)","['2', '3']",L 1100,50,
301663643,Kleinbottwarer Straße,secondary,False,True,21.668,,"LINESTRING (9.2929244 48.9995518, 9.2927954 48.9994935, 9.2926785 48.9994425)",3,L 1100,50,
"[984732130, 982268868]",Bachstraße,tertiary,False,False,22.895,,"LINESTRING (9.2929244 48.9995518, 9.2927819 48.9996039, 9.2926474 48.9996485)",2,K 1703,30,
"[1237204594, 547476742]",Winzerhäuser Straße,tertiary,False,True,213.37300000000002,,"LINESTRING (9.287073 49.0026122, 9.2873009 49.0025037, 9.2875402 49.0024087, 9.2877053 49.0023539, 9.2877604 49.0023422, 9.2884632 49.0021925, 9.2887285 49.0021427, 9.2890607 49.0021074, 9.2893703 49.0020908, 9.2895424 49.0020744, 9.2898211 49.0020358)",,K 1703,"['50', '30']",
"[117702155, 1044559121, 10851345, 1044559123, 265410261, 117702170]",In den Frauengärten,tertiary,False,False,244.238,yes,"LINESTRING (9.287073 49.0026122, 9.2873046 49.0028231, 9.2877835 49.0032498, 9.2879 49.0033425, 9.287973 49.0033969, 9.2880485 49.0034461, 9.2881468 49.003509, 9.2882904 49.0035851, 9.2883621 49.0036182, 9.288583 49.0037177, 9.2889006 49.003842, 9.2889442 49.0038553, 9.2891868 49.0039274, 9.2893446 49.0039645, 9.2895504 49.0040049)",2,,50,
35271770,Heilbronner Straße,residential,False,False,179.83499999999998,,"LINESTRING (9.2895504 49.0040049, 9.2896167 49.0040764, 9.2896208 49.0041578, 9.2895627 49.0042371, 9.2890767 49.0045143, 9.2889614 49.0045923, 9.288773 49.0047543, 9.2884384 49.0050767, 9.2882927 49.0052585, 9.2882687 49.0052885)",,,30,6.3
"[29189817, 35477459, 27501079]","['Oberstenfelder Straße', 'Heilbronner Straße']",tertiary,False,"[False, True]",271.53700000000003,,"LINESTRING (9.2895504 49.0040049, 9.289711 49.0040105, 9.2898632 49.0039974, 9.2900903 49.003938, 9.2901682 49.0039003, 9.2903345 49.0038261, 9.2905373 49.0037341, 9.2907461 49.0036576, 9.2908135 49.0036367, 9.2910405 49.0035565, 9.2913192 49.003458, 9.2914567 49.0033947, 9.2916222 49.0032879, 9.2918327 49.0031092, 9.2921682 49.0027907, 9.2923831 49.0026368, 9.2924557 49.0026174)",2,,"['50', '30']",
"[117702155, 10851345, 1044559121, 1044559123, 265410261, 117702170]",In den Frauengärten,tertiary,False,True,244.23799999999997,yes,"LINESTRING (9.2895504 49.0040049, 9.2893446 49.0039645, 9.2891868 49.0039274, 9.2889442 49.0038553, 9.2889006 49.003842, 9.288583 49.0037177, 9.2883621 49.0036182, 9.2882904 49.0035851, 9.2881468 49.003509, 9.2880485 49.0034461, 9.287973 49.0033969, 9.2879 49.0033425, 9.2877835 49.0032498, 9.2873046 49.0028231, 9.287073 49.0026122)",2,,50,
28977664,Oberstenfelder Straße,residential,False,False,55.224999999999994,,"LINESTRING (9.2924557 49.0026174, 9.2924337 49.0025647, 9.2923123 49.002486, 9.2918781 49.0023193)",,,30,
