osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,tunnel,access,width
139925740,Eisenbahnstraße,residential,30,False,True,28.057000000000002,"LINESTRING (9.6093697 47.7834118, 9.60954 47.7833776, 9.6095771 47.7833715, 9.6097321 47.783346)",,,,,
240654370,Eisenbahnstraße,residential,30,False,False,42.147,"LINESTRING (9.6093697 47.7834118, 9.6092463 47.7834468, 9.6092061 47.7834582, 9.60885 47.7835592)",,,,,
292979154,Karlstraße,secondary,50,True,False,100.89999999999998,"LINESTRING (9.6093697 47.7834118, 9.6094152 47.7835077, 9.6095213 47.7837315, 9.6097558 47.7841524, 9.6097714 47.7841803, 9.6098196 47.7842671)",2,K 7975,,,
24500104,Schussenstraße,primary,50,True,False,86.08500000000001,"LINESTRING (9.6107483 47.7853599, 9.6110691 47.7852953, 9.6117622 47.7851381, 9.6118435 47.7851197)",2,B 32,,,
"[5197890, 1225087933]",Schussenstraße,primary,50,True,False,19.534,"LINESTRING (9.6149742 47.7839768, 9.6150207 47.7838543, 9.615039 47.7838066)",2,B 32,,,
275524606,Gartenstraße,secondary_link,50,True,False,12.696,"LINESTRING (9.6149742 47.7839768, 9.6150507 47.7839189, 9.615087 47.7838914)",1,,,,
"[5197888, 1002239293]",Wangener Straße,primary,50,False,True,216.14000000000001,"LINESTRING (9.6185304 47.7766301, 9.6186159 47.7768964, 9.6186245 47.7769183, 9.6187078 47.7771882, 9.6187389 47.7775249, 9.6187164 47.7776787, 9.6187107 47.7777176, 9.6186644 47.7778551, 9.6186115 47.7779587, 9.6184409 47.7782292, 9.6184229 47.7782578, 9.6184013 47.7782919, 9.6182673 47.7785032)",2,B 32,,,
"[1038396962, 1039214028, 25579076, 1039214029]",Olgastraße,secondary,50,True,False,118.10499999999999,"LINESTRING (9.608852 47.7804766, 9.6088569 47.7805265, 9.6088488 47.7805869, 9.6088217 47.7806954, 9.6087615 47.7811949, 9.6087507 47.7813579, 9.6087456 47.7814476, 9.6087583 47.7815346)","['2', '3']",,,,
"[115552928, 6894570]",Marktstraße,residential,50,False,True,136.49699999999999,"LINESTRING (9.6168588 47.7792619, 9.6174328 47.7788818, 9.617912 47.778625, 9.6181284 47.7785339, 9.6182292 47.7784984, 9.6182673 47.7785032)",2,,,,
"[308201993, 194026978, 194026977, 1258292119]",Marktstraße,residential,20,False,False,135.119,"LINESTRING (9.6168588 47.7792619, 9.6168107 47.7793047, 9.6167358 47.7793742, 9.6166783 47.7794198, 9.6166231 47.7794654, 9.6165304 47.7795478, 9.6165024 47.7795702, 9.6163643 47.7796792, 9.6161328 47.7798762, 9.6159488 47.7800339, 9.61591 47.780068, 9.6158035 47.7801618, 9.6157438 47.7802181)",,,building_passage,,
